Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,RCM,Game Score,Team Indicator,Play,Period
17:32,"TURNOVER  by MCCALLUM,JALEN",,,,,,,"TURNOVER  by MCCALLUM,JALEN",1
17:32,,,,,"STEAL  by GIROUX,PRESTON",,,"STEAL  by GIROUX,PRESTON",1
17:21,,5 (+2),,3,"GOOD LAYUP by DIXON,TADDEUS(in the paint)",RCM 5-3 (-2),,"GOOD LAYUP by DIXON,TADDEUS(in the paint)",1
--,,,,,"ASSIST  by GIROUX,PRESTON",,,"ASSIST  by GIROUX,PRESTON",1
17:02,"MISS 3PTR by ANDERSON,LINCOLN",,,,,,,"MISS 3PTR by ANDERSON,LINCOLN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:58,"FOUL  by MCCALLUM,JALEN",,,,,,,"FOUL  by MCCALLUM,JALEN",1
16:58,"FOUL  by MCCALLUM,JALEN",,,,,,,"FOUL  by MCCALLUM,JALEN",1
16:58,"TURNOVER  by MCCALLUM,JALEN",,,,,,,"TURNOVER  by MCCALLUM,JALEN",1
16:58,"SUB IN by YOUNGBLOOD,RONALD",,,,,,,"SUB IN by YOUNGBLOOD,RONALD",1
16:58,"SUB IN by WAGNER,STEPHEN",,,,,,,"SUB IN by WAGNER,STEPHEN",1
16:58,"SUB IN by ADEDOYIN,ELIJAH",,,,,,,"SUB IN by ADEDOYIN,ELIJAH",1
16:58,"SUB OUT by MCCALLUM,JALEN",,,,,,,"SUB OUT by MCCALLUM,JALEN",1
16:58,"SUB OUT by MCCRAY,JAMISON",,,,,,,"SUB OUT by MCCRAY,JAMISON",1
16:58,"SUB OUT by BISHOP,GARY",,,,,,,"SUB OUT by BISHOP,GARY",1
16:58,,,,,"SUB IN by GUEST,TYLER",,,"SUB IN by GUEST,TYLER",1
16:58,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
16:51,,,,,"TURNOVER  by DIXON,TADDEUS",,,"TURNOVER  by DIXON,TADDEUS",1
16:51,"STEAL  by WAGNER,STEPHEN",,,,,,,"STEAL  by WAGNER,STEPHEN",1
16:38,"TURNOVER  by WAGNER,STEPHEN",,,,,,,"TURNOVER  by WAGNER,STEPHEN",1
16:29,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
16:29,"STEAL  by WAGNER,STEPHEN",,,,,,,"STEAL  by WAGNER,STEPHEN",1
16:22,"GOOD 3PTR by CAMERON,JULIAN(fastbreak)",8 (+5),,3,,LCM 8-3 (-5),,"GOOD 3PTR by CAMERON,JULIAN(fastbreak)",1
--,"ASSIST  by WAGNER,STEPHEN",,,,,,,"ASSIST  by WAGNER,STEPHEN",1
16:08,,,,,"MISS LAYUP by DIXON,TADDEUS",,,"MISS LAYUP by DIXON,TADDEUS",1
16:08,"BLOCK  by ANDERSON,LINCOLN",,,,,,,"BLOCK  by ANDERSON,LINCOLN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:02,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
16:02,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
16:02,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
16:02,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
15:57,,,,,"MISS JUMPER by JAMES,MAC",,,"MISS JUMPER by JAMES,MAC",1
15:57,"BLOCK  by ANDERSON,LINCOLN",,,,,,,"BLOCK  by ANDERSON,LINCOLN",1
--,"REBOUND DEF by ADEDOYIN,ELIJAH",,,,,,,"REBOUND DEF by ADEDOYIN,ELIJAH",1
15:48,"TURNOVER  by YOUNGBLOOD,RONALD",,,,,,,"TURNOVER  by YOUNGBLOOD,RONALD",1
15:48,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
15:39,,,,,"TURNOVER  by DIXON,TADDEUS",,,"TURNOVER  by DIXON,TADDEUS",1
15:39,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:28,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
15:28,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
15:21,"MISS JUMPER by YOUNGBLOOD,RONALD",,,,,,,"MISS JUMPER by YOUNGBLOOD,RONALD",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
15:21,,,,,"BLOCK  by DARST,DANIEL",,,"BLOCK  by DARST,DANIEL",1
15:11,"MISS LAYUP by ANDERSON,LINCOLN",,,,,,,"MISS LAYUP by ANDERSON,LINCOLN",1
--,"REBOUND OFF by ANDERSON,LINCOLN",,,,,,,"REBOUND OFF by ANDERSON,LINCOLN",1
15:05,"GOOD LAYUP by ANDERSON,LINCOLN(in the paint)",10 (+7),,3,,LCM 10-3 (-7),,"GOOD LAYUP by ANDERSON,LINCOLN(in the paint)",1
15:01,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
15:01,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
14:56,"MISS FT by ANDERSON,LINCOLN",,,,,,,"MISS FT by ANDERSON,LINCOLN",1
--,,,,,"REBOUND DEF by ASHBY,KENDRICK",,,"REBOUND DEF by ASHBY,KENDRICK",1
14:56,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
14:56,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
14:56,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
14:49,,,,,"TURNOVER  by FERIA,NICK DE",,,"TURNOVER  by FERIA,NICK DE",1
14:49,"SUB IN by MCCRAY,JAMISON",,,,,,,"SUB IN by MCCRAY,JAMISON",1
14:49,"SUB OUT by YOUNGBLOOD,RONALD",,,,,,,"SUB OUT by YOUNGBLOOD,RONALD",1
14:42,"TURNOVER  by WAGNER,STEPHEN",,,,,,,"TURNOVER  by WAGNER,STEPHEN",1
14:42,"SUB IN by BISHOP,GARY",,,,,,,"SUB IN by BISHOP,GARY",1
14:42,"SUB OUT by WAGNER,STEPHEN",,,,,,,"SUB OUT by WAGNER,STEPHEN",1
14:31,,,,,"TURNOVER  by FERIA,NICK DE",,,"TURNOVER  by FERIA,NICK DE",1
14:31,"STEAL  by BISHOP,GARY",,,,,,,"STEAL  by BISHOP,GARY",1
14:20,"GOOD LAYUP by MCCRAY,JAMISON(in the paint)",12 (+9),,3,,LCM 12-3 (-9),,"GOOD LAYUP by MCCRAY,JAMISON(in the paint)",1
14:03,,,,,"TURNOVER  by ASHBY,KENDRICK",,,"TURNOVER  by ASHBY,KENDRICK",1
14:03,"STEAL  by MCCRAY,JAMISON",,,,,,,"STEAL  by MCCRAY,JAMISON",1
13:58,"FOUL  by ANDERSON,LINCOLN",,,,,,,"FOUL  by ANDERSON,LINCOLN",1
13:58,"FOUL  by ANDERSON,LINCOLN",,,,,,,"FOUL  by ANDERSON,LINCOLN",1
13:58,"TURNOVER  by ANDERSON,LINCOLN",,,,,,,"TURNOVER  by ANDERSON,LINCOLN",1
13:58,"SUB IN by SHEPHERD,DREW",,,,,,,"SUB IN by SHEPHERD,DREW",1
13:58,"SUB IN by YOUNGBLOOD,RONALD",,,,,,,"SUB IN by YOUNGBLOOD,RONALD",1
13:58,"SUB OUT by CAMERON,JULIAN",,,,,,,"SUB OUT by CAMERON,JULIAN",1
13:58,"SUB OUT by ANDERSON,LINCOLN",,,,,,,"SUB OUT by ANDERSON,LINCOLN",1
13:58,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
13:58,,,,,"SUB OUT by GUEST,TYLER",,,"SUB OUT by GUEST,TYLER",1
13:52,,,,,"TURNOVER  by LOVE,KERRY",,,"TURNOVER  by LOVE,KERRY",1
13:52,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
13:52,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
13:41,"MISS LAYUP by YOUNGBLOOD,RONALD",,,,,,,"MISS LAYUP by YOUNGBLOOD,RONALD",1
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1
13:30,,,,,"TURNOVER  by JAMES,MAC",,,"TURNOVER  by JAMES,MAC",1
13:12,"GOOD JUMPER by MCCRAY,JAMISON(in the paint)",14 (+11),,3,,LCM 14-3 (-11),,"GOOD JUMPER by MCCRAY,JAMISON(in the paint)",1
12:56,,14 (+9),,5,"GOOD LAYUP by DARST,DANIEL(fastbreak)(in the paint)",RCM 14-5 (-9),,"GOOD LAYUP by DARST,DANIEL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by FERIA,NICK DE",,,"ASSIST  by FERIA,NICK DE",1
12:46,"GOOD 3PTR by SHEPHERD,DREW",17 (+12),,5,,LCM 17-5 (-12),,"GOOD 3PTR by SHEPHERD,DREW",1
--,"ASSIST  by BISHOP,GARY",,,,,,,"ASSIST  by BISHOP,GARY",1
12:35,"FOUL  by ADEDOYIN,ELIJAH",,,,,,,"FOUL  by ADEDOYIN,ELIJAH",1
12:35,"FOUL  by ADEDOYIN,ELIJAH",,,,,,,"FOUL  by ADEDOYIN,ELIJAH",1
12:35,"SUB IN by CAMERON,JULIAN",,,,,,,"SUB IN by CAMERON,JULIAN",1
12:35,"SUB OUT by ADEDOYIN,ELIJAH",,,,,,,"SUB OUT by ADEDOYIN,ELIJAH",1
12:35,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
12:35,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
12:19,,17 (+10),,7,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",RCM 17-7 (-10),,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
12:02,"GOOD JUMPER by YOUNGBLOOD,RONALD",19 (+12),,7,,LCM 19-7 (-12),,"GOOD JUMPER by YOUNGBLOOD,RONALD",1
11:45,,,,,"TURNOVER  by GIROUX,PRESTON",,,"TURNOVER  by GIROUX,PRESTON",1
11:45,"STEAL  by SHEPHERD,DREW",,,,,,,"STEAL  by SHEPHERD,DREW",1
11:40,"GOOD 3PTR by CAMERON,JULIAN",22 (+15),,7,,LCM 22-7 (-15),,"GOOD 3PTR by CAMERON,JULIAN",1
--,"ASSIST  by BISHOP,GARY",,,,,,,"ASSIST  by BISHOP,GARY",1
11:25,"FOUL  by MCCRAY,JAMISON",,,,,,,"FOUL  by MCCRAY,JAMISON",1
11:25,"FOUL  by MCCRAY,JAMISON",,,,,,,"FOUL  by MCCRAY,JAMISON",1
11:21,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:20,,22 (+14),,8,"GOOD FT by WEATHERFORD,MITCH",RCM 22-8 (-14),,"GOOD FT by WEATHERFORD,MITCH",1
11:20,,22 (+13),,9,"GOOD FT by WEATHERFORD,MITCH",RCM 22-9 (-13),,"GOOD FT by WEATHERFORD,MITCH",1
11:20,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
11:20,,,,,"SUB IN by DIXON,TADDEUS",,,"SUB IN by DIXON,TADDEUS",1
11:20,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
11:20,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
11:12,"MISS 3PTR by BISHOP,GARY",,,,,,,"MISS 3PTR by BISHOP,GARY",1
--,"REBOUND OFF by YOUNGBLOOD,RONALD",,,,,,,"REBOUND OFF by YOUNGBLOOD,RONALD",1
11:05,"MISS 3PTR by CAMERON,JULIAN",,,,,,,"MISS 3PTR by CAMERON,JULIAN",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
10:54,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
10:54,"STEAL  by YOUNGBLOOD,RONALD",,,,,,,"STEAL  by YOUNGBLOOD,RONALD",1
10:49,"GOOD LAYUP by SHEPHERD,DREW(fastbreak)(in the paint)",24 (+15),,9,,LCM 24-9 (-15),,"GOOD LAYUP by SHEPHERD,DREW(fastbreak)(in the paint)",1
10:40,"FOUL  by MCCRAY,JAMISON",,,,,,,"FOUL  by MCCRAY,JAMISON",1
10:40,"FOUL  by MCCRAY,JAMISON",,,,,,,"FOUL  by MCCRAY,JAMISON",1
10:40,,24 (+14),,10,"GOOD FT by JAMES,MAC",RCM 24-10 (-14),,"GOOD FT by JAMES,MAC",1
10:40,,24 (+13),,11,"GOOD FT by JAMES,MAC",RCM 24-11 (-13),,"GOOD FT by JAMES,MAC",1
10:40,"SUB IN by ADEDOYIN,ELIJAH",,,,,,,"SUB IN by ADEDOYIN,ELIJAH",1
10:40,"SUB OUT by MCCRAY,JAMISON",,,,,,,"SUB OUT by MCCRAY,JAMISON",1
10:24,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
10:24,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
10:20,"GOOD JUMPER by YOUNGBLOOD,RONALD",26 (+15),,11,,LCM 26-11 (-15),,"GOOD JUMPER by YOUNGBLOOD,RONALD",1
10:09,,,,,"TURNOVER  by JAMES,MAC",,,"TURNOVER  by JAMES,MAC",1
10:09,"STEAL  by BISHOP,GARY",,,,,,,"STEAL  by BISHOP,GARY",1
10:09,"TURNOVER  by BISHOP,GARY",,,,,,,"TURNOVER  by BISHOP,GARY",1
10:05,,,,,"TURNOVER  by DIXON,TADDEUS",,,"TURNOVER  by DIXON,TADDEUS",1
09:45,"MISS JUMPER by ADEDOYIN,ELIJAH",,,,,,,"MISS JUMPER by ADEDOYIN,ELIJAH",1
09:45,,,,,"BLOCK  by DIXON,TADDEUS",,,"BLOCK  by DIXON,TADDEUS",1
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1
09:35,"FOUL  by YOUNGBLOOD,RONALD",,,,,,,"FOUL  by YOUNGBLOOD,RONALD",1
09:35,"FOUL  by YOUNGBLOOD,RONALD",,,,,,,"FOUL  by YOUNGBLOOD,RONALD",1
09:35,,26 (+14),,12,"GOOD FT by BERRY,BRYCE",RCM 26-12 (-14),,"GOOD FT by BERRY,BRYCE",1
09:35,,26 (+13),,13,"GOOD FT by BERRY,BRYCE",RCM 26-13 (-13),,"GOOD FT by BERRY,BRYCE",1
09:35,"SUB IN by BLAIR,HENRY",,,,,,,"SUB IN by BLAIR,HENRY",1
09:35,"SUB IN by WAGNER,STEPHEN",,,,,,,"SUB IN by WAGNER,STEPHEN",1
09:35,"SUB OUT by YOUNGBLOOD,RONALD",,,,,,,"SUB OUT by YOUNGBLOOD,RONALD",1
09:35,"SUB OUT by BISHOP,GARY",,,,,,,"SUB OUT by BISHOP,GARY",1
09:35,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
09:35,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
09:35,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
09:35,,,,,"SUB OUT by DIXON,TADDEUS",,,"SUB OUT by DIXON,TADDEUS",1
09:23,"MISS JUMPER by ADEDOYIN,ELIJAH",,,,,,,"MISS JUMPER by ADEDOYIN,ELIJAH",1
--,"REBOUND OFF by BLAIR,HENRY",,,,,,,"REBOUND OFF by BLAIR,HENRY",1
09:17,"GOOD LAYUP by BLAIR,HENRY(in the paint)",28 (+15),,13,,LCM 28-13 (-15),,"GOOD LAYUP by BLAIR,HENRY(in the paint)",1
09:05,"SUB IN by SMITH,CODY",,,,,,,"SUB IN by SMITH,CODY",1
09:05,"SUB OUT by ADEDOYIN,ELIJAH",,,,,,,"SUB OUT by ADEDOYIN,ELIJAH",1
09:04,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
09:04,"STEAL  by SHEPHERD,DREW",,,,,,,"STEAL  by SHEPHERD,DREW",1
08:59,"GOOD LAYUP by SHEPHERD,DREW(fastbreak)(in the paint)",30 (+17),,13,,LCM 30-13 (-17),,"GOOD LAYUP by SHEPHERD,DREW(fastbreak)(in the paint)",1
08:47,,30 (+15),,15,"GOOD LAYUP by DARST,DANIEL(in the paint)",RCM 30-15 (-15),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,,,,,"ASSIST  by ASHBY,KENDRICK",,,"ASSIST  by ASHBY,KENDRICK",1
08:38,"GOOD 3PTR by BLAIR,HENRY",33 (+18),,15,,LCM 33-15 (-18),,"GOOD 3PTR by BLAIR,HENRY",1
--,"ASSIST  by WAGNER,STEPHEN",,,,,,,"ASSIST  by WAGNER,STEPHEN",1
08:14,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,"REBOUND DEF by BLAIR,HENRY",,,,,,,"REBOUND DEF by BLAIR,HENRY",1
08:07,"TURNOVER  by CAMERON,JULIAN",,,,,,,"TURNOVER  by CAMERON,JULIAN",1
08:07,,,,,"STEAL  by ASHBY,KENDRICK",,,"STEAL  by ASHBY,KENDRICK",1
08:00,,33 (+16),,17,"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",RCM 33-17 (-16),,"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",1
08:00,"FOUL  by SHEPHERD,DREW",,,,,,,"FOUL  by SHEPHERD,DREW",1
08:00,"FOUL  by SHEPHERD,DREW",,,,,,,"FOUL  by SHEPHERD,DREW",1
08:00,,,,,"MISS FT by WEATHERFORD,MITCH",,,"MISS FT by WEATHERFORD,MITCH",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
08:00,,33 (+14),,19,"GOOD LAYUP by DARST,DANIEL(in the paint)",RCM 33-19 (-14),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
08:00,"SUB IN by MCCORMACK,JACK",,,,,,,"SUB IN by MCCORMACK,JACK",1
08:00,"SUB IN by YOUNGBLOOD,RONALD",,,,,,,"SUB IN by YOUNGBLOOD,RONALD",1
08:00,"SUB OUT by CAMERON,JULIAN",,,,,,,"SUB OUT by CAMERON,JULIAN",1
08:00,"SUB OUT by SHEPHERD,DREW",,,,,,,"SUB OUT by SHEPHERD,DREW",1
08:00,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
08:00,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
07:36,"MISS 3PTR by YOUNGBLOOD,RONALD",,,,,,,"MISS 3PTR by YOUNGBLOOD,RONALD",1
--,"REBOUND OFF by BLAIR,HENRY",,,,,,,"REBOUND OFF by BLAIR,HENRY",1
07:28,"MISS 3PTR by MCCORMACK,JACK",,,,,,,"MISS 3PTR by MCCORMACK,JACK",1
--,"REBOUND OFF by SMITH,CODY",,,,,,,"REBOUND OFF by SMITH,CODY",1
07:21,"TURNOVER  by SMITH,CODY",,,,,,,"TURNOVER  by SMITH,CODY",1
07:21,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:21,"SUB IN by EDWARDS,BERSHARD",,,,,,,"SUB IN by EDWARDS,BERSHARD",1
07:21,"SUB OUT by WAGNER,STEPHEN",,,,,,,"SUB OUT by WAGNER,STEPHEN",1
07:21,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
07:21,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
07:06,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
07:06,"STEAL  by YOUNGBLOOD,RONALD",,,,,,,"STEAL  by YOUNGBLOOD,RONALD",1
06:58,"MISS 3PTR by BLAIR,HENRY",,,,,,,"MISS 3PTR by BLAIR,HENRY",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
06:26,,,,,"TURNOVER  by BERRY,BRYCE",,,"TURNOVER  by BERRY,BRYCE",1
06:26,"STEAL  by EDWARDS,BERSHARD",,,,,,,"STEAL  by EDWARDS,BERSHARD",1
06:21,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",1
06:21,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",1
06:21,"MISS FT by EDWARDS,BERSHARD",,,,,,,"MISS FT by EDWARDS,BERSHARD",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:21,"GOOD FT by EDWARDS,BERSHARD",34 (+15),,19,,LCM 34-19 (-15),,"GOOD FT by EDWARDS,BERSHARD",1
06:03,,34 (+12),,22,"GOOD 3PTR by BERRY,BRYCE",RCM 34-22 (-12),,"GOOD 3PTR by BERRY,BRYCE",1
--,,,,,"ASSIST  by FERIA,NICK DE",,,"ASSIST  by FERIA,NICK DE",1
05:41,"TURNOVER  by MCCORMACK,JACK",,,,,,,"TURNOVER  by MCCORMACK,JACK",1
05:41,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
05:37,,,,,"TURNOVER  by LOVE,KERRY",,,"TURNOVER  by LOVE,KERRY",1
05:37,"SUB IN by ADEDOYIN,ELIJAH",,,,,,,"SUB IN by ADEDOYIN,ELIJAH",1
05:37,"SUB IN by BISHOP,GARY",,,,,,,"SUB IN by BISHOP,GARY",1
05:37,"SUB IN by SHEPHERD,DREW",,,,,,,"SUB IN by SHEPHERD,DREW",1
05:37,"SUB IN by CAMERON,JULIAN",,,,,,,"SUB IN by CAMERON,JULIAN",1
05:37,"SUB OUT by SMITH,CODY",,,,,,,"SUB OUT by SMITH,CODY",1
05:37,"SUB OUT by BLAIR,HENRY",,,,,,,"SUB OUT by BLAIR,HENRY",1
05:37,"SUB OUT by EDWARDS,BERSHARD",,,,,,,"SUB OUT by EDWARDS,BERSHARD",1
05:37,"SUB OUT by MCCORMACK,JACK",,,,,,,"SUB OUT by MCCORMACK,JACK",1
05:33,"GOOD JUMPER by BISHOP,GARY(in the paint)",36 (+14),,22,,LCM 36-22 (-14),,"GOOD JUMPER by BISHOP,GARY(in the paint)",1
05:08,,,,,"MISS LAYUP by BERRY,BRYCE",,,"MISS LAYUP by BERRY,BRYCE",1
--,"REBOUND DEF by YOUNGBLOOD,RONALD",,,,,,,"REBOUND DEF by YOUNGBLOOD,RONALD",1
05:04,,,,,"FOUL  by FERIA,NICK DE",,,"FOUL  by FERIA,NICK DE",1
05:04,,,,,"FOUL  by FERIA,NICK DE",,,"FOUL  by FERIA,NICK DE",1
05:04,"MISS FT by CAMERON,JULIAN",,,,,,,"MISS FT by CAMERON,JULIAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:04,"MISS FT by CAMERON,JULIAN",,,,,,,"MISS FT by CAMERON,JULIAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
05:04,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
05:04,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
05:04,,,,,"SUB IN by GUEST,TYLER",,,"SUB IN by GUEST,TYLER",1
05:04,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
05:04,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
05:04,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
04:41,"MISS JUMPER by YOUNGBLOOD,RONALD",,,,,,,"MISS JUMPER by YOUNGBLOOD,RONALD",1
04:41,,,,,"BLOCK  by ASHBY,KENDRICK",,,"BLOCK  by ASHBY,KENDRICK",1
