Time Remaining,OZARKS,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
16:16,,5,,7 (+2),"GOOD LAYUP by GIROUX,PRESTON(in the paint)",RHODES 5-7 (+2),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
16:16,"TURNOVER  by COHNS,SEAN",,,,,,,"TURNOVER  by COHNS,SEAN",1
16:16,"SUB IN by COHNS,SEAN",,,,,,,"SUB IN by COHNS,SEAN",1
16:16,SUB OUT by 0,,,,,,,SUB OUT by 0,1
16:06,"MISS 3PTR by BOWMAN,ETHAN",,,,,,,"MISS 3PTR by BOWMAN,ETHAN",1
--,"REBOUND OFF by COHNS,SEAN",,,,,,,"REBOUND OFF by COHNS,SEAN",1
16:01,,,,,"FOUL  by JAMES,MAC",,,"FOUL  by JAMES,MAC",1
16:01,"SUB IN by BOBO,ZACH",,,,,,,"SUB IN by BOBO,ZACH",1
16:01,"SUB OUT by WINSTON,CORDY",,,,,,,"SUB OUT by WINSTON,CORDY",1
16:01,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
16:01,,,,,"SUB IN by GUEST,TYLER",,,"SUB IN by GUEST,TYLER",1
16:01,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
16:01,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
15:56,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",7,,7,,OZARKS 7-7 (0),,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",1
15:44,,7,,9 (+2),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHODES 7-9 (+2),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
15:27,"GOOD LAYUP by COHNS,SEAN(in the paint)",9,,9,,OZARKS 9-9 (0),,"GOOD LAYUP by COHNS,SEAN(in the paint)",1
--,"ASSIST  by BOWMAN,ETHAN",,,,,,,"ASSIST  by BOWMAN,ETHAN",1
15:13,,,,,"MISS 3PTR by GUEST,TYLER",,,"MISS 3PTR by GUEST,TYLER",1
--,"REBOUND DEF by BOWMAN,ETHAN",,,,,,,"REBOUND DEF by BOWMAN,ETHAN",1
15:02,"MISS JUMPER by BOWMAN,ETHAN",,,,,,,"MISS JUMPER by BOWMAN,ETHAN",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
14:47,"FOUL  by BOWMAN,ETHAN",,,,,,,"FOUL  by BOWMAN,ETHAN",1
14:38,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
14:33,,,,,"MISS 3PTR by WEATHERFORD,MITCH",,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND OFF by GUEST,TYLER",,,"REBOUND OFF by GUEST,TYLER",1
14:24,,,,,"TURNOVER  by GUEST,TYLER",,,"TURNOVER  by GUEST,TYLER",1
14:08,,,,,"SUB IN by MCNAMARA,BRENDEN",,,"SUB IN by MCNAMARA,BRENDEN",1
14:08,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
14:02,"GOOD LAYUP by RENELIQUE,DARNEL(in the paint)",11 (+2),,9,,OZARKS 11-9 (-2),,"GOOD LAYUP by RENELIQUE,DARNEL(in the paint)",1
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",1
13:48,,11,,11,"GOOD LAYUP by GUEST,TYLER(in the paint)",RHODES 11-11 (0),,"GOOD LAYUP by GUEST,TYLER(in the paint)",1
13:31,"SUB IN by RENELIQUE,DARNEL",,,,,,,"SUB IN by RENELIQUE,DARNEL",1
13:31,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",1
13:31,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",1
13:31,"SUB OUT by COHNS,SEAN",,,,,,,"SUB OUT by COHNS,SEAN",1
13:29,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by GUEST,TYLER",,,"REBOUND DEF by GUEST,TYLER",1
13:22,,11,,14 (+3),"GOOD 3PTR by FERIA,NICK DE",RHODES 11-14 (+3),,"GOOD 3PTR by FERIA,NICK DE",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
12:50,"GOOD 3PTR by BOBO,ZACH",14,,14,,OZARKS 14-14 (0),,"GOOD 3PTR by BOBO,ZACH",1
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",1
12:33,,,,,"MISS 3PTR by GUEST,TYLER",,,"MISS 3PTR by GUEST,TYLER",1
--,"REBOUND DEF by BOWMAN,ETHAN",,,,,,,"REBOUND DEF by BOWMAN,ETHAN",1
12:25,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",1
12:02,"FOUL  by TURPIN,TIM",,,,,,,"FOUL  by TURPIN,TIM",1
12:02,"TURNOVER  by TURPIN,TIM",,,,,,,"TURNOVER  by TURPIN,TIM",1
12:02,,,,,"TURNOVER  by ASHBY,KENDRICK",,,"TURNOVER  by ASHBY,KENDRICK",1
12:02,"GOOD LAYUP by TURPIN,TIM(in the paint)",16 (+2),,14,,OZARKS 16-14 (-2),,"GOOD LAYUP by TURPIN,TIM(in the paint)",1
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",1
12:02,"STEAL  by BOBO,ZACH",,,,,,,"STEAL  by BOBO,ZACH",1
11:58,,,,,"MISS JUMPER by JAMES,MAC",,,"MISS JUMPER by JAMES,MAC",1
--,"REBOUND DEF by WINSTON,CORDY",,,,,,,"REBOUND DEF by WINSTON,CORDY",1
11:47,"TURNOVER  by BOBO,ZACH",,,,,,,"TURNOVER  by BOBO,ZACH",1
11:47,,,,,"STEAL  by GUEST,TYLER",,,"STEAL  by GUEST,TYLER",1
11:38,,,,,"MISS 3PTR by JAMES,MAC",,,"MISS 3PTR by JAMES,MAC",1
--,"REBOUND DEF by TURPIN,TIM",,,,,,,"REBOUND DEF by TURPIN,TIM",1
11:29,"MISS 3PTR by BOBO,ZACH",,,,,,,"MISS 3PTR by BOBO,ZACH",1
--,,,,,"REBOUND DEF by MCNAMARA,BRENDEN",,,"REBOUND DEF by MCNAMARA,BRENDEN",1
11:29,"SUB IN by WINSTON,CORDY",,,,,,,"SUB IN by WINSTON,CORDY",1
11:29,"SUB IN by WILHELM,CORY",,,,,,,"SUB IN by WILHELM,CORY",1
11:29,"SUB IN by BARNES,SKYLER",,,,,,,"SUB IN by BARNES,SKYLER",1
11:29,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",1
11:29,"SUB OUT by BOWMAN,ETHAN",,,,,,,"SUB OUT by BOWMAN,ETHAN",1
11:29,"SUB OUT by BOBO,ZACH",,,,,,,"SUB OUT by BOBO,ZACH",1
11:29,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
11:29,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
11:29,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
11:29,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
11:29,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
11:29,,,,,"SUB OUT by GUEST,TYLER",,,"SUB OUT by GUEST,TYLER",1
11:15,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",1
11:15,"GOOD FT by RENELIQUE,DARNEL",17 (+3),,14,,OZARKS 17-14 (-3),,"GOOD FT by RENELIQUE,DARNEL",1
11:15,"GOOD FT by RENELIQUE,DARNEL",18 (+4),,14,,OZARKS 18-14 (-4),,"GOOD FT by RENELIQUE,DARNEL",1
11:15,,,,,"TURNOVER  by MCNAMARA,BRENDEN",,,"TURNOVER  by MCNAMARA,BRENDEN",1
11:15,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
11:15,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
11:15,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
11:15,,,,,"SUB OUT by MCNAMARA,BRENDEN",,,"SUB OUT by MCNAMARA,BRENDEN",1
11:00,,,,,"MISS JUMPER by BERRY,BRYCE",,,"MISS JUMPER by BERRY,BRYCE",1
--,,,,,"REBOUND OFF by WEATHERFORD,MITCH",,,"REBOUND OFF by WEATHERFORD,MITCH",1
10:52,,,,,"MISS 3PTR by JAMES,MAC",,,"MISS 3PTR by JAMES,MAC",1
--,"REBOUND DEF by BARNES,SKYLER",,,,,,,"REBOUND DEF by BARNES,SKYLER",1
10:45,"TURNOVER  by BARNES,SKYLER",,,,,,,"TURNOVER  by BARNES,SKYLER",1
10:45,,,,,"STEAL  by WEATHERFORD,MITCH",,,"STEAL  by WEATHERFORD,MITCH",1
10:40,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
10:40,"STEAL  by WINSTON,CORDY",,,,,,,"STEAL  by WINSTON,CORDY",1
10:34,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
10:34,"GOOD FT by BARNES,SKYLER",19 (+5),,14,,OZARKS 19-14 (-5),,"GOOD FT by BARNES,SKYLER",1
10:34,"GOOD FT by BARNES,SKYLER",20 (+6),,14,,OZARKS 20-14 (-6),,"GOOD FT by BARNES,SKYLER",1
10:34,,,,,"SUB IN by GUEST,TYLER",,,"SUB IN by GUEST,TYLER",1
10:34,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
10:17,,,,,"MISS JUMPER by GUEST,TYLER",,,"MISS JUMPER by GUEST,TYLER",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
10:04,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
10:04,"STEAL  by JOHNSON,BRYSON",,,,,,,"STEAL  by JOHNSON,BRYSON",1
09:59,"MISS LAYUP by JOHNSON,BRYSON",,,,,,,"MISS LAYUP by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by GUEST,TYLER",,,"REBOUND DEF by GUEST,TYLER",1
09:51,,,,,"MISS 3PTR by BERRY,BRYCE",,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND DEF by WINSTON,CORDY",,,,,,,"REBOUND DEF by WINSTON,CORDY",1
09:41,"TURNOVER  by JOHNSON,BRYSON",,,,,,,"TURNOVER  by JOHNSON,BRYSON",1
09:41,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",1
09:41,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",1
09:26,,20 (+3),,17,"GOOD 3PTR by DARST,DANIEL",RHODES 20-17 (-3),,"GOOD 3PTR by DARST,DANIEL",1
--,,,,,"ASSIST  by BERRY,BRYCE",,,"ASSIST  by BERRY,BRYCE",1
09:06,"GOOD 3PTR by WINSTON,CORDY",23 (+6),,17,,OZARKS 23-17 (-6),,"GOOD 3PTR by WINSTON,CORDY",1
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",1
08:43,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",1
--,"REBOUND DEF by RENELIQUE,DARNEL",,,,,,,"REBOUND DEF by RENELIQUE,DARNEL",1
08:35,"GOOD 3PTR by JOHNSON,BRYSON(fastbreak)",26 (+9),,17,,OZARKS 26-17 (-9),,"GOOD 3PTR by JOHNSON,BRYSON(fastbreak)",1
--,"ASSIST  by WINSTON,CORDY",,,,,,,"ASSIST  by WINSTON,CORDY",1
08:28,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:28,"SUB IN by DAVIS,JACOBE",,,,,,,"SUB IN by DAVIS,JACOBE",1
08:28,"SUB IN by COHNS,SEAN",,,,,,,"SUB IN by COHNS,SEAN",1
08:28,"SUB OUT by RENELIQUE,DARNEL",,,,,,,"SUB OUT by RENELIQUE,DARNEL",1
08:28,"SUB OUT by JOHNSON,BRYSON",,,,,,,"SUB OUT by JOHNSON,BRYSON",1
08:24,,,,,"TURNOVER  by BERRY,BRYCE",,,"TURNOVER  by BERRY,BRYCE",1
08:24,,,,,"FOUL  by BERRY,BRYCE",,,"FOUL  by BERRY,BRYCE",1
08:21,"MISS JUMPER by BARNES,SKYLER",,,,,,,"MISS JUMPER by BARNES,SKYLER",1
--,,,,,"REBOUND DEF by SAMSON,VAUGHN",,,"REBOUND DEF by SAMSON,VAUGHN",1
08:05,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:48,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:48,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
07:48,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
07:48,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
07:48,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
07:48,,,,,"SUB OUT by GUEST,TYLER",,,"SUB OUT by GUEST,TYLER",1
07:48,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
07:45,"FOUL  by TURPIN,TIM",,,,,,,"FOUL  by TURPIN,TIM",1
07:45,"FOUL  by DAVIS,JACOBE",,,,,,,"FOUL  by DAVIS,JACOBE",1
07:45,,,,,"MISS FT by SAMSON,VAUGHN",,,"MISS FT by SAMSON,VAUGHN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:45,,,,,"MISS FT by SAMSON,VAUGHN",,,"MISS FT by SAMSON,VAUGHN",1
--,"REBOUND DEF by DAVIS,JACOBE",,,,,,,"REBOUND DEF by DAVIS,JACOBE",1
07:45,"FOUL  by BARNES,SKYLER",,,,,,,"FOUL  by BARNES,SKYLER",1
07:45,"TURNOVER  by BARNES,SKYLER",,,,,,,"TURNOVER  by BARNES,SKYLER",1
07:45,"SUB IN by BOBO,ZACH",,,,,,,"SUB IN by BOBO,ZACH",1
07:45,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",1
07:36,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
07:36,"STEAL  by COHNS,SEAN",,,,,,,"STEAL  by COHNS,SEAN",1
07:25,"TURNOVER  by BOWMAN,ETHAN",,,,,,,"TURNOVER  by BOWMAN,ETHAN",1
07:07,,,,,"TURNOVER  by SAMSON,VAUGHN",,,"TURNOVER  by SAMSON,VAUGHN",1
07:07,"SUB IN by BOWMAN,ETHAN",,,,,,,"SUB IN by BOWMAN,ETHAN",1
07:07,"SUB IN by WILHELM,CORY",,,,,,,"SUB IN by WILHELM,CORY",1
07:07,"SUB OUT by BARNES,SKYLER",,,,,,,"SUB OUT by BARNES,SKYLER",1
07:07,"SUB OUT by BOBO,ZACH",,,,,,,"SUB OUT by BOBO,ZACH",1
07:07,,,,,"SUB IN by GUEST,TYLER",,,"SUB IN by GUEST,TYLER",1
07:07,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
07:03,"FOUL  by COHNS,SEAN",,,,,,,"FOUL  by COHNS,SEAN",1
07:03,"TURNOVER  by COHNS,SEAN",,,,,,,"TURNOVER  by COHNS,SEAN",1
06:51,,26 (+6),,20,"GOOD 3PTR by WEATHERFORD,MITCH",RHODES 26-20 (-6),,"GOOD 3PTR by WEATHERFORD,MITCH",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
06:29,"MISS JUMPER by BOWMAN,ETHAN",,,,,,,"MISS JUMPER by BOWMAN,ETHAN",1
--,,,,,"REBOUND DEF by GUEST,TYLER",,,"REBOUND DEF by GUEST,TYLER",1
06:20,,26 (+3),,23,"GOOD 3PTR by FERIA,NICK DE",RHODES 26-23 (-3),,"GOOD 3PTR by FERIA,NICK DE",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
05:54,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
05:54,"GOOD FT by BOWMAN,ETHAN",27 (+4),,23,,OZARKS 27-23 (-4),,"GOOD FT by BOWMAN,ETHAN",1
05:54,"GOOD FT by BOWMAN,ETHAN",28 (+5),,23,,OZARKS 28-23 (-5),,"GOOD FT by BOWMAN,ETHAN",1
05:54,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
05:54,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
05:46,,28 (+2),,26,"GOOD 3PTR by GUEST,TYLER",RHODES 28-26 (-2),,"GOOD 3PTR by GUEST,TYLER",1
--,,,,,"ASSIST  by LOVE,KERRY",,,"ASSIST  by LOVE,KERRY",1
05:27,"MISS JUMPER by COHNS,SEAN",,,,,,,"MISS JUMPER by COHNS,SEAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:10,"FOUL  by RENELIQUE,DARNEL",,,,,,,"FOUL  by RENELIQUE,DARNEL",1
05:00,"GOOD LAYUP by COHNS,SEAN(in the paint)",30 (+4),,26,,OZARKS 30-26 (-4),,"GOOD LAYUP by COHNS,SEAN(in the paint)",1
05:00,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
05:00,"GOOD FT by COHNS,SEAN",31 (+5),,26,,OZARKS 31-26 (-5),,"GOOD FT by COHNS,SEAN",1
--,"ASSIST  by BOWMAN,ETHAN",,,,,,,"ASSIST  by BOWMAN,ETHAN",1
05:00,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",1
05:00,"SUB OUT by COHNS,SEAN",,,,,,,"SUB OUT by COHNS,SEAN",1
04:49,"FOUL  by JOHNSON,BRYSON",,,,,,,"FOUL  by JOHNSON,BRYSON",1
04:49,,31 (+4),,27,"GOOD FT by BERRY,BRYCE",RHODES 31-27 (-4),,"GOOD FT by BERRY,BRYCE",1
04:49,,31 (+3),,28,"GOOD FT by BERRY,BRYCE",RHODES 31-28 (-3),,"GOOD FT by BERRY,BRYCE",1
04:49,,,,,"SUB IN by MCNAMARA,BRENDEN",,,"SUB IN by MCNAMARA,BRENDEN",1
04:49,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
04:35,"SUB IN by JOHNSON,BRYSON",,,,,,,"SUB IN by JOHNSON,BRYSON",1
04:35,"SUB IN by RENELIQUE,DARNEL",,,,,,,"SUB IN by RENELIQUE,DARNEL",1
04:35,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",1
04:35,"SUB OUT by DAVIS,JACOBE",,,,,,,"SUB OUT by DAVIS,JACOBE",1
04:35,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
04:35,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
04:32,,31 (+2),,29,"GOOD FT by DARST,DANIEL",RHODES 31-29 (-2),,"GOOD FT by DARST,DANIEL",1
04:32,,31 (+1),,30,"GOOD FT by DARST,DANIEL",RHODES 31-30 (-1),,"GOOD FT by DARST,DANIEL",1
04:32,"MISS 3PTR by WINSTON,CORDY",,,,,,,"MISS 3PTR by WINSTON,CORDY",1
--,,,,,"REBOUND DEF by MCNAMARA,BRENDEN",,,"REBOUND DEF by MCNAMARA,BRENDEN",1
04:25,,,,,"TURNOVER  by BERRY,BRYCE",,,"TURNOVER  by BERRY,BRYCE",1
04:25,"STEAL  by JOHNSON,BRYSON",,,,,,,"STEAL  by JOHNSON,BRYSON",1
04:19,"MISS 3PTR by WINSTON,CORDY",,,,,,,"MISS 3PTR by WINSTON,CORDY",1
--,,,,,"REBOUND DEF by GUEST,TYLER",,,"REBOUND DEF by GUEST,TYLER",1
04:05,,,,,"FOUL  by BERRY,BRYCE",,,"FOUL  by BERRY,BRYCE",1
04:05,,,,,"TURNOVER  by BERRY,BRYCE",,,"TURNOVER  by BERRY,BRYCE",1
03:52,"SUB IN by BOBO,ZACH",,,,,,,"SUB IN by BOBO,ZACH",1
03:52,"SUB OUT by BOWMAN,ETHAN",,,,,,,"SUB OUT by BOWMAN,ETHAN",1
03:48,"MISS JUMPER by JOHNSON,BRYSON",,,,,,,"MISS JUMPER by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by GUEST,TYLER",,,"REBOUND DEF by GUEST,TYLER",1
03:38,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:28,"FOUL  by TURPIN,TIM",,,,,,,"FOUL  by TURPIN,TIM",1
03:28,,31,,31,"GOOD FT by BERRY,BRYCE",RHODES 31-31 (0),,"GOOD FT by BERRY,BRYCE",1
03:28,,31,,32 (+1),"GOOD FT by BERRY,BRYCE",RHODES 31-32 (+1),,"GOOD FT by BERRY,BRYCE",1
03:28,"SUB IN by COHNS,SEAN",,,,,,,"SUB IN by COHNS,SEAN",1
03:28,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",1
03:12,"MISS JUMPER by BOBO,ZACH",,,,,,,"MISS JUMPER by BOBO,ZACH",1
--,,,,,"REBOUND DEF by MCNAMARA,BRENDEN",,,"REBOUND DEF by MCNAMARA,BRENDEN",1
03:01,"FOUL  by WINSTON,CORDY",,,,,,,"FOUL  by WINSTON,CORDY",1
03:01,,31,,33 (+2),"GOOD FT by JAMES,MAC",RHODES 31-33 (+2),,"GOOD FT by JAMES,MAC",1
03:01,,31,,34 (+3),"GOOD FT by JAMES,MAC",RHODES 31-34 (+3),,"GOOD FT by JAMES,MAC",1
03:01,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
03:01,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
02:49,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",1
--,"REBOUND OFF by RENELIQUE,DARNEL",,,,,,,"REBOUND OFF by RENELIQUE,DARNEL",1
02:34,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",33,,34 (+1),,OZARKS 33-34 (+1),,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",1
02:17,"FOUL  by COHNS,SEAN",,,,,,,"FOUL  by COHNS,SEAN",1
02:17,,33,,35 (+2),"GOOD FT by GUEST,TYLER",RHODES 33-35 (+2),,"GOOD FT by GUEST,TYLER",1
02:17,,,,,"MISS FT by GUEST,TYLER",,,"MISS FT by GUEST,TYLER",1
--,"REBOUND DEF by WILHELM,CORY",,,,,,,"REBOUND DEF by WILHELM,CORY",1
02:17,"MISS JUMPER by BOBO,ZACH",,,,,,,"MISS JUMPER by BOBO,ZACH",1
--,,,,,"REBOUND DEF by ASHBY,KENDRICK",,,"REBOUND DEF by ASHBY,KENDRICK",1
02:17,,,,,"MISS 3PTR by GUEST,TYLER",,,"MISS 3PTR by GUEST,TYLER",1
