Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,WCM,Game Score,Team Indicator,Play,Period
15:41,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",2,,12 (+10),,RHODES 2-12 (-10),,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",1
15:27,"FOUL  by SHEN,KEVIN",,,,,,,"FOUL  by SHEN,KEVIN",1
15:27,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:23,"SUB IN by GUEST,TYLER",,,,,,,"SUB IN by GUEST,TYLER",1
15:23,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
15:23,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
15:23,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
15:23,,,,,"SUB IN by LONGMIRE,CONNER",,,"SUB IN by LONGMIRE,CONNER",1
15:23,,,,,"SUB OUT by BLACK,NOLAN",,,"SUB OUT by BLACK,NOLAN",1
15:22,,2,,14 (+12),"GOOD LAYUP by LONGMIRE,CONNER(in the paint)",WCM 2-14 (-12),,"GOOD LAYUP by LONGMIRE,CONNER(in the paint)",1
15:08,,,,,"FOUL  by POTTHOFF,NICK",,,"FOUL  by POTTHOFF,NICK",1
15:05,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
15:05,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
14:59,,,,,"FOUL  by SHANK,JOURNEY",,,"FOUL  by SHANK,JOURNEY",1
14:46,"MISS 3PTR by FERIA,NICK DE",,,,,,,"MISS 3PTR by FERIA,NICK DE",1
--,,,,,"REBOUND DEF by YOUNG,AHMAD",,,"REBOUND DEF by YOUNG,AHMAD",1
14:27,,,,,"MISS LAYUP by POTTHOFF,NICK",,,"MISS LAYUP by POTTHOFF,NICK",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
14:17,"GOOD 3PTR by BERRY,BRYCE",5,,14 (+9),,RHODES 5-14 (-9),,"GOOD 3PTR by BERRY,BRYCE",1
--,"ASSIST  by SHEN,KEVIN",,,,,,,"ASSIST  by SHEN,KEVIN",1
14:10,,,,,"MISS 3PTR by LONGMIRE,CONNER",,,"MISS 3PTR by LONGMIRE,CONNER",1
--,"REBOUND DEF by GUEST,TYLER",,,,,,,"REBOUND DEF by GUEST,TYLER",1
14:03,"GOOD LAYUP by SHEN,KEVIN(in the paint)",7,,14 (+7),,RHODES 7-14 (-7),,"GOOD LAYUP by SHEN,KEVIN(in the paint)",1
14:03,,,,,"FOUL  by YOUNG,AHMAD",,,"FOUL  by YOUNG,AHMAD",1
14:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:03,"MISS FT by SHEN,KEVIN",,,,,,,"MISS FT by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by LONGMIRE,CONNER",,,"REBOUND DEF by LONGMIRE,CONNER",1
14:03,,,,,"SUB IN by PRICE,KYLE",,,"SUB IN by PRICE,KYLE",1
14:03,,,,,"SUB IN by LONGMIRE,CONNER",,,"SUB IN by LONGMIRE,CONNER",1
14:03,,,,,"SUB IN by LOUDER,KENYATTA",,,"SUB IN by LOUDER,KENYATTA",1
14:03,,,,,"SUB IN by ARUTA,JACOB",,,"SUB IN by ARUTA,JACOB",1
14:03,,,,,"SUB IN by SHANK,JOURNEY",,,"SUB IN by SHANK,JOURNEY",1
14:03,,,,,"SUB OUT by LONGMIRE,CONNER",,,"SUB OUT by LONGMIRE,CONNER",1
14:03,,,,,"SUB OUT by LOUDER,KENYATTA",,,"SUB OUT by LOUDER,KENYATTA",1
14:03,,,,,"SUB OUT by POTTHOFF,NICK",,,"SUB OUT by POTTHOFF,NICK",1
14:03,,,,,"SUB OUT by YOUNG,AHMAD",,,"SUB OUT by YOUNG,AHMAD",1
14:03,,,,,"SUB OUT by SHANK,JOURNEY",,,"SUB OUT by SHANK,JOURNEY",1
13:52,,,,,"MISS 3PTR by LOUDER,KENYATTA",,,"MISS 3PTR by LOUDER,KENYATTA",1
--,,,,,"REBOUND OFF by ARUTA,JACOB",,,"REBOUND OFF by ARUTA,JACOB",1
13:48,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
13:48,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
13:47,,,,,"TURNOVER  by ARUTA,JACOB",,,"TURNOVER  by ARUTA,JACOB",1
13:35,,,,,"FOUL  by LONGMIRE,CONNER",,,"FOUL  by LONGMIRE,CONNER",1
13:29,"MISS LAYUP by GIROUX,PRESTON",,,,,,,"MISS LAYUP by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by LOUDER,KENYATTA",,,"REBOUND DEF by LOUDER,KENYATTA",1
13:20,,7,,16 (+9),"GOOD LAYUP by LOUDER,KENYATTA(in the paint)",WCM 7-16 (-9),,"GOOD LAYUP by LOUDER,KENYATTA(in the paint)",1
13:10,"MISS 3PTR by GUEST,TYLER",,,,,,,"MISS 3PTR by GUEST,TYLER",1
--,,,,,"REBOUND DEF by LONGMIRE,CONNER",,,"REBOUND DEF by LONGMIRE,CONNER",1
13:04,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
13:04,"SUB OUT by GUEST,TYLER",,,,,,,"SUB OUT by GUEST,TYLER",1
13:04,,,,,"SUB IN by TOYAMA,JOEY",,,"SUB IN by TOYAMA,JOEY",1
13:04,,,,,"SUB OUT by SHANK,JOURNEY",,,"SUB OUT by SHANK,JOURNEY",1
12:59,,7,,18 (+11),"GOOD LAYUP by PRICE,KYLE(in the paint)",WCM 7-18 (-11),,"GOOD LAYUP by PRICE,KYLE(in the paint)",1
12:45,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",1
12:31,,,,,"TURNOVER  by TOYAMA,JOEY",,,"TURNOVER  by TOYAMA,JOEY",1
12:31,"STEAL  by DARST,DANIEL",,,,,,,"STEAL  by DARST,DANIEL",1
12:24,"MISS LAYUP by SHEN,KEVIN",,,,,,,"MISS LAYUP by SHEN,KEVIN",1
--,"REBOUND OFF by SHEN,KEVIN",,,,,,,"REBOUND OFF by SHEN,KEVIN",1
12:22,"MISS LAYUP by SHEN,KEVIN",,,,,,,"MISS LAYUP by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by ARUTA,JACOB",,,"REBOUND DEF by ARUTA,JACOB",1
12:04,,,,,"MISS 3PTR by TOYAMA,JOEY",,,"MISS 3PTR by TOYAMA,JOEY",1
--,,,,,"REBOUND OFF by PRICE,KYLE",,,"REBOUND OFF by PRICE,KYLE",1
12:01,,,,,"TURNOVER  by PRICE,KYLE",,,"TURNOVER  by PRICE,KYLE",1
12:01,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
12:01,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
11:44,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by LOUDER,KENYATTA",,,"REBOUND DEF by LOUDER,KENYATTA",1
11:32,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
11:32,,,,,"MISS FT by LOUDER,KENYATTA",,,"MISS FT by LOUDER,KENYATTA",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:32,,,,,"MISS FT by LOUDER,KENYATTA",,,"MISS FT by LOUDER,KENYATTA",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
11:32,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
11:32,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
11:23,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by ARUTA,JACOB",,,"REBOUND DEF by ARUTA,JACOB",1
11:08,,7,,21 (+14),"GOOD 3PTR by TOYAMA,JOEY",WCM 7-21 (-14),,"GOOD 3PTR by TOYAMA,JOEY",1
--,,,,,"ASSIST  by LONGMIRE,CONNER",,,"ASSIST  by LONGMIRE,CONNER",1
10:54,"MISS LAYUP by GALVIN,OWEN",,,,,,,"MISS LAYUP by GALVIN,OWEN",1
--,,,,,"REBOUND DEF by PRICE,KYLE",,,"REBOUND DEF by PRICE,KYLE",1
10:46,,,,,"TURNOVER  by LONGMIRE,CONNER",,,"TURNOVER  by LONGMIRE,CONNER",1
10:45,"STEAL  by GIROUX,PRESTON",,,,,,,"STEAL  by GIROUX,PRESTON",1
10:38,"MISS LAYUP by FERIA,NICK DE",,,,,,,"MISS LAYUP by FERIA,NICK DE",1
--,,,,,"REBOUND DEF by LOUDER,KENYATTA",,,"REBOUND DEF by LOUDER,KENYATTA",1
10:23,,,,,"MISS 3PTR by TOYAMA,JOEY",,,"MISS 3PTR by TOYAMA,JOEY",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
10:14,"MISS 3PTR by FERIA,NICK DE",,,,,,,"MISS 3PTR by FERIA,NICK DE",1
--,,,,,"REBOUND DEF by ARUTA,JACOB",,,"REBOUND DEF by ARUTA,JACOB",1
10:09,,7,,23 (+16),"GOOD LAYUP by ARUTA,JACOB(in the paint)",WCM 7-23 (-16),,"GOOD LAYUP by ARUTA,JACOB(in the paint)",1
09:47,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by TOYAMA,JOEY",,,"REBOUND DEF by TOYAMA,JOEY",1
09:35,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
09:35,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
09:35,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
09:35,"SUB IN by GUEST,TYLER",,,,,,,"SUB IN by GUEST,TYLER",1
09:35,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
09:35,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
09:35,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
09:35,,,,,"SUB IN by BLACK,NOLAN",,,"SUB IN by BLACK,NOLAN",1
09:35,,,,,"SUB IN by POTTHOFF,NICK",,,"SUB IN by POTTHOFF,NICK",1
09:35,,,,,"SUB IN by MENDEZ,RYAN",,,"SUB IN by MENDEZ,RYAN",1
09:35,,,,,"SUB OUT by PRICE,KYLE",,,"SUB OUT by PRICE,KYLE",1
09:35,,,,,"SUB OUT by LONGMIRE,CONNER",,,"SUB OUT by LONGMIRE,CONNER",1
09:35,,,,,"SUB OUT by LOUDER,KENYATTA",,,"SUB OUT by LOUDER,KENYATTA",1
09:23,"GOOD 3PTR by SHEN,KEVIN",10,,23 (+13),,RHODES 10-23 (-13),,"GOOD 3PTR by SHEN,KEVIN",1
09:11,,10,,25 (+15),"GOOD LAYUP by MENDEZ,RYAN(in the paint)",WCM 10-25 (-15),,"GOOD LAYUP by MENDEZ,RYAN(in the paint)",1
08:57,"TURNOVER  by GUEST,TYLER",,,,,,,"TURNOVER  by GUEST,TYLER",1
08:53,,,,,"STEAL  by MENDEZ,RYAN",,,"STEAL  by MENDEZ,RYAN",1
08:52,"FOUL  by SHEN,KEVIN",,,,,,,"FOUL  by SHEN,KEVIN",1
08:52,,,,,"MISS FT by MENDEZ,RYAN",,,"MISS FT by MENDEZ,RYAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:52,,10,,26 (+16),"GOOD FT by MENDEZ,RYAN",WCM 10-26 (-16),,"GOOD FT by MENDEZ,RYAN",1
08:52,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
08:52,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
08:39,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by BLACK,NOLAN",,,"REBOUND DEF by BLACK,NOLAN",1
08:29,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
08:29,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
08:27,,,,,"MISS LAYUP by POTTHOFF,NICK",,,"MISS LAYUP by POTTHOFF,NICK",1
--,"REBOUND DEF by SAMSON,VAUGHN",,,,,,,"REBOUND DEF by SAMSON,VAUGHN",1
08:21,"GOOD LAYUP by GALVIN,OWEN(in the paint)",12,,26 (+14),,RHODES 12-26 (-14),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
08:13,,12,,29 (+17),"GOOD 3PTR by ARUTA,JACOB",WCM 12-29 (-17),,"GOOD 3PTR by ARUTA,JACOB",1
--,,,,,"ASSIST  by MENDEZ,RYAN",,,"ASSIST  by MENDEZ,RYAN",1
07:50,"GOOD 3PTR by SHEN,KEVIN",15,,29 (+14),,RHODES 15-29 (-14),,"GOOD 3PTR by SHEN,KEVIN",1
--,"ASSIST  by SAMSON,VAUGHN",,,,,,,"ASSIST  by SAMSON,VAUGHN",1
07:33,,,,,"FOUL  by ARUTA,JACOB",,,"FOUL  by ARUTA,JACOB",1
07:33,,,,,"TURNOVER  by ARUTA,JACOB",,,"TURNOVER  by ARUTA,JACOB",1
07:33,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:33,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
07:33,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
07:33,,,,,"SUB IN by YOUNG,AHMAD",,,"SUB IN by YOUNG,AHMAD",1
07:33,,,,,"SUB OUT by ARUTA,JACOB",,,"SUB OUT by ARUTA,JACOB",1
07:19,,,,,"SUB IN by SHANK,JOURNEY",,,"SUB IN by SHANK,JOURNEY",1
07:19,,,,,"SUB OUT by TOYAMA,JOEY",,,"SUB OUT by TOYAMA,JOEY",1
07:13,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
07:12,,,,,"STEAL  by MENDEZ,RYAN",,,"STEAL  by MENDEZ,RYAN",1
07:08,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",1
07:08,,15,,30 (+15),"GOOD FT by YOUNG,AHMAD",WCM 15-30 (-15),,"GOOD FT by YOUNG,AHMAD",1
07:08,,15,,31 (+16),"GOOD FT by YOUNG,AHMAD",WCM 15-31 (-16),,"GOOD FT by YOUNG,AHMAD",1
06:55,"MISS LAYUP by BERRY,BRYCE",,,,,,,"MISS LAYUP by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by MENDEZ,RYAN",,,"REBOUND DEF by MENDEZ,RYAN",1
06:47,,,,,"MISS 3PTR by POTTHOFF,NICK",,,"MISS 3PTR by POTTHOFF,NICK",1
--,,,,,"REBOUND OFF by MENDEZ,RYAN",,,"REBOUND OFF by MENDEZ,RYAN",1
06:46,"FOUL  by SHEN,KEVIN",,,,,,,"FOUL  by SHEN,KEVIN",1
06:46,,,,,"MISS FT by MENDEZ,RYAN",,,"MISS FT by MENDEZ,RYAN",1
--,"REBOUND DEF by SAMSON,VAUGHN",,,,,,,"REBOUND DEF by SAMSON,VAUGHN",1
06:46,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
06:46,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
06:46,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
06:46,"SUB OUT by GUEST,TYLER",,,,,,,"SUB OUT by GUEST,TYLER",1
06:32,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by YOUNG,AHMAD",,,"REBOUND DEF by YOUNG,AHMAD",1
06:12,,,,,"TURNOVER  by MENDEZ,RYAN",,,"TURNOVER  by MENDEZ,RYAN",1
06:12,,,,,"SUB IN by LONGMIRE,CONNER",,,"SUB IN by LONGMIRE,CONNER",1
06:12,,,,,"SUB IN by LOUDER,KENYATTA",,,"SUB IN by LOUDER,KENYATTA",1
06:12,,,,,"SUB OUT by BLACK,NOLAN",,,"SUB OUT by BLACK,NOLAN",1
06:12,,,,,"SUB OUT by MENDEZ,RYAN",,,"SUB OUT by MENDEZ,RYAN",1
06:01,"MISS 3PTR by SAMSON,VAUGHN",,,,,,,"MISS 3PTR by SAMSON,VAUGHN",1
--,,,,,"REBOUND DEF by YOUNG,AHMAD",,,"REBOUND DEF by YOUNG,AHMAD",1
05:54,,,,,"MISS LAYUP by LOUDER,KENYATTA",,,"MISS LAYUP by LOUDER,KENYATTA",1
--,,,,,"REBOUND OFF by SHANK,JOURNEY",,,"REBOUND OFF by SHANK,JOURNEY",1
05:50,,,,,"MISS JUMPER by SHANK,JOURNEY",,,"MISS JUMPER by SHANK,JOURNEY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:46,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
05:46,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
05:32,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND DEF by LOUDER,KENYATTA",,,"REBOUND DEF by LOUDER,KENYATTA",1
05:16,,,,,"MISS 3PTR by YOUNG,AHMAD",,,"MISS 3PTR by YOUNG,AHMAD",1
--,,,,,"REBOUND OFF by POTTHOFF,NICK",,,"REBOUND OFF by POTTHOFF,NICK",1
05:09,,15,,33 (+18),"GOOD LAYUP by YOUNG,AHMAD(in the paint)",WCM 15-33 (-18),,"GOOD LAYUP by YOUNG,AHMAD(in the paint)",1
05:01,,,,,"FOUL  by POTTHOFF,NICK",,,"FOUL  by POTTHOFF,NICK",1
05:01,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
05:01,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
04:52,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by LOUDER,KENYATTA",,,"REBOUND DEF by LOUDER,KENYATTA",1
04:43,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
04:43,,,,,"MISS FT by LOUDER,KENYATTA",,,"MISS FT by LOUDER,KENYATTA",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:43,,,,,"MISS FT by LOUDER,KENYATTA",,,"MISS FT by LOUDER,KENYATTA",1
--,,,,,"REBOUND OFF by YOUNG,AHMAD",,,"REBOUND OFF by YOUNG,AHMAD",1
04:43,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
04:43,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
04:43,,,,,"SUB IN by PRICE,KYLE",,,"SUB IN by PRICE,KYLE",1
04:43,,,,,"SUB OUT by POTTHOFF,NICK",,,"SUB OUT by POTTHOFF,NICK",1
04:40,,,,,"FOUL  by YOUNG,AHMAD",,,"FOUL  by YOUNG,AHMAD",1
04:40,,,,,"TURNOVER  by YOUNG,AHMAD",,,"TURNOVER  by YOUNG,AHMAD",1
04:40,"GOOD FT by GIROUX,PRESTON",16,,33 (+17),,RHODES 16-33 (-17),,"GOOD FT by GIROUX,PRESTON",1
04:40,"MISS FT by GIROUX,PRESTON",,,,,,,"MISS FT by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by LONGMIRE,CONNER",,,"REBOUND DEF by LONGMIRE,CONNER",1
04:32,,16,,35 (+19),"GOOD LAYUP by PRICE,KYLE(in the paint)",WCM 16-35 (-19),,"GOOD LAYUP by PRICE,KYLE(in the paint)",1
04:25,"GOOD 3PTR by NESTLEHUTT,JAKE",19,,35 (+16),,RHODES 19-35 (-16),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
03:59,,,,,"MISS LAYUP by LONGMIRE,CONNER",,,"MISS LAYUP by LONGMIRE,CONNER",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
03:52,"MISS LAYUP by BERRY,BRYCE",,,,,,,"MISS LAYUP by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by LOUDER,KENYATTA",,,"REBOUND DEF by LOUDER,KENYATTA",1
03:40,,19,,37 (+18),"GOOD JUMPER by LOUDER,KENYATTA",WCM 19-37 (-18),,"GOOD JUMPER by LOUDER,KENYATTA",1
--,,,,,"ASSIST  by SHANK,JOURNEY",,,"ASSIST  by SHANK,JOURNEY",1
03:18,,,,,"FOUL  by PRICE,KYLE",,,"FOUL  by PRICE,KYLE",1
03:18,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:18,"GOOD FT by WEATHERFORD,MITCH",20,,37 (+17),,RHODES 20-37 (-17),,"GOOD FT by WEATHERFORD,MITCH",1
03:18,"GOOD FT by WEATHERFORD,MITCH",21,,37 (+16),,RHODES 21-37 (-16),,"GOOD FT by WEATHERFORD,MITCH",1
02:58,,21,,40 (+19),"GOOD 3PTR by YOUNG,AHMAD",WCM 21-40 (-19),,"GOOD 3PTR by YOUNG,AHMAD",1
--,,,,,"ASSIST  by LOUDER,KENYATTA",,,"ASSIST  by LOUDER,KENYATTA",1
02:39,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by LOUDER,KENYATTA",,,"REBOUND DEF by LOUDER,KENYATTA",1
02:20,,21,,42 (+21),"GOOD LAYUP by PRICE,KYLE(in the paint)",WCM 21-42 (-21),,"GOOD LAYUP by PRICE,KYLE(in the paint)",1
01:53,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by PRICE,KYLE",,,"REBOUND DEF by PRICE,KYLE",1
01:48,,,,,"MISS 3PTR by YOUNG,AHMAD",,,"MISS 3PTR by YOUNG,AHMAD",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
01:38,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
