Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,OCCIDENT,Game Score,Team Indicator,Play,Period
08:49,,,,,"STEAL  by CROSTHWAITE,JONNY",,,"STEAL  by CROSTHWAITE,JONNY",1
08:46,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
08:46,,14,,25 (+11),"GOOD FT by BAINES,ZACH",OCCIDENT 14-25 (-11),,"GOOD FT by BAINES,ZACH",1
08:46,,14,,26 (+12),"GOOD FT by BAINES,ZACH",OCCIDENT 14-26 (-12),,"GOOD FT by BAINES,ZACH",1
08:22,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
08:17,,,,,"STEAL  by KANESHIRO,RYAN",,,"STEAL  by KANESHIRO,RYAN",1
08:17,,14,,28 (+14),"GOOD LAYUP by YELLIN-FLAHERTY,CALE(fastbreak)(in the paint)",OCCIDENT 14-28 (-14),,"GOOD LAYUP by YELLIN-FLAHERTY,CALE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by DEWITZ,AUSTIN",,,"ASSIST  by DEWITZ,AUSTIN",1
08:17,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
08:17,,14,,29 (+15),"GOOD FT by YELLIN-FLAHERTY,CALE",OCCIDENT 14-29 (-15),,"GOOD FT by YELLIN-FLAHERTY,CALE",1
08:17,"SUB IN by DIXON,TADDEUS",,,,,,,"SUB IN by DIXON,TADDEUS",1
08:17,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
08:17,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
08:17,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
07:53,"GOOD JUMPER by WEATHERFORD,MITCH",16,,29 (+13),,RHODES 16-29 (-13),,"GOOD JUMPER by WEATHERFORD,MITCH",1
07:46,,,,,"MISS LAYUP by DEWITZ,AUSTIN",,,"MISS LAYUP by DEWITZ,AUSTIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:41,,16,,32 (+16),"GOOD 3PTR by BAINES,ZACH",OCCIDENT 16-32 (-16),,"GOOD 3PTR by BAINES,ZACH",1
07:20,,,,,"FOUL  by CROSTHWAITE,JONNY",,,"FOUL  by CROSTHWAITE,JONNY",1
07:10,"MISS LAYUP by WEATHERFORD,MITCH",,,,,,,"MISS LAYUP by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by DEWITZ,AUSTIN",,,"REBOUND DEF by DEWITZ,AUSTIN",1
07:05,,,,,"TURNOVER  by DEWITZ,AUSTIN",,,"TURNOVER  by DEWITZ,AUSTIN",1
07:04,"STEAL  by SAMSON,VAUGHN",,,,,,,"STEAL  by SAMSON,VAUGHN",1
07:00,"MISS LAYUP by DIXON,TADDEUS",,,,,,,"MISS LAYUP by DIXON,TADDEUS",1
--,,,,,"REBOUND DEF by DEWITZ,AUSTIN",,,"REBOUND DEF by DEWITZ,AUSTIN",1
06:53,,,,,"MISS LAYUP by YELLIN-FLAHERTY,CALE",,,"MISS LAYUP by YELLIN-FLAHERTY,CALE",1
--,"REBOUND DEF by GUEST,TYLER",,,,,,,"REBOUND DEF by GUEST,TYLER",1
06:48,"MISS 3PTR by FERIA,NICK DE",,,,,,,"MISS 3PTR by FERIA,NICK DE",1
--,,,,,"REBOUND DEF by KANESHIRO,RYAN",,,"REBOUND DEF by KANESHIRO,RYAN",1
06:38,,,,,"MISS 3PTR by BAINES,ZACH",,,"MISS 3PTR by BAINES,ZACH",1
--,,,,,"REBOUND OFF by KANESHIRO,RYAN",,,"REBOUND OFF by KANESHIRO,RYAN",1
06:30,,,,,"MISS 3PTR by CROSTHWAITE,JONNY",,,"MISS 3PTR by CROSTHWAITE,JONNY",1
--,,,,,"REBOUND OFF by YELLIN-FLAHERTY,CALE",,,"REBOUND OFF by YELLIN-FLAHERTY,CALE",1
06:13,,16,,34 (+18),"GOOD LAYUP by KANESHIRO,RYAN(in the paint)",OCCIDENT 16-34 (-18),,"GOOD LAYUP by KANESHIRO,RYAN(in the paint)",1
--,,,,,"ASSIST  by CROSTHWAITE,JONNY",,,"ASSIST  by CROSTHWAITE,JONNY",1
06:13,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",1
06:13,,,,,"MISS FT by KANESHIRO,RYAN",,,"MISS FT by KANESHIRO,RYAN",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
06:13,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
06:13,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
06:13,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
06:13,"SUB OUT by DIXON,TADDEUS",,,,,,,"SUB OUT by DIXON,TADDEUS",1
06:13,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
06:13,"SUB OUT by GUEST,TYLER",,,,,,,"SUB OUT by GUEST,TYLER",1
06:13,,,,,"SUB IN by SWEENEY,TYLER",,,"SUB IN by SWEENEY,TYLER",1
06:13,,,,,"SUB OUT by YELLIN-FLAHERTY,CALE",,,"SUB OUT by YELLIN-FLAHERTY,CALE",1
05:59,"MISS 3PTR by GIROUX,PRESTON",,,,,,,"MISS 3PTR by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by KANESHIRO,RYAN",,,"REBOUND DEF by KANESHIRO,RYAN",1
05:48,,,,,"TURNOVER  by SWEENEY,TYLER",,,"TURNOVER  by SWEENEY,TYLER",1
05:46,"STEAL  by SAMSON,VAUGHN",,,,,,,"STEAL  by SAMSON,VAUGHN",1
05:42,"GOOD 3PTR by DARST,DANIEL",19,,34 (+15),,RHODES 19-34 (-15),,"GOOD 3PTR by DARST,DANIEL",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
05:21,,19,,37 (+18),"GOOD 3PTR by CROSTHWAITE,JONNY",OCCIDENT 19-37 (-18),,"GOOD 3PTR by CROSTHWAITE,JONNY",1
--,,,,,"ASSIST  by KANESHIRO,RYAN",,,"ASSIST  by KANESHIRO,RYAN",1
05:07,,,,,"FOUL  by SWEENEY,TYLER",,,"FOUL  by SWEENEY,TYLER",1
04:54,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND DEF by KANESHIRO,RYAN",,,"REBOUND DEF by KANESHIRO,RYAN",1
04:46,,,,,"TURNOVER  by DEWITZ,AUSTIN",,,"TURNOVER  by DEWITZ,AUSTIN",1
04:33,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
04:33,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
04:28,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",21,,37 (+16),,RHODES 21-37 (-16),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
04:14,,,,,"SUB IN by ADLER,JACOB",,,"SUB IN by ADLER,JACOB",1
04:14,,,,,"SUB OUT by BAINES,ZACH",,,"SUB OUT by BAINES,ZACH",1
04:04,"FOUL  by WEATHERFORD,MITCH",,,,,,,"FOUL  by WEATHERFORD,MITCH",1
04:04,,,,,"MISS FT by DEWITZ,AUSTIN",,,"MISS FT by DEWITZ,AUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:04,,21,,38 (+17),"GOOD FT by DEWITZ,AUSTIN",OCCIDENT 21-38 (-17),,"GOOD FT by DEWITZ,AUSTIN",1
04:04,,,,,"SUB IN by YELLIN-FLAHERTY,CALE",,,"SUB IN by YELLIN-FLAHERTY,CALE",1
04:04,,,,,"SUB IN by BAINES,ZACH",,,"SUB IN by BAINES,ZACH",1
04:04,,,,,"SUB OUT by CROSTHWAITE,JONNY",,,"SUB OUT by CROSTHWAITE,JONNY",1
04:04,,,,,"SUB OUT by KANESHIRO,RYAN",,,"SUB OUT by KANESHIRO,RYAN",1
03:44,"MISS JUMPER by DARST,DANIEL",,,,,,,"MISS JUMPER by DARST,DANIEL",1
--,,,,,"REBOUND DEF by SWEENEY,TYLER",,,"REBOUND DEF by SWEENEY,TYLER",1
03:31,,,,,"MISS JUMPER by SWEENEY,TYLER",,,"MISS JUMPER by SWEENEY,TYLER",1
03:31,"BLOCK  by DARST,DANIEL",,,,,,,"BLOCK  by DARST,DANIEL",1
--,"REBOUND DEF by JAMES,MAC",,,,,,,"REBOUND DEF by JAMES,MAC",1
03:23,"GOOD JUMPER by NESTLEHUTT,JAKE",23,,38 (+15),,RHODES 23-38 (-15),,"GOOD JUMPER by NESTLEHUTT,JAKE",1
03:12,"FOUL  by WEATHERFORD,MITCH",,,,,,,"FOUL  by WEATHERFORD,MITCH",1
03:12,,23,,39 (+16),"GOOD FT by BAINES,ZACH",OCCIDENT 23-39 (-16),,"GOOD FT by BAINES,ZACH",1
03:12,,23,,40 (+17),"GOOD FT by BAINES,ZACH",OCCIDENT 23-40 (-17),,"GOOD FT by BAINES,ZACH",1
03:12,"SUB IN by DIXON,TADDEUS",,,,,,,"SUB IN by DIXON,TADDEUS",1
03:12,"SUB IN by GUEST,TYLER",,,,,,,"SUB IN by GUEST,TYLER",1
03:12,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
03:12,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by BAINES,ZACH",,,"REBOUND DEF by BAINES,ZACH",1
02:43,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
02:30,,,,,"TURNOVER  by YELLIN-FLAHERTY,CALE",,,"TURNOVER  by YELLIN-FLAHERTY,CALE",1
02:30,,,,,"FOUL  by YELLIN-FLAHERTY,CALE",,,"FOUL  by YELLIN-FLAHERTY,CALE",1
02:30,,,,,"SUB IN by KANESHIRO,RYAN",,,"SUB IN by KANESHIRO,RYAN",1
02:30,,,,,"SUB IN by CROSTHWAITE,JONNY",,,"SUB IN by CROSTHWAITE,JONNY",1
02:30,,,,,"SUB OUT by DEWITZ,AUSTIN",,,"SUB OUT by DEWITZ,AUSTIN",1
02:30,,,,,"SUB OUT by SWEENEY,TYLER",,,"SUB OUT by SWEENEY,TYLER",1
02:23,"GOOD 3PTR by GUEST,TYLER",26,,40 (+14),,RHODES 26-40 (-14),,"GOOD 3PTR by GUEST,TYLER",1
02:03,,26,,42 (+16),"GOOD JUMPER by YELLIN-FLAHERTY,CALE(in the paint)",OCCIDENT 26-42 (-16),,"GOOD JUMPER by YELLIN-FLAHERTY,CALE(in the paint)",1
01:43,"MISS 3PTR by GUEST,TYLER",,,,,,,"MISS 3PTR by GUEST,TYLER",1
--,,,,,"REBOUND DEF by KANESHIRO,RYAN",,,"REBOUND DEF by KANESHIRO,RYAN",1
01:18,,,,,"MISS JUMPER by ADLER,JACOB",,,"MISS JUMPER by ADLER,JACOB",1
--,"REBOUND DEF by DIXON,TADDEUS",,,,,,,"REBOUND DEF by DIXON,TADDEUS",1
01:08,"MISS 3PTR by DIXON,TADDEUS",,,,,,,"MISS 3PTR by DIXON,TADDEUS",1
--,,,,,"REBOUND DEF by ADLER,JACOB",,,"REBOUND DEF by ADLER,JACOB",1
01:01,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",1
01:01,,26,,43 (+17),"GOOD FT by BAINES,ZACH",OCCIDENT 26-43 (-17),,"GOOD FT by BAINES,ZACH",1
01:01,,26,,44 (+18),"GOOD FT by BAINES,ZACH",OCCIDENT 26-44 (-18),,"GOOD FT by BAINES,ZACH",1
01:01,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
01:01,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
00:36,,,,,"FOUL  by CROSTHWAITE,JONNY",,,"FOUL  by CROSTHWAITE,JONNY",1
00:34,"GOOD FT by WEATHERFORD,MITCH",27,,44 (+17),,RHODES 27-44 (-17),,"GOOD FT by WEATHERFORD,MITCH",1
