Time Remaining,CHAPMAN,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
16:26,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
16:26,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
16:26,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
16:26,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
16:26,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
16:26,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
16:26,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
16:21,"MISS JUMPER by HASLAM,CAM",,,,,,,"MISS JUMPER by HASLAM,CAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:02,"GOOD JUMPER by WHITE,CHANDLER",8 (+2),,6,,CHAPMAN 8-6 (-2),,"GOOD JUMPER by WHITE,CHANDLER",1
15:42,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND OFF by GIROUX,PRESTON",,,"REBOUND OFF by GIROUX,PRESTON",1
15:39,,,,,"TURNOVER  by GIROUX,PRESTON",,,"TURNOVER  by GIROUX,PRESTON",1
15:38,"STEAL  by WHITE,CHANDLER",,,,,,,"STEAL  by WHITE,CHANDLER",1
15:32,"TURNOVER  by WHITE,CHANDLER",,,,,,,"TURNOVER  by WHITE,CHANDLER",1
15:32,"SUB IN by COMER,SEAN",,,,,,,"SUB IN by COMER,SEAN",1
15:32,"SUB OUT by NAKAKIHARA,REED",,,,,,,"SUB OUT by NAKAKIHARA,REED",1
15:32,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
15:32,,,,,"SUB IN by GUEST,TYLER",,,"SUB IN by GUEST,TYLER",1
15:32,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
15:32,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
15:05,,8,,8,"GOOD LAYUP by GALVIN,OWEN(in the paint)",RHODES 8-8 (0),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
14:32,"MISS LAYUP by FUSCO,RYAN",,,,,,,"MISS LAYUP by FUSCO,RYAN",1
--,,,,,"REBOUND DEF by GUEST,TYLER",,,"REBOUND DEF by GUEST,TYLER",1
14:10,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,,,,,"REBOUND OFF by GUEST,TYLER",,,"REBOUND OFF by GUEST,TYLER",1
14:05,,8,,10 (+2),"GOOD JUMPER by GALVIN,OWEN",RHODES 8-10 (+2),,"GOOD JUMPER by GALVIN,OWEN",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
14:03,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
14:02,"SUB IN by FOLDES,DANIEL",,,,,,,"SUB IN by FOLDES,DANIEL",1
14:02,"SUB IN by GIOMI,ANTHONY",,,,,,,"SUB IN by GIOMI,ANTHONY",1
14:02,"SUB IN by MARLOW,KEVIN",,,,,,,"SUB IN by MARLOW,KEVIN",1
14:02,"SUB IN by NAKAKIHARA,REED",,,,,,,"SUB IN by NAKAKIHARA,REED",1
14:02,"SUB OUT by WHITE,CHANDLER",,,,,,,"SUB OUT by WHITE,CHANDLER",1
14:02,"SUB OUT by FUSCO,RYAN",,,,,,,"SUB OUT by FUSCO,RYAN",1
14:02,"SUB OUT by HASLAM,CAM",,,,,,,"SUB OUT by HASLAM,CAM",1
14:02,"SUB OUT by FERRIER,COLIN",,,,,,,"SUB OUT by FERRIER,COLIN",1
14:02,"SUB OUT by COMER,SEAN",,,,,,,"SUB OUT by COMER,SEAN",1
13:50,"MISS JUMPER by FERRIER,COLIN",,,,,,,"MISS JUMPER by FERRIER,COLIN",1
--,"REBOUND OFF by WHITE,CHANDLER",,,,,,,"REBOUND OFF by WHITE,CHANDLER",1
13:46,"GOOD JUMPER by WHITE,CHANDLER",10,,10,,CHAPMAN 10-10 (0),,"GOOD JUMPER by WHITE,CHANDLER",1
13:44,"SUB IN by WHITE,CHANDLER",,,,,,,"SUB IN by WHITE,CHANDLER",1
13:44,"SUB IN by FUSCO,RYAN",,,,,,,"SUB IN by FUSCO,RYAN",1
13:44,"SUB IN by FERRIER,COLIN",,,,,,,"SUB IN by FERRIER,COLIN",1
13:44,"SUB IN by COMER,SEAN",,,,,,,"SUB IN by COMER,SEAN",1
13:44,"SUB OUT by FOLDES,DANIEL",,,,,,,"SUB OUT by FOLDES,DANIEL",1
13:44,"SUB OUT by GIOMI,ANTHONY",,,,,,,"SUB OUT by GIOMI,ANTHONY",1
13:44,"SUB OUT by NAKAKIHARA,REED",,,,,,,"SUB OUT by NAKAKIHARA,REED",1
13:40,,,,,"MISS 3PTR by FERIA,NICK DE",,,"MISS 3PTR by FERIA,NICK DE",1
--,"REBOUND DEF by WHITE,CHANDLER",,,,,,,"REBOUND DEF by WHITE,CHANDLER",1
13:24,"MISS JUMPER by WHITE,CHANDLER",,,,,,,"MISS JUMPER by WHITE,CHANDLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:23,"SUB IN by FOLDES,DANIEL",,,,,,,"SUB IN by FOLDES,DANIEL",1
13:23,"SUB OUT by WHITE,CHANDLER",,,,,,,"SUB OUT by WHITE,CHANDLER",1
13:23,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
13:23,,,,,"SUB OUT by GUEST,TYLER",,,"SUB OUT by GUEST,TYLER",1
13:15,,,,,"FOUL  by FERIA,NICK DE",,,"FOUL  by FERIA,NICK DE",1
12:58,"GOOD JUMPER by FUSCO,RYAN",12 (+2),,10,,CHAPMAN 12-10 (-2),,"GOOD JUMPER by FUSCO,RYAN",1
--,"ASSIST  by COMER,SEAN",,,,,,,"ASSIST  by COMER,SEAN",1
12:37,,,,,"TURNOVER  by FERIA,NICK DE",,,"TURNOVER  by FERIA,NICK DE",1
12:35,,12 (+1),,11,"GOOD FT by BERRY,BRYCE",RHODES 12-11 (-1),,"GOOD FT by BERRY,BRYCE",1
12:35,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
12:35,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
12:35,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
12:35,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
12:28,"TURNOVER  by FERRIER,COLIN",,,,,,,"TURNOVER  by FERRIER,COLIN",1
12:25,"SUB IN by KENNEY,JEFF",,,,,,,"SUB IN by KENNEY,JEFF",1
12:25,"SUB OUT by FERRIER,COLIN",,,,,,,"SUB OUT by FERRIER,COLIN",1
12:02,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:32,"MISS JUMPER by FUSCO,RYAN",,,,,,,"MISS JUMPER by FUSCO,RYAN",1
--,,,,,"REBOUND DEF by BERRY,BRYCE",,,"REBOUND DEF by BERRY,BRYCE",1
11:18,,,,,"MISS LAYUP by SHEN,KEVIN",,,"MISS LAYUP by SHEN,KEVIN",1
--,"REBOUND DEF by FOLDES,DANIEL",,,,,,,"REBOUND DEF by FOLDES,DANIEL",1
10:53,"TURNOVER  by KENNEY,JEFF",,,,,,,"TURNOVER  by KENNEY,JEFF",1
10:48,,,,,"STEAL  by GALVIN,OWEN",,,"STEAL  by GALVIN,OWEN",1
10:44,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
10:41,"SUB IN by HASLAM,CAM",,,,,,,"SUB IN by HASLAM,CAM",1
10:41,"SUB OUT by COMER,SEAN",,,,,,,"SUB OUT by COMER,SEAN",1
10:41,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
10:41,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
10:41,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
10:41,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
10:41,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
10:41,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
10:37,,,,,"FOUL  by JAMES,MAC",,,"FOUL  by JAMES,MAC",1
10:34,,,,,"FOUL  by SAMSON,VAUGHN",,,"FOUL  by SAMSON,VAUGHN",1
10:25,"GOOD 3PTR by HASLAM,CAM",15 (+4),,11,,CHAPMAN 15-11 (-4),,"GOOD 3PTR by HASLAM,CAM",1
10:08,,15 (+2),,13,"GOOD JUMPER by SAMSON,VAUGHN",RHODES 15-13 (-2),,"GOOD JUMPER by SAMSON,VAUGHN",1
09:39,"MISS 3PTR by KENNEY,JEFF",,,,,,,"MISS 3PTR by KENNEY,JEFF",1
--,"REBOUND OFF by KENNEY,JEFF",,,,,,,"REBOUND OFF by KENNEY,JEFF",1
08:54,"FOUL  by FOLDES,DANIEL",,,,,,,"FOUL  by FOLDES,DANIEL",1
08:50,"SUB IN by WHITE,CHANDLER",,,,,,,"SUB IN by WHITE,CHANDLER",1
08:50,"SUB IN by NAKAKIHARA,REED",,,,,,,"SUB IN by NAKAKIHARA,REED",1
08:50,"SUB OUT by FOLDES,DANIEL",,,,,,,"SUB OUT by FOLDES,DANIEL",1
08:50,"SUB OUT by MARLOW,KEVIN",,,,,,,"SUB OUT by MARLOW,KEVIN",1
08:50,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
08:50,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
08:50,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
08:50,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
08:38,,,,,"MISS 3PTR by SAMSON,VAUGHN",,,"MISS 3PTR by SAMSON,VAUGHN",1
--,"REBOUND DEF by FUSCO,RYAN",,,,,,,"REBOUND DEF by FUSCO,RYAN",1
08:05,"MISS 3PTR by HASLAM,CAM",,,,,,,"MISS 3PTR by HASLAM,CAM",1
--,"REBOUND OFF by FUSCO,RYAN",,,,,,,"REBOUND OFF by FUSCO,RYAN",1
08:05,,,,,"FOUL  by SAMSON,VAUGHN",,,"FOUL  by SAMSON,VAUGHN",1
08:05,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:05,"GOOD FT by FUSCO,RYAN",16 (+3),,13,,CHAPMAN 16-13 (-3),,"GOOD FT by FUSCO,RYAN",1
08:05,"GOOD FT by FUSCO,RYAN",17 (+4),,13,,CHAPMAN 17-13 (-4),,"GOOD FT by FUSCO,RYAN",1
08:05,"SUB IN by FERRIER,COLIN",,,,,,,"SUB IN by FERRIER,COLIN",1
08:05,"SUB OUT by FUSCO,RYAN",,,,,,,"SUB OUT by FUSCO,RYAN",1
07:54,"MISS LAYUP by MUMMERT,ALEX",,,,,,,"MISS LAYUP by MUMMERT,ALEX",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
07:46,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
07:46,"TURNOVER  by NAKAKIHARA,REED",,,,,,,"TURNOVER  by NAKAKIHARA,REED",1
07:46,,,,,"STEAL  by GIROUX,PRESTON",,,"STEAL  by GIROUX,PRESTON",1
07:46,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
07:46,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
07:42,"FOUL  by FERRIER,COLIN",,,,,,,"FOUL  by FERRIER,COLIN",1
07:28,,17 (+2),,15,"GOOD JUMPER by SAMSON,VAUGHN",RHODES 17-15 (-2),,"GOOD JUMPER by SAMSON,VAUGHN",1
--,,,,,"ASSIST  by GIROUX,PRESTON",,,"ASSIST  by GIROUX,PRESTON",1
07:07,"MISS LAYUP by HASLAM,CAM",,,,,,,"MISS LAYUP by HASLAM,CAM",1
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1
06:42,,17,,18 (+1),"GOOD 3PTR by JAMES,MAC",RHODES 17-18 (+1),,"GOOD 3PTR by JAMES,MAC",1
--,,,,,"ASSIST  by GIROUX,PRESTON",,,"ASSIST  by GIROUX,PRESTON",1
06:18,"TURNOVER  by FERRIER,COLIN",,,,,,,"TURNOVER  by FERRIER,COLIN",1
06:18,,,,,"SUB IN by GUEST,TYLER",,,"SUB IN by GUEST,TYLER",1
06:18,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
06:03,,,,,"TURNOVER  by GUEST,TYLER",,,"TURNOVER  by GUEST,TYLER",1
06:02,"STEAL  by FERRIER,COLIN",,,,,,,"STEAL  by FERRIER,COLIN",1
05:47,"GOOD LAYUP by WHITE,CHANDLER(in the paint)",19 (+1),,18,,CHAPMAN 19-18 (-1),,"GOOD LAYUP by WHITE,CHANDLER(in the paint)",1
05:24,,,,,"MISS 3PTR by SHEN,KEVIN",,,"MISS 3PTR by SHEN,KEVIN",1
--,,,,,"REBOUND OFF by GIROUX,PRESTON",,,"REBOUND OFF by GIROUX,PRESTON",1
05:15,,,,,"MISS 3PTR by GUEST,TYLER",,,"MISS 3PTR by GUEST,TYLER",1
--,,,,,"REBOUND OFF by GIROUX,PRESTON",,,"REBOUND OFF by GIROUX,PRESTON",1
05:12,,19,,20 (+1),"GOOD JUMPER by GIROUX,PRESTON",RHODES 19-20 (+1),,"GOOD JUMPER by GIROUX,PRESTON",1
04:58,"GOOD 3PTR by NAKAKIHARA,REED",22 (+2),,20,,CHAPMAN 22-20 (-2),,"GOOD 3PTR by NAKAKIHARA,REED",1
--,"ASSIST  by HASLAM,CAM",,,,,,,"ASSIST  by HASLAM,CAM",1
04:43,,,,,"TURNOVER  by GIROUX,PRESTON",,,"TURNOVER  by GIROUX,PRESTON",1
04:42,"STEAL  by WHITE,CHANDLER",,,,,,,"STEAL  by WHITE,CHANDLER",1
04:21,"GOOD 3PTR by NAKAKIHARA,REED",25 (+5),,20,,CHAPMAN 25-20 (-5),,"GOOD 3PTR by NAKAKIHARA,REED",1
--,"ASSIST  by FERRIER,COLIN",,,,,,,"ASSIST  by FERRIER,COLIN",1
04:12,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
04:12,"SUB IN by FUSCO,RYAN",,,,,,,"SUB IN by FUSCO,RYAN",1
04:12,"SUB IN by MARLOW,KEVIN",,,,,,,"SUB IN by MARLOW,KEVIN",1
04:12,"SUB OUT by HASLAM,CAM",,,,,,,"SUB OUT by HASLAM,CAM",1
04:12,"SUB OUT by FERRIER,COLIN",,,,,,,"SUB OUT by FERRIER,COLIN",1
04:12,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
04:12,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
04:12,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
04:12,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
04:03,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
04:02,"STEAL  by NAKAKIHARA,REED",,,,,,,"STEAL  by NAKAKIHARA,REED",1
03:46,"MISS 3PTR by NAKAKIHARA,REED",,,,,,,"MISS 3PTR by NAKAKIHARA,REED",1
--,"REBOUND OFF by KENNEY,JEFF",,,,,,,"REBOUND OFF by KENNEY,JEFF",1
03:38,"MISS JUMPER by WHITE,CHANDLER",,,,,,,"MISS JUMPER by WHITE,CHANDLER",1
--,"REBOUND OFF by WHITE,CHANDLER",,,,,,,"REBOUND OFF by WHITE,CHANDLER",1
03:38,,,,,"FOUL  by GUEST,TYLER",,,"FOUL  by GUEST,TYLER",1
03:38,"GOOD FT by KENNEY,JEFF",26 (+6),,20,,CHAPMAN 26-20 (-6),,"GOOD FT by KENNEY,JEFF",1
03:38,"MISS FT by KENNEY,JEFF",,,,,,,"MISS FT by KENNEY,JEFF",1
--,,,,,"REBOUND DEF by GUEST,TYLER",,,"REBOUND DEF by GUEST,TYLER",1
03:38,"SUB IN by FOLDES,DANIEL",,,,,,,"SUB IN by FOLDES,DANIEL",1
03:38,"SUB OUT by WHITE,CHANDLER",,,,,,,"SUB OUT by WHITE,CHANDLER",1
03:27,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
03:27,"STEAL  by FUSCO,RYAN",,,,,,,"STEAL  by FUSCO,RYAN",1
03:27,"SUB IN by HASLAM,CAM",,,,,,,"SUB IN by HASLAM,CAM",1
03:27,"SUB OUT by KENNEY,JEFF",,,,,,,"SUB OUT by KENNEY,JEFF",1
03:08,"MISS 3PTR by MARLOW,KEVIN",,,,,,,"MISS 3PTR by MARLOW,KEVIN",1
--,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",,,"REBOUND DEF by NESTLEHUTT,JAKE",1
02:45,,26 (+3),,23,"GOOD 3PTR by SHEN,KEVIN",RHODES 26-23 (-3),,"GOOD 3PTR by SHEN,KEVIN",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
02:17,"GOOD JUMPER by FOLDES,DANIEL",28 (+5),,23,,CHAPMAN 28-23 (-5),,"GOOD JUMPER by FOLDES,DANIEL",1
--,"ASSIST  by NAKAKIHARA,REED",,,,,,,"ASSIST  by NAKAKIHARA,REED",1
02:05,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by FUSCO,RYAN",,,,,,,"REBOUND DEF by FUSCO,RYAN",1
01:47,"GOOD JUMPER by FUSCO,RYAN",30 (+7),,23,,CHAPMAN 30-23 (-7),,"GOOD JUMPER by FUSCO,RYAN",1
01:31,,,,,"MISS JUMPER by GUEST,TYLER",,,"MISS JUMPER by GUEST,TYLER",1
--,"REBOUND DEF by FUSCO,RYAN",,,,,,,"REBOUND DEF by FUSCO,RYAN",1
01:17,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
01:17,"MISS FT by FOLDES,DANIEL",,,,,,,"MISS FT by FOLDES,DANIEL",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
01:17,"SUB IN by COMER,SEAN",,,,,,,"SUB IN by COMER,SEAN",1
01:17,"SUB OUT by NAKAKIHARA,REED",,,,,,,"SUB OUT by NAKAKIHARA,REED",1
01:17,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
01:17,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
01:17,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
01:17,,,,,"SUB OUT by GUEST,TYLER",,,"SUB OUT by GUEST,TYLER",1
01:03,,,,,"MISS LAYUP by SHEN,KEVIN",,,"MISS LAYUP by SHEN,KEVIN",1
--,,,,,"REBOUND OFF by SHEN,KEVIN",,,"REBOUND OFF by SHEN,KEVIN",1
01:01,,,,,"MISS JUMPER by SHEN,KEVIN",,,"MISS JUMPER by SHEN,KEVIN",1
--,,,,,"REBOUND OFF by SHEN,KEVIN",,,"REBOUND OFF by SHEN,KEVIN",1
00:50,,,,,"MISS 3PTR by BERRY,BRYCE",,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND DEF by FUSCO,RYAN",,,,,,,"REBOUND DEF by FUSCO,RYAN",1
00:43,"MISS LAYUP by FUSCO,RYAN",,,,,,,"MISS LAYUP by FUSCO,RYAN",1
--,"REBOUND OFF by FUSCO,RYAN",,,,,,,"REBOUND OFF by FUSCO,RYAN",1
00:42,"GOOD JUMPER by FUSCO,RYAN",32 (+9),,23,,CHAPMAN 32-23 (-9),,"GOOD JUMPER by FUSCO,RYAN",1
00:23,,32 (+7),,25,"GOOD JUMPER by BERRY,BRYCE",RHODES 32-25 (-7),,"GOOD JUMPER by BERRY,BRYCE",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
00:23,"FOUL  by FOLDES,DANIEL",,,,,,,"FOUL  by FOLDES,DANIEL",1
00:23,,32 (+6),,26,"GOOD FT by BERRY,BRYCE",RHODES 32-26 (-6),,"GOOD FT by BERRY,BRYCE",1
00:23,"SUB IN by FERRIER,COLIN",,,,,,,"SUB IN by FERRIER,COLIN",1
00:23,"SUB IN by WHITE,CHANDLER",,,,,,,"SUB IN by WHITE,CHANDLER",1
00:23,"SUB IN by KENNEY,JEFF",,,,,,,"SUB IN by KENNEY,JEFF",1
00:23,"SUB IN by NAKAKIHARA,REED",,,,,,,"SUB IN by NAKAKIHARA,REED",1
00:23,"SUB OUT by COMER,SEAN",,,,,,,"SUB OUT by COMER,SEAN",1
00:23,"SUB OUT by FOLDES,DANIEL",,,,,,,"SUB OUT by FOLDES,DANIEL",1
00:23,"SUB OUT by FUSCO,RYAN",,,,,,,"SUB OUT by FUSCO,RYAN",1
00:23,"SUB OUT by MARLOW,KEVIN",,,,,,,"SUB OUT by MARLOW,KEVIN",1
00:23,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
00:23,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
00:06,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
00:06,"GOOD FT by HASLAM,CAM",33 (+7),,26,,CHAPMAN 33-26 (-7),,"GOOD FT by HASLAM,CAM",1
00:06,"GOOD FT by HASLAM,CAM",34 (+8),,26,,CHAPMAN 34-26 (-8),,"GOOD FT by HASLAM,CAM",1
00:06,"SUB IN by FUSCO,RYAN",,,,,,,"SUB IN by FUSCO,RYAN",1
00:06,"SUB OUT by FERRIER,COLIN",,,,,,,"SUB OUT by FERRIER,COLIN",1
00:00,,34 (+6),,28,"GOOD LAYUP by JAMES,MAC(in the paint)",RHODES 34-28 (-6),,"GOOD LAYUP by JAMES,MAC(in the paint)",1
20:00,"SUB OUT by WHITE,CHANDLER",,,,,,,"SUB OUT by WHITE,CHANDLER",2
20:00,"SUB OUT by KENNEY,JEFF",,,,,,,"SUB OUT by KENNEY,JEFF",2
20:00,"SUB OUT by FUSCO,RYAN",,,,,,,"SUB OUT by FUSCO,RYAN",2
20:00,"SUB OUT by HASLAM,CAM",,,,,,,"SUB OUT by HASLAM,CAM",2
20:00,"SUB OUT by NAKAKIHARA,REED",,,,,,,"SUB OUT by NAKAKIHARA,REED",2
20:00,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",2
20:00,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",2
20:00,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",2
