Time Remaining,OUMEN,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
05:44,,53 (+8),,45,"GOOD 3PTR by BRYANT,VALENTINO",SEWANEE 53-45 (-8),,"GOOD 3PTR by BRYANT,VALENTINO",2
05:22,"MISS 3PTR by MOLINET,CHRISTIAN",,,,,,,"MISS 3PTR by MOLINET,CHRISTIAN",2
--,,,,,"REBOUND DEF by MARTIN,SAM",,,"REBOUND DEF by MARTIN,SAM",2
04:56,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
04:56,"BLOCK  by STEIOFF,ANDREW",,,,,,,"BLOCK  by STEIOFF,ANDREW",2
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",2
04:53,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",2
04:35,"GOOD 3PTR by JOVAAG,BRANDEN",56 (+11),,45,,OUMEN 56-45 (-11),,"GOOD 3PTR by JOVAAG,BRANDEN",2
--,"ASSIST  by MOLINET,CHRISTIAN",,,,,,,"ASSIST  by MOLINET,CHRISTIAN",2
04:20,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND OFF by BROWN,TYLER",,,"REBOUND OFF by BROWN,TYLER",2
04:13,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",2
04:09,"STEAL  by WARD,TODD",,,,,,,"STEAL  by WARD,TODD",2
04:08,"MISS JUMPER by MOLINET,CHRISTIAN",,,,,,,"MISS JUMPER by MOLINET,CHRISTIAN",2
04:08,,,,,"BLOCK  by BROWN,TYLER",,,"BLOCK  by BROWN,TYLER",2
--,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",,,"REBOUND DEF by BEVIACQUA,BRYAN",2
03:56,,,,,"MISS JUMPER by BROWN,TYLER",,,"MISS JUMPER by BROWN,TYLER",2
03:56,"BLOCK  by STEIOFF,ANDREW",,,,,,,"BLOCK  by STEIOFF,ANDREW",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:41,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",2
--,"REBOUND DEF by WARD,TODD",,,,,,,"REBOUND DEF by WARD,TODD",2
03:30,"GOOD LAYUP by RICHEY,ALEX(in the paint)",58 (+13),,45,,OUMEN 58-45 (-13),,"GOOD LAYUP by RICHEY,ALEX(in the paint)",2
03:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:13,,58 (+10),,48,"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 58-48 (-10),,"GOOD 3PTR by BOULDIN,BRETT",2
03:00,"GOOD JUMPER by PURDY,SAM(in the paint)",60 (+12),,48,,OUMEN 60-48 (-12),,"GOOD JUMPER by PURDY,SAM(in the paint)",2
02:38,"FOUL  by STEIOFF,ANDREW",,,,,,,"FOUL  by STEIOFF,ANDREW",2
02:38,,60 (+11),,49,"GOOD FT by NELSON,ANVIL",SEWANEE 60-49 (-11),,"GOOD FT by NELSON,ANVIL",2
02:38,,60 (+10),,50,"GOOD FT by NELSON,ANVIL",SEWANEE 60-50 (-10),,"GOOD FT by NELSON,ANVIL",2
02:37,,,,,"FOUL  by WILLIAMS,TRENT",,,"FOUL  by WILLIAMS,TRENT",2
02:37,"GOOD FT by WARD,TODD",61 (+11),,50,,OUMEN 61-50 (-11),,"GOOD FT by WARD,TODD",2
02:37,"MISS FT by WARD,TODD",,,,,,,"MISS FT by WARD,TODD",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:28,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",2
--,"REBOUND DEF by WARD,TODD",,,,,,,"REBOUND DEF by WARD,TODD",2
02:23,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
02:23,"GOOD FT by WARD,TODD",62 (+12),,50,,OUMEN 62-50 (-12),,"GOOD FT by WARD,TODD",2
02:23,"GOOD FT by WARD,TODD",63 (+13),,50,,OUMEN 63-50 (-13),,"GOOD FT by WARD,TODD",2
02:09,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND DEF by PITTS,ALEC",,,,,,,"REBOUND DEF by PITTS,ALEC",2
01:56,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
01:56,"GOOD FT by RICHEY,ALEX",64 (+14),,50,,OUMEN 64-50 (-14),,"GOOD FT by RICHEY,ALEX",2
01:56,"GOOD FT by RICHEY,ALEX",65 (+15),,50,,OUMEN 65-50 (-15),,"GOOD FT by RICHEY,ALEX",2
01:46,,,,,"MISS JUMPER by BEVIACQUA,BRYAN",,,"MISS JUMPER by BEVIACQUA,BRYAN",2
01:46,"BLOCK  by JOVAAG,BRANDEN",,,,,,,"BLOCK  by JOVAAG,BRANDEN",2
--,,,,,"REBOUND OFF by BEVIACQUA,BRYAN",,,"REBOUND OFF by BEVIACQUA,BRYAN",2
01:39,,65 (+13),,52,"GOOD LAYUP by BEVIACQUA,BRYAN(in the paint)",SEWANEE 65-52 (-13),,"GOOD LAYUP by BEVIACQUA,BRYAN(in the paint)",2
01:36,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",2
01:36,"MISS FT by JOVAAG,BRANDEN",,,,,,,"MISS FT by JOVAAG,BRANDEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:36,"GOOD FT by JOVAAG,BRANDEN",66 (+14),,52,,OUMEN 66-52 (-14),,"GOOD FT by JOVAAG,BRANDEN",2
01:31,,66 (+11),,55,"GOOD 3PTR by WILLIAMS,TRENT",SEWANEE 66-55 (-11),,"GOOD 3PTR by WILLIAMS,TRENT",2
--,,,,,"ASSIST  by BEVIACQUA,BRYAN",,,"ASSIST  by BEVIACQUA,BRYAN",2
01:22,"TURNOVER  by RICHEY,ALEX",,,,,,,"TURNOVER  by RICHEY,ALEX",2
01:19,,,,,"STEAL  by WILLIAMS,TRENT",,,"STEAL  by WILLIAMS,TRENT",2
01:16,,66 (+8),,58,"GOOD 3PTR by BRYANT,VALENTINO",SEWANEE 66-58 (-8),,"GOOD 3PTR by BRYANT,VALENTINO",2
--,,,,,"ASSIST  by BEVIACQUA,BRYAN",,,"ASSIST  by BEVIACQUA,BRYAN",2
01:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:02,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",2
01:02,"MISS FT by KENNEDY,JOE",,,,,,,"MISS FT by KENNEDY,JOE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:02,"MISS FT by KENNEDY,JOE",,,,,,,"MISS FT by KENNEDY,JOE",2
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",2
00:55,,66 (+5),,61,"GOOD 3PTR by BRYANT,VALENTINO",SEWANEE 66-61 (-5),,"GOOD 3PTR by BRYANT,VALENTINO",2
00:51,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",2
00:51,"MISS FT by RICHEY,ALEX",,,,,,,"MISS FT by RICHEY,ALEX",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:51,"GOOD FT by RICHEY,ALEX",67 (+6),,61,,OUMEN 67-61 (-6),,"GOOD FT by RICHEY,ALEX",2
00:46,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",2
00:43,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",2
00:43,"GOOD FT by JOVAAG,BRANDEN",68 (+7),,61,,OUMEN 68-61 (-7),,"GOOD FT by JOVAAG,BRANDEN",2
00:43,"GOOD FT by JOVAAG,BRANDEN",69 (+8),,61,,OUMEN 69-61 (-8),,"GOOD FT by JOVAAG,BRANDEN",2
00:34,,69 (+5),,64,"GOOD 3PTR by BRYANT,VALENTINO",SEWANEE 69-64 (-5),,"GOOD 3PTR by BRYANT,VALENTINO",2
00:31,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
00:31,"GOOD FT by PITTS,ALEC",70 (+6),,64,,OUMEN 70-64 (-6),,"GOOD FT by PITTS,ALEC",2
00:31,"GOOD FT by PITTS,ALEC",71 (+7),,64,,OUMEN 71-64 (-7),,"GOOD FT by PITTS,ALEC",2
00:26,,71 (+4),,67,"GOOD 3PTR by BRYANT,VALENTINO",SEWANEE 71-67 (-4),,"GOOD 3PTR by BRYANT,VALENTINO",2
00:19,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
00:19,"MISS FT by PITTS,ALEC",,,,,,,"MISS FT by PITTS,ALEC",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:19,"GOOD FT by PITTS,ALEC",72 (+5),,67,,OUMEN 72-67 (-5),,"GOOD FT by PITTS,ALEC",2
00:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:12,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",2
00:11,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",2
00:11,"GOOD FT by PITTS,ALEC",73 (+6),,67,,OUMEN 73-67 (-6),,"GOOD FT by PITTS,ALEC",2
00:11,"GOOD FT by PITTS,ALEC",74 (+7),,67,,OUMEN 74-67 (-7),,"GOOD FT by PITTS,ALEC",2
00:06,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
