Time Remaining,DEPAUWM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
13:35,"TURNOVER  by WEAKLEY,TOMMY",,,,,,,"TURNOVER  by WEAKLEY,TOMMY",1
13:33,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",1
13:31,"FOUL  by SIMPSON,ROSS",,,,,,,"FOUL  by SIMPSON,ROSS",1
13:31,,9 (+4),,5,"GOOD FT by BROWN,TYLER",SEWANEE 9-5 (-4),,"GOOD FT by BROWN,TYLER",1
13:31,,,,,"MISS FT by BROWN,TYLER",,,"MISS FT by BROWN,TYLER",1
--,"REBOUND DEF by RUSSELL,RYAN",,,,,,,"REBOUND DEF by RUSSELL,RYAN",1
13:04,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
12:57,"MISS FT by WILLS,DREW",,,,,,,"MISS FT by WILLS,DREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:57,"GOOD FT by WILLS,DREW",10 (+5),,5,,DEPAUWM 10-5 (-5),,"GOOD FT by WILLS,DREW",1
12:45,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,"REBOUND OFF by WILLIAMS,TRENT",,,"REBOUND OFF by WILLIAMS,TRENT",1
12:40,,,,,"MISS 3PTR by MARTIN,SAM",,,"MISS 3PTR by MARTIN,SAM",1
--,"REBOUND DEF by SIMPSON,ROSS",,,,,,,"REBOUND DEF by SIMPSON,ROSS",1
12:15,"GOOD LAYUP by SEVER,RYAN(in the paint)",12 (+7),,5,,DEPAUWM 12-5 (-7),,"GOOD LAYUP by SEVER,RYAN(in the paint)",1
--,"ASSIST  by SIMPSON,ROSS",,,,,,,"ASSIST  by SIMPSON,ROSS",1
11:42,,12 (+5),,7,"GOOD JUMPER by WILLIAMS,TRENT",SEWANEE 12-7 (-5),,"GOOD JUMPER by WILLIAMS,TRENT",1
11:36,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",1
11:35,"GOOD FT by RUSSELL,RYAN",13 (+6),,7,,DEPAUWM 13-7 (-6),,"GOOD FT by RUSSELL,RYAN",1
11:35,"GOOD FT by RUSSELL,RYAN",14 (+7),,7,,DEPAUWM 14-7 (-7),,"GOOD FT by RUSSELL,RYAN",1
11:09,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by WILKISON,MICHAEL",,,,,,,"REBOUND DEF by WILKISON,MICHAEL",1
10:52,"MISS JUMPER by WEAKLEY,TOMMY",,,,,,,"MISS JUMPER by WEAKLEY,TOMMY",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
10:46,,14 (+5),,9,"GOOD JUMPER by BRYANT,VALENTINO(in the paint)",SEWANEE 14-9 (-5),,"GOOD JUMPER by BRYANT,VALENTINO(in the paint)",1
10:46,"FOUL  by RUSSELL,RYAN",,,,,,,"FOUL  by RUSSELL,RYAN",1
10:46,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",1
--,"REBOUND DEF by RUSSELL,RYAN",,,,,,,"REBOUND DEF by RUSSELL,RYAN",1
10:20,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",1
10:07,"MISS JUMPER by WILLS,DREW",,,,,,,"MISS JUMPER by WILLS,DREW",1
--,"REBOUND OFF by RUSSELL,RYAN",,,,,,,"REBOUND OFF by RUSSELL,RYAN",1
09:56,"GOOD 3PTR by WILKISON,MICHAEL",17 (+8),,9,,DEPAUWM 17-9 (-8),,"GOOD 3PTR by WILKISON,MICHAEL",1
09:32,,,,,"MISS JUMPER by BOULDIN,BRETT",,,"MISS JUMPER by BOULDIN,BRETT",1
--,"REBOUND DEF by BERGFELD,JOE",,,,,,,"REBOUND DEF by BERGFELD,JOE",1
09:20,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",1
09:20,"GOOD FT by WILKISON,MICHAEL",18 (+9),,9,,DEPAUWM 18-9 (-9),,"GOOD FT by WILKISON,MICHAEL",1
09:20,"GOOD FT by WILKISON,MICHAEL",19 (+10),,9,,DEPAUWM 19-9 (-10),,"GOOD FT by WILKISON,MICHAEL",1
08:48,,19 (+8),,11,"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 19-11 (-8),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
08:33,"GOOD LAYUP by WILKISON,MICHAEL(in the paint)",21 (+10),,11,,DEPAUWM 21-11 (-10),,"GOOD LAYUP by WILKISON,MICHAEL(in the paint)",1
08:05,,21 (+8),,13,"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 21-13 (-8),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",1
07:52,"MISS 3PTR by WILKISON,MICHAEL",,,,,,,"MISS 3PTR by WILKISON,MICHAEL",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
07:34,,21 (+6),,15,"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEWANEE 21-15 (-6),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",1
07:05,"FOUL  by BERGFELD,JOE",,,,,,,"FOUL  by BERGFELD,JOE",1
06:52,"FOUL  by BERGFELD,JOE",,,,,,,"FOUL  by BERGFELD,JOE",1
06:52,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
06:52,,,,,"MISS FT by BROWN,TYLER",,,"MISS FT by BROWN,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:52,,,,,"MISS FT by BROWN,TYLER",,,"MISS FT by BROWN,TYLER",1
--,"REBOUND DEF by HASELEY,SEAN",,,,,,,"REBOUND DEF by HASELEY,SEAN",1
06:21,"TURNOVER  by HASELEY,SEAN",,,,,,,"TURNOVER  by HASELEY,SEAN",1
06:00,,21 (+4),,17,"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEWANEE 21-17 (-4),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
05:24,"MISS 3PTR by SIMPSON,ROSS",,,,,,,"MISS 3PTR by SIMPSON,ROSS",1
--,"REBOUND OFF by LEMASTERS,STEVE",,,,,,,"REBOUND OFF by LEMASTERS,STEVE",1
05:05,"MISS 3PTR by HASELEY,SEAN",,,,,,,"MISS 3PTR by HASELEY,SEAN",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
04:42,,21 (+1),,20,"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 21-20 (-1),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
04:25,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",1
04:25,"GOOD FT by HASELEY,SEAN",22 (+2),,20,,DEPAUWM 22-20 (-2),,"GOOD FT by HASELEY,SEAN",1
04:25,"GOOD FT by HASELEY,SEAN",23 (+3),,20,,DEPAUWM 23-20 (-3),,"GOOD FT by HASELEY,SEAN",1
04:13,"FOUL  by HASELEY,SEAN",,,,,,,"FOUL  by HASELEY,SEAN",1
04:13,,,,,"MISS FT by MARTIN,SAM",,,"MISS FT by MARTIN,SAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:13,,23 (+2),,21,"GOOD FT by MARTIN,SAM",SEWANEE 23-21 (-2),,"GOOD FT by MARTIN,SAM",1
03:48,"TURNOVER  by SIMPSON,ROSS",,,,,,,"TURNOVER  by SIMPSON,ROSS",1
03:46,,,,,"STEAL  by BOULDIN,BRETT",,,"STEAL  by BOULDIN,BRETT",1
03:31,"FOUL  by HASELEY,SEAN",,,,,,,"FOUL  by HASELEY,SEAN",1
02:55,,23,,23,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",SEWANEE 23-23 (0),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",1
02:48,"FOUL  by SIMPSON,ROSS",,,,,,,"FOUL  by SIMPSON,ROSS",1
02:36,"FOUL  by RUSSELL,RYAN",,,,,,,"FOUL  by RUSSELL,RYAN",1
02:36,,23,,24 (+1),"GOOD FT by BROWN,TYLER",SEWANEE 23-24 (+1),,"GOOD FT by BROWN,TYLER",1
02:36,,23,,25 (+2),"GOOD FT by BROWN,TYLER",SEWANEE 23-25 (+2),,"GOOD FT by BROWN,TYLER",1
02:19,"GOOD 3PTR by WILKISON,MICHAEL",26 (+1),,25,,DEPAUWM 26-25 (-1),,"GOOD 3PTR by WILKISON,MICHAEL",1
--,"ASSIST  by LEMASTERS,STEVE",,,,,,,"ASSIST  by LEMASTERS,STEVE",1
02:04,,26,,27 (+1),"GOOD JUMPER by NELSON,ANVIL",SEWANEE 26-27 (+1),,"GOOD JUMPER by NELSON,ANVIL",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
01:25,"MISS JUMPER by WILKISON,MICHAEL",,,,,,,"MISS JUMPER by WILKISON,MICHAEL",1
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",1
00:57,,26,,29 (+3),"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEWANEE 26-29 (+3),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",1
00:32,"MISS 3PTR by LEMASTERS,STEVE",,,,,,,"MISS 3PTR by LEMASTERS,STEVE",1
--,"REBOUND OFF by LEMASTERS,STEVE",,,,,,,"REBOUND OFF by LEMASTERS,STEVE",1
00:07,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",1
00:06,"GOOD FT by SEVER,RYAN",27,,29 (+2),,DEPAUWM 27-29 (+2),,"GOOD FT by SEVER,RYAN",1
00:06,"MISS FT by SEVER,RYAN",,,,,,,"MISS FT by SEVER,RYAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:00,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:36,,27,,32 (+5),"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 27-32 (+5),,"GOOD 3PTR by BOULDIN,BRETT",2
--,,,,,"ASSIST  by AFFRONTI,LEWIS",,,"ASSIST  by AFFRONTI,LEWIS",2
19:18,"MISS 3PTR by SIMPSON,ROSS",,,,,,,"MISS 3PTR by SIMPSON,ROSS",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
19:07,,,,,"MISS LAYUP by NELSON,ANVIL",,,"MISS LAYUP by NELSON,ANVIL",2
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",2
19:02,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by SIMPSON,ROSS",,,,,,,"REBOUND DEF by SIMPSON,ROSS",2
18:31,"MISS LAYUP by BERGFELD,JOE",,,,,,,"MISS LAYUP by BERGFELD,JOE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
18:13,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by HASELEY,SEAN",,,,,,,"REBOUND DEF by HASELEY,SEAN",2
18:05,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
18:01,"GOOD LAYUP by HASELEY,SEAN(in the paint)",29,,32 (+3),,DEPAUWM 29-32 (+3),,"GOOD LAYUP by HASELEY,SEAN(in the paint)",2
17:38,,,,,"MISS JUMPER by BOULDIN,BRETT",,,"MISS JUMPER by BOULDIN,BRETT",2
--,"REBOUND DEF by HASELEY,SEAN",,,,,,,"REBOUND DEF by HASELEY,SEAN",2
17:24,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",2
17:24,"GOOD FT by BERGFELD,JOE",30,,32 (+2),,DEPAUWM 30-32 (+2),,"GOOD FT by BERGFELD,JOE",2
17:24,"GOOD FT by BERGFELD,JOE",31,,32 (+1),,DEPAUWM 31-32 (+1),,"GOOD FT by BERGFELD,JOE",2
17:13,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by LEMASTERS,STEVE",,,,,,,"REBOUND DEF by LEMASTERS,STEVE",2
16:46,"MISS JUMPER by WILKISON,MICHAEL",,,,,,,"MISS JUMPER by WILKISON,MICHAEL",2
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",2
16:45,,31,,35 (+4),"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 31-35 (+4),,"GOOD 3PTR by BOULDIN,BRETT",2
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",2
16:03,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
15:56,"TURNOVER  by WILKISON,MICHAEL",,,,,,,"TURNOVER  by WILKISON,MICHAEL",2
15:55,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
15:37,,31,,38 (+7),"GOOD 3PTR by MARTIN,SAM",SEWANEE 31-38 (+7),,"GOOD 3PTR by MARTIN,SAM",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
15:11,"GOOD 3PTR by WILKISON,MICHAEL",34,,38 (+4),,DEPAUWM 34-38 (+4),,"GOOD 3PTR by WILKISON,MICHAEL",2
--,"ASSIST  by SIMPSON,ROSS",,,,,,,"ASSIST  by SIMPSON,ROSS",2
14:49,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",2
--,"REBOUND DEF by SIMPSON,ROSS",,,,,,,"REBOUND DEF by SIMPSON,ROSS",2
14:38,"MISS 3PTR by WILKISON,MICHAEL",,,,,,,"MISS 3PTR by WILKISON,MICHAEL",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:34,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",2
14:30,"GOOD LAYUP by BERGFELD,JOE(in the paint)",36,,38 (+2),,DEPAUWM 36-38 (+2),,"GOOD LAYUP by BERGFELD,JOE(in the paint)",2
13:53,,,,,"MISS LAYUP by BOULDIN,BRETT",,,"MISS LAYUP by BOULDIN,BRETT",2
--,"REBOUND DEF by HASELEY,SEAN",,,,,,,"REBOUND DEF by HASELEY,SEAN",2
13:24,"GOOD LAYUP by BERGFELD,JOE(in the paint)",38,,38,,DEPAUWM 38-38 (0),,"GOOD LAYUP by BERGFELD,JOE(in the paint)",2
13:24,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",2
13:23,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
13:23,"GOOD FT by BERGFELD,JOE",39 (+1),,38,,DEPAUWM 39-38 (-1),,"GOOD FT by BERGFELD,JOE",2
12:54,,39,,40 (+1),"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEWANEE 39-40 (+1),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
12:54,"FOUL  by HASELEY,SEAN",,,,,,,"FOUL  by HASELEY,SEAN",2
12:54,,,,,"MISS FT by NELSON,ANVIL",,,"MISS FT by NELSON,ANVIL",2
--,"REBOUND DEF by BERGFELD,JOE",,,,,,,"REBOUND DEF by BERGFELD,JOE",2
12:27,"TURNOVER  by BERGFELD,JOE",,,,,,,"TURNOVER  by BERGFELD,JOE",2
12:26,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
12:06,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by WILLS,DREW",,,,,,,"REBOUND DEF by WILLS,DREW",2
11:43,"TURNOVER  by BERGFELD,JOE",,,,,,,"TURNOVER  by BERGFELD,JOE",2
11:25,,39,,42 (+3),"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",SEWANEE 39-42 (+3),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",2
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",2
10:55,"GOOD 3PTR by WILLS,DREW",42,,42,,DEPAUWM 42-42 (0),,"GOOD 3PTR by WILLS,DREW",2
--,"ASSIST  by HASELEY,SEAN",,,,,,,"ASSIST  by HASELEY,SEAN",2
10:30,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by SEVER,RYAN",,,,,,,"REBOUND DEF by SEVER,RYAN",2
10:10,"GOOD LAYUP by WILLS,DREW(in the paint)",44 (+2),,42,,DEPAUWM 44-42 (-2),,"GOOD LAYUP by WILLS,DREW(in the paint)",2
--,"ASSIST  by WEAKLEY,TOMMY",,,,,,,"ASSIST  by WEAKLEY,TOMMY",2
10:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:43,,44,,45 (+1),"GOOD 3PTR by WILLIAMS,TRENT",SEWANEE 44-45 (+1),,"GOOD 3PTR by WILLIAMS,TRENT",2
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",2
09:26,"TURNOVER  by WILLS,DREW",,,,,,,"TURNOVER  by WILLS,DREW",2
08:53,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
08:38,"MISS 3PTR by WEAKLEY,TOMMY",,,,,,,"MISS 3PTR by WEAKLEY,TOMMY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:35,"FOUL  by RUSSELL,RYAN",,,,,,,"FOUL  by RUSSELL,RYAN",2
08:20,,44,,47 (+3),"GOOD JUMPER by NELSON,ANVIL",SEWANEE 44-47 (+3),,"GOOD JUMPER by NELSON,ANVIL",2
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",2
07:52,"GOOD JUMPER by WILLS,DREW(in the paint)",46,,47 (+1),,DEPAUWM 46-47 (+1),,"GOOD JUMPER by WILLS,DREW(in the paint)",2
--,"ASSIST  by WEAKLEY,TOMMY",,,,,,,"ASSIST  by WEAKLEY,TOMMY",2
07:27,,46,,49 (+3),"GOOD JUMPER by BRYANT,VALENTINO",SEWANEE 46-49 (+3),,"GOOD JUMPER by BRYANT,VALENTINO",2
07:24,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:49,"GOOD JUMPER by HASELEY,SEAN(in the paint)",48,,49 (+1),,DEPAUWM 48-49 (+1),,"GOOD JUMPER by HASELEY,SEAN(in the paint)",2
06:16,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",2
--,"REBOUND DEF by WILLS,DREW",,,,,,,"REBOUND DEF by WILLS,DREW",2
05:58,"MISS JUMPER by WILLS,DREW",,,,,,,"MISS JUMPER by WILLS,DREW",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
05:56,"FOUL  by WILLS,DREW",,,,,,,"FOUL  by WILLS,DREW",2
05:50,,48,,52 (+4),"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 48-52 (+4),,"GOOD 3PTR by BOULDIN,BRETT",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
05:32,"TURNOVER  by BERGFELD,JOE",,,,,,,"TURNOVER  by BERGFELD,JOE",2
05:09,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",2
--,"REBOUND DEF by HASELEY,SEAN",,,,,,,"REBOUND DEF by HASELEY,SEAN",2
04:57,"MISS JUMPER by BERGFELD,JOE",,,,,,,"MISS JUMPER by BERGFELD,JOE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:55,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
04:55,"TURNOVER  by WILKISON,MICHAEL",,,,,,,"TURNOVER  by WILKISON,MICHAEL",2
04:53,,,,,"STEAL  by NELSON,ANVIL",,,"STEAL  by NELSON,ANVIL",2
04:38,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",2
04:25,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
04:25,"MISS FT by HASELEY,SEAN",,,,,,,"MISS FT by HASELEY,SEAN",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
03:56,,,,,"MISS JUMPER by BROWN,TYLER",,,"MISS JUMPER by BROWN,TYLER",2
--,"REBOUND DEF by BERGFELD,JOE",,,,,,,"REBOUND DEF by BERGFELD,JOE",2
03:42,"MISS JUMPER by BERGFELD,JOE",,,,,,,"MISS JUMPER by BERGFELD,JOE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
03:39,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:07,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",2
--,"REBOUND DEF by HASELEY,SEAN",,,,,,,"REBOUND DEF by HASELEY,SEAN",2
02:44,"GOOD 3PTR by WILKISON,MICHAEL",51,,52 (+1),,DEPAUWM 51-52 (+1),,"GOOD 3PTR by WILKISON,MICHAEL",2
--,"ASSIST  by LEMASTERS,STEVE",,,,,,,"ASSIST  by LEMASTERS,STEVE",2
02:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:10,,,,,"MISS JUMPER by BOULDIN,BRETT",,,"MISS JUMPER by BOULDIN,BRETT",2
--,"REBOUND DEF by BERGFELD,JOE",,,,,,,"REBOUND DEF by BERGFELD,JOE",2
01:36,"GOOD 3PTR by WILKISON,MICHAEL",54 (+2),,52,,DEPAUWM 54-52 (-2),,"GOOD 3PTR by WILKISON,MICHAEL",2
01:08,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:01,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
01:00,"STEAL  by WILKISON,MICHAEL",,,,,,,"STEAL  by WILKISON,MICHAEL",2
00:47,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:29,,,,,"FOUL  by WILLIAMS,TRENT",,,"FOUL  by WILLIAMS,TRENT",2
00:29,"GOOD FT by HASELEY,SEAN",55 (+3),,52,,DEPAUWM 55-52 (-3),,"GOOD FT by HASELEY,SEAN",2
00:29,"GOOD FT by HASELEY,SEAN",56 (+4),,52,,DEPAUWM 56-52 (-4),,"GOOD FT by HASELEY,SEAN",2
00:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:22,"FOUL  by BERGFELD,JOE",,,,,,,"FOUL  by BERGFELD,JOE",2
00:20,"FOUL  by SIMPSON,ROSS",,,,,,,"FOUL  by SIMPSON,ROSS",2
