Time Remaining,TUM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
05:20,,55 (+22),,33,"GOOD JUMPER by MARTIN,SAM(in the paint)",SEWANEE 55-33 (-22),,"GOOD JUMPER by MARTIN,SAM(in the paint)",2
05:07,"MISS JUMPER by DWORKIN,SAM",,,,,,,"MISS JUMPER by DWORKIN,SAM",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
05:07,"FOUL  by WILT,JONATHAN",,,,,,,"FOUL  by WILT,JONATHAN",2
05:00,"FOUL  by HOPSON,HEATH",,,,,,,"FOUL  by HOPSON,HEATH",2
05:00,,55 (+21),,34,"GOOD FT by BEVIACQUA,BRYAN",SEWANEE 55-34 (-21),,"GOOD FT by BEVIACQUA,BRYAN",2
04:57,,,,,"MISS FT by BEVIACQUA,BRYAN",,,"MISS FT by BEVIACQUA,BRYAN",2
--,"REBOUND DEF by BEALL,RYAN",,,,,,,"REBOUND DEF by BEALL,RYAN",2
04:51,"TURNOVER  by BEALL,RYAN",,,,,,,"TURNOVER  by BEALL,RYAN",2
04:48,,,,,"MISS JUMPER by BEVIACQUA,BRYAN",,,"MISS JUMPER by BEVIACQUA,BRYAN",2
--,"REBOUND DEF by MELCHIOR,GIL",,,,,,,"REBOUND DEF by MELCHIOR,GIL",2
04:38,"MISS JUMPER by CALDARERA,LUKE",,,,,,,"MISS JUMPER by CALDARERA,LUKE",2
--,"REBOUND OFF by ALLAN,CLARKE",,,,,,,"REBOUND OFF by ALLAN,CLARKE",2
04:35,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",2
04:35,"MISS FT by ALLAN,CLARKE",,,,,,,"MISS FT by ALLAN,CLARKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:35,"GOOD FT by ALLAN,CLARKE",56 (+22),,34,,TUM 56-34 (-22),,"GOOD FT by ALLAN,CLARKE",2
04:16,"FOUL  by MELCHIOR,GIL",,,,,,,"FOUL  by MELCHIOR,GIL",2
04:16,,,,,"MISS FT by BROWN,TYLER",,,"MISS FT by BROWN,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:16,,,,,"MISS FT by BEVIACQUA,BRYAN",,,"MISS FT by BEVIACQUA,BRYAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
04:10,,,,,"MISS 3PTR by WILLIAMS,TRENT",,,"MISS 3PTR by WILLIAMS,TRENT",2
--,"REBOUND DEF by LAVANWAY,JOHN",,,,,,,"REBOUND DEF by LAVANWAY,JOHN",2
03:51,"MISS JUMPER by BOXBERGER,JOHN",,,,,,,"MISS JUMPER by BOXBERGER,JOHN",2
--,"REBOUND OFF by ALLAN,CLARKE",,,,,,,"REBOUND OFF by ALLAN,CLARKE",2
03:48,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",2
03:48,"MISS FT by ALLAN,CLARKE",,,,,,,"MISS FT by ALLAN,CLARKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:48,"MISS FT by ALLAN,CLARKE",,,,,,,"MISS FT by ALLAN,CLARKE",2
--,,,,,"REBOUND DEF by MARTIN,SAM",,,"REBOUND DEF by MARTIN,SAM",2
03:39,"FOUL  by MELCHIOR,GIL",,,,,,,"FOUL  by MELCHIOR,GIL",2
03:39,,,,,"MISS FT by BEVIACQUA,BRYAN",,,"MISS FT by BEVIACQUA,BRYAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:39,,56 (+21),,35,"GOOD FT by BEVIACQUA,BRYAN",SEWANEE 56-35 (-21),,"GOOD FT by BEVIACQUA,BRYAN",2
03:23,"MISS JUMPER by LAMBERT,ZACH",,,,,,,"MISS JUMPER by LAMBERT,ZACH",2
--,,,,,"REBOUND DEF by MERRELL,WILL",,,"REBOUND DEF by MERRELL,WILL",2
03:18,"FOUL  by LAVANWAY,JOHN",,,,,,,"FOUL  by LAVANWAY,JOHN",2
03:18,,56 (+20),,36,"GOOD FT by MERRELL,WILL",SEWANEE 56-36 (-20),,"GOOD FT by MERRELL,WILL",2
03:18,,56 (+19),,37,"GOOD FT by MERRELL,WILL",SEWANEE 56-37 (-19),,"GOOD FT by MERRELL,WILL",2
03:06,"MISS 3PTR by LAMBERT,ZACH",,,,,,,"MISS 3PTR by LAMBERT,ZACH",2
--,"REBOUND OFF by LAMBERT,ZACH",,,,,,,"REBOUND OFF by LAMBERT,ZACH",2
03:01,"MISS JUMPER by BOXBERGER,JOHN",,,,,,,"MISS JUMPER by BOXBERGER,JOHN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:59,,,,,"FOUL  by DUNCAN,HUDSON",,,"FOUL  by DUNCAN,HUDSON",2
02:59,"GOOD FT by ALLAN,CLARKE",57 (+20),,37,,TUM 57-37 (-20),,"GOOD FT by ALLAN,CLARKE",2
02:59,"MISS FT by ALLAN,CLARKE",,,,,,,"MISS FT by ALLAN,CLARKE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:45,"FOUL  by LAVANWAY,JOHN",,,,,,,"FOUL  by LAVANWAY,JOHN",2
02:21,,,,,"MISS 3PTR by BEVIACQUA,BRYAN",,,"MISS 3PTR by BEVIACQUA,BRYAN",2
--,"REBOUND DEF by LAVANWAY,JOHN",,,,,,,"REBOUND DEF by LAVANWAY,JOHN",2
01:55,"MISS 3PTR by MELCHIOR,GIL",,,,,,,"MISS 3PTR by MELCHIOR,GIL",2
--,"REBOUND OFF by LAVANWAY,JOHN",,,,,,,"REBOUND OFF by LAVANWAY,JOHN",2
01:32,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
01:18,,57 (+17),,40,"GOOD 3PTR by DUNCAN,HUDSON",SEWANEE 57-40 (-17),,"GOOD 3PTR by DUNCAN,HUDSON",2
--,,,,,"ASSIST  by BEVIACQUA,BRYAN",,,"ASSIST  by BEVIACQUA,BRYAN",2
00:58,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",2
00:58,"GOOD FT by MELCHIOR,GIL",58 (+18),,40,,TUM 58-40 (-18),,"GOOD FT by MELCHIOR,GIL",2
00:58,"MISS FT by MELCHIOR,GIL",,,,,,,"MISS FT by MELCHIOR,GIL",2
--,,,,,"REBOUND DEF by MERRELL,WILL",,,"REBOUND DEF by MERRELL,WILL",2
00:41,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",2
--,"REBOUND DEF by ALLAN,CLARKE",,,,,,,"REBOUND DEF by ALLAN,CLARKE",2
00:15,"FOUL  by BOXBERGER,JOHN",,,,,,,"FOUL  by BOXBERGER,JOHN",2
00:03,,,,,"MISS 3PTR by MERRELL,WILL",,,"MISS 3PTR by MERRELL,WILL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
