Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
00:47,,62 (+11),,51,"GOOD FT by BRYANT,VALENTINO",SEWANEE 62-51 (-11),,"GOOD FT by BRYANT,VALENTINO",2
00:46,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",2
00:46,"GOOD FT by GRIGGS,MATT",63 (+12),,51,,CENTRE_M 63-51 (-12),,"GOOD FT by GRIGGS,MATT",2
00:46,"MISS FT by GRIGGS,MATT",,,,,,,"MISS FT by GRIGGS,MATT",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
00:39,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:31,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",2
00:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:31,"GOOD FT by ROSS,GREG",64 (+13),,51,,CENTRE_M 64-51 (-13),,"GOOD FT by ROSS,GREG",2
00:31,"GOOD FT by ROSS,GREG",65 (+14),,51,,CENTRE_M 65-51 (-14),,"GOOD FT by ROSS,GREG",2
00:14,,,,,"MISS 3PTR by WILLIAMS,TRENT",,,"MISS 3PTR by WILLIAMS,TRENT",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
00:10,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",2
00:06,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",2
--,"REBOUND DEF by LLOYD,ALEX",,,,,,,"REBOUND DEF by LLOYD,ALEX",2
