Time Remaining,BERRY-M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
05:22,,,,,"MISS 3PTR by MARELLE,TONY",,,"MISS 3PTR by MARELLE,TONY",1
--,"REBOUND DEF by HOLLOMAN,DAVID",,,,,,,"REBOUND DEF by HOLLOMAN,DAVID",1
05:11,"GOOD JUMPER by MILES,TIM",19,,19,,BERRY-M 19-19 (0),,"GOOD JUMPER by MILES,TIM",1
--,"ASSIST  by GADIE,KENDALL",,,,,,,"ASSIST  by GADIE,KENDALL",1
04:56,,,,,"MISS JUMPER by KIRKPATRICK,TODD",,,"MISS JUMPER by KIRKPATRICK,TODD",1
--,"REBOUND DEF by GADIE,KENDALL",,,,,,,"REBOUND DEF by GADIE,KENDALL",1
04:42,"GOOD LAYUP by MILES,TIM(in the paint)",21 (+2),,19,,BERRY-M 21-19 (-2),,"GOOD LAYUP by MILES,TIM(in the paint)",1
--,"ASSIST  by WOODS,STEFAN",,,,,,,"ASSIST  by WOODS,STEFAN",1
04:38,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
04:25,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,"REBOUND DEF by HOLLOMAN,DAVID",,,,,,,"REBOUND DEF by HOLLOMAN,DAVID",1
04:05,"MISS 3PTR by WOODS,STEFAN",,,,,,,"MISS 3PTR by WOODS,STEFAN",1
--,"REBOUND OFF by HOLLOMAN,DAVID",,,,,,,"REBOUND OFF by HOLLOMAN,DAVID",1
03:59,"GOOD JUMPER by HOLLOMAN,DAVID",23 (+4),,19,,BERRY-M 23-19 (-4),,"GOOD JUMPER by HOLLOMAN,DAVID",1
03:37,,23 (+1),,22,"GOOD 3PTR by BRYANT,VALENTINO",SEWANEE 23-22 (-1),,"GOOD 3PTR by BRYANT,VALENTINO",1
--,,,,,"ASSIST  by MARELLE,TONY",,,"ASSIST  by MARELLE,TONY",1
03:17,"MISS 3PTR by MILES,TIM",,,,,,,"MISS 3PTR by MILES,TIM",1
--,,,,,"REBOUND DEF by MARELLE,TONY",,,"REBOUND DEF by MARELLE,TONY",1
