Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,DEPAUW,Game Score,Team Indicator,Play,Period
05:58,,20,,29 (+9),"GOOD LAYUP by SEVER,RYAN(in the paint)",DEPAUW 20-29 (-9),,"GOOD LAYUP by SEVER,RYAN(in the paint)",1
--,,,,,"ASSIST  by WILLS,DREW",,,"ASSIST  by WILLS,DREW",1
05:58,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
05:58,,,,,"MISS FT by SEVER,RYAN",,,"MISS FT by SEVER,RYAN",1
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",1
05:42,"MISS JUMPER by WILLIAMS,TRENT",,,,,,,"MISS JUMPER by WILLIAMS,TRENT",1
05:42,,,,,"BLOCK  by WILLS,DREW",,,"BLOCK  by WILLS,DREW",1
--,"REBOUND OFF by WILLIAMS,TRENT",,,,,,,"REBOUND OFF by WILLIAMS,TRENT",1
05:39,,,,,"FOUL  by WILLS,DREW",,,"FOUL  by WILLS,DREW",1
05:37,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by HASELEY,SEAN",,,"REBOUND DEF by HASELEY,SEAN",1
05:22,,,,,"TURNOVER  by WILLS,DREW",,,"TURNOVER  by WILLS,DREW",1
05:21,,,,,"SUB IN by WILKISON,MICHAEL",,,"SUB IN by WILKISON,MICHAEL",1
05:21,,,,,"SUB OUT by WILLS,DREW",,,"SUB OUT by WILLS,DREW",1
05:08,"GOOD 3PTR by WILLIAMS,TRENT",23,,29 (+6),,SEWANEE 23-29 (-6),,"GOOD 3PTR by WILLIAMS,TRENT",1
--,"ASSIST  by AFFRONTI,LEWIS",,,,,,,"ASSIST  by AFFRONTI,LEWIS",1
04:55,,23,,32 (+9),"GOOD 3PTR by SEVER,RYAN",DEPAUW 23-32 (-9),,"GOOD 3PTR by SEVER,RYAN",1
--,,,,,"ASSIST  by WILKISON,MICHAEL",,,"ASSIST  by WILKISON,MICHAEL",1
04:41,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",25,,32 (+7),,SEWANEE 25-32 (-7),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
--,"ASSIST  by MARTIN,SAM",,,,,,,"ASSIST  by MARTIN,SAM",1
04:24,,25,,34 (+9),"GOOD LAYUP by SEVER,RYAN(in the paint)",DEPAUW 25-34 (-9),,"GOOD LAYUP by SEVER,RYAN(in the paint)",1
--,,,,,"ASSIST  by SIMPSON,ROSS",,,"ASSIST  by SIMPSON,ROSS",1
04:02,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by LEMASTERS,STEVE",,,"REBOUND DEF by LEMASTERS,STEVE",1
03:53,"FOUL  by MARTIN,SAM",,,,,,,"FOUL  by MARTIN,SAM",1
03:52,,25,,37 (+12),"GOOD 3PTR by LEMASTERS,STEVE",DEPAUW 25-37 (-12),,"GOOD 3PTR by LEMASTERS,STEVE",1
--,,,,,"ASSIST  by WILKISON,MICHAEL",,,"ASSIST  by WILKISON,MICHAEL",1
03:31,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,"REBOUND OFF by AFFRONTI,LEWIS",,,,,,,"REBOUND OFF by AFFRONTI,LEWIS",1
03:28,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",27,,37 (+10),,SEWANEE 27-37 (-10),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",1
03:28,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:11,,,,,"MISS 3PTR by WILKISON,MICHAEL",,,"MISS 3PTR by WILKISON,MICHAEL",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
03:01,"GOOD 3PTR by AFFRONTI,LEWIS",30,,37 (+7),,SEWANEE 30-37 (-7),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
02:41,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",1
02:41,,30,,38 (+8),"GOOD FT by HASELEY,SEAN",DEPAUW 30-38 (-8),,"GOOD FT by HASELEY,SEAN",1
02:41,,30,,39 (+9),"GOOD FT by HASELEY,SEAN",DEPAUW 30-39 (-9),,"GOOD FT by HASELEY,SEAN",1
02:28,"GOOD 3PTR by AFFRONTI,LEWIS",33,,39 (+6),,SEWANEE 33-39 (-6),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,"ASSIST  by WILLIAMS,TRENT",,,,,,,"ASSIST  by WILLIAMS,TRENT",1
02:07,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",1
02:07,,,,,"MISS FT by SIMPSON,ROSS",,,"MISS FT by SIMPSON,ROSS",1
--,"REBOUND DEF by WILLIAMS,TRENT",,,,,,,"REBOUND DEF by WILLIAMS,TRENT",1
01:51,"GOOD 3PTR by BRYANT,VALENTINO",36,,39 (+3),,SEWANEE 36-39 (-3),,"GOOD 3PTR by BRYANT,VALENTINO",1
--,"ASSIST  by MARTIN,SAM",,,,,,,"ASSIST  by MARTIN,SAM",1
01:30,"FOUL  by MARTIN,SAM",,,,,,,"FOUL  by MARTIN,SAM",1
01:30,,36,,40 (+4),"GOOD FT by SEVER,RYAN",DEPAUW 36-40 (-4),,"GOOD FT by SEVER,RYAN",1
