Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,TASMBB,Game Score,Team Indicator,Play,Period
12:41,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",2
12:24,"MISS LAYUP by OGLE,JOHN",,,,,,,"MISS LAYUP by OGLE,JOHN",2
12:24,,,,,"BLOCK  by MANCUSO,LOGAN",,,"BLOCK  by MANCUSO,LOGAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:16,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",2
--,"REBOUND OFF by OGLE,JOHN",,,,,,,"REBOUND OFF by OGLE,JOHN",2
12:00,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",2
12:00,,,,,"BLOCK  by MANCUSO,LOGAN",,,"BLOCK  by MANCUSO,LOGAN",2
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",2
11:55,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,"REBOUND DEF by MURPHEY,LUKE",,,,,,,"REBOUND DEF by MURPHEY,LUKE",2
11:40,"MISS LAYUP by STEELE,AARON",,,,,,,"MISS LAYUP by STEELE,AARON",2
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",2
11:32,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",2
11:30,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",2
11:26,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",2
11:26,"SUB IN by SHEPPARD,MARK",,,,,,,"SUB IN by SHEPPARD,MARK",2
11:26,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",2
11:26,"SUB IN by BRADY,RYAN",,,,,,,"SUB IN by BRADY,RYAN",2
11:26,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",2
11:26,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",2
11:26,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
11:26,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",2
11:26,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",2
11:16,"GOOD 3PTR by MURPHEY,LUKE",48 (+12),,36,,HC 48-36 (-12),,"GOOD 3PTR by MURPHEY,LUKE",2
--,"ASSIST  by OGLE,JOHN",,,,,,,"ASSIST  by OGLE,JOHN",2
11:06,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,"REBOUND DEF by BRADY,RYAN",,,,,,,"REBOUND DEF by BRADY,RYAN",2
10:39,"GOOD 3PTR by BRADY,RYAN",51 (+15),,36,,HC 51-36 (-15),,"GOOD 3PTR by BRADY,RYAN",2
10:29,,51 (+13),,38,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",TASMBB 51-38 (-13),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",2
10:23,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
10:04,"GOOD 3PTR by GARRETT,TRAVIS",54 (+16),,38,,HC 54-38 (-16),,"GOOD 3PTR by GARRETT,TRAVIS",2
--,"ASSIST  by MURPHEY,LUKE",,,,,,,"ASSIST  by MURPHEY,LUKE",2
09:44,,54 (+14),,40,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",TASMBB 54-40 (-14),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
09:25,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",2
09:23,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",2
09:03,"FOUL  by BRADY,RYAN",,,,,,,"FOUL  by BRADY,RYAN",2
09:03,,54 (+13),,41,"GOOD FT by ATKINSON,QUINN",TASMBB 54-41 (-13),,"GOOD FT by ATKINSON,QUINN",2
09:03,,54 (+12),,42,"GOOD FT by ATKINSON,QUINN",TASMBB 54-42 (-12),,"GOOD FT by ATKINSON,QUINN",2
09:03,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
09:03,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",2
08:53,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
08:39,"FOUL  by BRADY,RYAN",,,,,,,"FOUL  by BRADY,RYAN",2
08:34,,54 (+10),,44,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",TASMBB 54-44 (-10),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",2
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",2
08:21,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
08:21,"MISS FT by OGLE,JOHN",,,,,,,"MISS FT by OGLE,JOHN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:21,"MISS FT by OGLE,JOHN",,,,,,,"MISS FT by OGLE,JOHN",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
08:21,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
08:21,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",2
08:03,,54 (+8),,46,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",TASMBB 54-46 (-8),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
07:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:56,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
07:56,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",2
07:56,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",2
07:56,"SUB OUT by SHEPPARD,MARK",,,,,,,"SUB OUT by SHEPPARD,MARK",2
07:56,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",2
07:56,"SUB OUT by BRADY,RYAN",,,,,,,"SUB OUT by BRADY,RYAN",2
07:45,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",56 (+10),,46,,HC 56-46 (-10),,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",2
--,"ASSIST  by STEELE,AARON",,,,,,,"ASSIST  by STEELE,AARON",2
07:31,"FOUL  by STEELE,AARON",,,,,,,"FOUL  by STEELE,AARON",2
07:31,,56 (+9),,47,"GOOD FT by ATKINSON,QUINN",TASMBB 56-47 (-9),,"GOOD FT by ATKINSON,QUINN",2
07:31,,56 (+8),,48,"GOOD FT by ATKINSON,QUINN",TASMBB 56-48 (-8),,"GOOD FT by ATKINSON,QUINN",2
07:13,"TURNOVER  by STEELE,AARON",,,,,,,"TURNOVER  by STEELE,AARON",2
07:11,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",2
07:06,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",2
--,,,,,"REBOUND OFF by ATKINSON,QUINN",,,"REBOUND OFF by ATKINSON,QUINN",2
07:06,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",2
07:06,,56 (+7),,49,"GOOD FT by ATKINSON,QUINN",TASMBB 56-49 (-7),,"GOOD FT by ATKINSON,QUINN",2
07:06,,56 (+6),,50,"GOOD FT by ATKINSON,QUINN",TASMBB 56-50 (-6),,"GOOD FT by ATKINSON,QUINN",2
07:06,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",2
07:06,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",2
07:06,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",2
07:06,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",2
07:06,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",2
07:06,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
07:06,"SUB OUT by MURPHEY,LUKE",,,,,,,"SUB OUT by MURPHEY,LUKE",2
07:06,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
07:06,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",2
07:06,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
06:42,"MISS JUMPER by NIKOLOVSKI,DREW",,,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
06:23,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",2
06:22,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",2
06:17,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",2
06:17,"GOOD FT by SMITH,PRESTON",57 (+7),,50,,HC 57-50 (-7),,"GOOD FT by SMITH,PRESTON",2
06:17,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
05:54,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",2
05:54,,57 (+6),,51,"GOOD FT by ROBERTSON,MARC",TASMBB 57-51 (-6),,"GOOD FT by ROBERTSON,MARC",2
05:54,,,,,"MISS FT by ROBERTSON,MARC",,,"MISS FT by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",2
05:38,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",2
05:38,,,,,"MISS FT by ROBERTSON,MARC",,,"MISS FT by ROBERTSON,MARC",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:38,,57 (+5),,52,"GOOD FT by ROBERTSON,MARC",TASMBB 57-52 (-5),,"GOOD FT by ROBERTSON,MARC",2
05:22,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",2
05:07,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
04:55,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",2
04:39,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
04:16,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:13,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
04:13,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
04:13,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",2
04:02,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
03:50,,57 (+3),,54,"GOOD JUMPER by ATKINSON,QUINN(in the paint)",TASMBB 57-54 (-3),,"GOOD JUMPER by ATKINSON,QUINN(in the paint)",2
03:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:17,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
03:17,"MISS FT by LITTLEFIELD,GEAREN",,,,,,,"MISS FT by LITTLEFIELD,GEAREN",2
--,"REBOUND OFF by NIKOLOVSKI,DREW",,,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",2
02:58,"MISS LAYUP by MURPHEY,LUKE",,,,,,,"MISS LAYUP by MURPHEY,LUKE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:51,"GOOD LAYUP by OGLE,JOHN(in the paint)",59 (+5),,54,,HC 59-54 (-5),,"GOOD LAYUP by OGLE,JOHN(in the paint)",2
02:37,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",2
02:35,"STEAL  by NIKOLOVSKI,DREW",,,,,,,"STEAL  by NIKOLOVSKI,DREW",2
02:15,"GOOD LAYUP by OGLE,JOHN(in the paint)",61 (+7),,54,,HC 61-54 (-7),,"GOOD LAYUP by OGLE,JOHN(in the paint)",2
01:52,,61 (+5),,56,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",TASMBB 61-56 (-5),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",2
01:49,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:38,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",2
01:38,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
01:34,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",2
01:34,"GOOD FT by OGLE,JOHN",62 (+6),,56,,HC 62-56 (-6),,"GOOD FT by OGLE,JOHN",2
01:34,"MISS FT by OGLE,JOHN",,,,,,,"MISS FT by OGLE,JOHN",2
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",2
01:21,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",2
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",2
00:54,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:44,"GOOD 3PTR by NIKOLOVSKI,DREW",65 (+9),,56,,HC 65-56 (-9),,"GOOD 3PTR by NIKOLOVSKI,DREW",2
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",2
00:33,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",2
00:33,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
00:31,,65 (+6),,59,"GOOD 3PTR by ROBERTSON,MARC",TASMBB 65-59 (-6),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",2
00:29,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",2
00:33,,65 (+5),,60,"GOOD FT by ROBERTSON,MARC",TASMBB 65-60 (-5),,"GOOD FT by ROBERTSON,MARC",2
00:22,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",2
00:22,"GOOD FT by NIKOLOVSKI,DREW",66 (+6),,60,,HC 66-60 (-6),,"GOOD FT by NIKOLOVSKI,DREW",2
00:22,"GOOD FT by NIKOLOVSKI,DREW",67 (+7),,60,,HC 67-60 (-7),,"GOOD FT by NIKOLOVSKI,DREW",2
00:22,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",2
00:22,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
00:12,,67 (+5),,62,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",TASMBB 67-62 (-5),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",2
00:12,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:12,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",2
00:12,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",2
00:08,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",2
00:08,"GOOD FT by NIKOLOVSKI,DREW",68 (+6),,62,,HC 68-62 (-6),,"GOOD FT by NIKOLOVSKI,DREW",2
00:08,"GOOD FT by NIKOLOVSKI,DREW",69 (+7),,62,,HC 69-62 (-7),,"GOOD FT by NIKOLOVSKI,DREW",2
00:08,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",2
00:08,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
00:02,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
