Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CENTMBO,Game Score,Team Indicator,Play,Period
01:07,,,,,"SUB IN by CUETO,JUSTIN",,,"SUB IN by CUETO,JUSTIN",2
01:07,,,,,"SUB IN by DEMOUCHET,KENDALL",,,"SUB IN by DEMOUCHET,KENDALL",2
01:07,,,,,"SUB IN by WILLIAMS,DONOVAN",,,"SUB IN by WILLIAMS,DONOVAN",2
01:07,,,,,"SUB OUT by MILLER,GRANT",,,"SUB OUT by MILLER,GRANT",2
01:07,,,,,"SUB OUT by KERSHAW,KANE",,,"SUB OUT by KERSHAW,KANE",2
00:52,"TURNOVER  by GERCHOW,ALEX",,,,,,,"TURNOVER  by GERCHOW,ALEX",2
00:43,,,,,"MISS 3PTR by CUETO,JUSTIN",,,"MISS 3PTR by CUETO,JUSTIN",2
--,"REBOUND DEF by MASON,ROBERT WADE",,,,,,,"REBOUND DEF by MASON,ROBERT WADE",2
00:24,,,,,"FOUL  by CUETO,JUSTIN",,,"FOUL  by CUETO,JUSTIN",2
00:24,"MISS FT by COLEMAN,DANIEL",,,,,,,"MISS FT by COLEMAN,DANIEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:24,"GOOD FT by COLEMAN,DANIEL",55,,85 (+30),,MILLSAPS 55-85 (-30),,"GOOD FT by COLEMAN,DANIEL",2
00:13,,55,,88 (+33),"GOOD 3PTR by DEMOUCHET,KENDALL",CENTMBO 55-88 (-33),,"GOOD 3PTR by DEMOUCHET,KENDALL",2
--,,,,,"ASSIST  by MATTHEWS,TREYLAN",,,"ASSIST  by MATTHEWS,TREYLAN",2
00:08,"TURNOVER  by MASON,ROBERT WADE",,,,,,,"TURNOVER  by MASON,ROBERT WADE",2
00:08,,,,,"STEAL  by KIRKENDOLL,TRAVION",,,"STEAL  by KIRKENDOLL,TRAVION",2
