Time Remaining,MCM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
05:35,"GOOD LAYUP by MARKWITH,TRENT(fastbreak)(in the paint)",14,,41 (+27),,MCM 14-41 (-27),,"GOOD LAYUP by MARKWITH,TRENT(fastbreak)(in the paint)",1
05:20,,14,,43 (+29),"GOOD LAYUP by EDWARDS,JUSTIN(in the paint)",OUM 14-43 (-29),,"GOOD LAYUP by EDWARDS,JUSTIN(in the paint)",1
05:13,,,,,"FOUL  by SMITH,CONNOR",,,"FOUL  by SMITH,CONNOR",1
05:13,"GOOD FT by ROBERTSON,MARC",15,,43 (+28),,MCM 15-43 (-28),,"GOOD FT by ROBERTSON,MARC",1
05:13,"GOOD FT by ROBERTSON,MARC",16,,43 (+27),,MCM 16-43 (-27),,"GOOD FT by ROBERTSON,MARC",1
05:13,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
05:13,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
05:13,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
05:13,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
05:13,,,,,"SUB IN by ANDINO,GEORGE",,,"SUB IN by ANDINO,GEORGE",1
05:13,,,,,"SUB IN by LAWRENCE,CHRIS",,,"SUB IN by LAWRENCE,CHRIS",1
05:13,,,,,"SUB IN by INUNGU,TOM",,,"SUB IN by INUNGU,TOM",1
05:13,,,,,"SUB OUT by MCGRATH,JOSH",,,"SUB OUT by MCGRATH,JOSH",1
05:13,,,,,"SUB OUT by SMITH,CONNOR",,,"SUB OUT by SMITH,CONNOR",1
05:13,,,,,"SUB OUT by HUFFMAN,DEVIN",,,"SUB OUT by HUFFMAN,DEVIN",1
04:47,,16,,46 (+30),"GOOD 3PTR by PERRY,WILL",OUM 16-46 (-30),,"GOOD 3PTR by PERRY,WILL",1
--,,,,,"ASSIST  by EDWARDS,JUSTIN",,,"ASSIST  by EDWARDS,JUSTIN",1
04:22,"MISS LAYUP by MARKWITH,TRENT",,,,,,,"MISS LAYUP by MARKWITH,TRENT",1
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",1
04:20,,,,,"TURNOVER  by INUNGU,TOM",,,"TURNOVER  by INUNGU,TOM",1
04:20,"STEAL  by MARKWITH,TRENT",,,,,,,"STEAL  by MARKWITH,TRENT",1
04:19,,,,,"FOUL  by EDWARDS,JUSTIN",,,"FOUL  by EDWARDS,JUSTIN",1
04:07,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",1
--,"REBOUND OFF by MARKWITH,TRENT",,,,,,,"REBOUND OFF by MARKWITH,TRENT",1
04:06,,,,,"FOUL  by INUNGU,TOM",,,"FOUL  by INUNGU,TOM",1
04:06,"GOOD FT by MARKWITH,TRENT",17,,46 (+29),,MCM 17-46 (-29),,"GOOD FT by MARKWITH,TRENT",1
04:06,"GOOD FT by MARKWITH,TRENT",18,,46 (+28),,MCM 18-46 (-28),,"GOOD FT by MARKWITH,TRENT",1
04:06,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
04:06,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",1
03:57,,18,,49 (+31),"GOOD 3PTR by PERRY,WILL",OUM 18-49 (-31),,"GOOD 3PTR by PERRY,WILL",1
--,,,,,"ASSIST  by EDWARDS,JUSTIN",,,"ASSIST  by EDWARDS,JUSTIN",1
03:42,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",1
03:25,,18,,52 (+34),"GOOD 3PTR by ANDINO,GEORGE",OUM 18-52 (-34),,"GOOD 3PTR by ANDINO,GEORGE",1
--,,,,,"ASSIST  by EDWARDS,JUSTIN",,,"ASSIST  by EDWARDS,JUSTIN",1
03:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
02:58,"MISS JUMPER by MARKWITH,TRENT",,,,,,,"MISS JUMPER by MARKWITH,TRENT",1
--,"REBOUND OFF by ROBERTSON,MARC",,,,,,,"REBOUND OFF by ROBERTSON,MARC",1
02:47,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
02:46,,,,,"STEAL  by LAWRENCE,CHRIS",,,"STEAL  by LAWRENCE,CHRIS",1
02:43,,18,,54 (+36),"GOOD DUNK by PERRY,WILL(fastbreak)(in the paint)",OUM 18-54 (-36),,"GOOD DUNK by PERRY,WILL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by LAWRENCE,CHRIS",,,"ASSIST  by LAWRENCE,CHRIS",1
02:21,"MISS 3PTR by ATKINSON,QUINN",,,,,,,"MISS 3PTR by ATKINSON,QUINN",1
--,"REBOUND OFF by MANCUSO,LOGAN",,,,,,,"REBOUND OFF by MANCUSO,LOGAN",1
02:17,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND OFF by ATKINSON,QUINN",,,,,,,"REBOUND OFF by ATKINSON,QUINN",1
02:13,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",20,,54 (+34),,MCM 20-54 (-34),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",1
01:49,,,,,"MISS 3PTR by EDWARDS,JUSTIN",,,"MISS 3PTR by EDWARDS,JUSTIN",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
01:42,,,,,"FOUL  by EDWARDS,JUSTIN",,,"FOUL  by EDWARDS,JUSTIN",1
01:42,"MISS FT by MARKWITH,TRENT",,,,,,,"MISS FT by MARKWITH,TRENT",1
--,,,,,"REBOUND DEF by ROMAGUERA,COLE",,,"REBOUND DEF by ROMAGUERA,COLE",1
01:42,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",1
01:42,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
01:42,,,,,"SUB IN by WARDLAW,CHASE",,,"SUB IN by WARDLAW,CHASE",1
01:42,,,,,"SUB IN by ROMAGUERA,COLE",,,"SUB IN by ROMAGUERA,COLE",1
01:42,,,,,"SUB IN by HUFFMAN,DEVIN",,,"SUB IN by HUFFMAN,DEVIN",1
01:42,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",1
01:42,,,,,"SUB OUT by EDWARDS,JUSTIN",,,"SUB OUT by EDWARDS,JUSTIN",1
01:42,,,,,"SUB OUT by ANDINO,GEORGE",,,"SUB OUT by ANDINO,GEORGE",1
01:27,,,,,"MISS 3PTR by HUFFMAN,DEVIN",,,"MISS 3PTR by HUFFMAN,DEVIN",1
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",1
01:04,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by SIGRIST,CONNOR",,,"REBOUND DEF by SIGRIST,CONNOR",1
00:56,,,,,"TURNOVER  by HUFFMAN,DEVIN",,,"TURNOVER  by HUFFMAN,DEVIN",1
00:55,"STEAL  by HANSTAD,RAJAN",,,,,,,"STEAL  by HANSTAD,RAJAN",1
00:48,,,,,"FOUL  by SIGRIST,CONNOR",,,"FOUL  by SIGRIST,CONNOR",1
00:48,"GOOD FT by ATKINSON,QUINN",21,,54 (+33),,MCM 21-54 (-33),,"GOOD FT by ATKINSON,QUINN",1
00:48,"GOOD FT by ATKINSON,QUINN",22,,54 (+32),,MCM 22-54 (-32),,"GOOD FT by ATKINSON,QUINN",1
00:48,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",1
00:48,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
00:48,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
00:48,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
00:48,,,,,"SUB IN by BRITVAR,STEFAN",,,"SUB IN by BRITVAR,STEFAN",1
00:48,,,,,"SUB IN by SMITH,CONNOR",,,"SUB IN by SMITH,CONNOR",1
00:48,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",1
00:48,,,,,"SUB OUT by LAWRENCE,CHRIS",,,"SUB OUT by LAWRENCE,CHRIS",1
00:28,,22,,56 (+34),"GOOD JUMPER by BRITVAR,STEFAN",OUM 22-56 (-34),,"GOOD JUMPER by BRITVAR,STEFAN",1
--,,,,,"ASSIST  by HUFFMAN,DEVIN",,,"ASSIST  by HUFFMAN,DEVIN",1
00:10,"TURNOVER  by HANSTAD,RAJAN",,,,,,,"TURNOVER  by HANSTAD,RAJAN",1
00:09,,,,,"STEAL  by WARDLAW,CHASE",,,"STEAL  by WARDLAW,CHASE",1
