Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,WHTW-M,Game Score,Team Indicator,Play,Period
15:02,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
15:02,"SUB OUT by MCSWAIN,JOSHUA",,,,,,,"SUB OUT by MCSWAIN,JOSHUA",1
14:46,"GOOD JUMPER by GERCHOW,ALEX",4,,12 (+8),,MILLMBB 4-12 (-8),,"GOOD JUMPER by GERCHOW,ALEX",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
14:26,,,,,"MISS 3PTR by LOVE,KENNY",,,"MISS 3PTR by LOVE,KENNY",1
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",1
14:13,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:55,,,,,"MISS 3PTR by LOVE,KENNY",,,"MISS 3PTR by LOVE,KENNY",1
--,"REBOUND DEF by ATKINSON,QUINN",,,,,,,"REBOUND DEF by ATKINSON,QUINN",1
13:23,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
13:22,,,,,"STEAL  by SEARS,DREW",,,"STEAL  by SEARS,DREW",1
13:12,,,,,"MISS 3PTR by VALLE,GEORGE",,,"MISS 3PTR by VALLE,GEORGE",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
12:52,"TURNOVER  by MARKWITH,TRENT",,,,,,,"TURNOVER  by MARKWITH,TRENT",1
12:52,,,,,"STEAL  by LOVE,KENNY",,,"STEAL  by LOVE,KENNY",1
12:52,"SUB IN by MCSWAIN,JOSHUA",,,,,,,"SUB IN by MCSWAIN,JOSHUA",1
12:52,,,,,"SUB IN by GRANT,AJ",,,"SUB IN by GRANT,AJ",1
12:52,,,,,"SUB IN by ISAAK,DEREK",,,"SUB IN by ISAAK,DEREK",1
12:52,,,,,"SUB IN by DE MIGUEL,ALBERTO",,,"SUB IN by DE MIGUEL,ALBERTO",1
12:52,,,,,"SUB IN by BISHOP,BEN",,,"SUB IN by BISHOP,BEN",1
12:52,,,,,"SUB IN by ROACH,KYLE",,,"SUB IN by ROACH,KYLE",1
12:52,,,,,"SUB OUT by STAUDACHER,MATT",,,"SUB OUT by STAUDACHER,MATT",1
12:52,,,,,"SUB OUT by LOVE,KENNY",,,"SUB OUT by LOVE,KENNY",1
12:52,,,,,"SUB OUT by JURLINA,CHRISTIAN",,,"SUB OUT by JURLINA,CHRISTIAN",1
12:52,,,,,"SUB OUT by VALLE,GEORGE",,,"SUB OUT by VALLE,GEORGE",1
12:52,,,,,"SUB OUT by SEARS,DREW",,,"SUB OUT by SEARS,DREW",1
12:40,,,,,"MISS 3PTR by GRANT,AJ",,,"MISS 3PTR by GRANT,AJ",1
--,,,,,"REBOUND OFF by DE MIGUEL,ALBERTO",,,"REBOUND OFF by DE MIGUEL,ALBERTO",1
12:36,,,,,"MISS LAYUP by DE MIGUEL,ALBERTO",,,"MISS LAYUP by DE MIGUEL,ALBERTO",1
12:36,"BLOCK  by GERCHOW,ALEX",,,,,,,"BLOCK  by GERCHOW,ALEX",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:56,"TURNOVER  by MCSWAIN,JOSHUA",,,,,,,"TURNOVER  by MCSWAIN,JOSHUA",1
11:56,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:56,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",1
11:56,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
11:43,,,,,"TURNOVER  by ISAAK,DEREK",,,"TURNOVER  by ISAAK,DEREK",1
11:23,,,,,"FOUL  by DE MIGUEL,ALBERTO",,,"FOUL  by DE MIGUEL,ALBERTO",1
11:23,,,,,"FOUL  by DE MIGUEL,ALBERTO",,,"FOUL  by DE MIGUEL,ALBERTO",1
11:23,,,,,"SUB IN by BAKER,FOREST",,,"SUB IN by BAKER,FOREST",1
11:23,,,,,"SUB OUT by DE MIGUEL,ALBERTO",,,"SUB OUT by DE MIGUEL,ALBERTO",1
11:20,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",1
11:19,,,,,"STEAL  by BISHOP,BEN",,,"STEAL  by BISHOP,BEN",1
11:06,,,,,"TURNOVER  by BAKER,FOREST",,,"TURNOVER  by BAKER,FOREST",1
11:05,"STEAL  by ATKINSON,QUINN",,,,,,,"STEAL  by ATKINSON,QUINN",1
10:56,"GOOD JUMPER by MCSWAIN,JOSHUA",6,,12 (+6),,MILLMBB 6-12 (-6),,"GOOD JUMPER by MCSWAIN,JOSHUA",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
10:37,,,,,"TURNOVER  by GRANT,AJ",,,"TURNOVER  by GRANT,AJ",1
10:37,"STEAL  by GERCHOW,ALEX",,,,,,,"STEAL  by GERCHOW,ALEX",1
10:37,,,,,"SUB IN by NOTTINSON-NYAAKU,E",,,"SUB IN by NOTTINSON-NYAAKU,E",1
10:37,,,,,"SUB OUT by BISHOP,BEN",,,"SUB OUT by BISHOP,BEN",1
10:28,"GOOD JUMPER by JONES,BLAKE(in the paint)",8,,12 (+4),,MILLMBB 8-12 (-4),,"GOOD JUMPER by JONES,BLAKE(in the paint)",1
10:14,,8,,14 (+6),"GOOD LAYUP by NOTTINSON-NYAAKU,E(in the paint)",WHTW-M 8-14 (-6),,"GOOD LAYUP by NOTTINSON-NYAAKU,E(in the paint)",1
--,,,,,"ASSIST  by BAKER,FOREST",,,"ASSIST  by BAKER,FOREST",1
09:48,,,,,"FOUL  by GRANT,AJ",,,"FOUL  by GRANT,AJ",1
09:48,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
09:48,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
09:30,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",1
09:30,,,,,"BLOCK  by GRANT,AJ",,,"BLOCK  by GRANT,AJ",1
--,,,,,"REBOUND DEF by NOTTINSON-NYAAKU,E",,,"REBOUND DEF by NOTTINSON-NYAAKU,E",1
09:07,,,,,"MISS 3PTR by ROACH,KYLE",,,"MISS 3PTR by ROACH,KYLE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:54,,8,,16 (+8),"GOOD JUMPER by BAKER,FOREST",WHTW-M 8-16 (-8),,"GOOD JUMPER by BAKER,FOREST",1
--,,,,,"ASSIST  by GRANT,AJ",,,"ASSIST  by GRANT,AJ",1
08:35,"MISS 3PTR by HANSTAD,RAJAN",,,,,,,"MISS 3PTR by HANSTAD,RAJAN",1
--,,,,,"REBOUND DEF by BAKER,FOREST",,,"REBOUND DEF by BAKER,FOREST",1
08:24,,,,,"MISS 3PTR by GRANT,AJ",,,"MISS 3PTR by GRANT,AJ",1
--,"REBOUND DEF by MCSWAIN,JOSHUA",,,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",1
07:53,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by ROACH,KYLE",,,"REBOUND DEF by ROACH,KYLE",1
07:46,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:46,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
07:46,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
07:46,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
07:46,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
07:46,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
07:46,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
07:46,"SUB OUT by MCSWAIN,JOSHUA",,,,,,,"SUB OUT by MCSWAIN,JOSHUA",1
07:46,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",1
07:46,,,,,"SUB IN by STAUDACHER,MATT",,,"SUB IN by STAUDACHER,MATT",1
07:46,,,,,"SUB IN by JURLINA,CHRISTIAN",,,"SUB IN by JURLINA,CHRISTIAN",1
07:46,,,,,"SUB IN by LOVE,KENNY",,,"SUB IN by LOVE,KENNY",1
07:46,,,,,"SUB IN by SEARS,DREW",,,"SUB IN by SEARS,DREW",1
07:46,,,,,"SUB IN by VALLE,GEORGE",,,"SUB IN by VALLE,GEORGE",1
07:46,,,,,"SUB OUT by GRANT,AJ",,,"SUB OUT by GRANT,AJ",1
07:46,,,,,"SUB OUT by ISAAK,DEREK",,,"SUB OUT by ISAAK,DEREK",1
07:46,,,,,"SUB OUT by BAKER,FOREST",,,"SUB OUT by BAKER,FOREST",1
07:46,,,,,"SUB OUT by NOTTINSON-NYAAKU,E",,,"SUB OUT by NOTTINSON-NYAAKU,E",1
07:46,,,,,"SUB OUT by ROACH,KYLE",,,"SUB OUT by ROACH,KYLE",1
07:38,,,,,"MISS 3PTR by STAUDACHER,MATT",,,"MISS 3PTR by STAUDACHER,MATT",1
--,,,,,"REBOUND OFF by SEARS,DREW",,,"REBOUND OFF by SEARS,DREW",1
07:34,,8,,18 (+10),"GOOD LAYUP by SEARS,DREW(in the paint)",WHTW-M 8-18 (-10),,"GOOD LAYUP by SEARS,DREW(in the paint)",1
07:11,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",10,,18 (+8),,MILLMBB 10-18 (-8),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",1
06:55,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
06:54,,10,,20 (+10),"GOOD LAYUP by VALLE,GEORGE(in the paint)",WHTW-M 10-20 (-10),,"GOOD LAYUP by VALLE,GEORGE(in the paint)",1
--,,,,,"ASSIST  by STAUDACHER,MATT",,,"ASSIST  by STAUDACHER,MATT",1
06:37,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",12,,20 (+8),,MILLMBB 12-20 (-8),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
06:26,,12,,23 (+11),"GOOD 3PTR by JURLINA,CHRISTIAN",WHTW-M 12-23 (-11),,"GOOD 3PTR by JURLINA,CHRISTIAN",1
--,,,,,"ASSIST  by VALLE,GEORGE",,,"ASSIST  by VALLE,GEORGE",1
06:04,,,,,"FOUL  by SEARS,DREW",,,"FOUL  by SEARS,DREW",1
06:04,"GOOD FT by GERCHOW,ALEX",13,,23 (+10),,MILLMBB 13-23 (-10),,"GOOD FT by GERCHOW,ALEX",1
06:04,"GOOD FT by GERCHOW,ALEX",14,,23 (+9),,MILLMBB 14-23 (-9),,"GOOD FT by GERCHOW,ALEX",1
06:04,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",1
06:04,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
05:37,,,,,"MISS 3PTR by JURLINA,CHRISTIAN",,,"MISS 3PTR by JURLINA,CHRISTIAN",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
05:20,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",16,,23 (+7),,MILLMBB 16-23 (-7),,"GOOD JUMPER by GAGEN,BRENNAN(in the paint)",1
04:59,,16,,26 (+10),"GOOD 3PTR by JURLINA,CHRISTIAN",WHTW-M 16-26 (-10),,"GOOD 3PTR by JURLINA,CHRISTIAN",1
--,,,,,"ASSIST  by LOVE,KENNY",,,"ASSIST  by LOVE,KENNY",1
04:36,"MISS 3PTR by HANSTAD,RAJAN",,,,,,,"MISS 3PTR by HANSTAD,RAJAN",1
--,,,,,"REBOUND DEF by STAUDACHER,MATT",,,"REBOUND DEF by STAUDACHER,MATT",1
04:23,,,,,"TURNOVER  by JURLINA,CHRISTIAN",,,"TURNOVER  by JURLINA,CHRISTIAN",1
04:22,"STEAL  by HANSTAD,RAJAN",,,,,,,"STEAL  by HANSTAD,RAJAN",1
04:08,"MISS LAYUP by GERCHOW,ALEX",,,,,,,"MISS LAYUP by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by VALLE,GEORGE",,,"REBOUND DEF by VALLE,GEORGE",1
03:58,,16,,28 (+12),"GOOD LAYUP by VALLE,GEORGE(in the paint)",WHTW-M 16-28 (-12),,"GOOD LAYUP by VALLE,GEORGE(in the paint)",1
--,,,,,"ASSIST  by STAUDACHER,MATT",,,"ASSIST  by STAUDACHER,MATT",1
03:58,"FOUL  by MARKWITH,TRENT",,,,,,,"FOUL  by MARKWITH,TRENT",1
03:58,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
03:58,,16,,29 (+13),"GOOD FT by VALLE,GEORGE",WHTW-M 16-29 (-13),,"GOOD FT by VALLE,GEORGE",1
03:58,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",1
03:58,"SUB IN by MCSWAIN,JOSHUA",,,,,,,"SUB IN by MCSWAIN,JOSHUA",1
03:58,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
03:58,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
03:58,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
03:58,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
03:58,,,,,"SUB IN by BISHOP,BEN",,,"SUB IN by BISHOP,BEN",1
03:58,,,,,"SUB IN by ROACH,KYLE",,,"SUB IN by ROACH,KYLE",1
03:58,,,,,"SUB OUT by JURLINA,CHRISTIAN",,,"SUB OUT by JURLINA,CHRISTIAN",1
03:58,,,,,"SUB OUT by SEARS,DREW",,,"SUB OUT by SEARS,DREW",1
03:26,"TURNOVER  by MCSWAIN,JOSHUA",,,,,,,"TURNOVER  by MCSWAIN,JOSHUA",1
03:25,,,,,"STEAL  by VALLE,GEORGE",,,"STEAL  by VALLE,GEORGE",1
03:20,,,,,"MISS 3PTR by STAUDACHER,MATT",,,"MISS 3PTR by STAUDACHER,MATT",1
--,"REBOUND DEF by MCSWAIN,JOSHUA",,,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",1
03:00,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
02:59,,,,,"STEAL  by LOVE,KENNY",,,"STEAL  by LOVE,KENNY",1
02:55,"FOUL  by MASON,ROBERT WADE",,,,,,,"FOUL  by MASON,ROBERT WADE",1
02:55,,16,,30 (+14),"GOOD FT by VALLE,GEORGE",WHTW-M 16-30 (-14),,"GOOD FT by VALLE,GEORGE",1
02:55,,16,,31 (+15),"GOOD FT by VALLE,GEORGE",WHTW-M 16-31 (-15),,"GOOD FT by VALLE,GEORGE",1
02:55,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
02:55,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
02:55,,,,,"SUB IN by JURLINA,CHRISTIAN",,,"SUB IN by JURLINA,CHRISTIAN",1
02:55,,,,,"SUB OUT by STAUDACHER,MATT",,,"SUB OUT by STAUDACHER,MATT",1
02:35,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",18,,31 (+13),,MILLMBB 18-31 (-13),,"GOOD LAYUP by MCSWAIN,JOSHUA(in the paint)",1
--,"ASSIST  by HANSTAD,RAJAN",,,,,,,"ASSIST  by HANSTAD,RAJAN",1
02:15,,18,,33 (+15),"GOOD LAYUP by JURLINA,CHRISTIAN(in the paint)",WHTW-M 18-33 (-15),,"GOOD LAYUP by JURLINA,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by ROACH,KYLE",,,"ASSIST  by ROACH,KYLE",1
02:01,"MISS JUMPER by MCSWAIN,JOSHUA",,,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",1
--,,,,,"REBOUND DEF by JURLINA,CHRISTIAN",,,"REBOUND DEF by JURLINA,CHRISTIAN",1
01:50,,,,,"MISS 3PTR by ROACH,KYLE",,,"MISS 3PTR by ROACH,KYLE",1
--,,,,,"REBOUND OFF by VALLE,GEORGE",,,"REBOUND OFF by VALLE,GEORGE",1
01:35,,,,,"TURNOVER  by ROACH,KYLE",,,"TURNOVER  by ROACH,KYLE",1
01:35,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
01:35,"SUB IN by SPENCE,JACOB",,,,,,,"SUB IN by SPENCE,JACOB",1
01:35,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
01:35,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",1
01:35,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",1
01:35,"SUB OUT by MCSWAIN,JOSHUA",,,,,,,"SUB OUT by MCSWAIN,JOSHUA",1
01:35,,,,,"SUB IN by GRANT,AJ",,,"SUB IN by GRANT,AJ",1
01:35,,,,,"SUB OUT by LOVE,KENNY",,,"SUB OUT by LOVE,KENNY",1
01:20,"GOOD JUMPER by SPENCE,JACOB",20,,33 (+13),,MILLMBB 20-33 (-13),,"GOOD JUMPER by SPENCE,JACOB",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
01:03,,20,,36 (+16),"GOOD 3PTR by JURLINA,CHRISTIAN",WHTW-M 20-36 (-16),,"GOOD 3PTR by JURLINA,CHRISTIAN",1
--,,,,,"ASSIST  by GRANT,AJ",,,"ASSIST  by GRANT,AJ",1
00:37,"TURNOVER  by SPENCE,JACOB",,,,,,,"TURNOVER  by SPENCE,JACOB",1
00:19,,20,,38 (+18),"GOOD JUMPER by JURLINA,CHRISTIAN",WHTW-M 20-38 (-18),,"GOOD JUMPER by JURLINA,CHRISTIAN",1
--,,,,,"ASSIST  by ROACH,KYLE",,,"ASSIST  by ROACH,KYLE",1
00:03,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
19:38,,20,,41 (+21),"GOOD 3PTR by JURLINA,CHRISTIAN",WHTW-M 20-41 (-21),,"GOOD 3PTR by JURLINA,CHRISTIAN",2
--,,,,,"ASSIST  by STAUDACHER,MATT",,,"ASSIST  by STAUDACHER,MATT",2
19:21,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",2
19:21,,,,,"STEAL  by VALLE,GEORGE",,,"STEAL  by VALLE,GEORGE",2
19:17,,20,,43 (+23),"GOOD LAYUP by STAUDACHER,MATT(fastbreak)(in the paint)",WHTW-M 20-43 (-23),,"GOOD LAYUP by STAUDACHER,MATT(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by JURLINA,CHRISTIAN",,,"ASSIST  by JURLINA,CHRISTIAN",2
18:57,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",22,,43 (+21),,MILLMBB 22-43 (-21),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
18:43,,22,,46 (+24),"GOOD 3PTR by VALLE,GEORGE",WHTW-M 22-46 (-24),,"GOOD 3PTR by VALLE,GEORGE",2
18:10,"MISS JUMPER by HANSTAD,RAJAN",,,,,,,"MISS JUMPER by HANSTAD,RAJAN",2
--,,,,,"REBOUND DEF by LOVE,KENNY",,,"REBOUND DEF by LOVE,KENNY",2
17:59,,,,,"MISS 3PTR by LOVE,KENNY",,,"MISS 3PTR by LOVE,KENNY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
17:58,"FOUL  by MARKWITH,TRENT",,,,,,,"FOUL  by MARKWITH,TRENT",2
17:58,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",2
17:58,"SUB OUT by MCSWAIN,JOSHUA",,,,,,,"SUB OUT by MCSWAIN,JOSHUA",2
17:57,,22,,48 (+26),"GOOD LAYUP by VALLE,GEORGE(in the paint)",WHTW-M 22-48 (-26),,"GOOD LAYUP by VALLE,GEORGE(in the paint)",2
--,,,,,"ASSIST  by STAUDACHER,MATT",,,"ASSIST  by STAUDACHER,MATT",2
17:38,"MISS JUMPER by GAGEN,BRENNAN",,,,,,,"MISS JUMPER by GAGEN,BRENNAN",2
--,,,,,"REBOUND DEF by SEARS,DREW",,,"REBOUND DEF by SEARS,DREW",2
17:29,,,,,"MISS 3PTR by STAUDACHER,MATT",,,"MISS 3PTR by STAUDACHER,MATT",2
--,"REBOUND DEF by MARKWITH,TRENT",,,,,,,"REBOUND DEF by MARKWITH,TRENT",2
17:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:18,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",2
17:18,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",2
17:18,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",2
17:18,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",2
17:13,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",24,,48 (+24),,MILLMBB 24-48 (-24),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",2
16:51,,24,,51 (+27),"GOOD 3PTR by JURLINA,CHRISTIAN",WHTW-M 24-51 (-27),,"GOOD 3PTR by JURLINA,CHRISTIAN",2
--,,,,,"ASSIST  by STAUDACHER,MATT",,,"ASSIST  by STAUDACHER,MATT",2
16:37,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",2
16:37,,,,,"BLOCK  by SEARS,DREW",,,"BLOCK  by SEARS,DREW",2
--,"REBOUND OFF by GERCHOW,ALEX",,,,,,,"REBOUND OFF by GERCHOW,ALEX",2
16:33,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",26,,51 (+25),,MILLMBB 26-51 (-25),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
16:23,,,,,"MISS 3PTR by VALLE,GEORGE",,,"MISS 3PTR by VALLE,GEORGE",2
