Time Remaining,MILLMBB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
17:16,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:56,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
16:56,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
16:53,"MISS JUMPER by MANCUSO,LOGAN",,,,,,,"MISS JUMPER by MANCUSO,LOGAN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
16:51,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",1
16:51,,4,,6 (+2),"GOOD 3PTR by SINE,TUCKER",CENTRE 4-6 (-2),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
16:10,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
16:10,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",1
16:10,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
16:10,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
16:10,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
16:10,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
15:48,,4,,9 (+5),"GOOD 3PTR by SINE,TUCKER",CENTRE 4-9 (-5),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
15:35,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",6,,9 (+3),,MILLMBB 6-9 (-3),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",1
15:13,,6,,11 (+5),"GOOD JUMPER by SCINTA,BLAKE",CENTRE 6-11 (-5),,"GOOD JUMPER by SCINTA,BLAKE",1
--,,,,,"ASSIST  by GRUBER,SAM",,,"ASSIST  by GRUBER,SAM",1
14:51,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",1
14:51,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
14:51,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
14:51,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
14:51,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
14:51,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",1
14:51,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
14:47,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",1
14:47,"GOOD FT by ATKINSON,QUINN",7,,11 (+4),,MILLMBB 7-11 (-4),,"GOOD FT by ATKINSON,QUINN",1
14:47,"MISS FT by ATKINSON,QUINN",,,,,,,"MISS FT by ATKINSON,QUINN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:47,"GOOD FT by ATKINSON,QUINN",8,,11 (+3),,MILLMBB 8-11 (-3),,"GOOD FT by ATKINSON,QUINN",1
14:47,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",1
14:47,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
14:28,,,,,"TURNOVER  by EBERT,CARSON",,,"TURNOVER  by EBERT,CARSON",1
14:28,"STEAL  by HANSTAD,RAJAN",,,,,,,"STEAL  by HANSTAD,RAJAN",1
14:28,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
14:28,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
14:05,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
14:02,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
14:02,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
14:02,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
13:35,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
13:33,"STEAL  by MASON,ROBERT WADE",,,,,,,"STEAL  by MASON,ROBERT WADE",1
13:20,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by GRUBER,SAM",,,"REBOUND DEF by GRUBER,SAM",1
13:05,,8,,13 (+5),"GOOD JUMPER by GRUBER,SAM",CENTRE 8-13 (-5),,"GOOD JUMPER by GRUBER,SAM",1
--,,,,,"ASSIST  by EBERT,CARSON",,,"ASSIST  by EBERT,CARSON",1
12:38,"MISS JUMPER by MANCUSO,LOGAN",,,,,,,"MISS JUMPER by MANCUSO,LOGAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:36,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
12:36,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
12:36,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
12:36,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
12:36,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
12:36,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
12:36,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
12:36,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
12:36,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
12:36,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
12:36,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",1
12:33,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
12:21,,8,,16 (+8),"GOOD 3PTR by SINE,TUCKER",CENTRE 8-16 (-8),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
11:52,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by ARNETT,MICHAEL",,,"REBOUND DEF by ARNETT,MICHAEL",1
11:34,,8,,18 (+10),"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",CENTRE 8-18 (-10),,"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",1
11:23,"MISS 3PTR by JONES,BLAKE",,,,,,,"MISS 3PTR by JONES,BLAKE",1
--,,,,,"REBOUND DEF by ARNETT,MICHAEL",,,"REBOUND DEF by ARNETT,MICHAEL",1
11:10,,8,,21 (+13),"GOOD 3PTR by SCINTA,BLAKE",CENTRE 8-21 (-13),,"GOOD 3PTR by SCINTA,BLAKE",1
--,,,,,"ASSIST  by ARNETT,MICHAEL",,,"ASSIST  by ARNETT,MICHAEL",1
11:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:59,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
10:59,"SUB IN by MARKWITH,TRENT",,,,,,,"SUB IN by MARKWITH,TRENT",1
10:59,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
10:59,"SUB OUT by HANSTAD,RAJAN",,,,,,,"SUB OUT by HANSTAD,RAJAN",1
10:57,"GOOD 3PTR by ATKINSON,QUINN",11,,21 (+10),,MILLMBB 11-21 (-10),,"GOOD 3PTR by ATKINSON,QUINN",1
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",1
10:38,,11,,24 (+13),"GOOD 3PTR by SINE,TUCKER",CENTRE 11-24 (-13),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
10:11,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",1
10:11,"GOOD FT by GAGEN,BRENNAN",12,,24 (+12),,MILLMBB 12-24 (-12),,"GOOD FT by GAGEN,BRENNAN",1
10:11,"GOOD FT by GAGEN,BRENNAN",13,,24 (+11),,MILLMBB 13-24 (-11),,"GOOD FT by GAGEN,BRENNAN",1
10:11,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
10:11,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
10:00,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
10:00,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
10:00,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
10:00,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
09:47,"GOOD 3PTR by ATKINSON,QUINN",16,,24 (+8),,MILLMBB 16-24 (-8),,"GOOD 3PTR by ATKINSON,QUINN",1
--,"ASSIST  by GAGEN,BRENNAN",,,,,,,"ASSIST  by GAGEN,BRENNAN",1
09:33,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND DEF by MANCUSO,LOGAN",,,,,,,"REBOUND DEF by MANCUSO,LOGAN",1
09:19,"MISS 3PTR by GAGEN,BRENNAN",,,,,,,"MISS 3PTR by GAGEN,BRENNAN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
09:08,,16,,27 (+11),"GOOD 3PTR by GRUBER,SAM",CENTRE 16-27 (-11),,"GOOD 3PTR by GRUBER,SAM",1
--,,,,,"ASSIST  by EBERT,CARSON",,,"ASSIST  by EBERT,CARSON",1
09:05,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
08:50,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:25,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",1
--,"REBOUND DEF by GAGEN,BRENNAN",,,,,,,"REBOUND DEF by GAGEN,BRENNAN",1
08:17,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND OFF by MANCUSO,LOGAN",,,,,,,"REBOUND OFF by MANCUSO,LOGAN",1
08:14,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
08:14,"SUB OUT by MARKWITH,TRENT",,,,,,,"SUB OUT by MARKWITH,TRENT",1
08:10,"GOOD JUMPER by MANCUSO,LOGAN",18,,27 (+9),,MILLMBB 18-27 (-9),,"GOOD JUMPER by MANCUSO,LOGAN",1
08:01,,18,,30 (+12),"GOOD 3PTR by GRUBER,SAM",CENTRE 18-30 (-12),,"GOOD 3PTR by GRUBER,SAM",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
07:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:59,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
07:59,"SUB OUT by MANCUSO,LOGAN",,,,,,,"SUB OUT by MANCUSO,LOGAN",1
07:59,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",1
07:59,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
07:48,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
07:48,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:33,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by ATKINSON,QUINN",,,,,,,"REBOUND DEF by ATKINSON,QUINN",1
07:19,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",1
07:19,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
07:19,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
07:12,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
07:12,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",1
06:58,,18,,33 (+15),"GOOD 3PTR by SINE,TUCKER",CENTRE 18-33 (-15),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
06:39,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",1
06:39,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:39,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:36,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",1
06:36,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
06:36,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
06:36,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
06:36,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
06:36,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
06:36,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
06:36,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
06:36,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
06:17,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
06:16,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",1
05:50,,18,,35 (+17),"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE 18-35 (-17),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
05:32,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",1
05:32,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by GRUBER,SAM",,,"REBOUND DEF by GRUBER,SAM",1
05:27,,18,,37 (+19),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 18-37 (-19),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
05:14,"MISS JUMPER by MASON,ROBERT WADE",,,,,,,"MISS JUMPER by MASON,ROBERT WADE",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
04:50,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by JONES,BLAKE",,,,,,,"REBOUND DEF by JONES,BLAKE",1
04:45,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",20,,37 (+17),,MILLMBB 20-37 (-17),,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
04:25,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",1
04:23,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",1
04:23,"SUB IN by MANCUSO,LOGAN",,,,,,,"SUB IN by MANCUSO,LOGAN",1
04:23,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
04:23,"SUB OUT by MASON,ROBERT WADE",,,,,,,"SUB OUT by MASON,ROBERT WADE",1
04:23,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
04:23,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
04:23,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
04:23,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
04:23,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
04:23,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",1
04:23,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
04:07,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",1
--,,,,,"REBOUND OFF by GUMP,MATT",,,"REBOUND OFF by GUMP,MATT",1
04:02,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",1
03:59,,20,,39 (+19),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 20-39 (-19),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
03:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:42,"GOOD 3PTR by GAGEN,BRENNAN",23,,39 (+16),,MILLMBB 23-39 (-16),,"GOOD 3PTR by GAGEN,BRENNAN",1
--,"ASSIST  by ATKINSON,QUINN",,,,,,,"ASSIST  by ATKINSON,QUINN",1
03:05,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
02:50,,23,,41 (+18),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE 23-41 (-18),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
02:25,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
02:08,,23,,44 (+21),"GOOD 3PTR by SINE,TUCKER",CENTRE 23-44 (-21),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
01:54,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",1
01:54,"SUB IN by MASON,ROBERT WADE",,,,,,,"SUB IN by MASON,ROBERT WADE",1
01:54,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
01:42,"GOOD JUMPER by ATKINSON,QUINN",25,,44 (+19),,MILLMBB 25-44 (-19),,"GOOD JUMPER by ATKINSON,QUINN",1
01:15,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",1
01:12,,25,,46 (+21),"GOOD TIPIN by SCINTA,BLAKE(in the paint)",CENTRE 25-46 (-21),,"GOOD TIPIN by SCINTA,BLAKE(in the paint)",1
00:59,"MISS JUMPER by MASON,ROBERT WADE",,,,,,,"MISS JUMPER by MASON,ROBERT WADE",1
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",1
00:51,,25,,48 (+23),"GOOD JUMPER by SINE,TUCKER",CENTRE 25-48 (-23),,"GOOD JUMPER by SINE,TUCKER",1
00:35,"MISS JUMPER by MANCUSO,LOGAN",,,,,,,"MISS JUMPER by MANCUSO,LOGAN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
00:08,,25,,51 (+26),"GOOD 3PTR by SINE,TUCKER",CENTRE 25-51 (-26),,"GOOD 3PTR by SINE,TUCKER",1
00:01,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
19:35,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",2
19:35,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
19:09,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",2
19:03,,25,,53 (+28),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 25-53 (-28),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
18:33,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",2
18:33,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
18:12,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
17:45,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",2
17:45,"MISS FT by GAGEN,BRENNAN",,,,,,,"MISS FT by GAGEN,BRENNAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:45,"GOOD FT by GAGEN,BRENNAN",26,,53 (+27),,MILLMBB 26-53 (-27),,"GOOD FT by GAGEN,BRENNAN",2
17:45,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
17:45,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
17:28,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",2
17:16,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",2
--,"REBOUND DEF by MASON,ROBERT WADE",,,,,,,"REBOUND DEF by MASON,ROBERT WADE",2
16:51,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",2
16:44,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",2
16:23,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",2
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",2
16:18,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",2
16:18,"GOOD FT by ATKINSON,QUINN",27,,53 (+26),,MILLMBB 27-53 (-26),,"GOOD FT by ATKINSON,QUINN",2
16:18,"GOOD FT by ATKINSON,QUINN",28,,53 (+25),,MILLMBB 28-53 (-25),,"GOOD FT by ATKINSON,QUINN",2
16:18,"SUB IN by HANSTAD,RAJAN",,,,,,,"SUB IN by HANSTAD,RAJAN",2
16:18,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
15:57,"FOUL  by GAGEN,BRENNAN",,,,,,,"FOUL  by GAGEN,BRENNAN",2
15:57,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:57,,28,,54 (+26),"GOOD FT by WESLEY,TYLER",CENTRE 28-54 (-26),,"GOOD FT by WESLEY,TYLER",2
15:57,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
