Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,MILLMBB,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by KENNEDY,JAKE",,,,,,,"REBOUND DEF by KENNEDY,JAKE",1
07:11,"GOOD 3PTR by SCHEXNAYDER,GREG",19,,20 (+1),,LETU 19-20 (+1),,"GOOD 3PTR by SCHEXNAYDER,GREG",1
--,"ASSIST  by MARTIN,JEFF",,,,,,,"ASSIST  by MARTIN,JEFF",1
07:04,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:04,"SUB IN by COLHOFF,ALEC",,,,,,,"SUB IN by COLHOFF,ALEC",1
07:04,"SUB IN by SCHEXNAYDER,GREG",,,,,,,"SUB IN by SCHEXNAYDER,GREG",1
07:04,"SUB OUT by MATTSON,SETH",,,,,,,"SUB OUT by MATTSON,SETH",1
07:04,"SUB OUT by WELLS,ZAKARIUS",,,,,,,"SUB OUT by WELLS,ZAKARIUS",1
07:04,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
07:04,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
07:04,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",1
07:04,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",1
07:04,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
07:04,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
06:56,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",1
--,"REBOUND DEF by MARTIN,JEFF",,,,,,,"REBOUND DEF by MARTIN,JEFF",1
06:48,"MISS 3PTR by COLHOFF,ALEC",,,,,,,"MISS 3PTR by COLHOFF,ALEC",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
06:27,,,,,"MISS JUMPER by SPENCE,JACOB",,,"MISS JUMPER by SPENCE,JACOB",1
--,"REBOUND DEF by MARTIN,JEFF",,,,,,,"REBOUND DEF by MARTIN,JEFF",1
06:15,"MISS 3PTR by SCHEXNAYDER,GREG",,,,,,,"MISS 3PTR by SCHEXNAYDER,GREG",1
--,,,,,"REBOUND DEF by SPENCE,JACOB",,,"REBOUND DEF by SPENCE,JACOB",1
06:06,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",1
--,"REBOUND DEF by MARTIN,JEFF",,,,,,,"REBOUND DEF by MARTIN,JEFF",1
05:55,"GOOD JUMPER by KENNEDY,JAKE",21 (+1),,20,,LETU 21-20 (-1),,"GOOD JUMPER by KENNEDY,JAKE",1
--,"ASSIST  by THOMPSON,GIOVANNY",,,,,,,"ASSIST  by THOMPSON,GIOVANNY",1
05:36,"FOUL  by SCHEXNAYDER,GREG",,,,,,,"FOUL  by SCHEXNAYDER,GREG",1
05:36,,21,,21,"GOOD FT by MOORE,MYLES",MILLMBB 21-21 (0),,"GOOD FT by MOORE,MYLES",1
05:36,,21,,22 (+1),"GOOD FT by MOORE,MYLES",MILLMBB 21-22 (+1),,"GOOD FT by MOORE,MYLES",1
05:36,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
05:36,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
05:15,"MISS 3PTR by COLHOFF,ALEC",,,,,,,"MISS 3PTR by COLHOFF,ALEC",1
--,,,,,"REBOUND DEF by SPENCE,JACOB",,,"REBOUND DEF by SPENCE,JACOB",1
04:45,,,,,"MISS 3PTR by MOORE,MYLES",,,"MISS 3PTR by MOORE,MYLES",1
--,,,,,"REBOUND OFF by SPENCE,JACOB",,,"REBOUND OFF by SPENCE,JACOB",1
04:38,,,,,"TURNOVER  by SPENCE,JACOB",,,"TURNOVER  by SPENCE,JACOB",1
04:21,"TURNOVER  by COLHOFF,ALEC",,,,,,,"TURNOVER  by COLHOFF,ALEC",1
04:17,,,,,"STEAL  by MARKWITH,TRENT",,,"STEAL  by MARKWITH,TRENT",1
04:15,,21,,24 (+3),"GOOD DUNK by MARKWITH,TRENT(fastbreak)(in the paint)",MILLMBB 21-24 (+3),,"GOOD DUNK by MARKWITH,TRENT(fastbreak)(in the paint)",1
04:07,"TURNOVER  by MARTIN,JEFF",,,,,,,"TURNOVER  by MARTIN,JEFF",1
04:07,"SUB IN by LOGGINS,CALEB",,,,,,,"SUB IN by LOGGINS,CALEB",1
04:07,"SUB OUT by KENNEDY,JAKE",,,,,,,"SUB OUT by KENNEDY,JAKE",1
04:00,,,,,"MISS JUMPER by SPENCE,JACOB",,,"MISS JUMPER by SPENCE,JACOB",1
--,"REBOUND DEF by THOMPSON,GIOVANNY",,,,,,,"REBOUND DEF by THOMPSON,GIOVANNY",1
03:45,"TURNOVER  by MARTIN,JEFF",,,,,,,"TURNOVER  by MARTIN,JEFF",1
03:45,"SUB IN by MATTSON,SETH",,,,,,,"SUB IN by MATTSON,SETH",1
03:45,"SUB OUT by SCHEXNAYDER,GREG",,,,,,,"SUB OUT by SCHEXNAYDER,GREG",1
03:45,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
03:45,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",1
03:20,,,,,"MISS JUMPER by MARKWITH,TRENT",,,"MISS JUMPER by MARKWITH,TRENT",1
--,"REBOUND DEF by THOMPSON,GIOVANNY",,,,,,,"REBOUND DEF by THOMPSON,GIOVANNY",1
03:17,,,,,"FOUL  by SPENCE,JACOB",,,"FOUL  by SPENCE,JACOB",1
03:17,"GOOD FT by THOMPSON,GIOVANNY",22,,24 (+2),,LETU 22-24 (+2),,"GOOD FT by THOMPSON,GIOVANNY",1
03:17,"GOOD FT by THOMPSON,GIOVANNY",23,,24 (+1),,LETU 23-24 (+1),,"GOOD FT by THOMPSON,GIOVANNY",1
03:17,"SUB IN by ERBY,BRYSON",,,,,,,"SUB IN by ERBY,BRYSON",1
03:17,"SUB OUT by MARTIN,JEFF",,,,,,,"SUB OUT by MARTIN,JEFF",1
