Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,MILLMBB,Game Score,Team Indicator,Play,Period
15:53,"SUB OUT by IGBINOSA,STEPHEN",,,,,,,"SUB OUT by IGBINOSA,STEPHEN",1
15:49,"FOUL  by WADE,JUSTIN",,,,,,,"FOUL  by WADE,JUSTIN",1
15:34,,11 (+3),,8,"GOOD JUMPER by MCSWAIN,JOSHUA",MILLMBB 11-8 (-3),,"GOOD JUMPER by MCSWAIN,JOSHUA",1
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",1
15:11,"TURNOVER  by WADE,JUSTIN",,,,,,,"TURNOVER  by WADE,JUSTIN",1
15:11,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",1
15:11,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",1
15:11,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
15:11,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
14:57,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by SULLIVAN,ALAN",,,,,,,"REBOUND DEF by SULLIVAN,ALAN",1
14:35,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:35,"SUB IN by DICKERMAN,JOSH",,,,,,,"SUB IN by DICKERMAN,JOSH",1
14:35,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",1
14:35,"SUB OUT by HUDSON,CEDRIC",,,,,,,"SUB OUT by HUDSON,CEDRIC",1
14:35,"SUB OUT by SULLIVAN,ALAN",,,,,,,"SUB OUT by SULLIVAN,ALAN",1
14:26,"TURNOVER  by DICKERMAN,JOSH",,,,,,,"TURNOVER  by DICKERMAN,JOSH",1
14:19,,,,,"TURNOVER  by SPENCE,JACOB",,,"TURNOVER  by SPENCE,JACOB",1
14:19,,,,,"FOUL  by SPENCE,JACOB",,,"FOUL  by SPENCE,JACOB",1
14:19,,,,,"SUB IN by HANSTAD,RAJAN",,,"SUB IN by HANSTAD,RAJAN",1
14:19,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
14:07,,,,,"FOUL  by MCSWAIN,JOSHUA",,,"FOUL  by MCSWAIN,JOSHUA",1
14:07,"GOOD FT by DICKERMAN,JOSH",12 (+4),,8,,ACM 12-8 (-4),,"GOOD FT by DICKERMAN,JOSH",1
14:07,"GOOD FT by DICKERMAN,JOSH",13 (+5),,8,,ACM 13-8 (-5),,"GOOD FT by DICKERMAN,JOSH",1
14:07,"GOOD FT by DICKERMAN,JOSH",14 (+6),,8,,ACM 14-8 (-6),,"GOOD FT by DICKERMAN,JOSH",1
13:52,,,,,"MISS LAYUP by MCSWAIN,JOSHUA",,,"MISS LAYUP by MCSWAIN,JOSHUA",1
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",1
13:37,"MISS 3PTR by SWISHER,JEREMY",,,,,,,"MISS 3PTR by SWISHER,JEREMY",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
13:14,,14 (+4),,10,"GOOD JUMPER by MCSWAIN,JOSHUA",MILLMBB 14-10 (-4),,"GOOD JUMPER by MCSWAIN,JOSHUA",1
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",1
13:02,"GOOD 3PTR by DICKERMAN,JOSH",17 (+7),,10,,ACM 17-10 (-7),,"GOOD 3PTR by DICKERMAN,JOSH",1
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",1
12:40,,,,,"MISS LAYUP by SPENCE,JACOB",,,"MISS LAYUP by SPENCE,JACOB",1
--,"REBOUND DEF by HUDSON,CEDRIC",,,,,,,"REBOUND DEF by HUDSON,CEDRIC",1
12:29,"TURNOVER  by WADE,JUSTIN",,,,,,,"TURNOVER  by WADE,JUSTIN",1
12:29,"FOUL  by WADE,JUSTIN",,,,,,,"FOUL  by WADE,JUSTIN",1
12:29,"SUB IN by HUDSON,CEDRIC",,,,,,,"SUB IN by HUDSON,CEDRIC",1
12:29,"SUB IN by IGBINOSA,STEPHEN",,,,,,,"SUB IN by IGBINOSA,STEPHEN",1
12:29,"SUB OUT by FREET,AUSTIN",,,,,,,"SUB OUT by FREET,AUSTIN",1
12:29,"SUB OUT by WADE,JUSTIN",,,,,,,"SUB OUT by WADE,JUSTIN",1
12:29,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
12:29,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
12:29,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
12:29,,,,,"SUB OUT by HANSTAD,RAJAN",,,"SUB OUT by HANSTAD,RAJAN",1
12:29,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
12:29,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",1
12:19,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
--,,,,,"REBOUND OFF by SPENCE,JACOB",,,"REBOUND OFF by SPENCE,JACOB",1
12:14,,17 (+5),,12,"GOOD LAYUP by SPENCE,JACOB(in the paint)",MILLMBB 17-12 (-5),,"GOOD LAYUP by SPENCE,JACOB(in the paint)",1
11:50,"MISS JUMPER by IGBINOSA,STEPHEN",,,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",1
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",1
11:38,"FOUL  by DICKERMAN,JOSH",,,,,,,"FOUL  by DICKERMAN,JOSH",1
11:38,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
11:38,,,,,"SUB OUT by SPENCE,JACOB",,,"SUB OUT by SPENCE,JACOB",1
11:37,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
--,"REBOUND DEF by SWISHER,JEREMY",,,,,,,"REBOUND DEF by SWISHER,JEREMY",1
11:32,"TURNOVER  by HUDSON,CEDRIC",,,,,,,"TURNOVER  by HUDSON,CEDRIC",1
11:29,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",1
11:29,"SUB IN by FREET,AUSTIN",,,,,,,"SUB IN by FREET,AUSTIN",1
11:29,"SUB OUT by BAEHL,BRIAN",,,,,,,"SUB OUT by BAEHL,BRIAN",1
11:29,"SUB OUT by DICKERMAN,JOSH",,,,,,,"SUB OUT by DICKERMAN,JOSH",1
11:29,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
11:29,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
11:18,,,,,"MISS LAYUP by MANCUSO,LOGAN",,,"MISS LAYUP by MANCUSO,LOGAN",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
10:54,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
10:23,"MISS 3PTR by SWISHER,JEREMY",,,,,,,"MISS 3PTR by SWISHER,JEREMY",1
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",1
10:09,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",1
10:09,"BLOCK  by IGBINOSA,STEPHEN",,,,,,,"BLOCK  by IGBINOSA,STEPHEN",1
--,"REBOUND DEF by IGBINOSA,STEPHEN",,,,,,,"REBOUND DEF by IGBINOSA,STEPHEN",1
10:02,"MISS 3PTR by RIVERA,ANDRES",,,,,,,"MISS 3PTR by RIVERA,ANDRES",1
--,"REBOUND OFF by FREET,AUSTIN",,,,,,,"REBOUND OFF by FREET,AUSTIN",1
09:57,"MISS JUMPER by SWISHER,JEREMY",,,,,,,"MISS JUMPER by SWISHER,JEREMY",1
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",1
09:42,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
09:35,"TURNOVER  by FREET,AUSTIN",,,,,,,"TURNOVER  by FREET,AUSTIN",1
09:35,"SUB IN by SULLIVAN,ALAN",,,,,,,"SUB IN by SULLIVAN,ALAN",1
09:35,"SUB OUT by SWISHER,JEREMY",,,,,,,"SUB OUT by SWISHER,JEREMY",1
09:35,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",1
09:35,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",1
09:35,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
09:35,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
09:22,,,,,"TURNOVER  by MCSWAIN,JOSHUA",,,"TURNOVER  by MCSWAIN,JOSHUA",1
09:07,"MISS JUMPER by SULLIVAN,ALAN",,,,,,,"MISS JUMPER by SULLIVAN,ALAN",1
--,"REBOUND OFF by FREET,AUSTIN",,,,,,,"REBOUND OFF by FREET,AUSTIN",1
09:03,"MISS 3PTR by SULLIVAN,ALAN",,,,,,,"MISS 3PTR by SULLIVAN,ALAN",1
--,,,,,"REBOUND DEF by JONES,BLAKE",,,"REBOUND DEF by JONES,BLAKE",1
08:55,"FOUL  by RIVERA,ANDRES",,,,,,,"FOUL  by RIVERA,ANDRES",1
08:47,,17 (+3),,14,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",MILLMBB 17-14 (-3),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",1
08:35,"MISS JUMPER by IGBINOSA,STEPHEN",,,,,,,"MISS JUMPER by IGBINOSA,STEPHEN",1
--,"REBOUND OFF by IGBINOSA,STEPHEN",,,,,,,"REBOUND OFF by IGBINOSA,STEPHEN",1
08:32,,,,,"FOUL  by SPENCE,JACOB",,,"FOUL  by SPENCE,JACOB",1
08:24,"MISS 3PTR by HUDSON,CEDRIC",,,,,,,"MISS 3PTR by HUDSON,CEDRIC",1
--,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",,,"REBOUND DEF by MCSWAIN,JOSHUA",1
08:16,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
08:16,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
08:16,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
08:16,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",1
08:16,,,,,"SUB OUT by SPENCE,JACOB",,,"SUB OUT by SPENCE,JACOB",1
07:46,"TURNOVER  by SULLIVAN,ALAN",,,,,,,"TURNOVER  by SULLIVAN,ALAN",1
07:44,,,,,"STEAL  by GAGEN,BRENNAN",,,"STEAL  by GAGEN,BRENNAN",1
07:39,"FOUL  by SULLIVAN,ALAN",,,,,,,"FOUL  by SULLIVAN,ALAN",1
07:39,,17 (+2),,15,"GOOD FT by ROBERTSON,MARC",MILLMBB 17-15 (-2),,"GOOD FT by ROBERTSON,MARC",1
07:39,,17 (+1),,16,"GOOD FT by ROBERTSON,MARC",MILLMBB 17-16 (-1),,"GOOD FT by ROBERTSON,MARC",1
07:39,"SUB IN by BAEHL,BRIAN",,,,,,,"SUB IN by BAEHL,BRIAN",1
07:39,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",1
07:39,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
07:39,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
07:26,"TURNOVER  by SULLIVAN,ALAN",,,,,,,"TURNOVER  by SULLIVAN,ALAN",1
07:24,,,,,"STEAL  by GAGEN,BRENNAN",,,"STEAL  by GAGEN,BRENNAN",1
07:06,,,,,"MISS LAYUP by MARKWITH,TRENT",,,"MISS LAYUP by MARKWITH,TRENT",1
07:06,"BLOCK  by HUDSON,CEDRIC",,,,,,,"BLOCK  by HUDSON,CEDRIC",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:02,,,,,"MISS LAYUP by MANCUSO,LOGAN",,,"MISS LAYUP by MANCUSO,LOGAN",1
07:02,"BLOCK  by IGBINOSA,STEPHEN",,,,,,,"BLOCK  by IGBINOSA,STEPHEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:59,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",1
--,"REBOUND DEF by SULLIVAN,ALAN",,,,,,,"REBOUND DEF by SULLIVAN,ALAN",1
06:44,,,,,"FOUL  by MANCUSO,LOGAN",,,"FOUL  by MANCUSO,LOGAN",1
06:44,"GOOD FT by SULLIVAN,ALAN",18 (+2),,16,,ACM 18-16 (-2),,"GOOD FT by SULLIVAN,ALAN",1
06:44,"MISS FT by SULLIVAN,ALAN",,,,,,,"MISS FT by SULLIVAN,ALAN",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
06:44,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
06:44,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
06:33,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by IGBINOSA,STEPHEN",,,,,,,"REBOUND DEF by IGBINOSA,STEPHEN",1
06:16,"MISS 3PTR by SULLIVAN,ALAN",,,,,,,"MISS 3PTR by SULLIVAN,ALAN",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
06:04,,,,,"MISS JUMPER by MCSWAIN,JOSHUA",,,"MISS JUMPER by MCSWAIN,JOSHUA",1
--,"REBOUND DEF by SULLIVAN,ALAN",,,,,,,"REBOUND DEF by SULLIVAN,ALAN",1
05:41,"MISS LAYUP by SULLIVAN,ALAN",,,,,,,"MISS LAYUP by SULLIVAN,ALAN",1
05:41,,,,,"BLOCK  by MCSWAIN,JOSHUA",,,"BLOCK  by MCSWAIN,JOSHUA",1
--,"REBOUND OFF by SULLIVAN,ALAN",,,,,,,"REBOUND OFF by SULLIVAN,ALAN",1
05:34,"MISS LAYUP by BAEHL,BRIAN",,,,,,,"MISS LAYUP by BAEHL,BRIAN",1
--,"REBOUND OFF by BAEHL,BRIAN",,,,,,,"REBOUND OFF by BAEHL,BRIAN",1
05:30,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
05:30,"GOOD FT by BAEHL,BRIAN",19 (+3),,16,,ACM 19-16 (-3),,"GOOD FT by BAEHL,BRIAN",1
05:30,"GOOD FT by BAEHL,BRIAN",20 (+4),,16,,ACM 20-16 (-4),,"GOOD FT by BAEHL,BRIAN",1
05:30,"SUB IN by DICKERMAN,JOSH",,,,,,,"SUB IN by DICKERMAN,JOSH",1
05:30,"SUB OUT by HUDSON,CEDRIC",,,,,,,"SUB OUT by HUDSON,CEDRIC",1
05:30,,,,,"SUB IN by SPENCE,JACOB",,,"SUB IN by SPENCE,JACOB",1
05:30,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
05:20,"FOUL  by IGBINOSA,STEPHEN",,,,,,,"FOUL  by IGBINOSA,STEPHEN",1
05:20,,,,,"MISS FT by SPENCE,JACOB",,,"MISS FT by SPENCE,JACOB",1
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",1
05:20,"SUB IN by ESSIEN,CHRIS",,,,,,,"SUB IN by ESSIEN,CHRIS",1
05:20,"SUB OUT by IGBINOSA,STEPHEN",,,,,,,"SUB OUT by IGBINOSA,STEPHEN",1
04:58,"TURNOVER  by SULLIVAN,ALAN",,,,,,,"TURNOVER  by SULLIVAN,ALAN",1
04:56,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",1
04:52,"FOUL  by ESSIEN,CHRIS",,,,,,,"FOUL  by ESSIEN,CHRIS",1
04:52,,20 (+3),,17,"GOOD FT by ROBERTSON,MARC",MILLMBB 20-17 (-3),,"GOOD FT by ROBERTSON,MARC",1
04:52,,20 (+2),,18,"GOOD FT by ROBERTSON,MARC",MILLMBB 20-18 (-2),,"GOOD FT by ROBERTSON,MARC",1
04:52,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
04:52,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",1
04:39,"MISS 3PTR by DICKERMAN,JOSH",,,,,,,"MISS 3PTR by DICKERMAN,JOSH",1
--,,,,,"REBOUND DEF by SPENCE,JACOB",,,"REBOUND DEF by SPENCE,JACOB",1
04:31,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
04:31,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",1
04:08,"MISS LAYUP by DICKERMAN,JOSH",,,,,,,"MISS LAYUP by DICKERMAN,JOSH",1
--,,,,,"REBOUND DEF by SPENCE,JACOB",,,"REBOUND DEF by SPENCE,JACOB",1
04:05,"FOUL  by ESSIEN,CHRIS",,,,,,,"FOUL  by ESSIEN,CHRIS",1
04:05,,20 (+1),,19,"GOOD FT by SPENCE,JACOB",MILLMBB 20-19 (-1),,"GOOD FT by SPENCE,JACOB",1
04:05,,20,,20,"GOOD FT by SPENCE,JACOB",MILLMBB 20-20 (0),,"GOOD FT by SPENCE,JACOB",1
04:05,"SUB IN by HUDSON,CEDRIC",,,,,,,"SUB IN by HUDSON,CEDRIC",1
04:05,"SUB OUT by ESSIEN,CHRIS",,,,,,,"SUB OUT by ESSIEN,CHRIS",1
04:05,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
04:05,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
03:49,,,,,"FOUL  by SPENCE,JACOB",,,"FOUL  by SPENCE,JACOB",1
03:49,"GOOD FT by HUDSON,CEDRIC",21 (+1),,20,,ACM 21-20 (-1),,"GOOD FT by HUDSON,CEDRIC",1
03:49,"MISS FT by HUDSON,CEDRIC",,,,,,,"MISS FT by HUDSON,CEDRIC",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
03:49,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
03:49,,,,,"SUB OUT by SPENCE,JACOB",,,"SUB OUT by SPENCE,JACOB",1
03:46,"FOUL  by SULLIVAN,ALAN",,,,,,,"FOUL  by SULLIVAN,ALAN",1
03:46,,21,,21,"GOOD FT by MARKWITH,TRENT",MILLMBB 21-21 (0),,"GOOD FT by MARKWITH,TRENT",1
03:46,,21,,22 (+1),"GOOD FT by MARKWITH,TRENT",MILLMBB 21-22 (+1),,"GOOD FT by MARKWITH,TRENT",1
03:46,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",1
03:46,"SUB OUT by SULLIVAN,ALAN",,,,,,,"SUB OUT by SULLIVAN,ALAN",1
03:17,"GOOD 3PTR by BAEHL,BRIAN",24 (+2),,22,,ACM 24-22 (-2),,"GOOD 3PTR by BAEHL,BRIAN",1
03:03,,24,,24,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",MILLMBB 24-24 (0),,"GOOD JUMPER by MARKWITH,TRENT(in the paint)",1
02:50,"MISS LAYUP by SWISHER,JEREMY",,,,,,,"MISS LAYUP by SWISHER,JEREMY",1
02:50,,,,,"BLOCK  by GERCHOW,ALEX",,,"BLOCK  by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
02:43,,,,,"TURNOVER  by ATKINSON,QUINN",,,"TURNOVER  by ATKINSON,QUINN",1
02:40,"STEAL  by SWISHER,JEREMY",,,,,,,"STEAL  by SWISHER,JEREMY",1
02:40,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
02:40,"MISS FT by SWISHER,JEREMY",,,,,,,"MISS FT by SWISHER,JEREMY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:40,"GOOD FT by SWISHER,JEREMY",25 (+1),,24,,ACM 25-24 (-1),,"GOOD FT by SWISHER,JEREMY",1
02:40,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
02:40,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
02:22,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
--,"REBOUND DEF by DICKERMAN,JOSH",,,,,,,"REBOUND DEF by DICKERMAN,JOSH",1
02:14,"GOOD LAYUP by SWISHER,JEREMY(in the paint)",27 (+3),,24,,ACM 27-24 (-3),,"GOOD LAYUP by SWISHER,JEREMY(in the paint)",1
