Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,17BSC-M,Game Score,Team Indicator,Play,Period
16:12,,,,,"STEAL  by ALLISON,ZACH",,,"STEAL  by ALLISON,ZACH",1
16:12,"FOUL  by LOVE,KERRY",,,,,,,"FOUL  by LOVE,KERRY",1
16:12,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
16:12,"SUB IN by EVANS,ANDREW",,,,,,,"SUB IN by EVANS,ANDREW",1
16:12,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
16:12,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
16:12,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
16:12,"SUB OUT by LOVE,KERRY",,,,,,,"SUB OUT by LOVE,KERRY",1
16:12,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
16:12,"SUB OUT by SWIFT,DJ",,,,,,,"SUB OUT by SWIFT,DJ",1
16:12,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
16:12,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
16:06,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:59,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
15:59,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
15:59,,,,,"SUB OUT by ALLISON,ZACH",,,"SUB OUT by ALLISON,ZACH",1
15:56,"STEAL  by EVANS,ANDREW",,,,,,,"STEAL  by EVANS,ANDREW",1
15:51,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
15:43,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",1
15:43,"BLOCK  by BERRY,BRYCE",,,,,,,"BLOCK  by BERRY,BRYCE",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
15:34,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",12 (+4),,8,,RHODES 12-8 (+4),,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",1
15:18,,12 (+1),,11,"GOOD 3PTR by GONDA,MATT",17BSC-M 12-11 (+1),,"GOOD 3PTR by GONDA,MATT",1
--,,,,,"ASSIST  by DENBESTEN,COLE",,,"ASSIST  by DENBESTEN,COLE",1
15:03,"GOOD 3PTR by WEATHERFORD,MITCH",15 (+4),,11,,RHODES 15-11 (+4),,"GOOD 3PTR by WEATHERFORD,MITCH",1
14:48,,15 (+1),,14,"GOOD 3PTR by GONDA,MATT",17BSC-M 15-14 (+1),,"GOOD 3PTR by GONDA,MATT",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
14:40,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:40,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
14:40,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
14:40,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
14:40,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
14:40,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
14:40,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
14:40,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
14:40,"SUB OUT by EVANS,ANDREW",,,,,,,"SUB OUT by EVANS,ANDREW",1
14:40,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
14:40,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
14:40,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
14:40,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
14:40,,,,,"SUB IN by RUDAK,MATEUSZ",,,"SUB IN by RUDAK,MATEUSZ",1
14:40,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
14:40,,,,,"SUB IN by ALLISON,ZACH",,,"SUB IN by ALLISON,ZACH",1
14:40,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
14:40,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
14:40,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
14:40,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
14:34,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",17 (+3),,14,,RHODES 17-14 (+3),,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",1
14:23,,,,,"TURNOVER  by ALLISON,ZACH",,,"TURNOVER  by ALLISON,ZACH",1
14:17,"STEAL  by DALTON,PRICE",,,,,,,"STEAL  by DALTON,PRICE",1
13:47,"MISS LAYUP by DALTON,PRICE",,,,,,,"MISS LAYUP by DALTON,PRICE",1
--,,,,,"REBOUND DEF by RUDAK,MATEUSZ",,,"REBOUND DEF by RUDAK,MATEUSZ",1
13:47,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:47,,,,,"MISS LAYUP by BAK,CALVIN",,,"MISS LAYUP by BAK,CALVIN",1
13:47,"BLOCK  by SAMSON,VAUGHN",,,,,,,"BLOCK  by SAMSON,VAUGHN",1
--,"REBOUND DEF by EVANS,ANDREW",,,,,,,"REBOUND DEF by EVANS,ANDREW",1
13:47,"GOOD 3PTR by EVANS,ANDREW",20 (+6),,14,,RHODES 20-14 (+6),,"GOOD 3PTR by EVANS,ANDREW",1
13:47,,20 (+4),,16,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",17BSC-M 20-16 (+4),,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",1
12:33,"GOOD 3PTR by SAMSON,VAUGHN",23 (+7),,16,,RHODES 23-16 (+7),,"GOOD 3PTR by SAMSON,VAUGHN",1
12:33,,,,,"MISS LAYUP by RUDAK,MATEUSZ",,,"MISS LAYUP by RUDAK,MATEUSZ",1
--,"REBOUND DEF by SAMSON,VAUGHN",,,,,,,"REBOUND DEF by SAMSON,VAUGHN",1
12:33,"MISS 3PTR by EVANS,ANDREW",,,,,,,"MISS 3PTR by EVANS,ANDREW",1
--,"REBOUND OFF by SAMSON,VAUGHN",,,,,,,"REBOUND OFF by SAMSON,VAUGHN",1
12:33,"MISS 3PTR by EVANS,ANDREW",,,,,,,"MISS 3PTR by EVANS,ANDREW",1
--,"REBOUND OFF by WEATHERFORD,MITCH",,,,,,,"REBOUND OFF by WEATHERFORD,MITCH",1
