Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
15:55,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
15:55,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
15:55,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
15:55,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
15:55,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
15:55,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
15:55,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
15:55,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
15:55,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
15:55,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",1
15:55,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
15:55,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
15:55,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
15:55,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
15:55,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
15:55,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
15:55,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
15:55,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
15:55,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
15:55,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
15:41,,5,,11 (+6),"GOOD 3PTR by MCINTYRE,WILLIAM",RHODES 5-11 (+6),,"GOOD 3PTR by MCINTYRE,WILLIAM",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
15:29,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",1
15:29,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
15:29,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
15:29,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
15:29,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
15:29,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
15:29,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
15:25,,5,,13 (+8),"GOOD LAYUP by BERRY,BRYCE(in the paint)",RHODES 5-13 (+8),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
15:12,"MISS JUMPER by LOVING,JIBRI",,,,,,,"MISS JUMPER by LOVING,JIBRI",1
--,"REBOUND OFF by YANCEY,RICH",,,,,,,"REBOUND OFF by YANCEY,RICH",1
15:03,"GOOD 3PTR by BAK,CALVIN",8,,13 (+5),,17BSC-M 8-13 (+5),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by MURPHY,JUWAN",,,,,,,"ASSIST  by MURPHY,JUWAN",1
14:50,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
14:50,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
14:50,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
14:50,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
14:50,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
14:50,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
14:50,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
14:50,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
14:50,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
14:50,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
14:33,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",1
--,,,,,"REBOUND OFF by DALTON,PRICE",,,"REBOUND OFF by DALTON,PRICE",1
14:28,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by MURPHY,JUWAN",,,,,,,"REBOUND DEF by MURPHY,JUWAN",1
14:05,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",1
14:05,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
14:05,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",1
14:05,"SUB OUT by LOVING,JIBRI",,,,,,,"SUB OUT by LOVING,JIBRI",1
14:05,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
14:05,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
14:05,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
14:05,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
14:05,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
14:05,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
14:05,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
14:05,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
14:05,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
14:05,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
14:05,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
14:04,,,,,"FOUL  by SAMSON,VAUGHN",,,"FOUL  by SAMSON,VAUGHN",1
14:04,"GOOD FT by RUDAK,MATEUSZ",9,,13 (+4),,17BSC-M 9-13 (+4),,"GOOD FT by RUDAK,MATEUSZ",1
14:04,"GOOD FT by RUDAK,MATEUSZ",10,,13 (+3),,17BSC-M 10-13 (+3),,"GOOD FT by RUDAK,MATEUSZ",1
13:57,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",1
13:51,"TURNOVER  by YANCEY,RICH",,,,,,,"TURNOVER  by YANCEY,RICH",1
13:50,,,,,"STEAL  by ASHBY,KENDRICK",,,"STEAL  by ASHBY,KENDRICK",1
13:47,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",1
--,"REBOUND DEF by DENBESTEN,COLE",,,,,,,"REBOUND DEF by DENBESTEN,COLE",1
13:38,"TURNOVER  by DENBESTEN,COLE",,,,,,,"TURNOVER  by DENBESTEN,COLE",1
13:37,"FOUL TECH by RUDAK,MATEUSZ",,,,,,,"FOUL TECH by RUDAK,MATEUSZ",1
13:37,FOUL  by TEAM,,,,,,,FOUL  by TEAM,1
13:37,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
13:37,,10,,15 (+5),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHODES 10-15 (+5),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
13:37,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,1
13:37,"FOUL  by RUDAK,MATEUSZ",,,,,,,"FOUL  by RUDAK,MATEUSZ",1
13:37,,10,,16 (+6),"GOOD FT by NYAWATA,ANESU",RHODES 10-16 (+6),,"GOOD FT by NYAWATA,ANESU",1
13:37,,10,,17 (+7),"GOOD FT by NYAWATA,ANESU",RHODES 10-17 (+7),,"GOOD FT by NYAWATA,ANESU",1
13:37,,10,,18 (+8),"GOOD FT by NYAWATA,ANESU",RHODES 10-18 (+8),,"GOOD FT by NYAWATA,ANESU",1
13:37,,10,,19 (+9),"GOOD FT by NYAWATA,ANESU",RHODES 10-19 (+9),,"GOOD FT by NYAWATA,ANESU",1
13:22,,10,,21 (+11),"GOOD JUMPER by SWIFT,DJ(in the paint)",RHODES 10-21 (+11),,"GOOD JUMPER by SWIFT,DJ(in the paint)",1
13:18,,,,,"FOUL  by SWIFT,DJ",,,"FOUL  by SWIFT,DJ",1
13:18,"GOOD FT by DENEKA,HARRISON",11,,21 (+10),,17BSC-M 11-21 (+10),,"GOOD FT by DENEKA,HARRISON",1
13:18,"GOOD FT by DENEKA,HARRISON",12,,21 (+9),,17BSC-M 12-21 (+9),,"GOOD FT by DENEKA,HARRISON",1
13:18,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
13:18,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
13:18,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
13:18,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
13:18,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
13:18,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
13:18,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
13:18,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
13:18,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
13:18,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
13:11,,,,,"MISS JUMPER by BERRY,BRYCE",,,"MISS JUMPER by BERRY,BRYCE",1
13:11,"BLOCK  by DENEKA,HARRISON",,,,,,,"BLOCK  by DENEKA,HARRISON",1
--,"REBOUND DEF by MURPHY,JUWAN",,,,,,,"REBOUND DEF by MURPHY,JUWAN",1
13:01,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",14,,21 (+7),,17BSC-M 14-21 (+7),,"GOOD LAYUP by DENEKA,HARRISON(fastbreak)(in the paint)",1
--,"ASSIST  by DENBESTEN,COLE",,,,,,,"ASSIST  by DENBESTEN,COLE",1
12:38,,,,,"TURNOVER  by LOVE,KERRY",,,"TURNOVER  by LOVE,KERRY",1
12:36,"MISS 3PTR by DENBESTEN,COLE",,,,,,,"MISS 3PTR by DENBESTEN,COLE",1
--,"REBOUND OFF by RUDAK,MATEUSZ",,,,,,,"REBOUND OFF by RUDAK,MATEUSZ",1
12:32,"MISS 3PTR by GONDA,MATT",,,,,,,"MISS 3PTR by GONDA,MATT",1
--,"REBOUND OFF by SPENCE,BEN",,,,,,,"REBOUND OFF by SPENCE,BEN",1
12:29,"FOUL  by MOORE,KADEN",,,,,,,"FOUL  by MOORE,KADEN",1
12:29,"TURNOVER  by MOORE,KADEN",,,,,,,"TURNOVER  by MOORE,KADEN",1
12:26,,,,,"TURNOVER  by SAMSON,VAUGHN",,,"TURNOVER  by SAMSON,VAUGHN",1
12:23,"MISS 3PTR by DENBESTEN,COLE",,,,,,,"MISS 3PTR by DENBESTEN,COLE",1
--,"REBOUND OFF by GONDA,MATT",,,,,,,"REBOUND OFF by GONDA,MATT",1
12:15,"MISS JUMPER by GONDA,MATT",,,,,,,"MISS JUMPER by GONDA,MATT",1
--,,,,,"REBOUND DEF by SAMSON,VAUGHN",,,"REBOUND DEF by SAMSON,VAUGHN",1
11:25,,14,,24 (+10),"GOOD 3PTR by SAMSON,VAUGHN",RHODES 14-24 (+10),,"GOOD 3PTR by SAMSON,VAUGHN",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
11:10,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",1
11:09,,,,,"STEAL  by GALVIN,OWEN",,,"STEAL  by GALVIN,OWEN",1
11:06,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
11:02,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:02,,,,,"FOUL  by BERRY,BRYCE",,,"FOUL  by BERRY,BRYCE",1
11:02,"GOOD FT by DENEKA,HARRISON",15,,24 (+9),,17BSC-M 15-24 (+9),,"GOOD FT by DENEKA,HARRISON",1
11:02,"GOOD FT by DENEKA,HARRISON",16,,24 (+8),,17BSC-M 16-24 (+8),,"GOOD FT by DENEKA,HARRISON",1
11:02,"SUB IN by LOVING,JIBRI",,,,,,,"SUB IN by LOVING,JIBRI",1
11:02,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
11:02,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
11:02,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",1
11:02,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
11:02,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
11:02,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
11:02,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
10:41,,16,,26 (+10),"GOOD LAYUP by BERRY,BRYCE(in the paint)",RHODES 16-26 (+10),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
10:31,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",1
10:30,,,,,"STEAL  by MCINTYRE,WILLIAM",,,"STEAL  by MCINTYRE,WILLIAM",1
10:16,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
10:14,"STEAL  by MURPHY,JUWAN",,,,,,,"STEAL  by MURPHY,JUWAN",1
10:12,"GOOD 3PTR by DENEKA,HARRISON",19,,26 (+7),,17BSC-M 19-26 (+7),,"GOOD 3PTR by DENEKA,HARRISON",1
--,"ASSIST  by MURPHY,JUWAN",,,,,,,"ASSIST  by MURPHY,JUWAN",1
09:57,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
09:57,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
09:57,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
09:57,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
09:57,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
09:57,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
09:57,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
09:57,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
09:57,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
09:57,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
09:57,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
09:50,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",1
09:46,"FOUL  by MURPHY,JUWAN",,,,,,,"FOUL  by MURPHY,JUWAN",1
09:41,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",1
09:28,,19,,29 (+10),"GOOD 3PTR by GIROUX,PRESTON",RHODES 19-29 (+10),,"GOOD 3PTR by GIROUX,PRESTON",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
09:11,"GOOD 3PTR by BAK,CALVIN",22,,29 (+7),,17BSC-M 22-29 (+7),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by MURPHY,JUWAN",,,,,,,"ASSIST  by MURPHY,JUWAN",1
