Time Remaining,UTD,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
08:47,,,,,"FOUL  by GRUBBS,COBY",,,"FOUL  by GRUBBS,COBY",1
08:47,"MISS FT by BANKS,CALEB",,,,,,,"MISS FT by BANKS,CALEB",1
--,,,,,"REBOUND DEF by GRUBBS,COBY",,,"REBOUND DEF by GRUBBS,COBY",1
08:39,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
08:33,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",35 (+5),,30,,UTD 35-30 (-5),,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",1
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
08:08,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",1
--,,,,,"REBOUND OFF by GRUBBS,COBY",,,"REBOUND OFF by GRUBBS,COBY",1
08:05,,35 (+3),,32,"GOOD LAYUP by GRUBBS,COBY(in the paint)",RHODES 35-32 (-3),,"GOOD LAYUP by GRUBBS,COBY(in the paint)",1
07:56,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",37 (+5),,32,,UTD 37-32 (-5),,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",1
--,"ASSIST  by HATCHER,JON",,,,,,,"ASSIST  by HATCHER,JON",1
07:39,,37 (+2),,35,"GOOD 3PTR by GRUBBS,COBY",RHODES 37-35 (-2),,"GOOD 3PTR by GRUBBS,COBY",1
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",1
07:27,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:27,"SUB IN by FORSTER,MICHAEL",,,,,,,"SUB IN by FORSTER,MICHAEL",1
07:27,"SUB OUT by PRUITT,KELDEN",,,,,,,"SUB OUT by PRUITT,KELDEN",1
07:27,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
07:27,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
07:27,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
07:27,,,,,"SUB IN by ROTEMAN,EVAN",,,"SUB IN by ROTEMAN,EVAN",1
07:27,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
07:27,,,,,"SUB OUT by GRUBBS,COBY",,,"SUB OUT by GRUBBS,COBY",1
07:27,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
07:27,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
07:27,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
07:27,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
07:22,,,,,"FOUL  by MCINTYRE,WILLIAM",,,"FOUL  by MCINTYRE,WILLIAM",1
07:22,"MISS FT by KEOGH,REAGAN",,,,,,,"MISS FT by KEOGH,REAGAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:22,"MISS FT by KEOGH,REAGAN",,,,,,,"MISS FT by KEOGH,REAGAN",1
--,"REBOUND OFF by UNDERWOOD,DIMITRIUS",,,,,,,"REBOUND OFF by UNDERWOOD,DIMITRIUS",1
07:12,,,,,"FOUL  by SWIFT,DJ",,,"FOUL  by SWIFT,DJ",1
07:12,"GOOD FT by HATCHER,JON",38 (+3),,35,,UTD 38-35 (-3),,"GOOD FT by HATCHER,JON",1
07:12,"GOOD FT by HATCHER,JON",39 (+4),,35,,UTD 39-35 (-4),,"GOOD FT by HATCHER,JON",1
07:12,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",1
07:12,"SUB IN by ALLEN,CURTIS",,,,,,,"SUB IN by ALLEN,CURTIS",1
07:12,"SUB OUT by KEOGH,REAGAN",,,,,,,"SUB OUT by KEOGH,REAGAN",1
07:12,"SUB OUT by UNDERWOOD,DIMITRIUS",,,,,,,"SUB OUT by UNDERWOOD,DIMITRIUS",1
07:03,,,,,"MISS 3PTR by MCINTYRE,WILLIAM",,,"MISS 3PTR by MCINTYRE,WILLIAM",1
--,,,,,"REBOUND OFF by EVANS,ANDREW",,,"REBOUND OFF by EVANS,ANDREW",1
06:58,,,,,"MISS 3PTR by EVANS,ANDREW",,,"MISS 3PTR by EVANS,ANDREW",1
--,"REBOUND DEF by HATCHER,JON",,,,,,,"REBOUND DEF by HATCHER,JON",1
06:51,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
06:51,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
06:51,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
06:51,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
06:51,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
06:51,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
06:51,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
06:51,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
06:51,,,,,"SUB OUT by ROTEMAN,EVAN",,,"SUB OUT by ROTEMAN,EVAN",1
06:51,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
06:38,"GOOD LAYUP by BURWITZ,HANS(in the paint)",41 (+6),,35,,UTD 41-35 (-6),,"GOOD LAYUP by BURWITZ,HANS(in the paint)",1
--,"ASSIST  by PRUITT,KELDEN",,,,,,,"ASSIST  by PRUITT,KELDEN",1
06:24,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",1
06:15,"GOOD LAYUP by BANKS,CALEB(fastbreak)(in the paint)",43 (+8),,35,,UTD 43-35 (-8),,"GOOD LAYUP by BANKS,CALEB(fastbreak)(in the paint)",1
06:15,,,,,"FOUL  by NESTLEHUTT,JAKE",,,"FOUL  by NESTLEHUTT,JAKE",1
06:15,"GOOD FT by BANKS,CALEB",44 (+9),,35,,UTD 44-35 (-9),,"GOOD FT by BANKS,CALEB",1
06:15,"SUB IN by UNDERWOOD,DIMITRIUS",,,,,,,"SUB IN by UNDERWOOD,DIMITRIUS",1
06:15,"SUB OUT by HATCHER,JON",,,,,,,"SUB OUT by HATCHER,JON",1
06:15,,,,,"SUB IN by MINX,COLIN",,,"SUB IN by MINX,COLIN",1
06:15,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
06:15,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
06:15,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
06:15,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
06:15,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
06:15,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
06:15,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
06:15,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
06:15,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
06:04,,44 (+7),,37,"GOOD LAYUP by BERRY,BRYCE(in the paint)",RHODES 44-37 (-7),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
05:53,"MISS 3PTR by ALLEN,CURTIS",,,,,,,"MISS 3PTR by ALLEN,CURTIS",1
--,"REBOUND OFF by ALLEN,CURTIS",,,,,,,"REBOUND OFF by ALLEN,CURTIS",1
05:50,"MISS JUMPER by ALLEN,CURTIS",,,,,,,"MISS JUMPER by ALLEN,CURTIS",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
05:43,"FOUL  by BANKS,CALEB",,,,,,,"FOUL  by BANKS,CALEB",1
05:43,,44 (+6),,38,"GOOD FT by NYAWATA,ANESU",RHODES 44-38 (-6),,"GOOD FT by NYAWATA,ANESU",1
05:43,,44 (+5),,39,"GOOD FT by NYAWATA,ANESU",RHODES 44-39 (-5),,"GOOD FT by NYAWATA,ANESU",1
05:43,"SUB IN by FERRELL,XAVIER",,,,,,,"SUB IN by FERRELL,XAVIER",1
05:43,"SUB OUT by BANKS,CALEB",,,,,,,"SUB OUT by BANKS,CALEB",1
05:38,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",46 (+7),,39,,UTD 46-39 (-7),,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",1
--,"ASSIST  by FERRELL,XAVIER",,,,,,,"ASSIST  by FERRELL,XAVIER",1
05:30,,46 (+5),,41,"GOOD LAYUP by NYAWATA,ANESU(fastbreak)(in the paint)",RHODES 46-41 (-5),,"GOOD LAYUP by NYAWATA,ANESU(fastbreak)(in the paint)",1
05:30,"FOUL  by PRUITT,KELDEN",,,,,,,"FOUL  by PRUITT,KELDEN",1
05:30,,46 (+4),,42,"GOOD FT by NYAWATA,ANESU",RHODES 46-42 (-4),,"GOOD FT by NYAWATA,ANESU",1
05:30,"SUB IN by HATCHER,JON",,,,,,,"SUB IN by HATCHER,JON",1
05:30,"SUB OUT by FORSTER,MICHAEL",,,,,,,"SUB OUT by FORSTER,MICHAEL",1
05:22,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",48 (+6),,42,,UTD 48-42 (-6),,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",1
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
05:15,,,,,"MISS JUMPER by NYAWATA,ANESU",,,"MISS JUMPER by NYAWATA,ANESU",1
--,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
05:09,"GOOD LAYUP by FERRELL,XAVIER(fastbreak)(in the paint)",50 (+8),,42,,UTD 50-42 (-8),,"GOOD LAYUP by FERRELL,XAVIER(fastbreak)(in the paint)",1
--,"ASSIST  by BURWITZ,HANS",,,,,,,"ASSIST  by BURWITZ,HANS",1
04:59,,50 (+5),,45,"GOOD 3PTR by NYAWATA,ANESU",RHODES 50-45 (-5),,"GOOD 3PTR by NYAWATA,ANESU",1
--,,,,,"ASSIST  by BERRY,BRYCE",,,"ASSIST  by BERRY,BRYCE",1
04:47,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",52 (+7),,45,,UTD 52-45 (-7),,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",1
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
04:38,,,,,"MISS JUMPER by NYAWATA,ANESU",,,"MISS JUMPER by NYAWATA,ANESU",1
--,,,,,"REBOUND OFF by BERRY,BRYCE",,,"REBOUND OFF by BERRY,BRYCE",1
04:35,,,,,"MISS JUMPER by BERRY,BRYCE",,,"MISS JUMPER by BERRY,BRYCE",1
--,,,,,"REBOUND OFF by NYAWATA,ANESU",,,"REBOUND OFF by NYAWATA,ANESU",1
04:28,,,,,"MISS JUMPER by NYAWATA,ANESU",,,"MISS JUMPER by NYAWATA,ANESU",1
04:28,"BLOCK  by BURWITZ,HANS",,,,,,,"BLOCK  by BURWITZ,HANS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:24,,,,,"TURNOVER  by ROTEMAN,EVAN",,,"TURNOVER  by ROTEMAN,EVAN",1
04:24,"SUB IN by FORSTER,MICHAEL",,,,,,,"SUB IN by FORSTER,MICHAEL",1
04:24,"SUB IN by KEOGH,REAGAN",,,,,,,"SUB IN by KEOGH,REAGAN",1
04:24,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",1
04:24,"SUB OUT by UNDERWOOD,DIMITRIUS",,,,,,,"SUB OUT by UNDERWOOD,DIMITRIUS",1
04:24,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
04:24,,,,,"SUB IN by ROTEMAN,EVAN",,,"SUB IN by ROTEMAN,EVAN",1
04:24,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
04:24,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
04:24,,,,,"SUB OUT by MINX,COLIN",,,"SUB OUT by MINX,COLIN",1
04:24,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
04:24,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
04:24,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
04:18,"GOOD LAYUP by FORSTER,MICHAEL(in the paint)",54 (+9),,45,,UTD 54-45 (-9),,"GOOD LAYUP by FORSTER,MICHAEL(in the paint)",1
--,"ASSIST  by HATCHER,JON",,,,,,,"ASSIST  by HATCHER,JON",1
04:02,,54 (+7),,47,"GOOD LAYUP by ROTEMAN,EVAN(in the paint)",RHODES 54-47 (-7),,"GOOD LAYUP by ROTEMAN,EVAN(in the paint)",1
--,,,,,"ASSIST  by MCINTYRE,WILLIAM",,,"ASSIST  by MCINTYRE,WILLIAM",1
03:37,"MISS JUMPER by FERRELL,XAVIER",,,,,,,"MISS JUMPER by FERRELL,XAVIER",1
--,,,,,"REBOUND DEF by MCINTYRE,WILLIAM",,,"REBOUND DEF by MCINTYRE,WILLIAM",1
03:28,,,,,"TURNOVER  by EVANS,ANDREW",,,"TURNOVER  by EVANS,ANDREW",1
03:26,"STEAL  by KEOGH,REAGAN",,,,,,,"STEAL  by KEOGH,REAGAN",1
03:23,"GOOD LAYUP by HATCHER,JON(fastbreak)(in the paint)",56 (+9),,47,,UTD 56-47 (-9),,"GOOD LAYUP by HATCHER,JON(fastbreak)(in the paint)",1
03:09,,,,,"MISS LAYUP by SWIFT,DJ",,,"MISS LAYUP by SWIFT,DJ",1
--,"REBOUND DEF by KEOGH,REAGAN",,,,,,,"REBOUND DEF by KEOGH,REAGAN",1
03:02,"GOOD LAYUP by HATCHER,JON(in the paint)",58 (+11),,47,,UTD 58-47 (-11),,"GOOD LAYUP by HATCHER,JON(in the paint)",1
03:02,,,,,"FOUL  by ROTEMAN,EVAN",,,"FOUL  by ROTEMAN,EVAN",1
03:02,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:02,"GOOD FT by HATCHER,JON",59 (+12),,47,,UTD 59-47 (-12),,"GOOD FT by HATCHER,JON",1
03:02,"SUB IN by GIBSON,JEREMIAH",,,,,,,"SUB IN by GIBSON,JEREMIAH",1
03:02,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",1
03:02,"SUB OUT by HATCHER,JON",,,,,,,"SUB OUT by HATCHER,JON",1
03:02,"SUB OUT by KEOGH,REAGAN",,,,,,,"SUB OUT by KEOGH,REAGAN",1
03:02,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
03:02,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
03:02,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
03:02,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
03:02,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
03:02,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
03:02,,,,,"SUB OUT by ROTEMAN,EVAN",,,"SUB OUT by ROTEMAN,EVAN",1
03:02,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
02:55,,,,,"TURNOVER  by SAMSON,VAUGHN",,,"TURNOVER  by SAMSON,VAUGHN",1
02:55,,,,,"FOUL  by SAMSON,VAUGHN",,,"FOUL  by SAMSON,VAUGHN",1
02:44,"MISS JUMPER by BURWITZ,HANS",,,,,,,"MISS JUMPER by BURWITZ,HANS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:43,"FOUL  by BURWITZ,HANS",,,,,,,"FOUL  by BURWITZ,HANS",1
02:43,,59 (+11),,48,"GOOD FT by GIROUX,PRESTON",RHODES 59-48 (-11),,"GOOD FT by GIROUX,PRESTON",1
02:43,,,,,"MISS FT by GIROUX,PRESTON",,,"MISS FT by GIROUX,PRESTON",1
--,"REBOUND DEF by FORSTER,MICHAEL",,,,,,,"REBOUND DEF by FORSTER,MICHAEL",1
02:43,"SUB IN by KEOGH,REAGAN",,,,,,,"SUB IN by KEOGH,REAGAN",1
02:43,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",1
02:37,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
02:37,"MISS FT by FERRELL,XAVIER",,,,,,,"MISS FT by FERRELL,XAVIER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:37,"GOOD FT by FERRELL,XAVIER",60 (+12),,48,,UTD 60-48 (-12),,"GOOD FT by FERRELL,XAVIER",1
02:37,"SUB IN by UNDERWOOD,DIMITRIUS",,,,,,,"SUB IN by UNDERWOOD,DIMITRIUS",1
02:37,"SUB OUT by FORSTER,MICHAEL",,,,,,,"SUB OUT by FORSTER,MICHAEL",1
02:37,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
02:37,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
02:37,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
02:37,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
02:37,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
02:37,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
02:37,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
02:37,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
02:37,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
02:37,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
02:26,,60 (+10),,50,"GOOD LAYUP by BERRY,BRYCE(in the paint)",RHODES 60-50 (-10),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
02:11,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:11,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",1
02:11,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
02:05,"GOOD LAYUP by FERRELL,XAVIER(in the paint)",62 (+12),,50,,UTD 62-50 (-12),,"GOOD LAYUP by FERRELL,XAVIER(in the paint)",1
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",1
01:51,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
01:50,"STEAL  by FERRELL,XAVIER",,,,,,,"STEAL  by FERRELL,XAVIER",1
01:46,"MISS JUMPER by FERRELL,XAVIER",,,,,,,"MISS JUMPER by FERRELL,XAVIER",1
01:46,,,,,"BLOCK  by BERRY,BRYCE",,,"BLOCK  by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by NYAWATA,ANESU",,,"REBOUND DEF by NYAWATA,ANESU",1
01:21,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",1
01:17,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
01:17,"GOOD FT by UNDERWOOD,DIMITRIUS",63 (+13),,50,,UTD 63-50 (-13),,"GOOD FT by UNDERWOOD,DIMITRIUS",1
01:17,"SUB IN by HATCHER,JON",,,,,,,"SUB IN by HATCHER,JON",1
01:17,"SUB IN by SNOW,EJ",,,,,,,"SUB IN by SNOW,EJ",1
01:17,"SUB OUT by GIBSON,JEREMIAH",,,,,,,"SUB OUT by GIBSON,JEREMIAH",1
01:17,"SUB OUT by FERRELL,XAVIER",,,,,,,"SUB OUT by FERRELL,XAVIER",1
01:17,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
01:17,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
01:17,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
01:17,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
01:17,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
01:17,,,,,"SUB OUT by GRUBBS,COBY",,,"SUB OUT by GRUBBS,COBY",1
01:17,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
01:17,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
01:17,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
01:17,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
01:16,"MISS FT by UNDERWOOD,DIMITRIUS",,,,,,,"MISS FT by UNDERWOOD,DIMITRIUS",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
00:56,,,,,"MISS JUMPER by DALTON,PRICE",,,"MISS JUMPER by DALTON,PRICE",1
--,"REBOUND DEF by ALLEN,CURTIS",,,,,,,"REBOUND DEF by ALLEN,CURTIS",1
00:55,"TURNOVER  by ALLEN,CURTIS",,,,,,,"TURNOVER  by ALLEN,CURTIS",1
00:40,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
00:36,"STEAL  by HATCHER,JON",,,,,,,"STEAL  by HATCHER,JON",1
00:34,"GOOD LAYUP by HATCHER,JON(fastbreak)(in the paint)",65 (+15),,50,,UTD 65-50 (-15),,"GOOD LAYUP by HATCHER,JON(fastbreak)(in the paint)",1
00:20,,65 (+12),,53,"GOOD 3PTR by GALVIN,OWEN",RHODES 65-53 (-12),,"GOOD 3PTR by GALVIN,OWEN",1
--,,,,,"ASSIST  by DALTON,PRICE",,,"ASSIST  by DALTON,PRICE",1
00:03,"TURNOVER  by KEOGH,REAGAN",,,,,,,"TURNOVER  by KEOGH,REAGAN",1
00:02,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
00:02,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
00:02,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
00:02,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
00:02,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
00:02,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
00:02,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
00:02,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
00:01,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
00:00,"STEAL  by UNDERWOOD,DIMITRIUS",,,,,,,"STEAL  by UNDERWOOD,DIMITRIUS",1
20:00,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",2
20:00,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",2
19:50,"TURNOVER  by UNDERWOOD,DIMITRIUS",,,,,,,"TURNOVER  by UNDERWOOD,DIMITRIUS",2
19:49,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",2
19:46,,65 (+10),,55,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",RHODES 65-55 (-10),,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",2
19:29,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",67 (+12),,55,,UTD 67-55 (-12),,"GOOD LAYUP by KEOGH,REAGAN(fastbreak)(in the paint)",2
19:12,,67 (+10),,57,"GOOD LAYUP by DARST,DANIEL(in the paint)",RHODES 67-57 (-10),,"GOOD LAYUP by DARST,DANIEL(in the paint)",2
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",2
19:04,,,,,"FOUL  by NESTLEHUTT,JAKE",,,"FOUL  by NESTLEHUTT,JAKE",2
19:04,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",2
19:04,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",2
19:04,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",2
19:04,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",2
19:04,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",2
19:04,,,,,"SUB OUT by GRUBBS,COBY",,,"SUB OUT by GRUBBS,COBY",2
19:04,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",2
19:04,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
19:04,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",2
19:04,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",2
19:00,"GOOD LAYUP by HATCHER,JON(in the paint)",69 (+12),,57,,UTD 69-57 (-12),,"GOOD LAYUP by HATCHER,JON(in the paint)",2
--,"ASSIST  by KEOGH,REAGAN",,,,,,,"ASSIST  by KEOGH,REAGAN",2
19:00,,,,,"FOUL  by FERIA,NICK DE",,,"FOUL  by FERIA,NICK DE",2
19:00,"GOOD FT by HATCHER,JON",70 (+13),,57,,UTD 70-57 (-13),,"GOOD FT by HATCHER,JON",2
18:43,"FOUL  by UNDERWOOD,DIMITRIUS",,,,,,,"FOUL  by UNDERWOOD,DIMITRIUS",2
18:37,,,,,"MISS JUMPER by GIROUX,PRESTON",,,"MISS JUMPER by GIROUX,PRESTON",2
