Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
18:29,"TURNOVER  by SMITH,CONNOR",,,,,,,"TURNOVER  by SMITH,CONNOR",1
18:28,,,,,"STEAL  by MCINTYRE,WILLIAM",,,"STEAL  by MCINTYRE,WILLIAM",1
18:24,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND OFF by NESTLEHUTT,JAKE",,,"REBOUND OFF by NESTLEHUTT,JAKE",1
18:19,,3,,6 (+3),"GOOD LAYUP by NESTLEHUTT,JAKE(in the paint)",RHODES 3-6 (+3),,"GOOD LAYUP by NESTLEHUTT,JAKE(in the paint)",1
18:08,"TURNOVER  by FOSTER,LANE",,,,,,,"TURNOVER  by FOSTER,LANE",1
18:07,,,,,"STEAL  by MCINTYRE,WILLIAM",,,"STEAL  by MCINTYRE,WILLIAM",1
18:03,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",1
--,"REBOUND DEF by KOCH,WILL",,,,,,,"REBOUND DEF by KOCH,WILL",1
17:54,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",5,,6 (+1),,OUM 5-6 (+1),,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",1
17:36,,5,,8 (+3),"GOOD LAYUP by NYAWATA,ANESU(in the paint)",RHODES 5-8 (+3),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
17:18,"GOOD LAYUP by KOCH,WILL(fastbreak)(in the paint)",7,,8 (+1),,OUM 7-8 (+1),,"GOOD LAYUP by KOCH,WILL(fastbreak)(in the paint)",1
--,"ASSIST  by SMITH,CONNOR",,,,,,,"ASSIST  by SMITH,CONNOR",1
17:10,,,,,"MISS JUMPER by NYAWATA,ANESU",,,"MISS JUMPER by NYAWATA,ANESU",1
--,"REBOUND DEF by KOCH,WILL",,,,,,,"REBOUND DEF by KOCH,WILL",1
17:06,,,,,"FOUL  by NYAWATA,ANESU",,,"FOUL  by NYAWATA,ANESU",1
17:06,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
17:06,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
17:06,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
17:06,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
17:06,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
17:06,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
17:06,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
17:06,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
17:06,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
17:06,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
17:00,"GOOD 3PTR by LAWRENCE,CHRIS",10 (+2),,8,,OUM 10-8 (-2),,"GOOD 3PTR by LAWRENCE,CHRIS",1
16:48,,10,,11 (+1),"GOOD 3PTR by EVANS,ANDREW",RHODES 10-11 (+1),,"GOOD 3PTR by EVANS,ANDREW",1
16:36,"TURNOVER  by PERRY,WILL",,,,,,,"TURNOVER  by PERRY,WILL",1
16:36,,,,,"STEAL  by SWIFT,DJ",,,"STEAL  by SWIFT,DJ",1
16:36,,,,,"TURNOVER  by SWIFT,DJ",,,"TURNOVER  by SWIFT,DJ",1
16:36,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
16:36,"SUB IN by HUGHES,JUSTIN",,,,,,,"SUB IN by HUGHES,JUSTIN",1
16:36,"SUB OUT by KOCH,WILL",,,,,,,"SUB OUT by KOCH,WILL",1
16:36,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
16:36,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
16:36,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
16:36,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
16:36,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
16:36,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
16:36,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
16:36,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
16:36,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
16:36,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
16:36,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
16:28,"MISS JUMPER by HUGHES,JUSTIN",,,,,,,"MISS JUMPER by HUGHES,JUSTIN",1
--,,,,,"REBOUND DEF by FERIA,NICK DE",,,"REBOUND DEF by FERIA,NICK DE",1
16:06,,,,,"TURNOVER  by LOVE,KERRY",,,"TURNOVER  by LOVE,KERRY",1
16:06,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
16:06,"SUB OUT by FOSTER,LANE",,,,,,,"SUB OUT by FOSTER,LANE",1
16:05,"TURNOVER  by SMITH,CONNOR",,,,,,,"TURNOVER  by SMITH,CONNOR",1
16:04,,,,,"STEAL  by LOVE,KERRY",,,"STEAL  by LOVE,KERRY",1
16:01,"FOUL  by HUGHES,JUSTIN",,,,,,,"FOUL  by HUGHES,JUSTIN",1
16:01,,,,,"MISS FT by LOVE,KERRY",,,"MISS FT by LOVE,KERRY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:01,,,,,"MISS FT by LOVE,KERRY",,,"MISS FT by LOVE,KERRY",1
--,"REBOUND DEF by SMITH,CONNOR",,,,,,,"REBOUND DEF by SMITH,CONNOR",1
16:01,"SUB IN by FOSTER,LANE",,,,,,,"SUB IN by FOSTER,LANE",1
16:01,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",1
16:01,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
16:01,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
16:01,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
16:01,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
16:01,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
16:01,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
16:01,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
16:01,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
15:48,"TURNOVER  by LAWRENCE,CHRIS",,,,,,,"TURNOVER  by LAWRENCE,CHRIS",1
15:48,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:48,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
15:48,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
15:41,,,,,"TURNOVER  by SWIFT,DJ",,,"TURNOVER  by SWIFT,DJ",1
15:38,"STEAL  by INUNGU,TOM",,,,,,,"STEAL  by INUNGU,TOM",1
15:33,"TURNOVER  by SMITH,CONNOR",,,,,,,"TURNOVER  by SMITH,CONNOR",1
15:29,,,,,"STEAL  by WEATHERFORD,MITCH",,,"STEAL  by WEATHERFORD,MITCH",1
15:27,,,,,"TURNOVER  by SWIFT,DJ",,,"TURNOVER  by SWIFT,DJ",1
15:15,"TURNOVER  by HUGHES,JUSTIN",,,,,,,"TURNOVER  by HUGHES,JUSTIN",1
15:15,,,,,"STEAL  by EVANS,ANDREW",,,"STEAL  by EVANS,ANDREW",1
15:08,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
15:00,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",12 (+1),,11,,OUM 12-11 (-1),,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",1
--,"ASSIST  by LAWRENCE,CHRIS",,,,,,,"ASSIST  by LAWRENCE,CHRIS",1
14:40,,,,,"TURNOVER  by EVANS,ANDREW",,,"TURNOVER  by EVANS,ANDREW",1
14:40,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",1
14:40,"SUB IN by KOCH,WILL",,,,,,,"SUB IN by KOCH,WILL",1
14:40,"SUB OUT by HUGHES,JUSTIN",,,,,,,"SUB OUT by HUGHES,JUSTIN",1
14:40,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",1
14:40,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
14:40,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
14:40,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
14:40,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
14:40,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
14:40,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
14:40,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
14:40,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
14:40,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
14:40,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
14:34,"TURNOVER  by FOSTER,LANE",,,,,,,"TURNOVER  by FOSTER,LANE",1
14:33,,,,,"STEAL  by MCINTYRE,WILLIAM",,,"STEAL  by MCINTYRE,WILLIAM",1
14:30,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
14:17,"GOOD LAYUP by PERRY,WILL(in the paint)",14 (+3),,11,,OUM 14-11 (-3),,"GOOD LAYUP by PERRY,WILL(in the paint)",1
14:06,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
14:06,"SUB IN by RICE,TRE'",,,,,,,"SUB IN by RICE,TRE'",1
14:06,"SUB OUT by FOSTER,LANE",,,,,,,"SUB OUT by FOSTER,LANE",1
14:06,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
14:06,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
14:06,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
14:06,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
14:06,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
14:06,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
14:06,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
14:06,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
14:06,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
14:06,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
14:01,"GOOD 3PTR by LAWRENCE,CHRIS(fastbreak)",17 (+6),,11,,OUM 17-11 (-6),,"GOOD 3PTR by LAWRENCE,CHRIS(fastbreak)",1
13:46,"FOUL  by KOCH,WILL",,,,,,,"FOUL  by KOCH,WILL",1
13:46,,,,,"MISS FT by BERRY,BRYCE",,,"MISS FT by BERRY,BRYCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:46,,17 (+5),,12,"GOOD FT by BERRY,BRYCE",RHODES 17-12 (-5),,"GOOD FT by BERRY,BRYCE",1
13:46,,17 (+4),,13,"GOOD FT by BERRY,BRYCE",RHODES 17-13 (-4),,"GOOD FT by BERRY,BRYCE",1
13:39,,,,,"FOUL  by LOVE,KERRY",,,"FOUL  by LOVE,KERRY",1
13:39,,,,,"SUB IN by ROTEMAN,EVAN",,,"SUB IN by ROTEMAN,EVAN",1
13:39,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
13:33,"GOOD LAYUP by PERRY,WILL(in the paint)",19 (+6),,13,,OUM 19-13 (-6),,"GOOD LAYUP by PERRY,WILL(in the paint)",1
13:33,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",1
13:33,"GOOD FT by PERRY,WILL",20 (+7),,13,,OUM 20-13 (-7),,"GOOD FT by PERRY,WILL",1
13:33,"SUB IN by HUGHES,JUSTIN",,,,,,,"SUB IN by HUGHES,JUSTIN",1
13:33,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",1
13:33,"SUB IN by FOSTER,LANE",,,,,,,"SUB IN by FOSTER,LANE",1
13:33,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
13:33,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
13:33,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",1
13:33,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
13:33,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
13:33,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
13:33,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
13:33,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
13:33,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
13:33,,,,,"SUB OUT by ROTEMAN,EVAN",,,"SUB OUT by ROTEMAN,EVAN",1
13:33,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
13:33,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
13:33,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
13:05,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,"REBOUND DEF by HUGHES,JUSTIN",,,,,,,"REBOUND DEF by HUGHES,JUSTIN",1
12:58,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",22 (+9),,13,,OUM 22-13 (-9),,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",1
12:46,,22 (+6),,16,"GOOD 3PTR by EVANS,ANDREW",RHODES 22-16 (-6),,"GOOD 3PTR by EVANS,ANDREW",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
12:30,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",24 (+8),,16,,OUM 24-16 (-8),,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",1
12:21,"FOUL  by HUGHES,JUSTIN",,,,,,,"FOUL  by HUGHES,JUSTIN",1
12:21,,24 (+7),,17,"GOOD FT by WEATHERFORD,MITCH",RHODES 24-17 (-7),,"GOOD FT by WEATHERFORD,MITCH",1
12:21,,,,,"MISS FT by WEATHERFORD,MITCH",,,"MISS FT by WEATHERFORD,MITCH",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
12:21,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
12:21,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
12:21,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",1
12:21,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",1
12:21,"SUB OUT by RICE,TRE'",,,,,,,"SUB OUT by RICE,TRE'",1
12:21,"SUB OUT by KOCH,WILL",,,,,,,"SUB OUT by KOCH,WILL",1
12:21,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
12:21,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
12:21,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
12:21,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
12:21,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
12:21,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
12:21,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
12:21,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
12:10,"MISS 3PTR by HUGHES,JUSTIN",,,,,,,"MISS 3PTR by HUGHES,JUSTIN",1
--,,,,,"REBOUND DEF by DALTON,PRICE",,,"REBOUND DEF by DALTON,PRICE",1
11:48,,,,,"MISS JUMPER by GALVIN,OWEN",,,"MISS JUMPER by GALVIN,OWEN",1
--,"REBOUND DEF by PERRY,WILL",,,,,,,"REBOUND DEF by PERRY,WILL",1
11:42,"MISS JUMPER by PERRY,WILL",,,,,,,"MISS JUMPER by PERRY,WILL",1
--,"REBOUND OFF by INUNGU,TOM",,,,,,,"REBOUND OFF by INUNGU,TOM",1
11:39,,,,,"FOUL  by WEATHERFORD,MITCH",,,"FOUL  by WEATHERFORD,MITCH",1
11:39,"TIMEOUT MEDIA by BOURDAGE,TAYLOR",,,,,,,"TIMEOUT MEDIA by BOURDAGE,TAYLOR",1
11:39,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
11:39,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
11:39,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
11:39,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
11:39,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
11:39,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
11:39,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
11:39,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
11:39,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
11:39,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
11:36,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,,,,,"REBOUND DEF by NYAWATA,ANESU",,,"REBOUND DEF by NYAWATA,ANESU",1
11:26,"FOUL  by HUGHES,JUSTIN",,,,,,,"FOUL  by HUGHES,JUSTIN",1
11:26,,,,,"MISS FT by ASHBY,KENDRICK",,,"MISS FT by ASHBY,KENDRICK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:26,,24 (+6),,18,"GOOD FT by ASHBY,KENDRICK",RHODES 24-18 (-6),,"GOOD FT by ASHBY,KENDRICK",1
11:26,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",1
11:26,"SUB OUT by HUGHES,JUSTIN",,,,,,,"SUB OUT by HUGHES,JUSTIN",1
11:19,"TURNOVER  by LAWRENCE,CHRIS",,,,,,,"TURNOVER  by LAWRENCE,CHRIS",1
11:19,"FOUL  by LAWRENCE,CHRIS",,,,,,,"FOUL  by LAWRENCE,CHRIS",1
11:11,,,,,"TURNOVER  by NYAWATA,ANESU",,,"TURNOVER  by NYAWATA,ANESU",1
11:11,"STEAL  by PERRY,WILL",,,,,,,"STEAL  by PERRY,WILL",1
11:08,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",26 (+8),,18,,OUM 26-18 (-8),,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",1
11:08,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",1
11:08,"GOOD FT by PERRY,WILL",27 (+9),,18,,OUM 27-18 (-9),,"GOOD FT by PERRY,WILL",1
11:08,"SUB IN by KOCH,WILL",,,,,,,"SUB IN by KOCH,WILL",1
11:08,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
11:08,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
11:08,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
11:08,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
11:08,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
11:08,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
11:08,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
11:08,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
11:08,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
11:08,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
11:08,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
10:50,,,,,"MISS LAYUP by GIROUX,PRESTON",,,"MISS LAYUP by GIROUX,PRESTON",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
10:42,,,,,"FOUL  by WEATHERFORD,MITCH",,,"FOUL  by WEATHERFORD,MITCH",1
10:42,"GOOD FT by FOSTER,LANE",28 (+10),,18,,OUM 28-18 (-10),,"GOOD FT by FOSTER,LANE",1
10:42,"MISS FT by FOSTER,LANE",,,,,,,"MISS FT by FOSTER,LANE",1
--,,,,,"REBOUND DEF by SAMSON,VAUGHN",,,"REBOUND DEF by SAMSON,VAUGHN",1
10:32,,28 (+7),,21,"GOOD 3PTR by WEATHERFORD,MITCH",RHODES 28-21 (-7),,"GOOD 3PTR by WEATHERFORD,MITCH",1
--,,,,,"ASSIST  by SWIFT,DJ",,,"ASSIST  by SWIFT,DJ",1
10:10,"MISS JUMPER by PERRY,WILL",,,,,,,"MISS JUMPER by PERRY,WILL",1
--,,,,,"REBOUND DEF by SAMSON,VAUGHN",,,"REBOUND DEF by SAMSON,VAUGHN",1
10:05,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,"REBOUND DEF by PERRY,WILL",,,,,,,"REBOUND DEF by PERRY,WILL",1
09:56,"GOOD LAYUP by KOCH,WILL(in the paint)",30 (+9),,21,,OUM 30-21 (-9),,"GOOD LAYUP by KOCH,WILL(in the paint)",1
--,"ASSIST  by BOURDAGE,TAYLOR",,,,,,,"ASSIST  by BOURDAGE,TAYLOR",1
09:56,,30 (+6),,24,"GOOD 3PTR by NYAWATA,ANESU",RHODES 30-24 (-6),,"GOOD 3PTR by NYAWATA,ANESU",1
09:56,"GOOD LAYUP by KOCH,WILL(in the paint)",32 (+8),,24,,OUM 32-24 (-8),,"GOOD LAYUP by KOCH,WILL(in the paint)",1
09:56,,,,,"MISS JUMPER by NYAWATA,ANESU",,,"MISS JUMPER by NYAWATA,ANESU",1
--,"REBOUND DEF by SMITH,CONNOR",,,,,,,"REBOUND DEF by SMITH,CONNOR",1
09:56,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
09:56,"SUB IN by RICE,TRE'",,,,,,,"SUB IN by RICE,TRE'",1
09:56,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
