Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
17:47,,4,,8 (+4),"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",BU 4-8 (-4),,"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",1
17:45,"GOOD LAYUP by FERIA,NICK DE(in the paint)",6,,8 (+2),,RHODES 6-8 (-2),,"GOOD LAYUP by FERIA,NICK DE(in the paint)",1
--,"ASSIST  by SAMSON,VAUGHN",,,,,,,"ASSIST  by SAMSON,VAUGHN",1
17:45,,,,,"SUB IN by HEERINGEN,GIAN VAN",,,"SUB IN by HEERINGEN,GIAN VAN",1
17:45,,,,,"SUB IN by BROWN,ISIAH",,,"SUB IN by BROWN,ISIAH",1
17:45,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",1
17:45,,,,,"SUB IN by MCCOY,TOMMY",,,"SUB IN by MCCOY,TOMMY",1
17:45,,,,,"SUB IN by DURHAM,JONATHAN",,,"SUB IN by DURHAM,JONATHAN",1
17:45,,,,,"SUB OUT by HODUM,RICK",,,"SUB OUT by HODUM,RICK",1
17:45,,,,,"SUB OUT by ROBERTS,JOSHUA",,,"SUB OUT by ROBERTS,JOSHUA",1
17:45,,,,,"SUB OUT by WEBBER,BRENT",,,"SUB OUT by WEBBER,BRENT",1
17:45,,,,,"SUB OUT by RICHARDSON,TERIK",,,"SUB OUT by RICHARDSON,TERIK",1
17:45,,,,,"SUB OUT by SR,KYLE PATTERSON",,,"SUB OUT by SR,KYLE PATTERSON",1
17:31,,6,,10 (+4),"GOOD LAYUP by BROWN,ISIAH",BU 6-10 (-4),,"GOOD LAYUP by BROWN,ISIAH",1
17:20,"TURNOVER  by SAMSON,VAUGHN",,,,,,,"TURNOVER  by SAMSON,VAUGHN",1
17:18,"FOUL  by NYAWATA,ANESU",,,,,,,"FOUL  by NYAWATA,ANESU",1
17:06,,,,,"MISS 3PTR by DURHAM,JONATHAN",,,"MISS 3PTR by DURHAM,JONATHAN",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
16:54,"MISS 3PTR by ASHBY,KENDRICK",,,,,,,"MISS 3PTR by ASHBY,KENDRICK",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:41,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
16:41,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
16:41,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
16:41,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
16:41,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
16:41,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
16:41,"SUB OUT by SWIFT,DJ",,,,,,,"SUB OUT by SWIFT,DJ",1
16:41,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
16:41,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
16:41,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
16:38,,,,,"MISS 3PTR by HEERINGEN,GIAN VAN",,,"MISS 3PTR by HEERINGEN,GIAN VAN",1
--,,,,,"REBOUND OFF by BROWN,ISIAH",,,"REBOUND OFF by BROWN,ISIAH",1
16:31,,6,,12 (+6),"GOOD LAYUP by BROWN,ISIAH(in the paint)",BU 6-12 (-6),,"GOOD LAYUP by BROWN,ISIAH(in the paint)",1
16:23,,,,,"FOUL  by MCCOY,TOMMY",,,"FOUL  by MCCOY,TOMMY",1
16:22,"GOOD 3PTR by DALTON,PRICE",9,,12 (+3),,RHODES 9-12 (-3),,"GOOD 3PTR by DALTON,PRICE",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
16:04,,,,,"FOUL  by PRICE,VICTOR",,,"FOUL  by PRICE,VICTOR",1
16:04,,,,,"SUB IN by COLE,DAVID",,,"SUB IN by COLE,DAVID",1
16:04,,,,,"SUB IN by PRICE,VICTOR",,,"SUB IN by PRICE,VICTOR",1
16:04,,,,,"SUB IN by WORKS,JOHN",,,"SUB IN by WORKS,JOHN",1
16:04,,,,,"SUB IN by GARRETT,PEYTON",,,"SUB IN by GARRETT,PEYTON",1
16:04,,,,,"SUB IN by SR,KYLE PATTERSON",,,"SUB IN by SR,KYLE PATTERSON",1
16:04,,,,,"SUB OUT by HEERINGEN,GIAN VAN",,,"SUB OUT by HEERINGEN,GIAN VAN",1
16:04,,,,,"SUB OUT by BROWN,ISIAH",,,"SUB OUT by BROWN,ISIAH",1
16:04,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",1
16:04,,,,,"SUB OUT by MCCOY,TOMMY",,,"SUB OUT by MCCOY,TOMMY",1
16:04,,,,,"SUB OUT by DURHAM,JONATHAN",,,"SUB OUT by DURHAM,JONATHAN",1
16:03,,,,,"TURNOVER  by PRICE,VICTOR",,,"TURNOVER  by PRICE,VICTOR",1
15:58,"GOOD 3PTR by FERIA,NICK DE",12,,12,,RHODES 12-12 (0),,"GOOD 3PTR by FERIA,NICK DE",1
--,"ASSIST  by SAMSON,VAUGHN",,,,,,,"ASSIST  by SAMSON,VAUGHN",1
15:48,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",1
15:48,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:44,,,,,"MISS 3PTR by ROBERTS,JOSHUA",,,"MISS 3PTR by ROBERTS,JOSHUA",1
--,"REBOUND DEF by SAMSON,VAUGHN",,,,,,,"REBOUND DEF by SAMSON,VAUGHN",1
15:25,"MISS 3PTR by FERIA,NICK DE",,,,,,,"MISS 3PTR by FERIA,NICK DE",1
--,"REBOUND OFF by MCINTYRE,WILLIAM",,,,,,,"REBOUND OFF by MCINTYRE,WILLIAM",1
15:15,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",14 (+2),,12,,RHODES 14-12 (+2),,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",1
15:06,,14,,15 (+1),"GOOD 3PTR by PRICE,VICTOR",BU 14-15 (-1),,"GOOD 3PTR by PRICE,VICTOR",1
--,,,,,"ASSIST  by ROBERTS,JOSHUA",,,"ASSIST  by ROBERTS,JOSHUA",1
14:50,"GOOD LAYUP by FERIA,NICK DE(in the paint)",16 (+1),,15,,RHODES 16-15 (+1),,"GOOD LAYUP by FERIA,NICK DE(in the paint)",1
14:50,,,,,"FOUL  by COLE,DAVID",,,"FOUL  by COLE,DAVID",1
14:50,"GOOD FT by FERIA,NICK DE",17 (+2),,15,,RHODES 17-15 (+2),,"GOOD FT by FERIA,NICK DE",1
14:50,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
14:50,"SUB IN by SWIFT,DJ",,,,,,,"SUB IN by SWIFT,DJ",1
14:50,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
14:50,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
14:50,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
14:50,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
14:50,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
14:50,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
14:50,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
14:50,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
14:36,,,,,"MISS 3PTR by COLE,DAVID",,,"MISS 3PTR by COLE,DAVID",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
14:32,,,,,"SUB IN by HODUM,RICK",,,"SUB IN by HODUM,RICK",1
14:32,,,,,"SUB IN by ROBERTS,JOSHUA",,,"SUB IN by ROBERTS,JOSHUA",1
14:32,,,,,"SUB IN by WEBBER,BRENT",,,"SUB IN by WEBBER,BRENT",1
14:32,,,,,"SUB IN by RICHARDSON,TERIK",,,"SUB IN by RICHARDSON,TERIK",1
14:32,,,,,"SUB OUT by COLE,DAVID",,,"SUB OUT by COLE,DAVID",1
14:32,,,,,"SUB OUT by PRICE,VICTOR",,,"SUB OUT by PRICE,VICTOR",1
14:32,,,,,"SUB OUT by WORKS,JOHN",,,"SUB OUT by WORKS,JOHN",1
14:32,,,,,"SUB OUT by GARRETT,PEYTON",,,"SUB OUT by GARRETT,PEYTON",1
14:30,"GOOD 3PTR by SWIFT,DJ",20 (+5),,15,,RHODES 20-15 (+5),,"GOOD 3PTR by SWIFT,DJ",1
--,"ASSIST  by NYAWATA,ANESU",,,,,,,"ASSIST  by NYAWATA,ANESU",1
14:20,,20 (+3),,17,"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",BU 20-17 (+3),,"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",1
14:10,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND OFF by SWIFT,DJ",,,,,,,"REBOUND OFF by SWIFT,DJ",1
14:09,"MISS JUMPER by SWIFT,DJ",,,,,,,"MISS JUMPER by SWIFT,DJ",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:49,"FOUL  by ASHBY,KENDRICK",,,,,,,"FOUL  by ASHBY,KENDRICK",1
13:49,,20 (+2),,18,"GOOD FT by WEBBER,BRENT",BU 20-18 (+2),,"GOOD FT by WEBBER,BRENT",1
13:49,,20 (+1),,19,"GOOD FT by WEBBER,BRENT",BU 20-19 (+1),,"GOOD FT by WEBBER,BRENT",1
13:49,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
13:49,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
13:49,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
13:49,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
13:49,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
13:49,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
13:49,"SUB OUT by SWIFT,DJ",,,,,,,"SUB OUT by SWIFT,DJ",1
13:49,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
13:49,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
13:49,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
13:36,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
13:32,,,,,"STEAL  by LORIS,JOHN",,,"STEAL  by LORIS,JOHN",1
13:26,,,,,"MISS 3PTR by ROBERTS,JOSHUA",,,"MISS 3PTR by ROBERTS,JOSHUA",1
--,,,,,"REBOUND OFF by HODUM,RICK",,,"REBOUND OFF by HODUM,RICK",1
13:15,"FOUL  by WEATHERFORD,MITCH",,,,,,,"FOUL  by WEATHERFORD,MITCH",1
13:15,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
13:15,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
13:15,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
13:15,"SUB IN by MCINTYRE,WILLIAM",,,,,,,"SUB IN by MCINTYRE,WILLIAM",1
13:15,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
13:15,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
13:15,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
13:15,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
13:15,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
13:15,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
13:08,"FOUL  by MCINTYRE,WILLIAM",,,,,,,"FOUL  by MCINTYRE,WILLIAM",1
12:52,,,,,"TURNOVER  by SR,KYLE PATTERSON",,,"TURNOVER  by SR,KYLE PATTERSON",1
12:51,"STEAL  by MCINTYRE,WILLIAM",,,,,,,"STEAL  by MCINTYRE,WILLIAM",1
12:46,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
12:46,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
12:46,"SUB IN by ROTEMAN,EVAN",,,,,,,"SUB IN by ROTEMAN,EVAN",1
12:46,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
12:46,"SUB IN by GRUBBS,COBY",,,,,,,"SUB IN by GRUBBS,COBY",1
12:46,"SUB OUT by LOVE,KERRY",,,,,,,"SUB OUT by LOVE,KERRY",1
12:46,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
12:46,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
12:46,"SUB OUT by MCINTYRE,WILLIAM",,,,,,,"SUB OUT by MCINTYRE,WILLIAM",1
12:46,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
12:36,"MISS 3PTR by ROTEMAN,EVAN",,,,,,,"MISS 3PTR by ROTEMAN,EVAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:28,,,,,"TURNOVER  by MCCOY,TOMMY",,,"TURNOVER  by MCCOY,TOMMY",1
12:27,"STEAL  by BERRY,BRYCE",,,,,,,"STEAL  by BERRY,BRYCE",1
12:27,,,,,"SUB IN by HEERINGEN,GIAN VAN",,,"SUB IN by HEERINGEN,GIAN VAN",1
12:27,,,,,"SUB IN by BROWN,ISIAH",,,"SUB IN by BROWN,ISIAH",1
12:27,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",1
12:27,,,,,"SUB IN by MCCOY,TOMMY",,,"SUB IN by MCCOY,TOMMY",1
12:27,,,,,"SUB IN by DURHAM,JONATHAN",,,"SUB IN by DURHAM,JONATHAN",1
12:27,,,,,"SUB OUT by HODUM,RICK",,,"SUB OUT by HODUM,RICK",1
12:27,,,,,"SUB OUT by ROBERTS,JOSHUA",,,"SUB OUT by ROBERTS,JOSHUA",1
12:27,,,,,"SUB OUT by WEBBER,BRENT",,,"SUB OUT by WEBBER,BRENT",1
12:27,,,,,"SUB OUT by RICHARDSON,TERIK",,,"SUB OUT by RICHARDSON,TERIK",1
12:27,,,,,"SUB OUT by SR,KYLE PATTERSON",,,"SUB OUT by SR,KYLE PATTERSON",1
12:25,"TURNOVER  by NYAWATA,ANESU",,,,,,,"TURNOVER  by NYAWATA,ANESU",1
12:18,,,,,"MISS 3PTR by DURHAM,JONATHAN",,,"MISS 3PTR by DURHAM,JONATHAN",1
--,,,,,"REBOUND OFF by DURHAM,JONATHAN",,,"REBOUND OFF by DURHAM,JONATHAN",1
12:05,,,,,"FOUL  by DURHAM,JONATHAN",,,"FOUL  by DURHAM,JONATHAN",1
12:04,,,,,"TURNOVER  by DURHAM,JONATHAN",,,"TURNOVER  by DURHAM,JONATHAN",1
11:49,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
11:44,,,,,"MISS 3PTR by BROWN,ISIAH",,,"MISS 3PTR by BROWN,ISIAH",1
--,,,,,"REBOUND OFF by DURHAM,JONATHAN",,,"REBOUND OFF by DURHAM,JONATHAN",1
11:36,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
11:36,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:36,,20,,20,"GOOD FT by DURHAM,JONATHAN",BU 20-20 (0),,"GOOD FT by DURHAM,JONATHAN",1
11:36,,20,,21 (+1),"GOOD FT by DURHAM,JONATHAN",BU 20-21 (-1),,"GOOD FT by DURHAM,JONATHAN",1
11:36,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
11:36,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
11:36,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
11:36,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
11:36,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
11:36,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
11:36,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
11:36,"SUB OUT by ROTEMAN,EVAN",,,,,,,"SUB OUT by ROTEMAN,EVAN",1
11:36,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
11:36,"SUB OUT by GRUBBS,COBY",,,,,,,"SUB OUT by GRUBBS,COBY",1
11:35,"FOUL  by DALTON,PRICE",,,,,,,"FOUL  by DALTON,PRICE",1
11:35,"TURNOVER  by DALTON,PRICE",,,,,,,"TURNOVER  by DALTON,PRICE",1
11:34,,,,,"TURNOVER  by DURHAM,JONATHAN",,,"TURNOVER  by DURHAM,JONATHAN",1
11:33,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND OFF by DALTON,PRICE",,,,,,,"REBOUND OFF by DALTON,PRICE",1
11:25,"MISS JUMPER by DALTON,PRICE",,,,,,,"MISS JUMPER by DALTON,PRICE",1
--,,,,,"REBOUND DEF by HEERINGEN,GIAN VAN",,,"REBOUND DEF by HEERINGEN,GIAN VAN",1
11:15,,20,,23 (+3),"GOOD LAYUP by MCCOY,TOMMY(fastbreak)(in the paint)",BU 20-23 (-3),,"GOOD LAYUP by MCCOY,TOMMY(fastbreak)(in the paint)",1
11:15,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
11:15,,,,,"MISS FT by MCCOY,TOMMY",,,"MISS FT by MCCOY,TOMMY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:15,,,,,"SUB IN by COLE,DAVID",,,"SUB IN by COLE,DAVID",1
11:15,,,,,"SUB IN by PRICE,VICTOR",,,"SUB IN by PRICE,VICTOR",1
11:15,,,,,"SUB IN by ROBERTS,JOSHUA",,,"SUB IN by ROBERTS,JOSHUA",1
11:15,,,,,"SUB IN by WORKS,JOHN",,,"SUB IN by WORKS,JOHN",1
11:15,,,,,"SUB IN by GARRETT,PEYTON",,,"SUB IN by GARRETT,PEYTON",1
11:15,,,,,"SUB OUT by HEERINGEN,GIAN VAN",,,"SUB OUT by HEERINGEN,GIAN VAN",1
11:15,,,,,"SUB OUT by BROWN,ISIAH",,,"SUB OUT by BROWN,ISIAH",1
11:15,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",1
11:15,,,,,"SUB OUT by MCCOY,TOMMY",,,"SUB OUT by MCCOY,TOMMY",1
11:15,,,,,"SUB OUT by DURHAM,JONATHAN",,,"SUB OUT by DURHAM,JONATHAN",1
11:08,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",1
11:08,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
11:08,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
11:08,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
11:08,"SUB IN by MCINTYRE,WILLIAM",,,,,,,"SUB IN by MCINTYRE,WILLIAM",1
11:08,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
11:08,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
11:08,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
11:08,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
11:08,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
11:08,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
11:07,,,,,"TURNOVER  by ROBERTS,JOSHUA",,,"TURNOVER  by ROBERTS,JOSHUA",1
11:06,"STEAL  by LOVE,KERRY",,,,,,,"STEAL  by LOVE,KERRY",1
11:03,"GOOD LAYUP by LOVE,KERRY(in the paint)",22,,23 (+1),,RHODES 22-23 (-1),,"GOOD LAYUP by LOVE,KERRY(in the paint)",1
10:56,,,,,"MISS JUMPER by ROBERTS,JOSHUA",,,"MISS JUMPER by ROBERTS,JOSHUA",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:41,"GOOD 3PTR by FERIA,NICK DE",25 (+2),,23,,RHODES 25-23 (+2),,"GOOD 3PTR by FERIA,NICK DE",1
--,"ASSIST  by SAMSON,VAUGHN",,,,,,,"ASSIST  by SAMSON,VAUGHN",1
10:28,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",1
10:28,,25 (+1),,24,"GOOD FT by ROBERTS,JOSHUA",BU 25-24 (+1),,"GOOD FT by ROBERTS,JOSHUA",1
10:28,,25,,25,"GOOD FT by ROBERTS,JOSHUA",BU 25-25 (0),,"GOOD FT by ROBERTS,JOSHUA",1
10:28,,,,,"FOUL  by PRICE,VICTOR",,,"FOUL  by PRICE,VICTOR",1
10:28,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
10:28,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
10:28,"SUB IN by ROTEMAN,EVAN",,,,,,,"SUB IN by ROTEMAN,EVAN",1
10:28,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
10:28,"SUB IN by GRUBBS,COBY",,,,,,,"SUB IN by GRUBBS,COBY",1
10:28,"SUB OUT by LOVE,KERRY",,,,,,,"SUB OUT by LOVE,KERRY",1
10:28,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
10:28,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
10:28,"SUB OUT by MCINTYRE,WILLIAM",,,,,,,"SUB OUT by MCINTYRE,WILLIAM",1
10:28,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
10:28,,,,,"SUB IN by HODUM,RICK",,,"SUB IN by HODUM,RICK",1
10:28,,,,,"SUB OUT by GARRETT,PEYTON",,,"SUB OUT by GARRETT,PEYTON",1
10:23,"MISS 3PTR by NYAWATA,ANESU",,,,,,,"MISS 3PTR by NYAWATA,ANESU",1
--,"REBOUND OFF by BERRY,BRYCE",,,,,,,"REBOUND OFF by BERRY,BRYCE",1
10:11,"GOOD LAYUP by BERRY,BRYCE(in the paint)",27 (+2),,25,,RHODES 27-25 (+2),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
10:03,,,,,"TURNOVER  by ROBERTS,JOSHUA",,,"TURNOVER  by ROBERTS,JOSHUA",1
09:57,"GOOD LAYUP by DARST,DANIEL(in the paint)",29 (+4),,25,,RHODES 29-25 (+4),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
09:49,,29 (+1),,28,"GOOD 3PTR by PRICE,VICTOR",BU 29-28 (+1),,"GOOD 3PTR by PRICE,VICTOR",1
--,,,,,"ASSIST  by ROBERTS,JOSHUA",,,"ASSIST  by ROBERTS,JOSHUA",1
09:29,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:20,"FOUL  by GRUBBS,COBY",,,,,,,"FOUL  by GRUBBS,COBY",1
09:20,,29,,29,"GOOD FT by COLE,DAVID",BU 29-29 (0),,"GOOD FT by COLE,DAVID",1
09:20,,,,,"MISS FT by COLE,DAVID",,,"MISS FT by COLE,DAVID",1
--,"REBOUND DEF by NESTLEHUTT,JAKE",,,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",1
09:20,"GOOD 3PTR by NESTLEHUTT,JAKE",32 (+3),,29,,RHODES 32-29 (+3),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
