Time Remaining,HPU,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
14:44,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
14:44,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
14:44,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
14:44,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
14:35,"MISS JUMPER by RANDALL,KHYCE",,,,,,,"MISS JUMPER by RANDALL,KHYCE",1
--,"REBOUND OFF by COOPER,DRAKE",,,,,,,"REBOUND OFF by COOPER,DRAKE",1
14:28,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
14:17,,7,,17 (+10),"GOOD LAYUP by GALVIN,OWEN(in the paint)",RHODES 7-17 (+10),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
14:04,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
14:01,,7,,20 (+13),"GOOD 3PTR by DALTON,PRICE",RHODES 7-20 (+13),,"GOOD 3PTR by DALTON,PRICE",1
13:51,"GOOD LAYUP by COOPER,DRAKE(fastbreak)(in the paint)",9,,20 (+11),,HPU 9-20 (+11),,"GOOD LAYUP by COOPER,DRAKE(fastbreak)(in the paint)",1
--,"ASSIST  by COLE,SHADD",,,,,,,"ASSIST  by COLE,SHADD",1
13:36,,,,,"MISS 3PTR by WEATHERFORD,MITCH",,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND OFF by GIROUX,PRESTON",,,"REBOUND OFF by GIROUX,PRESTON",1
13:25,,9,,23 (+14),"GOOD 3PTR by NESTLEHUTT,JAKE",RHODES 9-23 (+14),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
13:10,"GOOD LAYUP by COOPER,DRAKE(in the paint)",11,,23 (+12),,HPU 11-23 (+12),,"GOOD LAYUP by COOPER,DRAKE(in the paint)",1
12:57,,,,,"MISS 3PTR by DALTON,PRICE",,,"MISS 3PTR by DALTON,PRICE",1
--,"REBOUND DEF by AGUERO,TIMOTHY",,,,,,,"REBOUND DEF by AGUERO,TIMOTHY",1
12:49,"GOOD LAYUP by RANDALL,KHYCE(fastbreak)(in the paint)",13,,23 (+10),,HPU 13-23 (+10),,"GOOD LAYUP by RANDALL,KHYCE(fastbreak)(in the paint)",1
--,"ASSIST  by AGUERO,TIMOTHY",,,,,,,"ASSIST  by AGUERO,TIMOTHY",1
12:43,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND OFF by WEATHERFORD,MITCH",,,"REBOUND OFF by WEATHERFORD,MITCH",1
12:37,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND OFF by DALTON,PRICE",,,"REBOUND OFF by DALTON,PRICE",1
12:23,,,,,"MISS JUMPER by GALVIN,OWEN",,,"MISS JUMPER by GALVIN,OWEN",1
--,"REBOUND DEF by RANDALL,KHYCE",,,,,,,"REBOUND DEF by RANDALL,KHYCE",1
12:18,"TURNOVER  by AGUERO,TIMOTHY",,,,,,,"TURNOVER  by AGUERO,TIMOTHY",1
12:17,,,,,"STEAL  by GIROUX,PRESTON",,,"STEAL  by GIROUX,PRESTON",1
12:11,"FOUL  by COOPER,DRAKE",,,,,,,"FOUL  by COOPER,DRAKE",1
12:11,,,,,"MISS FT by GIROUX,PRESTON",,,"MISS FT by GIROUX,PRESTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:11,,13,,24 (+11),"GOOD FT by GIROUX,PRESTON",RHODES 13-24 (+11),,"GOOD FT by GIROUX,PRESTON",1
12:11,"SUB IN by HURD,DE'MARCUS",,,,,,,"SUB IN by HURD,DE'MARCUS",1
12:11,"SUB IN by FARMER,DARREN",,,,,,,"SUB IN by FARMER,DARREN",1
12:11,"SUB IN by TAYLOR,JOSHUA",,,,,,,"SUB IN by TAYLOR,JOSHUA",1
12:11,"SUB OUT by RANDALL,KHYCE",,,,,,,"SUB OUT by RANDALL,KHYCE",1
12:11,"SUB OUT by COLE,SHADD",,,,,,,"SUB OUT by COLE,SHADD",1
12:11,"SUB OUT by AGUERO,TIMOTHY",,,,,,,"SUB OUT by AGUERO,TIMOTHY",1
12:11,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
12:11,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
12:11,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
12:11,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
12:11,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
12:11,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
12:11,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
12:11,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
12:11,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
12:11,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
11:58,"TURNOVER  by COOPER,DRAKE",,,,,,,"TURNOVER  by COOPER,DRAKE",1
11:56,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
11:53,,13,,26 (+13),"GOOD LAYUP by DARST,DANIEL(fastbreak)(in the paint)",RHODES 13-26 (+13),,"GOOD LAYUP by DARST,DANIEL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BERRY,BRYCE",,,"ASSIST  by BERRY,BRYCE",1
11:43,"TURNOVER  by COOPER,DRAKE",,,,,,,"TURNOVER  by COOPER,DRAKE",1
11:43,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
11:43,"SUB IN by DAVIS,TALEN",,,,,,,"SUB IN by DAVIS,TALEN",1
11:43,"SUB IN by OTTS,COLTON",,,,,,,"SUB IN by OTTS,COLTON",1
11:43,"SUB OUT by COOPER,DRAKE",,,,,,,"SUB OUT by COOPER,DRAKE",1
11:43,"SUB OUT by BINGHAM,THOMAS",,,,,,,"SUB OUT by BINGHAM,THOMAS",1
11:28,,13,,29 (+16),"GOOD 3PTR by DARST,DANIEL",RHODES 13-29 (+16),,"GOOD 3PTR by DARST,DANIEL",1
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",1
11:13,"TURNOVER  by TAYLOR,JOSHUA",,,,,,,"TURNOVER  by TAYLOR,JOSHUA",1
10:53,"FOUL  by OTTS,COLTON",,,,,,,"FOUL  by OTTS,COLTON",1
10:53,,13,,30 (+17),"GOOD FT by DARST,DANIEL",RHODES 13-30 (+17),,"GOOD FT by DARST,DANIEL",1
10:53,,13,,31 (+18),"GOOD FT by DARST,DANIEL",RHODES 13-31 (+18),,"GOOD FT by DARST,DANIEL",1
10:53,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
10:53,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
10:53,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
10:53,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
10:53,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
10:53,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
10:53,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
10:53,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
10:53,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
10:53,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
10:51,"TURNOVER  by OTTS,COLTON",,,,,,,"TURNOVER  by OTTS,COLTON",1
10:49,,,,,"STEAL  by LOVE,KERRY",,,"STEAL  by LOVE,KERRY",1
10:48,,13,,34 (+21),"GOOD 3PTR by MCINTYRE,WILLIAM",RHODES 13-34 (+21),,"GOOD 3PTR by MCINTYRE,WILLIAM",1
--,,,,,"ASSIST  by LOVE,KERRY",,,"ASSIST  by LOVE,KERRY",1
10:33,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
10:33,"GOOD FT by FARMER,DARREN",14,,34 (+20),,HPU 14-34 (+20),,"GOOD FT by FARMER,DARREN",1
10:33,"GOOD FT by FARMER,DARREN",15,,34 (+19),,HPU 15-34 (+19),,"GOOD FT by FARMER,DARREN",1
10:33,"SUB IN by COLE,SHADD",,,,,,,"SUB IN by COLE,SHADD",1
10:33,"SUB IN by RANDALL,KHYCE",,,,,,,"SUB IN by RANDALL,KHYCE",1
10:33,"SUB OUT by TAYLOR,JOSHUA",,,,,,,"SUB OUT by TAYLOR,JOSHUA",1
10:33,"SUB OUT by OTTS,COLTON",,,,,,,"SUB OUT by OTTS,COLTON",1
10:23,,,,,"TURNOVER  by SAMSON,VAUGHN",,,"TURNOVER  by SAMSON,VAUGHN",1
10:22,"STEAL  by DAVIS,TALEN",,,,,,,"STEAL  by DAVIS,TALEN",1
10:15,"GOOD JUMPER by HURD,DE'MARCUS",17,,34 (+17),,HPU 17-34 (+17),,"GOOD JUMPER by HURD,DE'MARCUS",1
09:59,,,,,"TURNOVER  by LOVE,KERRY",,,"TURNOVER  by LOVE,KERRY",1
09:59,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
09:59,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
09:59,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
09:59,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
09:59,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
09:59,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
09:59,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
09:59,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
09:59,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
09:59,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
09:52,"GOOD LAYUP by RANDALL,KHYCE(fastbreak)(in the paint)",19,,34 (+15),,HPU 19-34 (+15),,"GOOD LAYUP by RANDALL,KHYCE(fastbreak)(in the paint)",1
--,"ASSIST  by DAVIS,TALEN",,,,,,,"ASSIST  by DAVIS,TALEN",1
09:38,,19,,37 (+18),"GOOD 3PTR by DALTON,PRICE",RHODES 19-37 (+18),,"GOOD 3PTR by DALTON,PRICE",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
09:24,"GOOD 3PTR by RANDALL,KHYCE(fastbreak)(in the paint)",22,,37 (+15),,HPU 22-37 (+15),,"GOOD 3PTR by RANDALL,KHYCE(fastbreak)(in the paint)",1
--,"ASSIST  by DAVIS,TALEN",,,,,,,"ASSIST  by DAVIS,TALEN",1
09:15,,22,,40 (+18),"GOOD 3PTR by GALVIN,OWEN",RHODES 22-40 (+18),,"GOOD 3PTR by GALVIN,OWEN",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
09:00,"MISS 3PTR by RANDALL,KHYCE",,,,,,,"MISS 3PTR by RANDALL,KHYCE",1
--,"REBOUND OFF by HURD,DE'MARCUS",,,,,,,"REBOUND OFF by HURD,DE'MARCUS",1
08:56,"GOOD JUMPER by HURD,DE'MARCUS",24,,40 (+16),,HPU 24-40 (+16),,"GOOD JUMPER by HURD,DE'MARCUS",1
08:36,"FOUL  by DAVIS,TALEN",,,,,,,"FOUL  by DAVIS,TALEN",1
08:36,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
08:36,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
