Time Remaining,VCMB1718,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
15:31,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
15:31,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
15:31,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
15:31,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
15:31,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
15:31,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
15:31,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
15:31,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
15:31,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
15:21,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
15:13,"MISS JUMPER by BROMFELD,ZACH",,,,,,,"MISS JUMPER by BROMFELD,ZACH",1
--,"REBOUND OFF by BROMFELD,ZACH",,,,,,,"REBOUND OFF by BROMFELD,ZACH",1
15:08,"TURNOVER  by BROMFELD,ZACH",,,,,,,"TURNOVER  by BROMFELD,ZACH",1
15:02,,13,,20 (+7),"GOOD LAYUP by NYAWATA,ANESU(in the paint)",RHODES 13-20 (+7),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
14:40,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
14:40,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
14:40,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
14:40,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
14:40,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
14:40,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
14:40,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
14:40,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
14:40,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
14:40,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
14:31,"GOOD LAYUP by BROMFELD,ZACH(in the paint)",15,,20 (+5),,VCMB1718 15-20 (+5),,"GOOD LAYUP by BROMFELD,ZACH(in the paint)",1
--,"ASSIST  by BROWNRIDGE,JOSH",,,,,,,"ASSIST  by BROWNRIDGE,JOSH",1
14:19,,,,,"MISS 3PTR by FERIA,NICK DE",,,"MISS 3PTR by FERIA,NICK DE",1
--,,,,,"REBOUND OFF by HARRISON,IAN",,,"REBOUND OFF by HARRISON,IAN",1
14:09,,,,,"MISS JUMPER by LOVE,KERRY",,,"MISS JUMPER by LOVE,KERRY",1
--,"REBOUND DEF by MURRAY,OWEN",,,,,,,"REBOUND DEF by MURRAY,OWEN",1
13:54,"GOOD LAYUP by BROMFELD,ZACH(in the paint)",17,,20 (+3),,VCMB1718 17-20 (+3),,"GOOD LAYUP by BROMFELD,ZACH(in the paint)",1
--,"ASSIST  by BROWNRIDGE,JOSH",,,,,,,"ASSIST  by BROWNRIDGE,JOSH",1
13:36,"FOUL  by GETTINGS,HUNTER",,,,,,,"FOUL  by GETTINGS,HUNTER",1
13:36,,,,,"MISS FT by FERIA,NICK DE",,,"MISS FT by FERIA,NICK DE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:36,,17,,21 (+4),"GOOD FT by FERIA,NICK DE",RHODES 17-21 (+4),,"GOOD FT by FERIA,NICK DE",1
13:36,"SUB IN by SEFF,ALEX",,,,,,,"SUB IN by SEFF,ALEX",1
13:36,"SUB OUT by MURRAY,OWEN",,,,,,,"SUB OUT by MURRAY,OWEN",1
13:36,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
13:36,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
13:36,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
13:36,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
13:36,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
13:36,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
13:36,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
13:36,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
13:36,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
13:36,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
13:22,"MISS 3PTR by GETTINGS,HUNTER",,,,,,,"MISS 3PTR by GETTINGS,HUNTER",1
--,"REBOUND OFF by BROWNRIDGE,JOSH",,,,,,,"REBOUND OFF by BROWNRIDGE,JOSH",1
13:16,"TURNOVER  by BROWNRIDGE,JOSH",,,,,,,"TURNOVER  by BROWNRIDGE,JOSH",1
12:48,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
12:47,"STEAL  by SEFF,ALEX",,,,,,,"STEAL  by SEFF,ALEX",1
12:44,"GOOD LAYUP by BROWNE,JESSE(fastbreak)(in the paint)",19,,21 (+2),,VCMB1718 19-21 (+2),,"GOOD LAYUP by BROWNE,JESSE(fastbreak)(in the paint)",1
--,"ASSIST  by SEFF,ALEX",,,,,,,"ASSIST  by SEFF,ALEX",1
12:34,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:30,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
12:30,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
12:30,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
12:30,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
12:30,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
12:30,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
12:30,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
12:30,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
12:30,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
12:30,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
12:26,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",1
--,"REBOUND DEF by BROMFELD,ZACH",,,,,,,"REBOUND DEF by BROMFELD,ZACH",1
12:14,"GOOD LAYUP by SEFF,ALEX(in the paint)",21,,21,,VCMB1718 21-21 (0),,"GOOD LAYUP by SEFF,ALEX(in the paint)",1
--,"ASSIST  by BROMFELD,ZACH",,,,,,,"ASSIST  by BROMFELD,ZACH",1
11:58,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",1
--,,,,,"REBOUND OFF by SWIFT,DJ",,,"REBOUND OFF by SWIFT,DJ",1
11:50,,,,,"MISS 3PTR by DALTON,PRICE",,,"MISS 3PTR by DALTON,PRICE",1
--,"REBOUND DEF by BROMFELD,ZACH",,,,,,,"REBOUND DEF by BROMFELD,ZACH",1
11:40,"MISS JUMPER by BROWNRIDGE,JOSH",,,,,,,"MISS JUMPER by BROWNRIDGE,JOSH",1
11:40,,,,,"BLOCK  by SWIFT,DJ",,,"BLOCK  by SWIFT,DJ",1
--,"REBOUND OFF by BROMFELD,ZACH",,,,,,,"REBOUND OFF by BROMFELD,ZACH",1
11:36,"GOOD LAYUP by BROMFELD,ZACH(in the paint)",23 (+2),,21,,VCMB1718 23-21 (-2),,"GOOD LAYUP by BROMFELD,ZACH(in the paint)",1
11:34,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:34,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
11:34,"GOOD FT by BROMFELD,ZACH",24 (+3),,21,,VCMB1718 24-21 (-3),,"GOOD FT by BROMFELD,ZACH",1
11:34,"SUB IN by GRINDE,PAUL",,,,,,,"SUB IN by GRINDE,PAUL",1
11:34,"SUB OUT by BROMFELD,ZACH",,,,,,,"SUB OUT by BROMFELD,ZACH",1
11:34,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
11:34,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
11:34,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
11:34,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
11:34,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
11:34,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
11:34,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
11:34,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
11:34,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
11:34,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
11:06,,,,,"MISS JUMPER by HARRISON,IAN",,,"MISS JUMPER by HARRISON,IAN",1
--,"REBOUND DEF by SEFF,ALEX",,,,,,,"REBOUND DEF by SEFF,ALEX",1
10:55,"GOOD LAYUP by GRINDE,PAUL(in the paint)",26 (+5),,21,,VCMB1718 26-21 (-5),,"GOOD LAYUP by GRINDE,PAUL(in the paint)",1
--,"ASSIST  by GETTINGS,HUNTER",,,,,,,"ASSIST  by GETTINGS,HUNTER",1
10:41,,,,,"MISS 3PTR by EVANS,ANDREW",,,"MISS 3PTR by EVANS,ANDREW",1
--,"REBOUND DEF by BROWNE,JESSE",,,,,,,"REBOUND DEF by BROWNE,JESSE",1
10:27,"TURNOVER  by BROWNE,JESSE",,,,,,,"TURNOVER  by BROWNE,JESSE",1
10:27,"FOUL  by BROWNE,JESSE",,,,,,,"FOUL  by BROWNE,JESSE",1
10:27,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
10:27,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
10:27,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
10:27,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
10:27,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
10:27,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",1
10:27,,,,,"SUB OUT by EVANS,ANDREW",,,"SUB OUT by EVANS,ANDREW",1
10:27,,,,,"SUB OUT by LOVE,KERRY",,,"SUB OUT by LOVE,KERRY",1
10:27,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
10:27,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
10:12,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",1
--,"REBOUND DEF by BROWNRIDGE,JOSH",,,,,,,"REBOUND DEF by BROWNRIDGE,JOSH",1
10:01,"TURNOVER  by BROWNRIDGE,JOSH",,,,,,,"TURNOVER  by BROWNRIDGE,JOSH",1
09:54,,26 (+3),,23,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",RHODES 26-23 (-3),,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",1
09:42,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
09:42,"MISS FT by GRINDE,PAUL",,,,,,,"MISS FT by GRINDE,PAUL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:42,"MISS FT by GRINDE,PAUL",,,,,,,"MISS FT by GRINDE,PAUL",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
09:42,"SUB IN by TEBAY,LANCE",,,,,,,"SUB IN by TEBAY,LANCE",1
09:42,"SUB OUT by BROWNRIDGE,JOSH",,,,,,,"SUB OUT by BROWNRIDGE,JOSH",1
09:32,,26 (+1),,25,"GOOD LAYUP by BERRY,BRYCE(in the paint)",RHODES 26-25 (-1),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
09:21,"TURNOVER  by SEFF,ALEX",,,,,,,"TURNOVER  by SEFF,ALEX",1
09:21,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
09:21,,,,,"SUB IN by MCINTYRE,WILLIAM",,,"SUB IN by MCINTYRE,WILLIAM",1
09:21,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
09:21,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
09:21,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
09:21,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
09:21,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
09:21,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
09:21,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
09:21,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
09:16,"FOUL  by GETTINGS,HUNTER",,,,,,,"FOUL  by GETTINGS,HUNTER",1
09:16,"SUB IN by MURRAY,OWEN",,,,,,,"SUB IN by MURRAY,OWEN",1
09:16,"SUB OUT by GETTINGS,HUNTER",,,,,,,"SUB OUT by GETTINGS,HUNTER",1
09:04,,,,,"MISS JUMPER by ASHBY,KENDRICK",,,"MISS JUMPER by ASHBY,KENDRICK",1
--,"REBOUND DEF by GRINDE,PAUL",,,,,,,"REBOUND DEF by GRINDE,PAUL",1
08:55,"GOOD LAYUP by MURRAY,OWEN(in the paint)",28 (+3),,25,,VCMB1718 28-25 (-3),,"GOOD LAYUP by MURRAY,OWEN(in the paint)",1
08:42,,,,,"MISS LAYUP by NYAWATA,ANESU",,,"MISS LAYUP by NYAWATA,ANESU",1
--,"REBOUND DEF by MURRAY,OWEN",,,,,,,"REBOUND DEF by MURRAY,OWEN",1
08:39,,,,,"FOUL  by NYAWATA,ANESU",,,"FOUL  by NYAWATA,ANESU",1
08:39,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
08:39,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",1
08:39,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",1
08:39,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
08:39,,,,,"SUB IN by EVANS,ANDREW",,,"SUB IN by EVANS,ANDREW",1
08:39,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
08:39,,,,,"SUB OUT by MCINTYRE,WILLIAM",,,"SUB OUT by MCINTYRE,WILLIAM",1
08:39,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
08:39,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
08:39,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",1
08:30,"GOOD LAYUP by GRINDE,PAUL(in the paint)",30 (+5),,25,,VCMB1718 30-25 (-5),,"GOOD LAYUP by GRINDE,PAUL(in the paint)",1
--,"ASSIST  by TEBAY,LANCE",,,,,,,"ASSIST  by TEBAY,LANCE",1
08:14,,30 (+3),,27,"GOOD LAYUP by LOVE,KERRY(in the paint)",RHODES 30-27 (-3),,"GOOD LAYUP by LOVE,KERRY(in the paint)",1
08:00,"MISS DUNK by TEBAY,LANCE",,,,,,,"MISS DUNK by TEBAY,LANCE",1
--,"REBOUND OFF by GRINDE,PAUL",,,,,,,"REBOUND OFF by GRINDE,PAUL",1
07:48,"MISS JUMPER by BROWNE,JESSE",,,,,,,"MISS JUMPER by BROWNE,JESSE",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
07:39,,30 (+1),,29,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",RHODES 30-29 (-1),,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",1
