Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,UTT,Game Score,Team Indicator,Play,Period
15:56,,,,,"MISS 3PTR by MOORE,DAVIS",,,"MISS 3PTR by MOORE,DAVIS",1
--,,,,,"REBOUND OFF by LANE,JOHNELL",,,"REBOUND OFF by LANE,JOHNELL",1
15:51,,8,,9 (+1),"GOOD LAYUP by LANE,JOHNELL(in the paint)",UTT 8-9 (-1),,"GOOD LAYUP by LANE,JOHNELL(in the paint)",1
15:36,"MISS 3PTR by FERIA,NICK DE",,,,,,,"MISS 3PTR by FERIA,NICK DE",1
--,"REBOUND OFF by FERIA,NICK DE",,,,,,,"REBOUND OFF by FERIA,NICK DE",1
15:32,,,,,"FOUL  by MOORE,DAVIS",,,"FOUL  by MOORE,DAVIS",1
15:32,"MISS FT by FERIA,NICK DE",,,,,,,"MISS FT by FERIA,NICK DE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:32,"GOOD FT by FERIA,NICK DE",9,,9,,RHODES 9-9 (0),,"GOOD FT by FERIA,NICK DE",1
15:21,,9,,11 (+2),"GOOD JUMPER by LANE,JOHNELL(in the paint)",UTT 9-11 (-2),,"GOOD JUMPER by LANE,JOHNELL(in the paint)",1
--,,,,,"ASSIST  by MOHAMED,OMAR",,,"ASSIST  by MOHAMED,OMAR",1
15:05,,,,,"FOUL  by MOORE,DAVIS",,,"FOUL  by MOORE,DAVIS",1
15:05,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
15:05,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
15:05,"SUB IN by SWIFT,DJ",,,,,,,"SUB IN by SWIFT,DJ",1
15:05,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
15:05,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
15:05,"SUB OUT by EVANS,ANDREW",,,,,,,"SUB OUT by EVANS,ANDREW",1
15:05,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
15:05,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
15:05,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
15:05,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
15:05,,,,,"SUB IN by TATUM,JOSH",,,"SUB IN by TATUM,JOSH",1
15:05,,,,,"SUB OUT by MOORE,DAVIS",,,"SUB OUT by MOORE,DAVIS",1
14:56,"GOOD 3PTR by GALVIN,OWEN",12 (+1),,11,,RHODES 12-11 (+1),,"GOOD 3PTR by GALVIN,OWEN",1
--,"ASSIST  by LOVE,KERRY",,,,,,,"ASSIST  by LOVE,KERRY",1
14:46,,,,,"TURNOVER  by MASON,CHASE",,,"TURNOVER  by MASON,CHASE",1
14:43,"STEAL  by DARST,DANIEL",,,,,,,"STEAL  by DARST,DANIEL",1
14:35,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",1
14:34,,,,,"STEAL  by MOHAMED,OMAR",,,"STEAL  by MOHAMED,OMAR",1
14:32,,,,,"MISS JUMPER by LANE,JOHNELL",,,"MISS JUMPER by LANE,JOHNELL",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
14:25,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
14:23,,,,,"STEAL  by MOHAMED,OMAR",,,"STEAL  by MOHAMED,OMAR",1
14:22,,,,,"MISS JUMPER by GREEN-GASKIN,JAMAL",,,"MISS JUMPER by GREEN-GASKIN,JAMAL",1
