Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,UCSCM,Game Score,Team Indicator,Play,Period
16:44,,27 (+7),,20,"GOOD LAYUP by TOWNSEND,JAMES(in the paint)",UCSCM 27-20 (+7),,"GOOD LAYUP by TOWNSEND,JAMES(in the paint)",2
16:28,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",29 (+9),,20,,RHODES 29-20 (+9),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",2
16:05,,,,,"TURNOVER  by WESTON,TRE",,,"TURNOVER  by WESTON,TRE",2
15:44,,,,,"FOUL  by CREIGHTON,KYLE",,,"FOUL  by CREIGHTON,KYLE",2
15:44,"MISS FT by MILLER,DREW",,,,,,,"MISS FT by MILLER,DREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:44,"GOOD FT by MILLER,DREW",30 (+10),,20,,RHODES 30-20 (+10),,"GOOD FT by MILLER,DREW",2
15:44,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",2
15:44,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
15:44,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
15:44,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
15:44,,,,,"SUB IN by HOLLER,DYLAN",,,"SUB IN by HOLLER,DYLAN",2
15:44,,,,,"SUB IN by ZUR,ILAN",,,"SUB IN by ZUR,ILAN",2
15:44,,,,,"SUB OUT by WESTON,TRE",,,"SUB OUT by WESTON,TRE",2
15:44,,,,,"SUB OUT by CREIGHTON,KYLE",,,"SUB OUT by CREIGHTON,KYLE",2
15:31,,,,,"FOUL  by HOLLER,DYLAN",,,"FOUL  by HOLLER,DYLAN",2
15:31,,,,,"TURNOVER  by HOLLER,DYLAN",,,"TURNOVER  by HOLLER,DYLAN",2
15:19,"MISS LAYUP by WAGNER,MATT",,,,,,,"MISS LAYUP by WAGNER,MATT",2
--,"REBOUND OFF by SLEDGE,TATE",,,,,,,"REBOUND OFF by SLEDGE,TATE",2
15:16,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,"REBOUND OFF by MILLER,DREW",,,,,,,"REBOUND OFF by MILLER,DREW",2
15:04,"GOOD 3PTR by MILLER,DREW",33 (+13),,20,,RHODES 33-20 (+13),,"GOOD 3PTR by MILLER,DREW",2
--,"ASSIST  by SULLIVAN,BRENNAN",,,,,,,"ASSIST  by SULLIVAN,BRENNAN",2
14:35,,,,,"MISS JUMPER by PONCE,JARED",,,"MISS JUMPER by PONCE,JARED",2
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",2
14:31,"TURNOVER  by SULLIVAN,BRENNAN",,,,,,,"TURNOVER  by SULLIVAN,BRENNAN",2
14:06,,,,,"MISS JUMPER by PONCE,JARED",,,"MISS JUMPER by PONCE,JARED",2
14:06,"BLOCK  by SLEDGE,TATE",,,,,,,"BLOCK  by SLEDGE,TATE",2
--,,,,,"REBOUND OFF by PONCE,JARED",,,"REBOUND OFF by PONCE,JARED",2
14:01,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",2
13:58,,,,,"MISS FT by PONCE,JARED",,,"MISS FT by PONCE,JARED",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:55,,33 (+12),,21,"GOOD FT by PONCE,JARED",UCSCM 33-21 (+12),,"GOOD FT by PONCE,JARED",2
13:55,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",2
13:55,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
13:55,,,,,"SUB IN by WESTON,TRE",,,"SUB IN by WESTON,TRE",2
13:55,,,,,"SUB OUT by TOWNSEND,JAMES",,,"SUB OUT by TOWNSEND,JAMES",2
13:44,,,,,"FOUL  by HOLLER,DYLAN",,,"FOUL  by HOLLER,DYLAN",2
13:40,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND DEF by WESTON,TRE",,,"REBOUND DEF by WESTON,TRE",2
13:14,,,,,"TURNOVER  by PONCE,MATTHEW",,,"TURNOVER  by PONCE,MATTHEW",2
13:12,"STEAL  by SULLIVAN,BRENNAN",,,,,,,"STEAL  by SULLIVAN,BRENNAN",2
12:57,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",2
12:57,"SUB IN by BLISS,DYLAN",,,,,,,"SUB IN by BLISS,DYLAN",2
12:57,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
12:57,,,,,"SUB IN by JR,MARSHAL ARWINE",,,"SUB IN by JR,MARSHAL ARWINE",2
12:57,,,,,"SUB OUT by HOLLER,DYLAN",,,"SUB OUT by HOLLER,DYLAN",2
12:56,,,,,"MISS 3PTR by PONCE,JARED",,,"MISS 3PTR by PONCE,JARED",2
--,,,,,"REBOUND OFF by ZUR,ILAN",,,"REBOUND OFF by ZUR,ILAN",2
12:34,"FOUL  by BLISS,DYLAN",,,,,,,"FOUL  by BLISS,DYLAN",2
12:09,,33 (+10),,23,"GOOD LAYUP by JR,MARSHAL ARWINE(in the paint)",UCSCM 33-23 (+10),,"GOOD LAYUP by JR,MARSHAL ARWINE(in the paint)",2
11:55,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",2
11:54,,,,,"STEAL  by JR,MARSHAL ARWINE",,,"STEAL  by JR,MARSHAL ARWINE",2
11:42,,,,,"MISS 3PTR by PONCE,JARED",,,"MISS 3PTR by PONCE,JARED",2
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",2
11:36,"MISS LAYUP by COLLINS,LUKE",,,,,,,"MISS LAYUP by COLLINS,LUKE",2
--,,,,,"REBOUND DEF by JR,MARSHAL ARWINE",,,"REBOUND DEF by JR,MARSHAL ARWINE",2
11:23,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",2
11:23,,,,,"MISS FT by MARLOW,ADAM",,,"MISS FT by MARLOW,ADAM",2
--,"REBOUND DEF by BLISS,DYLAN",,,,,,,"REBOUND DEF by BLISS,DYLAN",2
11:23,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
11:23,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
11:23,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
11:23,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
11:13,"MISS 3PTR by COLLINS,LUKE",,,,,,,"MISS 3PTR by COLLINS,LUKE",2
--,,,,,"REBOUND DEF by WESTON,TRE",,,"REBOUND DEF by WESTON,TRE",2
10:53,,,,,"MISS JUMPER by PONCE,JARED",,,"MISS JUMPER by PONCE,JARED",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
10:39,"MISS 3PTR by BLISS,DYLAN",,,,,,,"MISS 3PTR by BLISS,DYLAN",2
--,,,,,"REBOUND DEF by ZUR,ILAN",,,"REBOUND DEF by ZUR,ILAN",2
10:08,,,,,"MISS 3PTR by MARLOW,ADAM",,,"MISS 3PTR by MARLOW,ADAM",2
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",2
09:50,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
09:50,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",2
09:50,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
09:50,"SUB OUT by BLISS,DYLAN",,,,,,,"SUB OUT by BLISS,DYLAN",2
09:50,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
09:50,,,,,"SUB IN by CREIGHTON,KYLE",,,"SUB IN by CREIGHTON,KYLE",2
09:50,,,,,"SUB IN by CILIA,COREY",,,"SUB IN by CILIA,COREY",2
09:50,,,,,"SUB OUT by MARLOW,ADAM",,,"SUB OUT by MARLOW,ADAM",2
09:50,,,,,"SUB OUT by ZUR,ILAN",,,"SUB OUT by ZUR,ILAN",2
09:34,"MISS JUMPER by SULLIVAN,BRENNAN",,,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND DEF by CREIGHTON,KYLE",,,"REBOUND DEF by CREIGHTON,KYLE",2
09:05,,,,,"MISS 3PTR by PONCE,JARED",,,"MISS 3PTR by PONCE,JARED",2
--,"REBOUND DEF by BUTTS,KEYSHAWN",,,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",2
08:54,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:52,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
08:52,,33 (+9),,24,"GOOD FT by CREIGHTON,KYLE",UCSCM 33-24 (+9),,"GOOD FT by CREIGHTON,KYLE",2
08:52,,33 (+8),,25,"GOOD FT by CREIGHTON,KYLE",UCSCM 33-25 (+8),,"GOOD FT by CREIGHTON,KYLE",2
08:52,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
08:52,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
08:35,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND DEF by WESTON,TRE",,,"REBOUND DEF by WESTON,TRE",2
08:31,,,,,"TURNOVER  by CILIA,COREY",,,"TURNOVER  by CILIA,COREY",2
08:29,"SUB IN by COLLINS,LUKE",,,,,,,"SUB IN by COLLINS,LUKE",2
08:29,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
08:18,"GOOD JUMPER by MILLER,DREW",35 (+10),,25,,RHODES 35-25 (+10),,"GOOD JUMPER by MILLER,DREW",2
07:54,,,,,"MISS JUMPER by JR,MARSHAL ARWINE",,,"MISS JUMPER by JR,MARSHAL ARWINE",2
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",2
07:44,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:41,,,,,"SUB IN by MARLOW,ADAM",,,"SUB IN by MARLOW,ADAM",2
07:41,,,,,"SUB OUT by JR,MARSHAL ARWINE",,,"SUB OUT by JR,MARSHAL ARWINE",2
07:37,,,,,"TURNOVER  by CILIA,COREY",,,"TURNOVER  by CILIA,COREY",2
07:35,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",2
07:27,,,,,"FOUL  by CREIGHTON,KYLE",,,"FOUL  by CREIGHTON,KYLE",2
07:27,"GOOD FT by HOECK,RYAN VAN",36 (+11),,25,,RHODES 36-25 (+11),,"GOOD FT by HOECK,RYAN VAN",2
07:27,"GOOD FT by HOECK,RYAN VAN",37 (+12),,25,,RHODES 37-25 (+12),,"GOOD FT by HOECK,RYAN VAN",2
07:16,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",2
07:16,,37 (+11),,26,"GOOD FT by PONCE,JARED",UCSCM 37-26 (+11),,"GOOD FT by PONCE,JARED",2
07:16,,,,,"MISS FT by PONCE,JARED",,,"MISS FT by PONCE,JARED",2
--,,,,,"REBOUND DEF by WESTON,TRE",,,"REBOUND DEF by WESTON,TRE",2
07:15,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:10,,,,,"TURNOVER  by MARLOW,ADAM",,,"TURNOVER  by MARLOW,ADAM",2
07:09,"STEAL  by COLLINS,LUKE",,,,,,,"STEAL  by COLLINS,LUKE",2
06:49,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",39 (+13),,26,,RHODES 39-26 (+13),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,"ASSIST  by SULLIVAN,BRENNAN",,,,,,,"ASSIST  by SULLIVAN,BRENNAN",2
06:36,,,,,"SUB IN by JR,MARSHAL ARWINE",,,"SUB IN by JR,MARSHAL ARWINE",2
06:36,,,,,"SUB OUT by CILIA,COREY",,,"SUB OUT by CILIA,COREY",2
06:26,,,,,"MISS 3PTR by MARLOW,ADAM",,,"MISS 3PTR by MARLOW,ADAM",2
--,,,,,"REBOUND OFF by CREIGHTON,KYLE",,,"REBOUND OFF by CREIGHTON,KYLE",2
06:18,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
06:09,,39 (+12),,27,"GOOD FT by CREIGHTON,KYLE",UCSCM 39-27 (+12),,"GOOD FT by CREIGHTON,KYLE",2
06:09,,39 (+11),,28,"GOOD FT by CREIGHTON,KYLE",UCSCM 39-28 (+11),,"GOOD FT by CREIGHTON,KYLE",2
05:36,"MISS JUMPER by BLISS,DYLAN",,,,,,,"MISS JUMPER by BLISS,DYLAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
05:18,,39 (+9),,30,"GOOD LAYUP by WESTON,TRE(in the paint)",UCSCM 39-30 (+9),,"GOOD LAYUP by WESTON,TRE(in the paint)",2
--,,,,,"ASSIST  by MARLOW,ADAM",,,"ASSIST  by MARLOW,ADAM",2
05:00,,,,,"FOUL  by WESTON,TRE",,,"FOUL  by WESTON,TRE",2
05:00,"GOOD FT by MILLER,DREW",40 (+10),,30,,RHODES 40-30 (+10),,"GOOD FT by MILLER,DREW",2
05:00,"GOOD FT by MILLER,DREW",41 (+11),,30,,RHODES 41-30 (+11),,"GOOD FT by MILLER,DREW",2
05:00,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
05:00,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
04:32,,,,,"MISS JUMPER by PONCE,JARED",,,"MISS JUMPER by PONCE,JARED",2
04:32,"BLOCK  by MILLER,DREW",,,,,,,"BLOCK  by MILLER,DREW",2
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",2
04:25,"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",43 (+13),,30,,RHODES 43-30 (+13),,"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",2
--,"ASSIST  by WAGNER,MATT",,,,,,,"ASSIST  by WAGNER,MATT",2
04:00,,,,,"TURNOVER  by PONCE,JARED",,,"TURNOVER  by PONCE,JARED",2
04:00,"STEAL  by WAGNER,MATT",,,,,,,"STEAL  by WAGNER,MATT",2
04:00,,,,,"FOUL  by PONCE,JARED",,,"FOUL  by PONCE,JARED",2
04:00,"GOOD FT by WAGNER,MATT",44 (+14),,30,,RHODES 44-30 (+14),,"GOOD FT by WAGNER,MATT",2
--,,,,,"REBOUND DEF by PONCE,JARED",,,"REBOUND DEF by PONCE,JARED",2
04:00,,,,,"SUB IN by TOWNSEND,JAMES",,,"SUB IN by TOWNSEND,JAMES",2
04:00,,,,,"SUB OUT by CREIGHTON,KYLE",,,"SUB OUT by CREIGHTON,KYLE",2
03:38,,,,,"SUB IN by ZUR,ILAN",,,"SUB IN by ZUR,ILAN",2
03:38,,,,,"SUB OUT by JR,MARSHAL ARWINE",,,"SUB OUT by JR,MARSHAL ARWINE",2
03:31,,,,,"MISS LAYUP by PONCE,JARED",,,"MISS LAYUP by PONCE,JARED",2
--,,,,,"REBOUND OFF by WESTON,TRE",,,"REBOUND OFF by WESTON,TRE",2
03:31,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",2
03:31,,,,,"MISS FT by WESTON,TRE",,,"MISS FT by WESTON,TRE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:31,,,,,"MISS FT by WESTON,TRE",,,"MISS FT by WESTON,TRE",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
03:31,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
03:31,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
03:31,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
03:31,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
03:24,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
03:07,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND DEF by ZUR,ILAN",,,"REBOUND DEF by ZUR,ILAN",2
02:48,,,,,"MISS LAYUP by ZUR,ILAN",,,"MISS LAYUP by ZUR,ILAN",2
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",2
02:29,,,,,"FOUL  by WESTON,TRE",,,"FOUL  by WESTON,TRE",2
02:29,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:29,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by TOWNSEND,JAMES",,,"REBOUND DEF by TOWNSEND,JAMES",2
02:29,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
02:29,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
02:14,,44 (+11),,33,"GOOD 3PTR by ZUR,ILAN",UCSCM 44-33 (+11),,"GOOD 3PTR by ZUR,ILAN",2
--,,,,,"ASSIST  by MARLOW,ADAM",,,"ASSIST  by MARLOW,ADAM",2
01:33,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",2
01:33,,,,,"BLOCK  by WESTON,TRE",,,"BLOCK  by WESTON,TRE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:32,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",2
01:32,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
01:27,,,,,"FOUL  by MARLOW,ADAM",,,"FOUL  by MARLOW,ADAM",2
01:32,"GOOD FT by COLLINS,LUKE",45 (+12),,33,,RHODES 45-33 (+12),,"GOOD FT by COLLINS,LUKE",2
01:32,"GOOD FT by COLLINS,LUKE",46 (+13),,33,,RHODES 46-33 (+13),,"GOOD FT by COLLINS,LUKE",2
01:16,,,,,"MISS 3PTR by TOWNSEND,JAMES",,,"MISS 3PTR by TOWNSEND,JAMES",2
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",2
01:05,,,,,"FOUL  by PONCE,JARED",,,"FOUL  by PONCE,JARED",2
01:05,"GOOD FT by SLEDGE,TATE",47 (+14),,33,,RHODES 47-33 (+14),,"GOOD FT by SLEDGE,TATE",2
01:05,"GOOD FT by SLEDGE,TATE",48 (+15),,33,,RHODES 48-33 (+15),,"GOOD FT by SLEDGE,TATE",2
01:00,,,,,"MISS LAYUP by TOWNSEND,JAMES",,,"MISS LAYUP by TOWNSEND,JAMES",2
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",2
00:58,,,,,"FOUL  by PONCE,JARED",,,"FOUL  by PONCE,JARED",2
00:58,"GOOD FT by SULLIVAN,BRENNAN",49 (+16),,33,,RHODES 49-33 (+16),,"GOOD FT by SULLIVAN,BRENNAN",2
00:58,"MISS FT by SULLIVAN,BRENNAN",,,,,,,"MISS FT by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND DEF by ZUR,ILAN",,,"REBOUND DEF by ZUR,ILAN",2
00:58,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",2
00:58,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",2
00:58,"SUB IN by HECHINGER,GRANT",,,,,,,"SUB IN by HECHINGER,GRANT",2
00:58,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",2
00:58,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
00:58,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
00:58,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
00:58,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
00:51,,49 (+13),,36,"GOOD 3PTR by PONCE,JARED",UCSCM 49-36 (+13),,"GOOD 3PTR by PONCE,JARED",2
00:35,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:35,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",2
00:35,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
00:15,"MISS JUMPER by NYAWATA,ANESU",,,,,,,"MISS JUMPER by NYAWATA,ANESU",2
--,,,,,"REBOUND DEF by TOWNSEND,JAMES",,,"REBOUND DEF by TOWNSEND,JAMES",2
00:06,,,,,"MISS 3PTR by PONCE,JARED",,,"MISS 3PTR by PONCE,JARED",2
--,,,,,"REBOUND OFF by WESTON,TRE",,,"REBOUND OFF by WESTON,TRE",2
00:01,,,,,"TURNOVER  by WESTON,TRE",,,"TURNOVER  by WESTON,TRE",2
00:00,"STEAL  by HECHINGER,GRANT",,,,,,,"STEAL  by HECHINGER,GRANT",2
