Time Remaining,FUM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
09:29,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by DORHAUER,RICHARD",,,,,,,"REBOUND DEF by DORHAUER,RICHARD",1
09:18,"TURNOVER  by JOHNSON,EVAN",,,,,,,"TURNOVER  by JOHNSON,EVAN",1
09:16,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
09:09,"FOUL  by RUCKER,DARIUS",,,,,,,"FOUL  by RUCKER,DARIUS",1
09:09,"SUB IN by WELCH,BLAKE",,,,,,,"SUB IN by WELCH,BLAKE",1
09:09,"SUB OUT by RUCKER,DARIUS",,,,,,,"SUB OUT by RUCKER,DARIUS",1
09:09,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
09:09,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
08:54,,11,,16 (+5),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 11-16 (+5),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
08:28,"MISS 3PTR by BAKIS,ORKAN",,,,,,,"MISS 3PTR by BAKIS,ORKAN",1
--,"REBOUND OFF by JOHNSON,EVAN",,,,,,,"REBOUND OFF by JOHNSON,EVAN",1
08:21,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
08:21,"GOOD FT by BAKIS,ORKAN",12,,16 (+4),,FUM 12-16 (+4),,"GOOD FT by BAKIS,ORKAN",1
08:21,"GOOD FT by BAKIS,ORKAN",13,,16 (+3),,FUM 13-16 (+3),,"GOOD FT by BAKIS,ORKAN",1
08:21,,13,,19 (+6),"GOOD 3PTR by MILLER,DREW",RHODES 13-19 (+6),,"GOOD 3PTR by MILLER,DREW",1
08:21,"SUB IN by DJONA,LELIS",,,,,,,"SUB IN by DJONA,LELIS",1
08:21,"SUB OUT by JOHNSON,EVAN",,,,,,,"SUB OUT by JOHNSON,EVAN",1
08:21,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
08:21,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
