Time Remaining,FUM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
00:43,"SUB IN by RUCKER,DARIUS",,,,,,,"SUB IN by RUCKER,DARIUS",2
00:43,"SUB IN by DORHAUER,RICHARD",,,,,,,"SUB IN by DORHAUER,RICHARD",2
00:43,"SUB OUT by WILLIAMS,K TYLER",,,,,,,"SUB OUT by WILLIAMS,K TYLER",2
00:43,"SUB OUT by DJONA,LELIS",,,,,,,"SUB OUT by DJONA,LELIS",2
00:42,,54,,66 (+12),"GOOD FT by SLEDGE,TATE",RHODES 54-66 (+12),,"GOOD FT by SLEDGE,TATE",2
00:40,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",2
--,"REBOUND DEF by JOHNSON,EVAN",,,,,,,"REBOUND DEF by JOHNSON,EVAN",2
00:30,"MISS 3PTR by DORHAUER,RICHARD",,,,,,,"MISS 3PTR by DORHAUER,RICHARD",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:30,"SUB IN by WILLIAMS,K TYLER",,,,,,,"SUB IN by WILLIAMS,K TYLER",2
00:30,"SUB IN by DJONA,LELIS",,,,,,,"SUB IN by DJONA,LELIS",2
00:30,"SUB OUT by RUCKER,DARIUS",,,,,,,"SUB OUT by RUCKER,DARIUS",2
00:30,"SUB OUT by DORHAUER,RICHARD",,,,,,,"SUB OUT by DORHAUER,RICHARD",2
00:29,"FOUL  by WELCH,BLAKE",,,,,,,"FOUL  by WELCH,BLAKE",2
00:29,,54,,67 (+13),"GOOD FT by SULLIVAN,BRENNAN",RHODES 54-67 (+13),,"GOOD FT by SULLIVAN,BRENNAN",2
00:29,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:29,"SUB IN by RUCKER,DARIUS",,,,,,,"SUB IN by RUCKER,DARIUS",2
00:29,"SUB IN by DORHAUER,RICHARD",,,,,,,"SUB IN by DORHAUER,RICHARD",2
00:29,"SUB OUT by WILLIAMS,K TYLER",,,,,,,"SUB OUT by WILLIAMS,K TYLER",2
00:29,"SUB OUT by DJONA,LELIS",,,,,,,"SUB OUT by DJONA,LELIS",2
00:15,"MISS 3PTR by LAKE,JACK",,,,,,,"MISS 3PTR by LAKE,JACK",2
--,"REBOUND OFF by RUCKER,DARIUS",,,,,,,"REBOUND OFF by RUCKER,DARIUS",2
00:11,"TURNOVER  by RUCKER,DARIUS",,,,,,,"TURNOVER  by RUCKER,DARIUS",2
00:09,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",2
