Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
06:51,"MISS LAYUP by GEE,TYLER",,,,,,,"MISS LAYUP by GEE,TYLER",1
06:51,,,,,"BLOCK  by GUMP,MATT",,,"BLOCK  by GUMP,MATT",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
06:32,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",1
06:24,,,,,"FOUL  by GEEGAN,MIKE",,,"FOUL  by GEEGAN,MIKE",1
06:17,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
06:17,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
06:17,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
06:17,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
05:46,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
05:24,,,,,"MISS JUMPER by KARSNER,JOSH",,,"MISS JUMPER by KARSNER,JOSH",1
--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1
05:20,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",1
05:12,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
04:45,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",1
04:37,"GOOD 3PTR by BUTTS,KEYSHAWN",16,,16,,RHODES 16-16 (0),,"GOOD 3PTR by BUTTS,KEYSHAWN",1
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",1
04:17,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
04:17,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
04:17,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
04:17,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
04:01,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",1
--,"REBOUND DEF by WEIR,JJ",,,,,,,"REBOUND DEF by WEIR,JJ",1
03:50,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",1
03:47,,,,,"STEAL  by GRUBER,SAM",,,"STEAL  by GRUBER,SAM",1
03:36,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
03:36,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
03:36,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
03:36,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
03:36,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
03:29,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
03:29,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",1
03:29,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
03:29,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
03:26,,,,,"TURNOVER  by GRUBER,SAM",,,"TURNOVER  by GRUBER,SAM",1
03:24,"STEAL  by MILLER,DREW",,,,,,,"STEAL  by MILLER,DREW",1
03:22,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
03:16,"GOOD FT by MILLER,DREW",17 (+1),,16,,RHODES 17-16 (+1),,"GOOD FT by MILLER,DREW",1
03:16,"GOOD FT by MILLER,DREW",18 (+2),,16,,RHODES 18-16 (+2),,"GOOD FT by MILLER,DREW",1
03:16,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
03:16,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
03:16,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
03:16,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
03:10,,,,,"TURNOVER  by REPISHTI,BRYAN",,,"TURNOVER  by REPISHTI,BRYAN",1
02:54,"GOOD 3PTR by SULLIVAN,BRENNAN",21 (+5),,16,,RHODES 21-16 (+5),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",1
02:26,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",1
02:24,"STEAL  by BUTTS,KEYSHAWN",,,,,,,"STEAL  by BUTTS,KEYSHAWN",1
