Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,LIP,Game Score,Team Indicator,Play,Period
02:57,,,,,"SUB OUT by GREENE,DYLAN",,,"SUB OUT by GREENE,DYLAN",1
02:50,,26,,39 (+13),"GOOD JUMPER by HAMPTON,JC",LIP 26-39 (-13),,"GOOD JUMPER by HAMPTON,JC",1
02:22,,,,,"FOUL  by DENNY,TALBOTT",,,"FOUL  by DENNY,TALBOTT",1
02:22,"MISS FT by MILLER,DREW",,,,,,,"MISS FT by MILLER,DREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:22,"MISS FT by MILLER,DREW",,,,,,,"MISS FT by MILLER,DREW",1
--,,,,,"REBOUND DEF by SMITH,MALCOLM",,,"REBOUND DEF by SMITH,MALCOLM",1
02:10,,26,,41 (+15),"GOOD LAYUP by DENNY,TALBOTT(in the paint)",LIP 26-41 (-15),,"GOOD LAYUP by DENNY,TALBOTT(in the paint)",1
--,,,,,"ASSIST  by SMITH,MALCOLM",,,"ASSIST  by SMITH,MALCOLM",1
01:55,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",1
01:51,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",1
01:51,,26,,42 (+16),"GOOD FT by KORN,AARON",LIP 26-42 (-16),,"GOOD FT by KORN,AARON",1
01:51,,,,,"MISS FT by KORN,AARON",,,"MISS FT by KORN,AARON",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
01:51,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",1
01:51,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
01:38,,,,,"FOUL  by SMITH,MALCOLM",,,"FOUL  by SMITH,MALCOLM",1
01:38,"GOOD FT by SLEDGE,TATE",27,,42 (+15),,RHODES 27-42 (-15),,"GOOD FT by SLEDGE,TATE",1
01:38,"GOOD FT by SLEDGE,TATE",28,,42 (+14),,RHODES 28-42 (-14),,"GOOD FT by SLEDGE,TATE",1
01:38,,,,,"SUB IN by WILLIAMS,JOSH",,,"SUB IN by WILLIAMS,JOSH",1
01:38,,,,,"SUB OUT by SMITH,MALCOLM",,,"SUB OUT by SMITH,MALCOLM",1
01:14,,28,,44 (+16),"GOOD JUMPER by KORN,AARON",LIP 28-44 (-16),,"GOOD JUMPER by KORN,AARON",1
00:57,"TURNOVER  by SLEDGE,TATE",,,,,,,"TURNOVER  by SLEDGE,TATE",1
00:56,,,,,"STEAL  by HAMPTON,JC",,,"STEAL  by HAMPTON,JC",1
00:53,,,,,"MISS JUMPER by HAMPTON,JC",,,"MISS JUMPER by HAMPTON,JC",1
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",1
00:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:44,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
00:44,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",1
00:44,,,,,"SUB IN by JOHNSON,CHAD",,,"SUB IN by JOHNSON,CHAD",1
00:44,,,,,"SUB IN by GREENE,DYLAN",,,"SUB IN by GREENE,DYLAN",1
00:44,,,,,"SUB IN by LANG,CHAD",,,"SUB IN by LANG,CHAD",1
00:44,,,,,"SUB IN by DUVALL,ASA",,,"SUB IN by DUVALL,ASA",1
00:44,,,,,"SUB OUT by KORN,AARON",,,"SUB OUT by KORN,AARON",1
00:44,,,,,"SUB OUT by DENNY,TALBOTT",,,"SUB OUT by DENNY,TALBOTT",1
00:44,,,,,"SUB OUT by HAMPTON,JC",,,"SUB OUT by HAMPTON,JC",1
00:44,,,,,"SUB OUT by WISHON,BRETT",,,"SUB OUT by WISHON,BRETT",1
00:35,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",1
00:01,,,,,"MISS 3PTR by GREENE,DYLAN",,,"MISS 3PTR by GREENE,DYLAN",1
--,,,,,"REBOUND OFF by LANG,CHAD",,,"REBOUND OFF by LANG,CHAD",1
20:00,,,,,"SUB IN by DENNY,TALBOTT",,,"SUB IN by DENNY,TALBOTT",2
20:00,,,,,"SUB OUT by MORAN,NATHAN",,,"SUB OUT by MORAN,NATHAN",2
19:41,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",2
19:26,,,,,"TURNOVER  by DENNY,TALBOTT",,,"TURNOVER  by DENNY,TALBOTT",2
19:19,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND DEF by HAMPTON,JC",,,"REBOUND DEF by HAMPTON,JC",2
19:10,,28,,46 (+18),"GOOD LAYUP by WISHON,BRETT(in the paint)",LIP 28-46 (-18),,"GOOD LAYUP by WISHON,BRETT(in the paint)",2
--,,,,,"ASSIST  by HAMPTON,JC",,,"ASSIST  by HAMPTON,JC",2
18:50,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",2
18:48,,,,,"STEAL  by WILLIAMS,JOSH",,,"STEAL  by WILLIAMS,JOSH",2
18:33,,28,,48 (+20),"GOOD LAYUP by DENNY,TALBOTT(in the paint)",LIP 28-48 (-20),,"GOOD LAYUP by DENNY,TALBOTT(in the paint)",2
--,,,,,"ASSIST  by WISHON,BRETT",,,"ASSIST  by WISHON,BRETT",2
18:17,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND DEF by DENNY,TALBOTT",,,"REBOUND DEF by DENNY,TALBOTT",2
18:14,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
18:14,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
18:14,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
18:01,,28,,50 (+22),"GOOD LAYUP by DENNY,TALBOTT(in the paint)",LIP 28-50 (-22),,"GOOD LAYUP by DENNY,TALBOTT(in the paint)",2
18:01,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
18:01,,28,,51 (+23),"GOOD FT by DENNY,TALBOTT",LIP 28-51 (-23),,"GOOD FT by DENNY,TALBOTT",2
18:01,,,,,"SUB IN by KORN,AARON",,,"SUB IN by KORN,AARON",2
18:01,,,,,"SUB IN by JOHNSON,CHAD",,,"SUB IN by JOHNSON,CHAD",2
18:01,,,,,"SUB OUT by HAMPTON,JC",,,"SUB OUT by HAMPTON,JC",2
18:01,,,,,"SUB OUT by DENNY,TALBOTT",,,"SUB OUT by DENNY,TALBOTT",2
17:38,,,,,"FOUL  by SMITH,MALCOLM",,,"FOUL  by SMITH,MALCOLM",2
17:38,,,,,"SUB IN by LANG,CHAD",,,"SUB IN by LANG,CHAD",2
17:38,,,,,"SUB OUT by WISHON,BRETT",,,"SUB OUT by WISHON,BRETT",2
17:26,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND DEF by SMITH,MALCOLM",,,"REBOUND DEF by SMITH,MALCOLM",2
17:17,,,,,"MISS LAYUP by WILLIAMS,JOSH",,,"MISS LAYUP by WILLIAMS,JOSH",2
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",2
17:08,"MISS LAYUP by COLLINS,LUKE",,,,,,,"MISS LAYUP by COLLINS,LUKE",2
--,,,,,"REBOUND DEF by LANG,CHAD",,,"REBOUND DEF by LANG,CHAD",2
17:05,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
16:51,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
16:51,,28,,52 (+24),"GOOD FT by SMITH,MALCOLM",LIP 28-52 (-24),,"GOOD FT by SMITH,MALCOLM",2
16:51,,28,,53 (+25),"GOOD FT by SMITH,MALCOLM",LIP 28-53 (-25),,"GOOD FT by SMITH,MALCOLM",2
16:51,,,,,"SUB IN by DUVALL,ASA",,,"SUB IN by DUVALL,ASA",2
16:51,,,,,"SUB OUT by WILLIAMS,JOSH",,,"SUB OUT by WILLIAMS,JOSH",2
16:50,,,,,"SUB IN by DENNY,TALBOTT",,,"SUB IN by DENNY,TALBOTT",2
16:50,,,,,"SUB OUT by SMITH,MALCOLM",,,"SUB OUT by SMITH,MALCOLM",2
16:36,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",30,,53 (+23),,RHODES 30-53 (-23),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",2
16:21,,,,,"MISS JUMPER by KORN,AARON",,,"MISS JUMPER by KORN,AARON",2
--,,,,,"REBOUND OFF by LANG,CHAD",,,"REBOUND OFF by LANG,CHAD",2
16:17,,30,,55 (+25),"GOOD LAYUP by LANG,CHAD(in the paint)",LIP 30-55 (-25),,"GOOD LAYUP by LANG,CHAD(in the paint)",2
16:00,,,,,"FOUL  by LANG,CHAD",,,"FOUL  by LANG,CHAD",2
16:00,"MISS FT by HOECK,RYAN VAN",,,,,,,"MISS FT by HOECK,RYAN VAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:00,"GOOD FT by HOECK,RYAN VAN",31,,55 (+24),,RHODES 31-55 (-24),,"GOOD FT by HOECK,RYAN VAN",2
16:00,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
16:00,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
16:00,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
16:00,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
15:45,,,,,"MISS JUMPER by LANG,CHAD",,,"MISS JUMPER by LANG,CHAD",2
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",2
15:34,,,,,"FOUL  by JOHNSON,CHAD",,,"FOUL  by JOHNSON,CHAD",2
15:34,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:34,,,,,"SUB IN by WILLIAMS,JOSH",,,"SUB IN by WILLIAMS,JOSH",2
15:34,,,,,"SUB IN by MORAN,NATHAN",,,"SUB IN by MORAN,NATHAN",2
15:34,,,,,"SUB OUT by DUVALL,ASA",,,"SUB OUT by DUVALL,ASA",2
15:34,,,,,"SUB OUT by JOHNSON,CHAD",,,"SUB OUT by JOHNSON,CHAD",2
15:21,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:10,"MISS JUMPER by GEE,TYLER",,,,,,,"MISS JUMPER by GEE,TYLER",2
--,,,,,"REBOUND DEF by LANG,CHAD",,,"REBOUND DEF by LANG,CHAD",2
14:55,,,,,"TURNOVER  by MORAN,NATHAN",,,"TURNOVER  by MORAN,NATHAN",2
14:43,"MISS JUMPER by WAGNER,MATT",,,,,,,"MISS JUMPER by WAGNER,MATT",2
--,,,,,"REBOUND DEF by LANG,CHAD",,,"REBOUND DEF by LANG,CHAD",2
14:32,,,,,"MISS 3PTR by MORAN,NATHAN",,,"MISS 3PTR by MORAN,NATHAN",2
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",2
14:27,"TURNOVER  by SULLIVAN,BRENNAN",,,,,,,"TURNOVER  by SULLIVAN,BRENNAN",2
14:27,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",2
14:27,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
14:27,,,,,"SUB IN by WISHON,BRETT",,,"SUB IN by WISHON,BRETT",2
14:27,,,,,"SUB IN by SMITH,MALCOLM",,,"SUB IN by SMITH,MALCOLM",2
14:27,,,,,"SUB IN by HAMPTON,JC",,,"SUB IN by HAMPTON,JC",2
14:27,,,,,"SUB OUT by DENNY,TALBOTT",,,"SUB OUT by DENNY,TALBOTT",2
14:27,,,,,"SUB OUT by KORN,AARON",,,"SUB OUT by KORN,AARON",2
14:27,,,,,"SUB OUT by LANG,CHAD",,,"SUB OUT by LANG,CHAD",2
14:07,,,,,"MISS 3PTR by MORAN,NATHAN",,,"MISS 3PTR by MORAN,NATHAN",2
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",2
13:45,"MISS 3PTR by WAGNER,MATT",,,,,,,"MISS 3PTR by WAGNER,MATT",2
--,,,,,"REBOUND DEF by MORAN,NATHAN",,,"REBOUND DEF by MORAN,NATHAN",2
13:31,,31,,58 (+27),"GOOD 3PTR by MORAN,NATHAN",LIP 31-58 (-27),,"GOOD 3PTR by MORAN,NATHAN",2
--,,,,,"ASSIST  by WILLIAMS,JOSH",,,"ASSIST  by WILLIAMS,JOSH",2
13:11,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:11,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",2
13:11,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",2
13:11,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
13:11,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
13:11,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",2
13:11,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
12:54,"TURNOVER  by SLEDGE,TATE",,,,,,,"TURNOVER  by SLEDGE,TATE",2
12:38,,,,,"MISS 3PTR by MORAN,NATHAN",,,"MISS 3PTR by MORAN,NATHAN",2
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",2
12:35,,,,,"FOUL  by WILLIAMS,JOSH",,,"FOUL  by WILLIAMS,JOSH",2
12:32,,,,,"FOUL  by SMITH,MALCOLM",,,"FOUL  by SMITH,MALCOLM",2
12:32,,,,,"SUB IN by LANG,CHAD",,,"SUB IN by LANG,CHAD",2
12:32,,,,,"SUB OUT by SMITH,MALCOLM",,,"SUB OUT by SMITH,MALCOLM",2
12:13,"GOOD JUMPER by SULLIVAN,BRENNAN",33,,58 (+25),,RHODES 33-58 (-25),,"GOOD JUMPER by SULLIVAN,BRENNAN",2
12:03,,,,,"MISS 3PTR by WILLIAMS,JOSH",,,"MISS 3PTR by WILLIAMS,JOSH",2
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",2
11:47,,,,,"FOUL  by WILLIAMS,JOSH",,,"FOUL  by WILLIAMS,JOSH",2
11:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:39,"GOOD JUMPER by HOECK,RYAN VAN",35,,58 (+23),,RHODES 35-58 (-23),,"GOOD JUMPER by HOECK,RYAN VAN",2
--,"ASSIST  by SLEDGE,TATE",,,,,,,"ASSIST  by SLEDGE,TATE",2
11:24,,35,,60 (+25),"GOOD DUNK by LANG,CHAD(in the paint)",LIP 35-60 (-25),,"GOOD DUNK by LANG,CHAD(in the paint)",2
--,,,,,"ASSIST  by WISHON,BRETT",,,"ASSIST  by WISHON,BRETT",2
11:07,"TURNOVER  by SLEDGE,TATE",,,,,,,"TURNOVER  by SLEDGE,TATE",2
10:44,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
10:44,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
10:44,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
10:44,,,,,"SUB IN by KORN,AARON",,,"SUB IN by KORN,AARON",2
10:44,,,,,"SUB IN by DENNY,TALBOTT",,,"SUB IN by DENNY,TALBOTT",2
10:44,,,,,"SUB OUT by LANG,CHAD",,,"SUB OUT by LANG,CHAD",2
10:44,,,,,"SUB OUT by MORAN,NATHAN",,,"SUB OUT by MORAN,NATHAN",2
10:35,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",2
10:35,,,,,"MISS FT by WISHON,BRETT",,,"MISS FT by WISHON,BRETT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:35,,35,,61 (+26),"GOOD FT by WISHON,BRETT",LIP 35-61 (-26),,"GOOD FT by WISHON,BRETT",2
10:35,,35,,62 (+27),"GOOD FT by WISHON,BRETT",LIP 35-62 (-27),,"GOOD FT by WISHON,BRETT",2
10:18,"MISS LAYUP by SULLIVAN,BRENNAN",,,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND DEF by WISHON,BRETT",,,"REBOUND DEF by WISHON,BRETT",2
10:07,,,,,"TURNOVER  by HAMPTON,JC",,,"TURNOVER  by HAMPTON,JC",2
09:58,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
09:58,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",2
09:58,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
09:58,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
09:31,,,,,"FOUL  by KORN,AARON",,,"FOUL  by KORN,AARON",2
09:31,,,,,"TURNOVER  by KORN,AARON",,,"TURNOVER  by KORN,AARON",2
09:14,"MISS JUMPER by WAGNER,MATT",,,,,,,"MISS JUMPER by WAGNER,MATT",2
--,"REBOUND OFF by SULLIVAN,BRENNAN",,,,,,,"REBOUND OFF by SULLIVAN,BRENNAN",2
09:06,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",37,,62 (+25),,RHODES 37-62 (-25),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",2
08:52,,37,,64 (+27),"GOOD LAYUP by DENNY,TALBOTT(in the paint)",LIP 37-64 (-27),,"GOOD LAYUP by DENNY,TALBOTT(in the paint)",2
--,,,,,"ASSIST  by WILLIAMS,JOSH",,,"ASSIST  by WILLIAMS,JOSH",2
08:30,"GOOD 3PTR by SULLIVAN,BRENNAN",40,,64 (+24),,RHODES 40-64 (-24),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,"ASSIST  by BUTTS,KEYSHAWN",,,,,,,"ASSIST  by BUTTS,KEYSHAWN",2
08:13,,40,,67 (+27),"GOOD 3PTR by WILLIAMS,JOSH",LIP 40-67 (-27),,"GOOD 3PTR by WILLIAMS,JOSH",2
--,,,,,"ASSIST  by WISHON,BRETT",,,"ASSIST  by WISHON,BRETT",2
07:52,"MISS JUMPER by SULLIVAN,BRENNAN",,,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",2
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",2
07:40,"MISS JUMPER by BUTTS,KEYSHAWN",,,,,,,"MISS JUMPER by BUTTS,KEYSHAWN",2
--,,,,,"REBOUND DEF by DENNY,TALBOTT",,,"REBOUND DEF by DENNY,TALBOTT",2
07:31,,40,,70 (+30),"GOOD 3PTR by WILLIAMS,JOSH",LIP 40-70 (-30),,"GOOD 3PTR by WILLIAMS,JOSH",2
--,,,,,"ASSIST  by HAMPTON,JC",,,"ASSIST  by HAMPTON,JC",2
07:13,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:13,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
07:13,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",2
07:13,"SUB IN by BLISS,DYLAN",,,,,,,"SUB IN by BLISS,DYLAN",2
07:13,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
07:13,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
07:13,,,,,"SUB IN by SMITH,MALCOLM",,,"SUB IN by SMITH,MALCOLM",2
07:13,,,,,"SUB IN by JOHNSON,CHAD",,,"SUB IN by JOHNSON,CHAD",2
07:13,,,,,"SUB IN by LANG,CHAD",,,"SUB IN by LANG,CHAD",2
07:13,,,,,"SUB IN by DUVALL,ASA",,,"SUB IN by DUVALL,ASA",2
07:13,,,,,"SUB IN by MORAN,NATHAN",,,"SUB IN by MORAN,NATHAN",2
07:13,,,,,"SUB OUT by WISHON,BRETT",,,"SUB OUT by WISHON,BRETT",2
07:13,,,,,"SUB OUT by KORN,AARON",,,"SUB OUT by KORN,AARON",2
07:13,,,,,"SUB OUT by WILLIAMS,JOSH",,,"SUB OUT by WILLIAMS,JOSH",2
07:13,,,,,"SUB OUT by HAMPTON,JC",,,"SUB OUT by HAMPTON,JC",2
07:13,,,,,"SUB OUT by DENNY,TALBOTT",,,"SUB OUT by DENNY,TALBOTT",2
06:57,,,,,"FOUL  by JOHNSON,CHAD",,,"FOUL  by JOHNSON,CHAD",2
06:57,"GOOD FT by SULLIVAN,BRENNAN",41,,70 (+29),,RHODES 41-70 (-29),,"GOOD FT by SULLIVAN,BRENNAN",2
06:57,"GOOD FT by SULLIVAN,BRENNAN",42,,70 (+28),,RHODES 42-70 (-28),,"GOOD FT by SULLIVAN,BRENNAN",2
06:57,"GOOD FT by SULLIVAN,BRENNAN",43,,70 (+27),,RHODES 43-70 (-27),,"GOOD FT by SULLIVAN,BRENNAN",2
06:32,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",2
06:32,,,,,"MISS FT by SMITH,MALCOLM",,,"MISS FT by SMITH,MALCOLM",2
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",2
06:13,"MISS 3PTR by HOECK,RYAN VAN",,,,,,,"MISS 3PTR by HOECK,RYAN VAN",2
--,,,,,"REBOUND DEF by SMITH,MALCOLM",,,"REBOUND DEF by SMITH,MALCOLM",2
05:51,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
05:51,,43,,71 (+28),"GOOD FT by SMITH,MALCOLM",LIP 43-71 (-28),,"GOOD FT by SMITH,MALCOLM",2
05:51,,43,,72 (+29),"GOOD FT by SMITH,MALCOLM",LIP 43-72 (-29),,"GOOD FT by SMITH,MALCOLM",2
05:51,,,,,"SUB IN by WISHON,BRETT",,,"SUB IN by WISHON,BRETT",2
05:51,,,,,"SUB IN by WILLIAMS,JOSH",,,"SUB IN by WILLIAMS,JOSH",2
05:51,,,,,"SUB IN by DENNY,TALBOTT",,,"SUB IN by DENNY,TALBOTT",2
05:51,,,,,"SUB IN by KORN,AARON",,,"SUB IN by KORN,AARON",2
05:51,,,,,"SUB IN by HAMPTON,JC",,,"SUB IN by HAMPTON,JC",2
05:51,,,,,"SUB OUT by SMITH,MALCOLM",,,"SUB OUT by SMITH,MALCOLM",2
05:51,,,,,"SUB OUT by JOHNSON,CHAD",,,"SUB OUT by JOHNSON,CHAD",2
05:51,,,,,"SUB OUT by LANG,CHAD",,,"SUB OUT by LANG,CHAD",2
05:51,,,,,"SUB OUT by DUVALL,ASA",,,"SUB OUT by DUVALL,ASA",2
05:51,,,,,"SUB OUT by MORAN,NATHAN",,,"SUB OUT by MORAN,NATHAN",2
05:40,"MISS 3PTR by BLISS,DYLAN",,,,,,,"MISS 3PTR by BLISS,DYLAN",2
--,,,,,"REBOUND DEF by WILLIAMS,JOSH",,,"REBOUND DEF by WILLIAMS,JOSH",2
05:34,,,,,"TURNOVER  by WILLIAMS,JOSH",,,"TURNOVER  by WILLIAMS,JOSH",2
05:33,"STEAL  by SULLIVAN,BRENNAN",,,,,,,"STEAL  by SULLIVAN,BRENNAN",2
05:30,"MISS JUMPER by SULLIVAN,BRENNAN",,,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",2
--,"REBOUND OFF by HOECK,RYAN VAN",,,,,,,"REBOUND OFF by HOECK,RYAN VAN",2
05:12,,,,,"FOUL  by KORN,AARON",,,"FOUL  by KORN,AARON",2
05:12,"GOOD FT by HOECK,RYAN VAN",44,,72 (+28),,RHODES 44-72 (-28),,"GOOD FT by HOECK,RYAN VAN",2
05:12,"GOOD FT by HOECK,RYAN VAN",45,,72 (+27),,RHODES 45-72 (-27),,"GOOD FT by HOECK,RYAN VAN",2
05:12,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
05:12,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
05:12,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",2
05:12,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
05:12,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
05:12,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
05:02,,45,,75 (+30),"GOOD 3PTR by HAMPTON,JC",LIP 45-75 (-30),,"GOOD 3PTR by HAMPTON,JC",2
--,,,,,"ASSIST  by KORN,AARON",,,"ASSIST  by KORN,AARON",2
04:19,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
04:09,"FOUL  by BUTTS,KEYSHAWN",,,,,,,"FOUL  by BUTTS,KEYSHAWN",2
04:09,,45,,76 (+31),"GOOD FT by DENNY,TALBOTT",LIP 45-76 (-31),,"GOOD FT by DENNY,TALBOTT",2
04:09,,45,,77 (+32),"GOOD FT by DENNY,TALBOTT",LIP 45-77 (-32),,"GOOD FT by DENNY,TALBOTT",2
03:56,"GOOD JUMPER by SLEDGE,TATE",47,,77 (+30),,RHODES 47-77 (-30),,"GOOD JUMPER by SLEDGE,TATE",2
--,"ASSIST  by BUTTS,KEYSHAWN",,,,,,,"ASSIST  by BUTTS,KEYSHAWN",2
03:33,,47,,80 (+33),"GOOD 3PTR by WILLIAMS,JOSH",LIP 47-80 (-33),,"GOOD 3PTR by WILLIAMS,JOSH",2
--,,,,,"ASSIST  by HAMPTON,JC",,,"ASSIST  by HAMPTON,JC",2
03:10,"GOOD 3PTR by BLISS,DYLAN",50,,80 (+30),,RHODES 50-80 (-30),,"GOOD 3PTR by BLISS,DYLAN",2
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",2
02:54,"FOUL  by BLISS,DYLAN",,,,,,,"FOUL  by BLISS,DYLAN",2
02:54,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
02:54,,50,,81 (+31),"GOOD FT by WILLIAMS,JOSH",LIP 50-81 (-31),,"GOOD FT by WILLIAMS,JOSH",2
02:54,,,,,"MISS FT by WILLIAMS,JOSH",,,"MISS FT by WILLIAMS,JOSH",2
--,,,,,"REBOUND OFF by GREENE,DYLAN",,,"REBOUND OFF by GREENE,DYLAN",2
02:54,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",2
02:54,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
02:54,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
