Time Remaining,UTTMEN,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
14:35,"MISS 3PTR by HALL,STEPHON",,,,,,,"MISS 3PTR by HALL,STEPHON",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
14:11,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
14:07,"STEAL  by HALL,STEPHON",,,,,,,"STEAL  by HALL,STEPHON",1
13:51,"MISS 3PTR by GONZALES,ANTHONY",,,,,,,"MISS 3PTR by GONZALES,ANTHONY",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
13:49,"FOUL  by SUMMERVILLE,CALEB",,,,,,,"FOUL  by SUMMERVILLE,CALEB",1
13:49,"SUB IN by HARPER,CHRIS",,,,,,,"SUB IN by HARPER,CHRIS",1
13:49,"SUB IN by LEISSNER,BRADY",,,,,,,"SUB IN by LEISSNER,BRADY",1
13:49,"SUB IN by SUMMERVILLE,JOSIAH",,,,,,,"SUB IN by SUMMERVILLE,JOSIAH",1
13:49,"SUB IN by TAYLOR,DADRIAN",,,,,,,"SUB IN by TAYLOR,DADRIAN",1
13:49,"SUB OUT by HALL,STEPHON",,,,,,,"SUB OUT by HALL,STEPHON",1
13:49,"SUB OUT by JACOBS,TYLER",,,,,,,"SUB OUT by JACOBS,TYLER",1
13:49,"SUB OUT by GONZALES,ANTHONY",,,,,,,"SUB OUT by GONZALES,ANTHONY",1
13:49,"SUB OUT by SUMMERVILLE,CALEB",,,,,,,"SUB OUT by SUMMERVILLE,CALEB",1
13:49,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
13:49,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
13:49,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
13:49,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
13:35,"FOUL  by HARPER,CHRIS",,,,,,,"FOUL  by HARPER,CHRIS",1
13:12,"FOUL  by HARPER,CHRIS",,,,,,,"FOUL  by HARPER,CHRIS",1
12:51,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
12:51,"BLOCK  by HARPER,CHRIS",,,,,,,"BLOCK  by HARPER,CHRIS",1
--,"REBOUND DEF by HARPER,CHRIS",,,,,,,"REBOUND DEF by HARPER,CHRIS",1
12:40,"TURNOVER  by HARPER,CHRIS",,,,,,,"TURNOVER  by HARPER,CHRIS",1
12:34,,9,,11 (+2),"GOOD LAYUP by COLLINS,LUKE(in the paint)",RHODES 9-11 (+2),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",1
12:21,"MISS 3PTR by LEISSNER,BRADY",,,,,,,"MISS 3PTR by LEISSNER,BRADY",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
12:05,"FOUL  by SUMMERVILLE,JOSIAH",,,,,,,"FOUL  by SUMMERVILLE,JOSIAH",1
12:05,,,,,"MISS FT by WAGNER,MATT",,,"MISS FT by WAGNER,MATT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:05,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",1
12:05,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
12:03,,9,,12 (+3),"GOOD FT by WAGNER,MATT",RHODES 9-12 (+3),,"GOOD FT by WAGNER,MATT",1
11:48,"MISS LAYUP by SUMMERVILLE,JOSIAH",,,,,,,"MISS LAYUP by SUMMERVILLE,JOSIAH",1
--,"REBOUND OFF by HARPER,CHRIS",,,,,,,"REBOUND OFF by HARPER,CHRIS",1
11:45,"TURNOVER  by HARPER,CHRIS",,,,,,,"TURNOVER  by HARPER,CHRIS",1
11:44,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
11:37,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
11:33,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
11:32,"STEAL  by LEISSNER,BRADY",,,,,,,"STEAL  by LEISSNER,BRADY",1
11:26,"GOOD JUMPER by RIOS,CHRIS",11,,12 (+1),,UTTMEN 11-12 (+1),,"GOOD JUMPER by RIOS,CHRIS",1
11:08,,,,,"MISS 3PTR by SLEDGE,TATE",,,"MISS 3PTR by SLEDGE,TATE",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
11:04,,11,,14 (+3),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 11-14 (+3),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
10:47,,,,,"FOUL  by BLISS,DYLAN",,,"FOUL  by BLISS,DYLAN",1
10:47,"SUB IN by HALL,STEPHON",,,,,,,"SUB IN by HALL,STEPHON",1
10:47,"SUB IN by JACOBS,TYLER",,,,,,,"SUB IN by JACOBS,TYLER",1
10:47,"SUB IN by GONZALES,ANTHONY",,,,,,,"SUB IN by GONZALES,ANTHONY",1
10:47,"SUB OUT by RIOS,CHRIS",,,,,,,"SUB OUT by RIOS,CHRIS",1
10:47,"SUB OUT by HARPER,CHRIS",,,,,,,"SUB OUT by HARPER,CHRIS",1
10:47,"SUB OUT by TAYLOR,DADRIAN",,,,,,,"SUB OUT by TAYLOR,DADRIAN",1
10:37,"MISS JUMPER by JACOBS,TYLER",,,,,,,"MISS JUMPER by JACOBS,TYLER",1
--,"REBOUND OFF by GONZALES,ANTHONY",,,,,,,"REBOUND OFF by GONZALES,ANTHONY",1
10:16,"GOOD JUMPER by GONZALES,ANTHONY",13,,14 (+1),,UTTMEN 13-14 (+1),,"GOOD JUMPER by GONZALES,ANTHONY",1
10:12,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
10:12,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
10:12,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
09:50,"GOOD JUMPER by HALL,STEPHON(in the paint)",15 (+1),,14,,UTTMEN 15-14 (-1),,"GOOD JUMPER by HALL,STEPHON(in the paint)",1
09:39,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
09:38,"STEAL  by LEISSNER,BRADY",,,,,,,"STEAL  by LEISSNER,BRADY",1
09:36,"TURNOVER  by LEISSNER,BRADY",,,,,,,"TURNOVER  by LEISSNER,BRADY",1
09:34,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
09:19,,15,,16 (+1),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 15-16 (+1),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by WAGNER,MATT",,,"ASSIST  by WAGNER,MATT",1
08:59,"MISS 3PTR by GONZALES,ANTHONY",,,,,,,"MISS 3PTR by GONZALES,ANTHONY",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
08:45,,15,,19 (+4),"GOOD 3PTR by BLISS,DYLAN",RHODES 15-19 (+4),,"GOOD 3PTR by BLISS,DYLAN",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
08:29,"TURNOVER  by JACOBS,TYLER",,,,,,,"TURNOVER  by JACOBS,TYLER",1
08:29,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
08:29,"FOUL  by HALL,STEPHON",,,,,,,"FOUL  by HALL,STEPHON",1
08:29,"SUB IN by FLYNN,MIKE",,,,,,,"SUB IN by FLYNN,MIKE",1
08:29,"SUB IN by SUMMERVILLE,CALEB",,,,,,,"SUB IN by SUMMERVILLE,CALEB",1
08:29,"SUB OUT by JACOBS,TYLER",,,,,,,"SUB OUT by JACOBS,TYLER",1
08:29,"SUB OUT by SUMMERVILLE,JOSIAH",,,,,,,"SUB OUT by SUMMERVILLE,JOSIAH",1
08:29,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
08:29,,,,,"SUB OUT by BLISS,DYLAN",,,"SUB OUT by BLISS,DYLAN",1
08:13,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:11,,15,,21 (+6),"GOOD LAYUP by MILLER,DREW(in the paint)",RHODES 15-21 (+6),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
--,,,,,"ASSIST  by BLISS,DYLAN",,,"ASSIST  by BLISS,DYLAN",1
07:57,,,,,"FOUL  by BLISS,DYLAN",,,"FOUL  by BLISS,DYLAN",1
07:57,"SUB IN by RIOS,CHRIS",,,,,,,"SUB IN by RIOS,CHRIS",1
07:57,"SUB IN by ALI,CEDDRECK",,,,,,,"SUB IN by ALI,CEDDRECK",1
07:57,"SUB IN by TAYLOR,DADRIAN",,,,,,,"SUB IN by TAYLOR,DADRIAN",1
07:57,"SUB OUT by HALL,STEPHON",,,,,,,"SUB OUT by HALL,STEPHON",1
07:57,"SUB OUT by LEISSNER,BRADY",,,,,,,"SUB OUT by LEISSNER,BRADY",1
07:57,"SUB OUT by GONZALES,ANTHONY",,,,,,,"SUB OUT by GONZALES,ANTHONY",1
07:57,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
07:57,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
07:57,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
07:57,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
07:57,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
07:57,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
07:57,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
07:57,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
07:44,"MISS 3PTR by TAYLOR,DADRIAN",,,,,,,"MISS 3PTR by TAYLOR,DADRIAN",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
07:20,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
07:19,"STEAL  by ALI,CEDDRECK",,,,,,,"STEAL  by ALI,CEDDRECK",1
07:13,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
06:49,"TURNOVER  by SUMMERVILLE,CALEB",,,,,,,"TURNOVER  by SUMMERVILLE,CALEB",1
06:49,"SUB IN by SUMMERVILLE,JOSIAH",,,,,,,"SUB IN by SUMMERVILLE,JOSIAH",1
06:49,"SUB IN by JACOBS,TYLER",,,,,,,"SUB IN by JACOBS,TYLER",1
06:49,"SUB OUT by FLYNN,MIKE",,,,,,,"SUB OUT by FLYNN,MIKE",1
06:49,"SUB OUT by SUMMERVILLE,CALEB",,,,,,,"SUB OUT by SUMMERVILLE,CALEB",1
06:49,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
06:49,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
06:27,,,,,"MISS JUMPER by BUTTS,KEYSHAWN",,,"MISS JUMPER by BUTTS,KEYSHAWN",1
--,"REBOUND DEF by JACOBS,TYLER",,,,,,,"REBOUND DEF by JACOBS,TYLER",1
06:15,"SUB IN by GONZALES,ANTHONY",,,,,,,"SUB IN by GONZALES,ANTHONY",1
06:15,"SUB OUT by RIOS,CHRIS",,,,,,,"SUB OUT by RIOS,CHRIS",1
05:53,"MISS 3PTR by ALI,CEDDRECK",,,,,,,"MISS 3PTR by ALI,CEDDRECK",1
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",1
05:41,,15,,23 (+8),"GOOD LAYUP by COLLINS,LUKE(in the paint)",RHODES 15-23 (+8),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",1
05:41,"FOUL  by TAYLOR,DADRIAN",,,,,,,"FOUL  by TAYLOR,DADRIAN",1
05:41,,,,,"MISS FT by COLLINS,LUKE",,,"MISS FT by COLLINS,LUKE",1
--,"REBOUND DEF by TAYLOR,DADRIAN",,,,,,,"REBOUND DEF by TAYLOR,DADRIAN",1
05:21,"MISS LAYUP by TAYLOR,DADRIAN",,,,,,,"MISS LAYUP by TAYLOR,DADRIAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
05:02,"MISS 3PTR by TAYLOR,DADRIAN",,,,,,,"MISS 3PTR by TAYLOR,DADRIAN",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
04:34,,,,,"MISS JUMPER by SLEDGE,TATE",,,"MISS JUMPER by SLEDGE,TATE",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
04:31,,15,,26 (+11),"GOOD 3PTR by BUTTS,KEYSHAWN",RHODES 15-26 (+11),,"GOOD 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
04:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:26,"SUB IN by STRAUTHER,TRE'VAUGHN",,,,,,,"SUB IN by STRAUTHER,TRE'VAUGHN",1
04:26,"SUB IN by LEISSNER,BRADY",,,,,,,"SUB IN by LEISSNER,BRADY",1
04:26,"SUB OUT by GONZALES,ANTHONY",,,,,,,"SUB OUT by GONZALES,ANTHONY",1
04:26,"SUB OUT by TAYLOR,DADRIAN",,,,,,,"SUB OUT by TAYLOR,DADRIAN",1
04:26,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
04:26,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
04:26,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
04:26,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
03:51,"GOOD JUMPER by STRAUTHER,TRE'VAUGHN",17,,26 (+9),,UTTMEN 17-26 (+9),,"GOOD JUMPER by STRAUTHER,TRE'VAUGHN",1
--,"ASSIST  by ALI,CEDDRECK",,,,,,,"ASSIST  by ALI,CEDDRECK",1
03:37,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
03:36,"STEAL  by JACOBS,TYLER",,,,,,,"STEAL  by JACOBS,TYLER",1
03:31,"GOOD 3PTR by LEISSNER,BRADY",20,,26 (+6),,UTTMEN 20-26 (+6),,"GOOD 3PTR by LEISSNER,BRADY",1
--,"ASSIST  by JACOBS,TYLER",,,,,,,"ASSIST  by JACOBS,TYLER",1
03:19,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
03:19,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
03:19,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
03:16,"SUB IN by SUMMERVILLE,CALEB",,,,,,,"SUB IN by SUMMERVILLE,CALEB",1
03:16,"SUB OUT by SUMMERVILLE,JOSIAH",,,,,,,"SUB OUT by SUMMERVILLE,JOSIAH",1
03:00,"TURNOVER  by ALI,CEDDRECK",,,,,,,"TURNOVER  by ALI,CEDDRECK",1
03:00,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
03:00,"FOUL  by LEISSNER,BRADY",,,,,,,"FOUL  by LEISSNER,BRADY",1
03:00,,20,,27 (+7),"GOOD FT by MILLER,DREW",RHODES 20-27 (+7),,"GOOD FT by MILLER,DREW",1
03:00,,,,,"MISS FT by MILLER,DREW",,,"MISS FT by MILLER,DREW",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
02:52,,20,,30 (+10),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 20-30 (+10),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
02:39,"MISS 3PTR by LEISSNER,BRADY",,,,,,,"MISS 3PTR by LEISSNER,BRADY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:37,"FOUL  by STRAUTHER,TRE'VAUGHN",,,,,,,"FOUL  by STRAUTHER,TRE'VAUGHN",1
02:37,,,,,"MISS FT by COLLINS,LUKE",,,"MISS FT by COLLINS,LUKE",1
--,"REBOUND DEF by JACOBS,TYLER",,,,,,,"REBOUND DEF by JACOBS,TYLER",1
02:30,"TURNOVER  by ALI,CEDDRECK",,,,,,,"TURNOVER  by ALI,CEDDRECK",1
02:29,,,,,"STEAL  by COLLINS,LUKE",,,"STEAL  by COLLINS,LUKE",1
02:28,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
02:28,"SUB IN by SUMMERVILLE,JOSIAH",,,,,,,"SUB IN by SUMMERVILLE,JOSIAH",1
02:28,"SUB IN by HALL,STEPHON",,,,,,,"SUB IN by HALL,STEPHON",1
02:28,"SUB IN by RIOS,CHRIS",,,,,,,"SUB IN by RIOS,CHRIS",1
02:28,"SUB IN by GONZALES,ANTHONY",,,,,,,"SUB IN by GONZALES,ANTHONY",1
02:28,"SUB OUT by STRAUTHER,TRE'VAUGHN",,,,,,,"SUB OUT by STRAUTHER,TRE'VAUGHN",1
02:28,"SUB OUT by ALI,CEDDRECK",,,,,,,"SUB OUT by ALI,CEDDRECK",1
02:28,"SUB OUT by SUMMERVILLE,CALEB",,,,,,,"SUB OUT by SUMMERVILLE,CALEB",1
02:28,"SUB OUT by LEISSNER,BRADY",,,,,,,"SUB OUT by LEISSNER,BRADY",1
02:14,"MISS JUMPER by RIOS,CHRIS",,,,,,,"MISS JUMPER by RIOS,CHRIS",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
02:09,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
02:08,"STEAL  by HALL,STEPHON",,,,,,,"STEAL  by HALL,STEPHON",1
02:03,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
01:52,"TURNOVER  by RIOS,CHRIS",,,,,,,"TURNOVER  by RIOS,CHRIS",1
01:51,,,,,"STEAL  by LIVSEY,GEOFF",,,"STEAL  by LIVSEY,GEOFF",1
01:43,"FOUL  by HALL,STEPHON",,,,,,,"FOUL  by HALL,STEPHON",1
01:43,,,,,"MISS FT by SULLIVAN,BRENNAN",,,"MISS FT by SULLIVAN,BRENNAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:43,,20,,31 (+11),"GOOD FT by SULLIVAN,BRENNAN",RHODES 20-31 (+11),,"GOOD FT by SULLIVAN,BRENNAN",1
01:43,"SUB IN by HARPER,CHRIS",,,,,,,"SUB IN by HARPER,CHRIS",1
01:43,"SUB OUT by HALL,STEPHON",,,,,,,"SUB OUT by HALL,STEPHON",1
01:15,"MISS JUMPER by GONZALES,ANTHONY",,,,,,,"MISS JUMPER by GONZALES,ANTHONY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:44,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by RIOS,CHRIS",,,,,,,"REBOUND DEF by RIOS,CHRIS",1
00:32,"GOOD LAYUP by JACOBS,TYLER(in the paint)",22,,31 (+9),,UTTMEN 22-31 (+9),,"GOOD LAYUP by JACOBS,TYLER(in the paint)",1
--,"ASSIST  by SUMMERVILLE,JOSIAH",,,,,,,"ASSIST  by SUMMERVILLE,JOSIAH",1
00:32,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
00:32,"GOOD FT by JACOBS,TYLER",23,,31 (+8),,UTTMEN 23-31 (+8),,"GOOD FT by JACOBS,TYLER",1
00:04,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",1
00:02,"STEAL  by RIOS,CHRIS",,,,,,,"STEAL  by RIOS,CHRIS",1
00:00,"GOOD LAYUP by GONZALES,ANTHONY(fastbreak)(in the paint)",25,,31 (+6),,UTTMEN 25-31 (+6),,"GOOD LAYUP by GONZALES,ANTHONY(fastbreak)(in the paint)",1
20:00,"SUB IN by ROSS,NICK",,,,,,,"SUB IN by ROSS,NICK",2
20:00,"SUB OUT by HALL,STEPHON",,,,,,,"SUB OUT by HALL,STEPHON",2
19:44,,,,,"MISS LAYUP by COLLINS,LUKE",,,"MISS LAYUP by COLLINS,LUKE",2
--,,,,,"REBOUND OFF by COLLINS,LUKE",,,"REBOUND OFF by COLLINS,LUKE",2
19:39,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
19:20,"MISS JUMPER by RIOS,CHRIS",,,,,,,"MISS JUMPER by RIOS,CHRIS",2
--,"REBOUND OFF by RIOS,CHRIS",,,,,,,"REBOUND OFF by RIOS,CHRIS",2
19:13,"TURNOVER  by RIOS,CHRIS",,,,,,,"TURNOVER  by RIOS,CHRIS",2
18:49,"FOUL  by SUMMERVILLE,JOSIAH",,,,,,,"FOUL  by SUMMERVILLE,JOSIAH",2
18:45,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",2
18:29,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
18:14,"MISS LAYUP by GONZALES,ANTHONY",,,,,,,"MISS LAYUP by GONZALES,ANTHONY",2
18:14,,,,,"BLOCK  by HOECK,RYAN VAN",,,"BLOCK  by HOECK,RYAN VAN",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
18:07,"FOUL  by GONZALES,ANTHONY",,,,,,,"FOUL  by GONZALES,ANTHONY",2
17:53,,25,,33 (+8),"GOOD LAYUP by COLLINS,LUKE(in the paint)",RHODES 25-33 (+8),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",2
17:34,"TURNOVER  by SUMMERVILLE,JOSIAH",,,,,,,"TURNOVER  by SUMMERVILLE,JOSIAH",2
17:31,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
17:07,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",2
--,,,,,"REBOUND OFF by SLEDGE,TATE",,,"REBOUND OFF by SLEDGE,TATE",2
16:52,,,,,"MISS 3PTR by SLEDGE,TATE",,,"MISS 3PTR by SLEDGE,TATE",2
--,"REBOUND DEF by JACOBS,TYLER",,,,,,,"REBOUND DEF by JACOBS,TYLER",2
