Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
17:01,"STEAL  by FERGUSON,TERON",,,,,,,"STEAL  by FERGUSON,TERON",1
16:58,"GOOD LAYUP by GARRETT,DANIEL(fastbreak)(in the paint)",4 (+4),,0,,CCM 4-0 (-4),,"GOOD LAYUP by GARRETT,DANIEL(fastbreak)(in the paint)",1
16:23,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
16:22,"STEAL  by SEARS,CONNOR",,,,,,,"STEAL  by SEARS,CONNOR",1
16:19,"TURNOVER  by GARRETT,DANIEL",,,,,,,"TURNOVER  by GARRETT,DANIEL",1
16:18,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
15:52,,4 (+2),,2,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 4-2 (-2),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
15:27,"MISS JUMPER by COX,TJ",,,,,,,"MISS JUMPER by COX,TJ",1
--,"REBOUND OFF by SEARS,CONNOR",,,,,,,"REBOUND OFF by SEARS,CONNOR",1
15:24,"GOOD LAYUP by SEARS,CONNOR(in the paint)",6 (+4),,2,,CCM 6-2 (-4),,"GOOD LAYUP by SEARS,CONNOR(in the paint)",1
15:11,"FOUL  by COX,TJ",,,,,,,"FOUL  by COX,TJ",1
15:11,,,,,"MISS FT by LIVSEY,GEOFF",,,"MISS FT by LIVSEY,GEOFF",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:10,"SUB IN by FRIERSON,NATE",,,,,,,"SUB IN by FRIERSON,NATE",1
15:10,"SUB IN by ENGBERS,BRYANT",,,,,,,"SUB IN by ENGBERS,BRYANT",1
15:10,"SUB OUT by FERGUSON,TERON",,,,,,,"SUB OUT by FERGUSON,TERON",1
15:10,"SUB OUT by GARRETT,DANIEL",,,,,,,"SUB OUT by GARRETT,DANIEL",1
15:10,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
15:10,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
15:09,,6 (+3),,3,"GOOD FT by LIVSEY,GEOFF",RHODES 6-3 (-3),,"GOOD FT by LIVSEY,GEOFF",1
14:53,"GOOD LAYUP by FRIERSON,NATE(in the paint)",8 (+5),,3,,CCM 8-3 (-5),,"GOOD LAYUP by FRIERSON,NATE(in the paint)",1
--,"ASSIST  by SEARS,CONNOR",,,,,,,"ASSIST  by SEARS,CONNOR",1
14:40,"FOUL  by COX,TJ",,,,,,,"FOUL  by COX,TJ",1
14:40,"SUB IN by BURNS,RYAN",,,,,,,"SUB IN by BURNS,RYAN",1
14:40,"SUB IN by PHELPS,BEN",,,,,,,"SUB IN by PHELPS,BEN",1
14:40,"SUB OUT by COX,TJ",,,,,,,"SUB OUT by COX,TJ",1
14:40,"SUB OUT by SEARS,CONNOR",,,,,,,"SUB OUT by SEARS,CONNOR",1
14:38,"FOUL  by BURNS,RYAN",,,,,,,"FOUL  by BURNS,RYAN",1
14:38,,8 (+4),,4,"GOOD FT by SLEDGE,TATE",RHODES 8-4 (-4),,"GOOD FT by SLEDGE,TATE",1
14:38,,8 (+3),,5,"GOOD FT by SLEDGE,TATE",RHODES 8-5 (-3),,"GOOD FT by SLEDGE,TATE",1
14:24,"MISS 3PTR by PHELPS,BEN",,,,,,,"MISS 3PTR by PHELPS,BEN",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
14:02,,,,,"MISS 3PTR by COLLINS,LUKE",,,"MISS 3PTR by COLLINS,LUKE",1
--,"REBOUND DEF by MCGRIFF,COLTON",,,,,,,"REBOUND DEF by MCGRIFF,COLTON",1
13:46,"MISS 3PTR by BURNS,RYAN",,,,,,,"MISS 3PTR by BURNS,RYAN",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
13:36,,8,,8,"GOOD 3PTR by COLLINS,LUKE",RHODES 8-8 (0),,"GOOD 3PTR by COLLINS,LUKE",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
13:06,"MISS JUMPER by MCGRIFF,COLTON",,,,,,,"MISS JUMPER by MCGRIFF,COLTON",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
12:52,,,,,"MISS 3PTR by COLLINS,LUKE",,,"MISS 3PTR by COLLINS,LUKE",1
--,"REBOUND DEF by FRIERSON,NATE",,,,,,,"REBOUND DEF by FRIERSON,NATE",1
12:36,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",10 (+2),,8,,CCM 10-8 (-2),,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",1
--,"ASSIST  by FRIERSON,NATE",,,,,,,"ASSIST  by FRIERSON,NATE",1
12:16,,10,,11 (+1),"GOOD 3PTR by SLEDGE,TATE",RHODES 10-11 (+1),,"GOOD 3PTR by SLEDGE,TATE",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
12:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:09,"SUB IN by BELL,ROBBY",,,,,,,"SUB IN by BELL,ROBBY",1
12:09,"SUB OUT by MCGRIFF,COLTON",,,,,,,"SUB OUT by MCGRIFF,COLTON",1
12:09,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
12:09,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
12:09,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
12:09,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
11:49,"MISS LAYUP by FRIERSON,NATE",,,,,,,"MISS LAYUP by FRIERSON,NATE",1
--,"REBOUND OFF by FRIERSON,NATE",,,,,,,"REBOUND OFF by FRIERSON,NATE",1
11:44,"MISS 3PTR by PHELPS,BEN",,,,,,,"MISS 3PTR by PHELPS,BEN",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
11:31,,10,,14 (+4),"GOOD 3PTR by SULLIVAN,BRENNAN",RHODES 10-14 (+4),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",1
11:09,"TURNOVER  by ENGBERS,BRYANT",,,,,,,"TURNOVER  by ENGBERS,BRYANT",1
11:08,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",1
11:05,,10,,16 (+6),"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",RHODES 10-16 (+6),,"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",1
10:56,"MISS 3PTR by BELL,ROBBY",,,,,,,"MISS 3PTR by BELL,ROBBY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:51,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
10:51,"SUB IN by FERGUSON,TERON",,,,,,,"SUB IN by FERGUSON,TERON",1
10:51,"SUB IN by SEARS,CONNOR",,,,,,,"SUB IN by SEARS,CONNOR",1
10:51,"SUB IN by GARRETT,DANIEL",,,,,,,"SUB IN by GARRETT,DANIEL",1
10:51,"SUB IN by MCGRIFF,COLTON",,,,,,,"SUB IN by MCGRIFF,COLTON",1
10:51,"SUB IN by COX,TJ",,,,,,,"SUB IN by COX,TJ",1
10:51,"SUB OUT by BURNS,RYAN",,,,,,,"SUB OUT by BURNS,RYAN",1
10:51,"SUB OUT by FRIERSON,NATE",,,,,,,"SUB OUT by FRIERSON,NATE",1
10:51,"SUB OUT by BELL,ROBBY",,,,,,,"SUB OUT by BELL,ROBBY",1
10:51,"SUB OUT by ENGBERS,BRYANT",,,,,,,"SUB OUT by ENGBERS,BRYANT",1
10:51,"SUB OUT by PHELPS,BEN",,,,,,,"SUB OUT by PHELPS,BEN",1
10:51,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
10:51,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
10:43,"GOOD JUMPER by COX,TJ(in the paint)",12,,16 (+4),,CCM 12-16 (+4),,"GOOD JUMPER by COX,TJ(in the paint)",1
10:20,"FOUL  by SEARS,CONNOR",,,,,,,"FOUL  by SEARS,CONNOR",1
10:20,,,,,"MISS FT by HOECK,RYAN VAN",,,"MISS FT by HOECK,RYAN VAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:20,,12,,17 (+5),"GOOD FT by HOECK,RYAN VAN",RHODES 12-17 (+5),,"GOOD FT by HOECK,RYAN VAN",1
10:20,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
10:20,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
10:08,"GOOD LAYUP by SEARS,CONNOR(in the paint)",14,,17 (+3),,CCM 14-17 (+3),,"GOOD LAYUP by SEARS,CONNOR(in the paint)",1
--,"ASSIST  by FERGUSON,TERON",,,,,,,"ASSIST  by FERGUSON,TERON",1
09:49,,14,,19 (+5),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 14-19 (+5),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",1
09:35,"GOOD 3PTR by SEARS,CONNOR",17,,19 (+2),,CCM 17-19 (+2),,"GOOD 3PTR by SEARS,CONNOR",1
--,"ASSIST  by COX,TJ",,,,,,,"ASSIST  by COX,TJ",1
09:08,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by COX,TJ",,,,,,,"REBOUND DEF by COX,TJ",1
09:00,"GOOD JUMPER by MCGRIFF,COLTON(in the paint)",19,,19,,CCM 19-19 (0),,"GOOD JUMPER by MCGRIFF,COLTON(in the paint)",1
--,"ASSIST  by COX,TJ",,,,,,,"ASSIST  by COX,TJ",1
08:41,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
08:41,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
08:41,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
08:41,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
08:19,"GOOD LAYUP by SEARS,CONNOR(in the paint)",21 (+2),,19,,CCM 21-19 (-2),,"GOOD LAYUP by SEARS,CONNOR(in the paint)",1
--,"ASSIST  by COX,TJ",,,,,,,"ASSIST  by COX,TJ",1
08:03,,21,,21,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",RHODES 21-21 (0),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",1
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",1
07:35,"MISS JUMPER by COX,TJ",,,,,,,"MISS JUMPER by COX,TJ",1
--,"REBOUND OFF by GARRETT,DANIEL",,,,,,,"REBOUND OFF by GARRETT,DANIEL",1
07:32,"MISS JUMPER by GARRETT,DANIEL",,,,,,,"MISS JUMPER by GARRETT,DANIEL",1
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",1
07:28,"FOUL  by GARRETT,DANIEL",,,,,,,"FOUL  by GARRETT,DANIEL",1
07:28,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
07:28,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
07:28,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
07:28,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
07:28,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
07:28,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
07:17,"FOUL  by COX,TJ",,,,,,,"FOUL  by COX,TJ",1
07:17,,21,,22 (+1),"GOOD FT by SULLIVAN,BRENNAN",RHODES 21-22 (+1),,"GOOD FT by SULLIVAN,BRENNAN",1
07:17,,21,,23 (+2),"GOOD FT by SULLIVAN,BRENNAN",RHODES 21-23 (+2),,"GOOD FT by SULLIVAN,BRENNAN",1
07:17,,21,,24 (+3),"GOOD FT by SULLIVAN,BRENNAN",RHODES 21-24 (+3),,"GOOD FT by SULLIVAN,BRENNAN",1
07:17,"SUB IN by ENGBERS,BRYANT",,,,,,,"SUB IN by ENGBERS,BRYANT",1
07:17,"SUB IN by FRIERSON,NATE",,,,,,,"SUB IN by FRIERSON,NATE",1
07:17,"SUB OUT by FERGUSON,TERON",,,,,,,"SUB OUT by FERGUSON,TERON",1
07:17,"SUB OUT by COX,TJ",,,,,,,"SUB OUT by COX,TJ",1
06:41,"GOOD JUMPER by GARRETT,DANIEL",23,,24 (+1),,CCM 23-24 (+1),,"GOOD JUMPER by GARRETT,DANIEL",1
06:24,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
06:23,"STEAL  by GARRETT,DANIEL",,,,,,,"STEAL  by GARRETT,DANIEL",1
06:20,"SUB IN by PHELPS,BEN",,,,,,,"SUB IN by PHELPS,BEN",1
06:20,"SUB OUT by GARRETT,DANIEL",,,,,,,"SUB OUT by GARRETT,DANIEL",1
06:20,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
06:20,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
06:07,"MISS LAYUP by PHELPS,BEN",,,,,,,"MISS LAYUP by PHELPS,BEN",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
05:47,,23,,26 (+3),"GOOD LAYUP by MILLER,DREW(in the paint)",RHODES 23-26 (+3),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
05:19,"MISS JUMPER by MCGRIFF,COLTON",,,,,,,"MISS JUMPER by MCGRIFF,COLTON",1
--,"REBOUND OFF by SEARS,CONNOR",,,,,,,"REBOUND OFF by SEARS,CONNOR",1
05:16,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
05:16,"SUB IN by BURNS,RYAN",,,,,,,"SUB IN by BURNS,RYAN",1
05:16,"SUB OUT by SEARS,CONNOR",,,,,,,"SUB OUT by SEARS,CONNOR",1
05:16,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",1
05:16,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
05:04,"GOOD JUMPER by MCGRIFF,COLTON",25,,26 (+1),,CCM 25-26 (+1),,"GOOD JUMPER by MCGRIFF,COLTON",1
--,"ASSIST  by BURNS,RYAN",,,,,,,"ASSIST  by BURNS,RYAN",1
04:45,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by ENGBERS,BRYANT",,,,,,,"REBOUND DEF by ENGBERS,BRYANT",1
04:17,"MISS JUMPER by FRIERSON,NATE",,,,,,,"MISS JUMPER by FRIERSON,NATE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:16,"FOUL  by BURNS,RYAN",,,,,,,"FOUL  by BURNS,RYAN",1
04:16,,25,,27 (+2),"GOOD FT by LIVSEY,GEOFF",RHODES 25-27 (+2),,"GOOD FT by LIVSEY,GEOFF",1
04:16,,25,,28 (+3),"GOOD FT by LIVSEY,GEOFF",RHODES 25-28 (+3),,"GOOD FT by LIVSEY,GEOFF",1
03:56,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
03:56,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
03:56,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
03:40,"MISS JUMPER by MCGRIFF,COLTON",,,,,,,"MISS JUMPER by MCGRIFF,COLTON",1
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",1
03:18,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",1
03:17,"STEAL  by PHELPS,BEN",,,,,,,"STEAL  by PHELPS,BEN",1
03:13,,,,,"FOUL  by LOWRIE,ANDREW",,,"FOUL  by LOWRIE,ANDREW",1
03:13,"GOOD FT by PHELPS,BEN",26,,28 (+2),,CCM 26-28 (+2),,"GOOD FT by PHELPS,BEN",1
03:13,"GOOD FT by PHELPS,BEN",27,,28 (+1),,CCM 27-28 (+1),,"GOOD FT by PHELPS,BEN",1
03:13,"SUB IN by BELL,ROBBY",,,,,,,"SUB IN by BELL,ROBBY",1
03:13,"SUB OUT by MCGRIFF,COLTON",,,,,,,"SUB OUT by MCGRIFF,COLTON",1
03:13,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
03:13,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
02:41,,,,,"MISS JUMPER by SLEDGE,TATE",,,"MISS JUMPER by SLEDGE,TATE",1
--,,,,,"REBOUND OFF by SULLIVAN,BRENNAN",,,"REBOUND OFF by SULLIVAN,BRENNAN",1
02:39,"FOUL  by PHELPS,BEN",,,,,,,"FOUL  by PHELPS,BEN",1
02:39,,27,,29 (+2),"GOOD FT by SULLIVAN,BRENNAN",RHODES 27-29 (+2),,"GOOD FT by SULLIVAN,BRENNAN",1
02:39,,27,,30 (+3),"GOOD FT by SULLIVAN,BRENNAN",RHODES 27-30 (+3),,"GOOD FT by SULLIVAN,BRENNAN",1
02:08,"SUB IN by PORTLOCK,WILL",,,,,,,"SUB IN by PORTLOCK,WILL",1
02:08,"SUB IN by FERGUSON,TERON",,,,,,,"SUB IN by FERGUSON,TERON",1
02:08,"SUB IN by MCGRIFF,COLTON",,,,,,,"SUB IN by MCGRIFF,COLTON",1
02:08,"SUB IN by GARRETT,DANIEL",,,,,,,"SUB IN by GARRETT,DANIEL",1
02:08,"SUB IN by SEARS,CONNOR",,,,,,,"SUB IN by SEARS,CONNOR",1
02:08,"SUB OUT by ENGBERS,BRYANT",,,,,,,"SUB OUT by ENGBERS,BRYANT",1
02:08,"SUB OUT by FRIERSON,NATE",,,,,,,"SUB OUT by FRIERSON,NATE",1
02:08,"SUB OUT by PHELPS,BEN",,,,,,,"SUB OUT by PHELPS,BEN",1
02:08,"SUB OUT by BELL,ROBBY",,,,,,,"SUB OUT by BELL,ROBBY",1
02:08,"SUB OUT by BURNS,RYAN",,,,,,,"SUB OUT by BURNS,RYAN",1
02:02,"MISS 3PTR by MCGRIFF,COLTON",,,,,,,"MISS 3PTR by MCGRIFF,COLTON",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
01:31,,,,,"TURNOVER  by WAGNER,MATT",,,"TURNOVER  by WAGNER,MATT",1
01:00,"MISS 3PTR by GARRETT,DANIEL",,,,,,,"MISS 3PTR by GARRETT,DANIEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:59,"FOUL  by GARRETT,DANIEL",,,,,,,"FOUL  by GARRETT,DANIEL",1
00:59,,,,,"MISS FT by SULLIVAN,BRENNAN",,,"MISS FT by SULLIVAN,BRENNAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:57,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
00:57,"GOOD FT by MCGRIFF,COLTON",28,,30 (+2),,CCM 28-30 (+2),,"GOOD FT by MCGRIFF,COLTON",1
00:57,"GOOD FT by MCGRIFF,COLTON",29,,30 (+1),,CCM 29-30 (+1),,"GOOD FT by MCGRIFF,COLTON",1
00:42,"FOUL  by FERGUSON,TERON",,,,,,,"FOUL  by FERGUSON,TERON",1
00:42,,29,,31 (+2),"GOOD FT by WAGNER,MATT",RHODES 29-31 (+2),,"GOOD FT by WAGNER,MATT",1
00:42,,29,,32 (+3),"GOOD FT by WAGNER,MATT",RHODES 29-32 (+3),,"GOOD FT by WAGNER,MATT",1
00:15,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
00:15,"GOOD JUMPER by GARRETT,DANIEL",31,,32 (+1),,CCM 31-32 (+1),,"GOOD JUMPER by GARRETT,DANIEL",1
00:15,"MISS FT by GARRETT,DANIEL",,,,,,,"MISS FT by GARRETT,DANIEL",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
00:03,"FOUL  by FERGUSON,TERON",,,,,,,"FOUL  by FERGUSON,TERON",1
00:03,,31,,33 (+2),"GOOD FT by COLLINS,LUKE",RHODES 31-33 (+2),,"GOOD FT by COLLINS,LUKE",1
00:03,,31,,34 (+3),"GOOD FT by COLLINS,LUKE",RHODES 31-34 (+3),,"GOOD FT by COLLINS,LUKE",1
00:03,,31,,35 (+4),"GOOD FT by COLLINS,LUKE",RHODES 31-35 (+4),,"GOOD FT by COLLINS,LUKE",1
00:03,"SUB IN by ARIMA,Z",,,,,,,"SUB IN by ARIMA,Z",1
00:03,"SUB OUT by GARRETT,DANIEL",,,,,,,"SUB OUT by GARRETT,DANIEL",1
20:00,"SUB IN by PORTLOCK,WILL",,,,,,,"SUB IN by PORTLOCK,WILL",2
20:00,"SUB OUT by FERGUSON,TERON",,,,,,,"SUB OUT by FERGUSON,TERON",2
19:53,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",33,,35 (+2),,CCM 33-35 (+2),,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",2
--,"ASSIST  by COX,TJ",,,,,,,"ASSIST  by COX,TJ",2
19:29,,,,,"MISS LAYUP by MILLER,DREW",,,"MISS LAYUP by MILLER,DREW",2
19:29,"BLOCK  by SEARS,CONNOR",,,,,,,"BLOCK  by SEARS,CONNOR",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
19:24,,33,,38 (+5),"GOOD 3PTR by MILLER,DREW",RHODES 33-38 (+5),,"GOOD 3PTR by MILLER,DREW",2
--,,,,,"ASSIST  by SLEDGE,TATE",,,"ASSIST  by SLEDGE,TATE",2
19:06,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
19:06,"MISS FT by SEARS,CONNOR",,,,,,,"MISS FT by SEARS,CONNOR",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:06,"GOOD FT by SEARS,CONNOR",34,,38 (+4),,CCM 34-38 (+4),,"GOOD FT by SEARS,CONNOR",2
18:38,"FOUL  by GARRETT,DANIEL",,,,,,,"FOUL  by GARRETT,DANIEL",2
18:17,,34,,40 (+6),"GOOD JUMPER by SULLIVAN,BRENNAN",RHODES 34-40 (+6),,"GOOD JUMPER by SULLIVAN,BRENNAN",2
17:42,"GOOD JUMPER by SEARS,CONNOR",36,,40 (+4),,CCM 36-40 (+4),,"GOOD JUMPER by SEARS,CONNOR",2
17:22,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,"REBOUND DEF by PORTLOCK,WILL",,,,,,,"REBOUND DEF by PORTLOCK,WILL",2
17:15,"TURNOVER  by PORTLOCK,WILL",,,,,,,"TURNOVER  by PORTLOCK,WILL",2
17:03,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,"REBOUND DEF by GARRETT,DANIEL",,,,,,,"REBOUND DEF by GARRETT,DANIEL",2
16:46,"GOOD JUMPER by PORTLOCK,WILL",38,,40 (+2),,CCM 38-40 (+2),,"GOOD JUMPER by PORTLOCK,WILL",2
--,"ASSIST  by GARRETT,DANIEL",,,,,,,"ASSIST  by GARRETT,DANIEL",2
16:26,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
16:16,"TURNOVER  by SEARS,CONNOR",,,,,,,"TURNOVER  by SEARS,CONNOR",2
16:14,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
16:11,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",2
16:09,"STEAL  by SEARS,CONNOR",,,,,,,"STEAL  by SEARS,CONNOR",2
