Time Remaining,AC-M,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:08,,,,,"MISS LAYUP by COLLINS,LUKE",,,"MISS LAYUP by COLLINS,LUKE",2
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",2
19:02,"GOOD LAYUP by BAEHL,BRIAN(fastbreak)(in the paint)",21,,48 (+27),,AC-M 21-48 (+27),,"GOOD LAYUP by BAEHL,BRIAN(fastbreak)(in the paint)",2
18:44,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
18:43,"STEAL  by BAEHL,BRIAN",,,,,,,"STEAL  by BAEHL,BRIAN",2
18:40,"GOOD LAYUP by BAEHL,BRIAN(fastbreak)(in the paint)",23,,48 (+25),,AC-M 23-48 (+25),,"GOOD LAYUP by BAEHL,BRIAN(fastbreak)(in the paint)",2
18:24,,,,,"MISS JUMPER by COLLINS,LUKE",,,"MISS JUMPER by COLLINS,LUKE",2
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",2
18:11,"GOOD 3PTR by FREET,AUSTIN",26,,48 (+22),,AC-M 26-48 (+22),,"GOOD 3PTR by FREET,AUSTIN",2
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",2
18:08,"SUB IN by REIBLY,RYAN",,,,,,,"SUB IN by REIBLY,RYAN",2
18:08,"SUB OUT by BAEHL,BRIAN",,,,,,,"SUB OUT by BAEHL,BRIAN",2
17:58,"FOUL  by RIVERA,ANDRES",,,,,,,"FOUL  by RIVERA,ANDRES",2
17:33,"FOUL  by MICHAEL,ALVIN",,,,,,,"FOUL  by MICHAEL,ALVIN",2
17:33,,26,,49 (+23),"GOOD FT by LIVSEY,GEOFF",RHODES 26-49 (+23),,"GOOD FT by LIVSEY,GEOFF",2
17:33,,26,,50 (+24),"GOOD FT by LIVSEY,GEOFF",RHODES 26-50 (+24),,"GOOD FT by LIVSEY,GEOFF",2
17:22,"MISS 3PTR by RIVERA,ANDRES",,,,,,,"MISS 3PTR by RIVERA,ANDRES",2
--,"REBOUND OFF by MICHAEL,ALVIN",,,,,,,"REBOUND OFF by MICHAEL,ALVIN",2
17:14,"GOOD LAYUP by FREET,AUSTIN(in the paint)",28,,50 (+22),,AC-M 28-50 (+22),,"GOOD LAYUP by FREET,AUSTIN(in the paint)",2
17:02,"FOUL  by FREET,AUSTIN",,,,,,,"FOUL  by FREET,AUSTIN",2
17:02,,,,,"MISS FT by SLEDGE,TATE",,,"MISS FT by SLEDGE,TATE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:02,,28,,51 (+23),"GOOD FT by SLEDGE,TATE",RHODES 28-51 (+23),,"GOOD FT by SLEDGE,TATE",2
17:02,"SUB IN by IGBINOSA,EGHOSA",,,,,,,"SUB IN by IGBINOSA,EGHOSA",2
17:02,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",2
17:02,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
17:02,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
16:48,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",2
16:48,"MISS FT by REIBLY,RYAN",,,,,,,"MISS FT by REIBLY,RYAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:48,"GOOD FT by REIBLY,RYAN",29,,51 (+22),,AC-M 29-51 (+22),,"GOOD FT by REIBLY,RYAN",2
16:48,"SUB IN by BAEHL,BRIAN",,,,,,,"SUB IN by BAEHL,BRIAN",2
16:48,"SUB OUT by REIBLY,RYAN",,,,,,,"SUB OUT by REIBLY,RYAN",2
16:48,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",2
16:33,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
16:30,"FOUL  by SWISHER,JEREMY",,,,,,,"FOUL  by SWISHER,JEREMY",2
16:16,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
15:55,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
15:55,"GOOD FT by FREET,AUSTIN",30,,51 (+21),,AC-M 30-51 (+21),,"GOOD FT by FREET,AUSTIN",2
15:55,"GOOD FT by FREET,AUSTIN",31,,51 (+20),,AC-M 31-51 (+20),,"GOOD FT by FREET,AUSTIN",2
15:55,"SUB IN by MANIKOWSKI,ROMAN",,,,,,,"SUB IN by MANIKOWSKI,ROMAN",2
15:55,"SUB OUT by FREET,AUSTIN",,,,,,,"SUB OUT by FREET,AUSTIN",2
15:55,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
15:55,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
15:23,,31,,54 (+23),"GOOD 3PTR by MILLER,DREW",RHODES 31-54 (+23),,"GOOD 3PTR by MILLER,DREW",2
15:03,"TURNOVER  by BAEHL,BRIAN",,,,,,,"TURNOVER  by BAEHL,BRIAN",2
14:58,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",2
14:58,"BLOCK  by IGBINOSA,EGHOSA",,,,,,,"BLOCK  by IGBINOSA,EGHOSA",2
--,"REBOUND DEF by REIBLY,RYAN",,,,,,,"REBOUND DEF by REIBLY,RYAN",2
14:51,"TURNOVER  by REIBLY,RYAN",,,,,,,"TURNOVER  by REIBLY,RYAN",2
14:49,,,,,"STEAL  by MILLER,DREW",,,"STEAL  by MILLER,DREW",2
14:48,,31,,56 (+25),"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",RHODES 31-56 (+25),,"GOOD LAYUP by MILLER,DREW(fastbreak)(in the paint)",2
14:35,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
14:35,"SUB IN by ANWARY,AARON",,,,,,,"SUB IN by ANWARY,AARON",2
14:35,"SUB IN by FREET,AUSTIN",,,,,,,"SUB IN by FREET,AUSTIN",2
14:35,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",2
14:35,"SUB OUT by BAEHL,BRIAN",,,,,,,"SUB OUT by BAEHL,BRIAN",2
14:35,"SUB OUT by SWISHER,JEREMY",,,,,,,"SUB OUT by SWISHER,JEREMY",2
14:23,"MISS JUMPER by BAEHL,BRIAN",,,,,,,"MISS JUMPER by BAEHL,BRIAN",2
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",2
14:16,,31,,58 (+27),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 31-58 (+27),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
14:11,"GOOD JUMPER by IGBINOSA,EGHOSA",33,,58 (+25),,AC-M 33-58 (+25),,"GOOD JUMPER by IGBINOSA,EGHOSA",2
--,"ASSIST  by FREET,AUSTIN",,,,,,,"ASSIST  by FREET,AUSTIN",2
14:11,"SUB IN by BAEHL,BRIAN",,,,,,,"SUB IN by BAEHL,BRIAN",2
14:11,"SUB OUT by MANIKOWSKI,ROMAN",,,,,,,"SUB OUT by MANIKOWSKI,ROMAN",2
13:54,,,,,"TURNOVER  by SLEDGE,TATE",,,"TURNOVER  by SLEDGE,TATE",2
13:54,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",2
13:54,"SUB IN by MICHAEL,ALVIN",,,,,,,"SUB IN by MICHAEL,ALVIN",2
13:54,"SUB OUT by IGBINOSA,EGHOSA",,,,,,,"SUB OUT by IGBINOSA,EGHOSA",2
13:54,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
13:54,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
13:31,"GOOD 3PTR by RIVERA,ANDRES",36,,58 (+22),,AC-M 36-58 (+22),,"GOOD 3PTR by RIVERA,ANDRES",2
--,"ASSIST  by BAEHL,BRIAN",,,,,,,"ASSIST  by BAEHL,BRIAN",2
12:38,,36,,61 (+25),"GOOD 3PTR by COLLINS,LUKE",RHODES 36-61 (+25),,"GOOD 3PTR by COLLINS,LUKE",2
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",2
12:29,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
12:29,"GOOD FT by MICHAEL,ALVIN",37,,61 (+24),,AC-M 37-61 (+24),,"GOOD FT by MICHAEL,ALVIN",2
12:29,"GOOD FT by MICHAEL,ALVIN",38,,61 (+23),,AC-M 38-61 (+23),,"GOOD FT by MICHAEL,ALVIN",2
12:20,,38,,63 (+25),"GOOD LAYUP by SLEDGE,TATE(in the paint)",RHODES 38-63 (+25),,"GOOD LAYUP by SLEDGE,TATE(in the paint)",2
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",2
12:02,"MISS JUMPER by FREET,AUSTIN",,,,,,,"MISS JUMPER by FREET,AUSTIN",2
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",2
11:48,,,,,"MISS JUMPER by HOECK,RYAN VAN",,,"MISS JUMPER by HOECK,RYAN VAN",2
11:48,"BLOCK  by MICHAEL,ALVIN",,,,,,,"BLOCK  by MICHAEL,ALVIN",2
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",2
11:43,"MISS 3PTR by RIVERA,ANDRES",,,,,,,"MISS 3PTR by RIVERA,ANDRES",2
--,"REBOUND OFF by ANWARY,AARON",,,,,,,"REBOUND OFF by ANWARY,AARON",2
11:36,"MISS 3PTR by FREET,AUSTIN",,,,,,,"MISS 3PTR by FREET,AUSTIN",2
--,"REBOUND OFF by RIVERA,ANDRES",,,,,,,"REBOUND OFF by RIVERA,ANDRES",2
11:27,"TURNOVER  by RIVERA,ANDRES",,,,,,,"TURNOVER  by RIVERA,ANDRES",2
11:27,"SUB IN by REIBLY,RYAN",,,,,,,"SUB IN by REIBLY,RYAN",2
11:27,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",2
11:27,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
11:27,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
11:12,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",2
11:07,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",2
11:05,"MISS FT by FREET,AUSTIN",,,,,,,"MISS FT by FREET,AUSTIN",2
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",2
10:33,,38,,65 (+27),"GOOD JUMPER by BUTTS,KEYSHAWN(in the paint)",RHODES 38-65 (+27),,"GOOD JUMPER by BUTTS,KEYSHAWN(in the paint)",2
10:17,"MISS 3PTR by BAEHL,BRIAN",,,,,,,"MISS 3PTR by BAEHL,BRIAN",2
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",2
09:59,"SUB IN by HAMPDEN-SMITH,H",,,,,,,"SUB IN by HAMPDEN-SMITH,H",2
09:59,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",2
09:59,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",2
09:59,"SUB OUT by BAEHL,BRIAN",,,,,,,"SUB OUT by BAEHL,BRIAN",2
09:59,"SUB OUT by ANWARY,AARON",,,,,,,"SUB OUT by ANWARY,AARON",2
09:59,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",2
09:59,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",2
09:59,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
09:53,"FOUL  by FREET,AUSTIN",,,,,,,"FOUL  by FREET,AUSTIN",2
09:53,,38,,66 (+28),"GOOD FT by GEE,TYLER",RHODES 38-66 (+28),,"GOOD FT by GEE,TYLER",2
09:53,,38,,67 (+29),"GOOD FT by GEE,TYLER",RHODES 38-67 (+29),,"GOOD FT by GEE,TYLER",2
09:29,"GOOD 3PTR by SWISHER,JEREMY",41,,67 (+26),,AC-M 41-67 (+26),,"GOOD 3PTR by SWISHER,JEREMY",2
--,"ASSIST  by FREET,AUSTIN",,,,,,,"ASSIST  by FREET,AUSTIN",2
09:16,,,,,"MISS JUMPER by BUTTS,KEYSHAWN",,,"MISS JUMPER by BUTTS,KEYSHAWN",2
--,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",,,"REBOUND OFF by BUTTS,KEYSHAWN",2
08:54,,41,,69 (+28),"GOOD LAYUP by GEE,TYLER(in the paint)",RHODES 41-69 (+28),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",2
08:45,"GOOD LAYUP by FREET,AUSTIN(fastbreak)(in the paint)",43,,69 (+26),,AC-M 43-69 (+26),,"GOOD LAYUP by FREET,AUSTIN(fastbreak)(in the paint)",2
08:26,"FOUL  by RIVERA,ANDRES",,,,,,,"FOUL  by RIVERA,ANDRES",2
08:26,,43,,70 (+27),"GOOD FT by COLLINS,LUKE",RHODES 43-70 (+27),,"GOOD FT by COLLINS,LUKE",2
08:26,,43,,71 (+28),"GOOD FT by COLLINS,LUKE",RHODES 43-71 (+28),,"GOOD FT by COLLINS,LUKE",2
08:26,"SUB IN by SULLIVAN,ALAN",,,,,,,"SUB IN by SULLIVAN,ALAN",2
08:26,"SUB OUT by REIBLY,RYAN",,,,,,,"SUB OUT by REIBLY,RYAN",2
08:26,,,,,"SUB IN by BLISS,DYLAN",,,"SUB IN by BLISS,DYLAN",2
08:26,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
08:07,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",2
08:07,"GOOD FT by HAMPDEN-SMITH,H",44,,71 (+27),,AC-M 44-71 (+27),,"GOOD FT by HAMPDEN-SMITH,H",2
08:07,"GOOD FT by HAMPDEN-SMITH,H",45,,71 (+26),,AC-M 45-71 (+26),,"GOOD FT by HAMPDEN-SMITH,H",2
07:58,,,,,"MISS 3PTR by BLISS,DYLAN",,,"MISS 3PTR by BLISS,DYLAN",2
--,"REBOUND DEF by HAMPDEN-SMITH,H",,,,,,,"REBOUND DEF by HAMPDEN-SMITH,H",2
07:46,"MISS 3PTR by RIVERA,ANDRES",,,,,,,"MISS 3PTR by RIVERA,ANDRES",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
07:37,"FOUL  by RIVERA,ANDRES",,,,,,,"FOUL  by RIVERA,ANDRES",2
07:37,,45,,72 (+27),"GOOD FT by BUTTS,KEYSHAWN",RHODES 45-72 (+27),,"GOOD FT by BUTTS,KEYSHAWN",2
07:37,,45,,73 (+28),"GOOD FT by BUTTS,KEYSHAWN",RHODES 45-73 (+28),,"GOOD FT by BUTTS,KEYSHAWN",2
07:37,"SUB IN by BAEHL,BRIAN",,,,,,,"SUB IN by BAEHL,BRIAN",2
07:37,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",2
07:17,,,,,"FOUL  by BLISS,DYLAN",,,"FOUL  by BLISS,DYLAN",2
07:17,"GOOD FT by SWISHER,JEREMY",46,,73 (+27),,AC-M 46-73 (+27),,"GOOD FT by SWISHER,JEREMY",2
07:17,"MISS FT by SWISHER,JEREMY",,,,,,,"MISS FT by SWISHER,JEREMY",2
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",2
06:57,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",2
--,"REBOUND DEF by SULLIVAN,ALAN",,,,,,,"REBOUND DEF by SULLIVAN,ALAN",2
06:52,"MISS 3PTR by SULLIVAN,ALAN",,,,,,,"MISS 3PTR by SULLIVAN,ALAN",2
--,"REBOUND OFF by SWISHER,JEREMY",,,,,,,"REBOUND OFF by SWISHER,JEREMY",2
06:48,"GOOD LAYUP by SWISHER,JEREMY(in the paint)",48,,73 (+25),,AC-M 48-73 (+25),,"GOOD LAYUP by SWISHER,JEREMY(in the paint)",2
06:33,,,,,"MISS LAYUP by WAGNER,MATT",,,"MISS LAYUP by WAGNER,MATT",2
--,"REBOUND DEF by SWISHER,JEREMY",,,,,,,"REBOUND DEF by SWISHER,JEREMY",2
06:27,"SUB IN by HUDSON,CEDRIC",,,,,,,"SUB IN by HUDSON,CEDRIC",2
06:27,"SUB OUT by FREET,AUSTIN",,,,,,,"SUB OUT by FREET,AUSTIN",2
06:12,,,,,"FOUL  by BLISS,DYLAN",,,"FOUL  by BLISS,DYLAN",2
06:12,"GOOD FT by SULLIVAN,ALAN",49,,73 (+24),,AC-M 49-73 (+24),,"GOOD FT by SULLIVAN,ALAN",2
06:12,"MISS FT by SULLIVAN,ALAN",,,,,,,"MISS FT by SULLIVAN,ALAN",2
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",2
06:02,,,,,"TURNOVER  by WAGNER,MATT",,,"TURNOVER  by WAGNER,MATT",2
06:02,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",2
05:55,"GOOD LAYUP by SWISHER,JEREMY(in the paint)",51,,73 (+22),,AC-M 51-73 (+22),,"GOOD LAYUP by SWISHER,JEREMY(in the paint)",2
05:16,,,,,"MISS 3PTR by BLISS,DYLAN",,,"MISS 3PTR by BLISS,DYLAN",2
--,"REBOUND DEF by BAEHL,BRIAN",,,,,,,"REBOUND DEF by BAEHL,BRIAN",2
05:02,"TURNOVER  by SULLIVAN,ALAN",,,,,,,"TURNOVER  by SULLIVAN,ALAN",2
05:02,"SUB IN by MEYERS,CODY",,,,,,,"SUB IN by MEYERS,CODY",2
05:02,"SUB OUT by HAMPDEN-SMITH,H",,,,,,,"SUB OUT by HAMPDEN-SMITH,H",2
04:46,,,,,"TURNOVER  by BLISS,DYLAN",,,"TURNOVER  by BLISS,DYLAN",2
04:44,"STEAL  by MEYERS,CODY",,,,,,,"STEAL  by MEYERS,CODY",2
04:42,"MISS 3PTR by SWISHER,JEREMY",,,,,,,"MISS 3PTR by SWISHER,JEREMY",2
--,,,,,"REBOUND DEF by WAGNER,MATT",,,"REBOUND DEF by WAGNER,MATT",2
04:33,,51,,75 (+24),"GOOD LAYUP by BLISS,DYLAN(fastbreak)(in the paint)",RHODES 51-75 (+24),,"GOOD LAYUP by BLISS,DYLAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",2
04:20,"TURNOVER  by SULLIVAN,ALAN",,,,,,,"TURNOVER  by SULLIVAN,ALAN",2
04:20,"SUB IN by QUINN,JOSH",,,,,,,"SUB IN by QUINN,JOSH",2
04:20,"SUB OUT by SULLIVAN,ALAN",,,,,,,"SUB OUT by SULLIVAN,ALAN",2
04:04,"FOUL  by MEYERS,CODY",,,,,,,"FOUL  by MEYERS,CODY",2
04:04,,51,,76 (+25),"GOOD FT by GEE,TYLER",RHODES 51-76 (+25),,"GOOD FT by GEE,TYLER",2
04:04,,51,,77 (+26),"GOOD FT by GEE,TYLER",RHODES 51-77 (+26),,"GOOD FT by GEE,TYLER",2
04:04,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",2
04:04,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
03:53,"TURNOVER  by HUDSON,CEDRIC",,,,,,,"TURNOVER  by HUDSON,CEDRIC",2
03:53,"FOUL  by HUDSON,CEDRIC",,,,,,,"FOUL  by HUDSON,CEDRIC",2
03:22,,51,,80 (+29),"GOOD 3PTR by BLISS,DYLAN",RHODES 51-80 (+29),,"GOOD 3PTR by BLISS,DYLAN",2
03:14,"GOOD LAYUP by HUDSON,CEDRIC(fastbreak)(in the paint)",53,,80 (+27),,AC-M 53-80 (+27),,"GOOD LAYUP by HUDSON,CEDRIC(fastbreak)(in the paint)",2
--,"ASSIST  by SWISHER,JEREMY",,,,,,,"ASSIST  by SWISHER,JEREMY",2
02:57,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:57,"SUB IN by RIVERA,ANDRES",,,,,,,"SUB IN by RIVERA,ANDRES",2
02:57,"SUB OUT by BAEHL,BRIAN",,,,,,,"SUB OUT by BAEHL,BRIAN",2
02:57,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",2
02:57,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",2
02:57,,,,,"SUB OUT by BLISS,DYLAN",,,"SUB OUT by BLISS,DYLAN",2
02:57,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
02:40,"FOUL  by MEYERS,CODY",,,,,,,"FOUL  by MEYERS,CODY",2
02:40,,53,,81 (+28),"GOOD FT by GEE,TYLER",RHODES 53-81 (+28),,"GOOD FT by GEE,TYLER",2
02:40,,53,,82 (+29),"GOOD FT by GEE,TYLER",RHODES 53-82 (+29),,"GOOD FT by GEE,TYLER",2
02:27,"MISS LAYUP by HUDSON,CEDRIC",,,,,,,"MISS LAYUP by HUDSON,CEDRIC",2
02:27,,,,,"BLOCK  by HARRISON,IAN",,,"BLOCK  by HARRISON,IAN",2
--,"REBOUND OFF by HUDSON,CEDRIC",,,,,,,"REBOUND OFF by HUDSON,CEDRIC",2
02:19,"MISS LAYUP by HUDSON,CEDRIC",,,,,,,"MISS LAYUP by HUDSON,CEDRIC",2
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",2
01:59,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",2
01:59,"BLOCK  by SWISHER,JEREMY",,,,,,,"BLOCK  by SWISHER,JEREMY",2
--,,,,,"REBOUND OFF by HARRISON,IAN",,,"REBOUND OFF by HARRISON,IAN",2
01:55,,53,,84 (+31),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHODES 53-84 (+31),,"GOOD LAYUP by HARRISON,IAN(in the paint)",2
01:48,"GOOD 3PTR by QUINN,JOSH",56,,84 (+28),,AC-M 56-84 (+28),,"GOOD 3PTR by QUINN,JOSH",2
--,"ASSIST  by SWISHER,JEREMY",,,,,,,"ASSIST  by SWISHER,JEREMY",2
01:28,,56,,86 (+30),"GOOD LAYUP by WEIR,JJ(in the paint)",RHODES 56-86 (+30),,"GOOD LAYUP by WEIR,JJ(in the paint)",2
--,,,,,"ASSIST  by HARRISON,IAN",,,"ASSIST  by HARRISON,IAN",2
01:16,"MISS 3PTR by MEYERS,CODY",,,,,,,"MISS 3PTR by MEYERS,CODY",2
--,"REBOUND OFF by SWISHER,JEREMY",,,,,,,"REBOUND OFF by SWISHER,JEREMY",2
01:12,"GOOD LAYUP by SWISHER,JEREMY(in the paint)",58,,86 (+28),,AC-M 58-86 (+28),,"GOOD LAYUP by SWISHER,JEREMY(in the paint)",2
01:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:10,"SUB IN by KOLLET,WILL",,,,,,,"SUB IN by KOLLET,WILL",2
01:10,"SUB IN by PASS,JOHN",,,,,,,"SUB IN by PASS,JOHN",2
01:10,"SUB IN by GARRETT,JOSH",,,,,,,"SUB IN by GARRETT,JOSH",2
01:10,"SUB OUT by RIVERA,ANDRES",,,,,,,"SUB OUT by RIVERA,ANDRES",2
01:10,"SUB OUT by HUDSON,CEDRIC",,,,,,,"SUB OUT by HUDSON,CEDRIC",2
01:10,"SUB OUT by SWISHER,JEREMY",,,,,,,"SUB OUT by SWISHER,JEREMY",2
00:46,"FOUL  by GARRETT,JOSH",,,,,,,"FOUL  by GARRETT,JOSH",2
00:46,,58,,87 (+29),"GOOD FT by LOWRIE,ANDREW",RHODES 58-87 (+29),,"GOOD FT by LOWRIE,ANDREW",2
00:46,,58,,88 (+30),"GOOD FT by LOWRIE,ANDREW",RHODES 58-88 (+30),,"GOOD FT by LOWRIE,ANDREW",2
00:43,"GOOD 3PTR by PASS,JOHN(fastbreak)",61,,88 (+27),,AC-M 61-88 (+27),,"GOOD 3PTR by PASS,JOHN(fastbreak)",2
--,"ASSIST  by QUINN,JOSH",,,,,,,"ASSIST  by QUINN,JOSH",2
00:27,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",2
--,,,,,"REBOUND OFF by HARRISON,IAN",,,"REBOUND OFF by HARRISON,IAN",2
00:24,,61,,90 (+29),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHODES 61-90 (+29),,"GOOD LAYUP by HARRISON,IAN(in the paint)",2
00:17,"MISS 3PTR by KOLLET,WILL",,,,,,,"MISS 3PTR by KOLLET,WILL",2
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",2
00:14,"FOUL  by MEYERS,CODY",,,,,,,"FOUL  by MEYERS,CODY",2
00:14,,,,,"MISS FT by HARRISON,IAN",,,"MISS FT by HARRISON,IAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:14,,,,,"MISS FT by HARRISON,IAN",,,"MISS FT by HARRISON,IAN",2
--,"REBOUND DEF by PASS,JOHN",,,,,,,"REBOUND DEF by PASS,JOHN",2
00:14,"MISS 3PTR by KOLLET,WILL",,,,,,,"MISS 3PTR by KOLLET,WILL",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
00:07,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",2
00:04,"MISS 3PTR by QUINN,JOSH",,,,,,,"MISS 3PTR by QUINN,JOSH",2
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",2
