Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
14:29,,,,,"SUB OUT by MAGUIRE,WILL",,,"SUB OUT by MAGUIRE,WILL",2
14:29,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
14:11,"FOUL  by MCCULLOUGH,JACOB",,,,,,,"FOUL  by MCCULLOUGH,JACOB",2
14:11,"TURNOVER  by MCCULLOUGH,JACOB",,,,,,,"TURNOVER  by MCCULLOUGH,JACOB",2
13:54,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
13:54,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
13:54,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
13:49,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",2
13:32,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",2
13:32,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",2
13:23,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",2
13:21,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",2
13:10,"MISS JUMPER by TOME,MATT",,,,,,,"MISS JUMPER by TOME,MATT",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
12:47,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
12:32,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",2
12:11,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
12:11,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
12:11,"MISS FT by WILLIAMS,JORDEN",,,,,,,"MISS FT by WILLIAMS,JORDEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:11,"MISS FT by WILLIAMS,JORDEN",,,,,,,"MISS FT by WILLIAMS,JORDEN",2
--,"REBOUND OFF by CALDWELL,CAM",,,,,,,"REBOUND OFF by CALDWELL,CAM",2
12:11,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",2
12:11,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
12:11,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
12:11,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
12:11,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
12:11,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
12:11,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
12:11,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",2
12:11,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
12:11,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
12:11,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
12:11,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
12:04,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",2
11:53,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",2
11:39,"GOOD 3PTR by JONES,CODY",39 (+13),,26,,SEWANEE 39-26 (+13),,"GOOD 3PTR by JONES,CODY",2
--,"ASSIST  by BROWN,SETH",,,,,,,"ASSIST  by BROWN,SETH",2
11:20,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
11:20,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
11:20,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
11:20,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
11:20,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
11:20,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
11:14,,39 (+10),,29,"GOOD 3PTR by GUMP,MATT",CENTRE 39-29 (+10),,"GOOD 3PTR by GUMP,MATT",2
10:56,"GOOD 3PTR by JONES,CODY",42 (+13),,29,,SEWANEE 42-29 (+13),,"GOOD 3PTR by JONES,CODY",2
10:28,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
10:28,,,,,"MISS FT by SINE,TUCKER",,,"MISS FT by SINE,TUCKER",2
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",2
10:28,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
10:28,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
10:18,"MISS JUMPER by MCCULLOUGH,JACOB",,,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
10:09,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",2
09:43,"GOOD JUMPER by BORN,CLAY",44 (+15),,29,,SEWANEE 44-29 (+15),,"GOOD JUMPER by BORN,CLAY",2
09:22,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
09:06,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",2
08:48,"GOOD LAYUP by CARTER,KESHONN(in the paint)",46 (+17),,29,,SEWANEE 46-29 (+17),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
08:47,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
08:47,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:47,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
08:47,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
08:47,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
08:47,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
08:47,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
08:30,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",2
08:30,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",2
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",2
08:26,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:08,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
07:51,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
07:51,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
07:51,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",2
07:51,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
07:51,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
07:51,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
07:51,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
07:51,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
07:51,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
07:46,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
07:46,,46 (+16),,30,"GOOD FT by SCINTA,BLAKE",CENTRE 46-30 (+16),,"GOOD FT by SCINTA,BLAKE",2
07:46,,46 (+15),,31,"GOOD FT by SCINTA,BLAKE",CENTRE 46-31 (+15),,"GOOD FT by SCINTA,BLAKE",2
07:46,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
07:46,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
07:32,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
07:26,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",2
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",2
07:12,"MISS JUMPER by JONES,CODY",,,,,,,"MISS JUMPER by JONES,CODY",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
07:03,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",2
06:32,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,"REBOUND OFF by CALDWELL,CAM",,,,,,,"REBOUND OFF by CALDWELL,CAM",2
06:29,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
06:29,"GOOD FT by CALDWELL,CAM",47 (+16),,31,,SEWANEE 47-31 (+16),,"GOOD FT by CALDWELL,CAM",2
06:29,"MISS FT by CALDWELL,CAM",,,,,,,"MISS FT by CALDWELL,CAM",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
06:29,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
06:29,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
06:29,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",2
06:29,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
06:15,,,,,"MISS 3PTR by MAGUIRE,WILL",,,"MISS 3PTR by MAGUIRE,WILL",2
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",2
05:46,"MISS LAYUP by JONES,CODY",,,,,,,"MISS LAYUP by JONES,CODY",2
05:46,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
05:45,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:45,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
05:45,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
05:45,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
05:45,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",2
05:42,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,"REBOUND OFF by JONES,CODY",,,,,,,"REBOUND OFF by JONES,CODY",2
05:24,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
05:18,,47 (+14),,33,"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE 47-33 (+14),,"GOOD LAYUP by GUMP,MATT(in the paint)",2
05:17,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
05:17,,,,,"MISS FT by GUMP,MATT",,,"MISS FT by GUMP,MATT",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
05:17,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
05:17,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
05:17,,,,,"SUB IN by JONES,BRETT",,,"SUB IN by JONES,BRETT",2
05:17,,,,,"SUB OUT by MAGUIRE,WILL",,,"SUB OUT by MAGUIRE,WILL",2
05:01,"MISS 3PTR by JONES,CODY",,,,,,,"MISS 3PTR by JONES,CODY",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
04:54,,,,,"MISS 3PTR by JONES,BRETT",,,"MISS 3PTR by JONES,BRETT",2
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",2
04:42,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",2
04:42,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",2
04:42,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
04:34,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",2
04:17,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",2
04:17,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",2
04:09,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",2
04:09,,47 (+13),,34,"GOOD FT by SCINTA,BLAKE",CENTRE 47-34 (+13),,"GOOD FT by SCINTA,BLAKE",2
04:09,,47 (+12),,35,"GOOD FT by SCINTA,BLAKE",CENTRE 47-35 (+12),,"GOOD FT by SCINTA,BLAKE",2
04:09,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",2
04:09,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
04:09,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
04:09,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",2
03:48,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",2
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",2
03:44,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
03:37,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
03:37,,47 (+11),,36,"GOOD FT by GRIFFIN,JAROD",CENTRE 47-36 (+11),,"GOOD FT by GRIFFIN,JAROD",2
03:37,,47 (+10),,37,"GOOD FT by GRIFFIN,JAROD",CENTRE 47-37 (+10),,"GOOD FT by GRIFFIN,JAROD",2
03:37,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
03:37,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",2
03:14,"MISS LAYUP by WILLIAMS,JORDEN",,,,,,,"MISS LAYUP by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
03:11,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
03:11,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:11,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",2
02:48,"MISS LAYUP by JONES,CODY",,,,,,,"MISS LAYUP by JONES,CODY",2
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",2
02:44,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
02:44,"GOOD FT by BROWN,SETH",48 (+11),,37,,SEWANEE 48-37 (+11),,"GOOD FT by BROWN,SETH",2
02:44,"GOOD FT by BROWN,SETH",49 (+12),,37,,SEWANEE 49-37 (+12),,"GOOD FT by BROWN,SETH",2
02:33,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
02:15,,49 (+9),,40,"GOOD 3PTR by GRIFFIN,JAROD",CENTRE 49-40 (+9),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
02:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:11,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
02:11,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
02:11,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
02:11,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
02:11,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
02:11,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
02:11,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
02:11,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
02:11,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
02:05,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",2
02:03,,,,,"STEAL  by GRIFFIN,JAROD",,,"STEAL  by GRIFFIN,JAROD",2
01:58,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
01:58,,49 (+8),,41,"GOOD FT by SINE,TUCKER",CENTRE 49-41 (+8),,"GOOD FT by SINE,TUCKER",2
01:58,,49 (+7),,42,"GOOD FT by SINE,TUCKER",CENTRE 49-42 (+7),,"GOOD FT by SINE,TUCKER",2
01:58,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",2
01:58,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
01:53,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:49,"GOOD LAYUP by CARTER,KESHONN(in the paint)",51 (+9),,42,,SEWANEE 51-42 (+9),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
--,"ASSIST  by MCCULLOUGH,JACOB",,,,,,,"ASSIST  by MCCULLOUGH,JACOB",2
01:48,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
01:48,"GOOD FT by CARTER,KESHONN",52 (+10),,42,,SEWANEE 52-42 (+10),,"GOOD FT by CARTER,KESHONN",2
01:38,,52 (+7),,45,"GOOD 3PTR by SINE,TUCKER",CENTRE 52-45 (+7),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",2
01:29,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
01:29,"MISS FT by MCCULLOUGH,JACOB",,,,,,,"MISS FT by MCCULLOUGH,JACOB",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
01:12,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
01:12,,52 (+6),,46,"GOOD FT by GRIFFIN,JAROD",CENTRE 52-46 (+6),,"GOOD FT by GRIFFIN,JAROD",2
01:12,,52 (+5),,47,"GOOD FT by GRIFFIN,JAROD",CENTRE 52-47 (+5),,"GOOD FT by GRIFFIN,JAROD",2
01:12,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
01:12,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",2
01:08,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",2
01:08,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",2
00:50,,52 (+3),,49,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 52-49 (+3),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",2
00:47,"GOOD FT by MCCULLOUGH,JACOB",53 (+4),,49,,SEWANEE 53-49 (+4),,"GOOD FT by MCCULLOUGH,JACOB",2
00:47,"GOOD FT by MCCULLOUGH,JACOB",54 (+5),,49,,SEWANEE 54-49 (+5),,"GOOD FT by MCCULLOUGH,JACOB",2
00:47,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
00:40,"FOUL  by MCCULLOUGH,JACOB",,,,,,,"FOUL  by MCCULLOUGH,JACOB",2
00:40,,54 (+4),,50,"GOOD FT by GUMP,MATT",CENTRE 54-50 (+4),,"GOOD FT by GUMP,MATT",2
00:40,,54 (+3),,51,"GOOD FT by GUMP,MATT",CENTRE 54-51 (+3),,"GOOD FT by GUMP,MATT",2
00:40,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",2
00:37,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
00:37,"GOOD FT by CARTER,KESHONN",55 (+4),,51,,SEWANEE 55-51 (+4),,"GOOD FT by CARTER,KESHONN",2
00:37,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
00:37,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
00:37,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
00:23,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
00:19,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
00:19,"GOOD FT by CARTER,KESHONN",56 (+5),,51,,SEWANEE 56-51 (+5),,"GOOD FT by CARTER,KESHONN",2
00:19,"GOOD FT by CARTER,KESHONN",57 (+6),,51,,SEWANEE 57-51 (+6),,"GOOD FT by CARTER,KESHONN",2
00:19,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:19,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
00:13,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
00:09,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",2
00:09,"GOOD FT by BORN,CLAY",58 (+7),,51,,SEWANEE 58-51 (+7),,"GOOD FT by BORN,CLAY",2
00:09,"MISS FT by BORN,CLAY",,,,,,,"MISS FT by BORN,CLAY",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
00:02,,58 (+4),,54,"GOOD 3PTR by GRIFFIN,JAROD",CENTRE 58-54 (+4),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",2
00:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:02,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",2
00:02,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
00:02,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
00:01,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",2
00:01,"MISS FT by WILLIAMS,JORDEN",,,,,,,"MISS FT by WILLIAMS,JORDEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:00,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
