Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,TASMBB,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",1
12:18,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
11:53,,,,,"TURNOVER  by MANCUSO,LOGAN",,,"TURNOVER  by MANCUSO,LOGAN",1
11:49,"STEAL  by BUESCHER,HUNTER",,,,,,,"STEAL  by BUESCHER,HUNTER",1
11:45,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",1
11:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:45,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
11:45,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
11:45,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
11:45,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
11:45,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
11:45,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
11:45,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
11:45,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
11:45,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
11:45,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
11:45,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
11:45,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",1
11:34,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
11:30,"GOOD LAYUP by STONE,BRODY(in the paint)",11 (+1),,10,,SEWANE~1 11-10 (+1),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
11:19,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
11:16,"STEAL  by JONES,CODY",,,,,,,"STEAL  by JONES,CODY",1
11:15,"GOOD LAYUP by JONES,CODY(fastbreak)(in the paint)",13 (+3),,10,,SEWANE~1 13-10 (+3),,"GOOD LAYUP by JONES,CODY(fastbreak)(in the paint)",1
10:51,,13 (+1),,12,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",TASMBB 13-12 (+1),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
10:30,"GOOD 3PTR by BUESCHER,HUNTER",16 (+4),,12,,SEWANE~1 16-12 (+4),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
10:19,,16 (+2),,14,"GOOD JUMPER by GERCHOW,ALEX",TASMBB 16-14 (+2),,"GOOD JUMPER by GERCHOW,ALEX",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
10:02,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",1
10:00,,,,,"STEAL  by MARKWITH,TRENT",,,"STEAL  by MARKWITH,TRENT",1
09:54,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
09:54,,16 (+1),,15,"GOOD FT by GERCHOW,ALEX",TASMBB 16-15 (+1),,"GOOD FT by GERCHOW,ALEX",1
09:54,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
09:54,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
09:54,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
09:54,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
09:54,,,,,"SUB IN by MASON,ROBERT WADE",,,"SUB IN by MASON,ROBERT WADE",1
09:54,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
09:51,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",1
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",1
09:46,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
09:41,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",18 (+3),,15,,SEWANE~1 18-15 (+3),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
09:27,"FOUL  by JONES,CODY",,,,,,,"FOUL  by JONES,CODY",1
09:23,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
09:23,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
09:02,,18 (+1),,17,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",TASMBB 18-17 (+1),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
--,,,,,"ASSIST  by ATKINSON,QUINN",,,"ASSIST  by ATKINSON,QUINN",1
08:42,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
08:34,"GOOD 3PTR by BUESCHER,HUNTER",21 (+4),,17,,SEWANE~1 21-17 (+4),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
08:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:27,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
08:27,"SUB OUT by MCCULLOUGH,JACOB",,,,,,,"SUB OUT by MCCULLOUGH,JACOB",1
08:27,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
08:27,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
08:11,,21 (+2),,19,"GOOD JUMPER by ATKINSON,QUINN",TASMBB 21-19 (+2),,"GOOD JUMPER by ATKINSON,QUINN",1
07:50,"GOOD LAYUP by STONE,BRODY(in the paint)",23 (+4),,19,,SEWANE~1 23-19 (+4),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",1
07:20,,23 (+2),,21,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",TASMBB 23-21 (+2),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
07:03,"GOOD LAYUP by CARTER,KESHONN(in the paint)",25 (+4),,21,,SEWANE~1 25-21 (+4),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
07:03,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
07:03,"GOOD FT by CARTER,KESHONN",26 (+5),,21,,SEWANE~1 26-21 (+5),,"GOOD FT by CARTER,KESHONN",1
07:03,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
07:03,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
07:03,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
07:03,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
06:52,,26 (+3),,23,"GOOD JUMPER by MASON,ROBERT WADE",TASMBB 26-23 (+3),,"GOOD JUMPER by MASON,ROBERT WADE",1
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",1
06:30,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
06:24,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:24,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
06:24,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
06:24,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
06:24,,,,,"SUB OUT by MASON,ROBERT WADE",,,"SUB OUT by MASON,ROBERT WADE",1
06:14,,26 (+1),,25,"GOOD JUMPER by GAGEN,BRENNAN",TASMBB 26-25 (+1),,"GOOD JUMPER by GAGEN,BRENNAN",1
--,,,,,"ASSIST  by MANCUSO,LOGAN",,,"ASSIST  by MANCUSO,LOGAN",1
05:54,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
05:54,"GOOD FT by LEE,MATTHEW",27 (+2),,25,,SEWANE~1 27-25 (+2),,"GOOD FT by LEE,MATTHEW",1
05:54,"MISS FT by LEE,MATTHEW",,,,,,,"MISS FT by LEE,MATTHEW",1
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",1
05:54,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
05:54,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
05:52,"MISS 3PTR by LEE,MATTHEW",,,,,,,"MISS 3PTR by LEE,MATTHEW",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
05:28,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
05:08,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",1
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",1
04:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:58,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
04:58,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
04:58,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
04:58,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
04:45,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",1
04:31,"TURNOVER  by TOME,MATT",,,,,,,"TURNOVER  by TOME,MATT",1
04:31,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",1
04:31,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
04:18,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
04:16,"STEAL  by BUESCHER,HUNTER",,,,,,,"STEAL  by BUESCHER,HUNTER",1
04:14,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by MARKWITH,TRENT",,,"REBOUND DEF by MARKWITH,TRENT",1
03:58,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
03:40,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",1
03:40,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
03:40,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
03:40,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
03:40,,,,,"SUB OUT by MANCUSO,LOGAN",,,"SUB OUT by MANCUSO,LOGAN",1
03:21,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",1
03:21,,,,,"TURNOVER  by MARKWITH,TRENT",,,"TURNOVER  by MARKWITH,TRENT",1
03:21,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
03:21,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
03:21,,,,,"SUB IN by MASON,ROBERT WADE",,,"SUB IN by MASON,ROBERT WADE",1
03:21,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
03:21,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
03:21,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",1
03:12,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
03:11,,,,,"STEAL  by MASON,ROBERT WADE",,,"STEAL  by MASON,ROBERT WADE",1
03:01,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
02:35,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
02:22,,27,,27,"GOOD JUMPER by JONES,BLAKE",TASMBB 27-27 (0),,"GOOD JUMPER by JONES,BLAKE",1
01:51,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
01:47,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",1
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",1
01:41,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
01:41,,27,,28 (+1),"GOOD FT by ATKINSON,QUINN",TASMBB 27-28 (-1),,"GOOD FT by ATKINSON,QUINN",1
01:41,,27,,29 (+2),"GOOD FT by ATKINSON,QUINN",TASMBB 27-29 (-2),,"GOOD FT by ATKINSON,QUINN",1
01:41,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
01:41,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",1
01:41,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
01:41,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
01:30,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",1
01:24,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:00,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
01:00,,,,,"BLOCK  by GERCHOW,ALEX",,,"BLOCK  by GERCHOW,ALEX",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
00:52,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
00:31,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
00:30,,,,,"STEAL  by ATKINSON,QUINN",,,"STEAL  by ATKINSON,QUINN",1
00:27,,27,,31 (+4),"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",TASMBB 27-31 (-4),,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ATKINSON,QUINN",,,"ASSIST  by ATKINSON,QUINN",1
00:27,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",1
00:27,,27,,32 (+5),"GOOD FT by ROBERTSON,MARC",TASMBB 27-32 (-5),,"GOOD FT by ROBERTSON,MARC",1
00:27,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
00:27,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
00:27,,,,,"SUB IN by MARKWITH,TRENT",,,"SUB IN by MARKWITH,TRENT",1
00:27,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
00:08,"GOOD 3PTR by BORN,CLAY",30,,32 (+2),,SEWANE~1 30-32 (-2),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",1
19:42,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",2
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",2
19:28,"GOOD LAYUP by CARTER,KESHONN(in the paint)",32,,32,,SEWANE~1 32-32 (0),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
--,"ASSIST  by MCCULLOUGH,JACOB",,,,,,,"ASSIST  by MCCULLOUGH,JACOB",2
19:06,,32,,35 (+3),"GOOD 3PTR by ROBERTSON,MARC",TASMBB 32-35 (-3),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by ATKINSON,QUINN",,,"ASSIST  by ATKINSON,QUINN",2
18:45,"GOOD 3PTR by JONES,CODY",35,,35,,SEWANE~1 35-35 (0),,"GOOD 3PTR by JONES,CODY",2
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",2
18:27,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",2
18:25,"STEAL  by JONES,CODY",,,,,,,"STEAL  by JONES,CODY",2
18:24,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",2
18:24,"FOUL  by JONES,CODY",,,,,,,"FOUL  by JONES,CODY",2
18:24,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
18:24,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
18:12,,,,,"TURNOVER  by ATKINSON,QUINN",,,"TURNOVER  by ATKINSON,QUINN",2
17:56,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
17:56,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:56,"GOOD FT by STONE,BRODY",36 (+1),,35,,SEWANE~1 36-35 (+1),,"GOOD FT by STONE,BRODY",2
17:56,,,,,"SUB IN by MASON,ROBERT WADE",,,"SUB IN by MASON,ROBERT WADE",2
17:56,,,,,"SUB OUT by MARKWITH,TRENT",,,"SUB OUT by MARKWITH,TRENT",2
17:44,,36,,37 (+1),"GOOD JUMPER by MASON,ROBERT WADE",TASMBB 36-37 (-1),,"GOOD JUMPER by MASON,ROBERT WADE",2
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",2
17:21,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
16:57,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
16:45,"MISS 3PTR by MCCULLOUGH,JACOB",,,,,,,"MISS 3PTR by MCCULLOUGH,JACOB",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
16:40,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",2
16:40,,,,,"BLOCK  by GERCHOW,ALEX",,,"BLOCK  by GERCHOW,ALEX",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:39,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",2
16:39,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",2
16:39,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
16:39,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
