Time Remaining,Black,Away Team Score,Play Team Indicator,Home Team Score,Sewanee,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:33,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",1
--,"REBOUND DEF by SCOTT,MALCOLM",,,,,,,"REBOUND DEF by SCOTT,MALCOLM",1
12:30,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
12:30,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
12:30,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
12:30,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
12:30,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
12:30,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
12:30,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
12:30,,,,,"SUB OUT by JONES,CODY",,,"SUB OUT by JONES,CODY",1
12:21,"FOUL  by STONE,CHRIS",,,,,,,"FOUL  by STONE,CHRIS",1
12:14,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by RUSTEN,REED",,,,,,,"REBOUND DEF by RUSTEN,REED",1
12:08,"MISS JUMPER by DAVIS,CHRIS",,,,,,,"MISS JUMPER by DAVIS,CHRIS",1
--,"REBOUND OFF by DAVIS,CHRIS",,,,,,,"REBOUND OFF by DAVIS,CHRIS",1
11:56,,,,,"FOUL  by WILLIAMS,JORDEN",,,"FOUL  by WILLIAMS,JORDEN",1
11:56,"SUB IN by KINCAID,TAIVON",,,,,,,"SUB IN by KINCAID,TAIVON",1
11:56,"SUB IN by SCOTT,MALCOLM",,,,,,,"SUB IN by SCOTT,MALCOLM",1
11:56,"SUB IN by STONE,CHRIS",,,,,,,"SUB IN by STONE,CHRIS",1
11:56,"SUB IN by MANUEL,DEANDRE",,,,,,,"SUB IN by MANUEL,DEANDRE",1
11:56,"SUB IN by RUSTEN,REED",,,,,,,"SUB IN by RUSTEN,REED",1
11:56,"SUB OUT by MAESTRANZI,JAKE",,,,,,,"SUB OUT by MAESTRANZI,JAKE",1
11:56,"SUB OUT by JR,DAMON GOODLOE",,,,,,,"SUB OUT by JR,DAMON GOODLOE",1
11:56,"SUB OUT by MCMILLEN,JORDAN",,,,,,,"SUB OUT by MCMILLEN,JORDAN",1
11:56,"SUB OUT by HICKS,HENRY",,,,,,,"SUB OUT by HICKS,HENRY",1
11:56,"SUB OUT by MOORE,JAMIE",,,,,,,"SUB OUT by MOORE,JAMIE",1
11:55,"TURNOVER  by RUSTEN,REED",,,,,,,"TURNOVER  by RUSTEN,REED",1
11:50,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",1
11:31,,5,,11 (+6),"GOOD JUMPER by CARTER,KESHONN(in the paint)",Sewanee 5-11 (+6),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
11:01,"GOOD JUMPER by MANUEL,DEANDRE",7,,11 (+4),,Black 7-11 (+4),,"GOOD JUMPER by MANUEL,DEANDRE",1
10:30,,,,,"MISS 3PTR by TOME,MATT",,,"MISS 3PTR by TOME,MATT",1
--,"REBOUND DEF by MANUEL,DEANDRE",,,,,,,"REBOUND DEF by MANUEL,DEANDRE",1
10:20,"MISS JUMPER by MANUEL,DEANDRE",,,,,,,"MISS JUMPER by MANUEL,DEANDRE",1
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",1
10:17,"FOUL  by MANUEL,DEANDRE",,,,,,,"FOUL  by MANUEL,DEANDRE",1
10:17,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:01,,7,,14 (+7),"GOOD 3PTR by WILLIAMS,JORDEN",Sewanee 7-14 (+7),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by CARTER,KESHONN",,,"ASSIST  by CARTER,KESHONN",1
09:30,"GOOD 3PTR by MCMILLEN,JORDAN",10,,14 (+4),,Black 10-14 (+4),,"GOOD 3PTR by MCMILLEN,JORDAN",1
09:11,,10,,17 (+7),"GOOD 3PTR by WILLIAMS,JORDEN",Sewanee 10-17 (+7),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by BORN,CLAY",,,"ASSIST  by BORN,CLAY",1
08:57,"MISS JUMPER by MCMILLEN,JORDAN",,,,,,,"MISS JUMPER by MCMILLEN,JORDAN",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
08:50,"FOUL  by MANUEL,DEANDRE",,,,,,,"FOUL  by MANUEL,DEANDRE",1
08:50,,10,,18 (+8),"GOOD FT by CARTER,KESHONN",Sewanee 10-18 (+8),,"GOOD FT by CARTER,KESHONN",1
08:50,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",1
08:50,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
08:50,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
08:50,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
08:50,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
08:50,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
08:41,"TURNOVER  by JR,DAMON GOODLOE",,,,,,,"TURNOVER  by JR,DAMON GOODLOE",1
08:17,,10,,20 (+10),"GOOD JUMPER by BROWN,SETH(in the paint)",Sewanee 10-20 (+10),,"GOOD JUMPER by BROWN,SETH(in the paint)",1
--,,,,,"ASSIST  by JONES,CODY",,,"ASSIST  by JONES,CODY",1
08:09,"MISS JUMPER by MCMILLEN,JORDAN",,,,,,,"MISS JUMPER by MCMILLEN,JORDAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:01,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
07:58,"GOOD JUMPER by MAESTRANZI,JAKE",12,,20 (+8),,Black 12-20 (+8),,"GOOD JUMPER by MAESTRANZI,JAKE",1
07:24,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:09,"GOOD JUMPER by HICKS,HENRY",14,,20 (+6),,Black 14-20 (+6),,"GOOD JUMPER by HICKS,HENRY",1
07:00,"FOUL  by MOORE,JAMIE",,,,,,,"FOUL  by MOORE,JAMIE",1
06:46,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
06:46,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
06:46,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
06:46,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
06:38,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",1
--,,,,,"REBOUND OFF by TOME,MATT",,,"REBOUND OFF by TOME,MATT",1
06:36,"FOUL  by HICKS,HENRY",,,,,,,"FOUL  by HICKS,HENRY",1
06:36,,14,,21 (+7),"GOOD FT by TOME,MATT",Sewanee 14-21 (+7),,"GOOD FT by TOME,MATT",1
06:36,,,,,"MISS FT by TOME,MATT",,,"MISS FT by TOME,MATT",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
06:33,,14,,23 (+9),"GOOD JUMPER by BROWN,SETH(in the paint)",Sewanee 14-23 (+9),,"GOOD JUMPER by BROWN,SETH(in the paint)",1
06:27,"MISS JUMPER by MAESTRANZI,JAKE",,,,,,,"MISS JUMPER by MAESTRANZI,JAKE",1
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",1
06:10,,,,,"MISS JUMPER by LEE,MATTHEW",,,"MISS JUMPER by LEE,MATTHEW",1
--,"REBOUND DEF by MOORE,JAMIE",,,,,,,"REBOUND DEF by MOORE,JAMIE",1
06:05,"TURNOVER  by MOORE,JAMIE",,,,,,,"TURNOVER  by MOORE,JAMIE",1
06:05,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
06:05,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
05:41,,14,,25 (+11),"GOOD JUMPER by JONES,CODY(in the paint)",Sewanee 14-25 (+11),,"GOOD JUMPER by JONES,CODY(in the paint)",1
05:19,"MISS 3PTR by DAVIS,CHRIS",,,,,,,"MISS 3PTR by DAVIS,CHRIS",1
--,,,,,"REBOUND DEF by JONES,CODY",,,"REBOUND DEF by JONES,CODY",1
05:01,,,,,"MISS JUMPER by LEE,MATTHEW",,,"MISS JUMPER by LEE,MATTHEW",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
04:40,,,,,"MISS 3PTR by LEE,MATTHEW",,,"MISS 3PTR by LEE,MATTHEW",1
--,"REBOUND DEF by MOORE,JAMIE",,,,,,,"REBOUND DEF by MOORE,JAMIE",1
04:33,"MISS JUMPER by HICKS,HENRY",,,,,,,"MISS JUMPER by HICKS,HENRY",1
--,"REBOUND OFF by DAVIS,CHRIS",,,,,,,"REBOUND OFF by DAVIS,CHRIS",1
04:29,"MISS 3PTR by MAESTRANZI,JAKE",,,,,,,"MISS 3PTR by MAESTRANZI,JAKE",1
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",1
04:23,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:23,"SUB IN by MOORE,JAMIE",,,,,,,"SUB IN by MOORE,JAMIE",1
04:23,"SUB IN by MAESTRANZI,JAKE",,,,,,,"SUB IN by MAESTRANZI,JAKE",1
04:23,"SUB IN by JR,DAMON GOODLOE",,,,,,,"SUB IN by JR,DAMON GOODLOE",1
04:23,"SUB IN by HICKS,HENRY",,,,,,,"SUB IN by HICKS,HENRY",1
04:23,"SUB OUT by STONE,CHRIS",,,,,,,"SUB OUT by STONE,CHRIS",1
04:23,"SUB OUT by MANUEL,DEANDRE",,,,,,,"SUB OUT by MANUEL,DEANDRE",1
04:23,"SUB OUT by RUSTEN,REED",,,,,,,"SUB OUT by RUSTEN,REED",1
04:23,"SUB OUT by KINCAID,TAIVON",,,,,,,"SUB OUT by KINCAID,TAIVON",1
04:23,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
04:23,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
04:23,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
04:10,,,,,"MISS JUMPER by TOME,MATT",,,"MISS JUMPER by TOME,MATT",1
--,"REBOUND DEF by SCOTT,MALCOLM",,,,,,,"REBOUND DEF by SCOTT,MALCOLM",1
03:55,"MISS 3PTR by HICKS,HENRY",,,,,,,"MISS 3PTR by HICKS,HENRY",1
--,"REBOUND OFF by SCOTT,MALCOLM",,,,,,,"REBOUND OFF by SCOTT,MALCOLM",1
03:48,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
03:42,"GOOD FT by JR,DAMON GOODLOE",15,,25 (+10),,Black 15-25 (+10),,"GOOD FT by JR,DAMON GOODLOE",1
03:42,"GOOD FT by JR,DAMON GOODLOE",16,,25 (+9),,Black 16-25 (+9),,"GOOD FT by JR,DAMON GOODLOE",1
03:42,"SUB IN by RAMEY,JAVANTE",,,,,,,"SUB IN by RAMEY,JAVANTE",1
03:42,"SUB OUT by HICKS,HENRY",,,,,,,"SUB OUT by HICKS,HENRY",1
03:42,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
03:42,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
03:42,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
03:42,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
03:42,,,,,"SUB OUT by JONES,CODY",,,"SUB OUT by JONES,CODY",1
03:25,,16,,27 (+11),"GOOD JUMPER by CARTER,KESHONN",Sewanee 16-27 (+11),,"GOOD JUMPER by CARTER,KESHONN",1
02:59,"MISS 3PTR by RAMEY,JAVANTE",,,,,,,"MISS 3PTR by RAMEY,JAVANTE",1
--,"REBOUND OFF by MOORE,JAMIE",,,,,,,"REBOUND OFF by MOORE,JAMIE",1
02:48,"TURNOVER  by RAMEY,JAVANTE",,,,,,,"TURNOVER  by RAMEY,JAVANTE",1
02:27,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND DEF by SCOTT,MALCOLM",,,,,,,"REBOUND DEF by SCOTT,MALCOLM",1
02:16,"GOOD 3PTR by MAESTRANZI,JAKE",19,,27 (+8),,Black 19-27 (+8),,"GOOD 3PTR by MAESTRANZI,JAKE",1
--,"ASSIST  by RAMEY,JAVANTE",,,,,,,"ASSIST  by RAMEY,JAVANTE",1
01:57,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
01:52,"FOUL  by MOORE,JAMIE",,,,,,,"FOUL  by MOORE,JAMIE",1
01:52,,19,,28 (+9),"GOOD FT by STONE,BRODY",Sewanee 19-28 (+9),,"GOOD FT by STONE,BRODY",1
01:52,,19,,29 (+10),"GOOD FT by STONE,BRODY",Sewanee 19-29 (+10),,"GOOD FT by STONE,BRODY",1
01:52,"SUB IN by RUSTEN,REED",,,,,,,"SUB IN by RUSTEN,REED",1
01:52,"SUB OUT by JR,DAMON GOODLOE",,,,,,,"SUB OUT by JR,DAMON GOODLOE",1
01:52,"SUB OUT by RAMEY,JAVANTE",,,,,,,"SUB OUT by RAMEY,JAVANTE",1
01:52,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
01:52,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
01:52,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
01:52,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
01:52,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
01:52,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
01:50,"GOOD JUMPER by RUSTEN,REED",21,,29 (+8),,Black 21-29 (+8),,"GOOD JUMPER by RUSTEN,REED",1
01:28,,,,,"TURNOVER  by TOME,MATT",,,"TURNOVER  by TOME,MATT",1
01:27,"STEAL  by SCOTT,MALCOLM",,,,,,,"STEAL  by SCOTT,MALCOLM",1
01:16,"MISS JUMPER by SCOTT,MALCOLM",,,,,,,"MISS JUMPER by SCOTT,MALCOLM",1
--,"REBOUND OFF by MOORE,JAMIE",,,,,,,"REBOUND OFF by MOORE,JAMIE",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
00:57,,21,,31 (+10),"GOOD JUMPER by WILLIAMS,JORDEN",Sewanee 21-31 (+10),,"GOOD JUMPER by WILLIAMS,JORDEN",1
00:19,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,1
00:19,"SUB IN by MCMILLEN,JORDAN",,,,,,,"SUB IN by MCMILLEN,JORDAN",1
00:19,"SUB IN by MANUEL,DEANDRE",,,,,,,"SUB IN by MANUEL,DEANDRE",1
00:19,"SUB OUT by SCOTT,MALCOLM",,,,,,,"SUB OUT by SCOTT,MALCOLM",1
00:19,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",1
00:19,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
00:04,"GOOD 3PTR by MAESTRANZI,JAKE",24,,31 (+7),,Black 24-31 (+7),,"GOOD 3PTR by MAESTRANZI,JAKE",1
19:52,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",2
19:20,,24,,33 (+9),"GOOD JUMPER by MCCULLOUGH,JACOB",Sewanee 24-33 (+9),,"GOOD JUMPER by MCCULLOUGH,JACOB",2
18:51,"MISS JUMPER by JR,DAMON GOODLOE",,,,,,,"MISS JUMPER by JR,DAMON GOODLOE",2
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",2
18:45,"FOUL  by MCMILLEN,JORDAN",,,,,,,"FOUL  by MCMILLEN,JORDAN",2
18:45,,,,,"MISS FT by CARTER,KESHONN",,,"MISS FT by CARTER,KESHONN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:45,,24,,34 (+10),"GOOD FT by CARTER,KESHONN",Sewanee 24-34 (+10),,"GOOD FT by CARTER,KESHONN",2
18:33,"MISS JUMPER by MAESTRANZI,JAKE",,,,,,,"MISS JUMPER by MAESTRANZI,JAKE",2
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",2
18:17,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",2
18:15,"STEAL  by MCMILLEN,JORDAN",,,,,,,"STEAL  by MCMILLEN,JORDAN",2
18:12,"GOOD JUMPER by HICKS,HENRY(fastbreak)(in the paint)",26,,34 (+8),,Black 26-34 (+8),,"GOOD JUMPER by HICKS,HENRY(fastbreak)(in the paint)",2
17:46,"FOUL  by JR,DAMON GOODLOE",,,,,,,"FOUL  by JR,DAMON GOODLOE",2
17:46,,26,,35 (+9),"GOOD FT by STONE,BRODY",Sewanee 26-35 (+9),,"GOOD FT by STONE,BRODY",2
17:46,,26,,36 (+10),"GOOD FT by STONE,BRODY",Sewanee 26-36 (+10),,"GOOD FT by STONE,BRODY",2
17:46,"SUB IN by SCOTT,MALCOLM",,,,,,,"SUB IN by SCOTT,MALCOLM",2
17:46,"SUB OUT by MOORE,JAMIE",,,,,,,"SUB OUT by MOORE,JAMIE",2
17:35,"TURNOVER  by MCMILLEN,JORDAN",,,,,,,"TURNOVER  by MCMILLEN,JORDAN",2
17:34,,,,,"STEAL  by BORN,CLAY",,,"STEAL  by BORN,CLAY",2
17:27,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
17:24,,26,,38 (+12),"GOOD JUMPER by STONE,BRODY(in the paint)",Sewanee 26-38 (+12),,"GOOD JUMPER by STONE,BRODY(in the paint)",2
17:19,,,,,"STEAL  by BORN,CLAY",,,"STEAL  by BORN,CLAY",2
17:17,,26,,41 (+15),"GOOD 3PTR by BORN,CLAY",Sewanee 26-41 (+15),,"GOOD 3PTR by BORN,CLAY",2
17:12,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
17:03,"MISS 3PTR by HICKS,HENRY",,,,,,,"MISS 3PTR by HICKS,HENRY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:39,"GOOD JUMPER by MCMILLEN,JORDAN",28,,41 (+13),,Black 28-41 (+13),,"GOOD JUMPER by MCMILLEN,JORDAN",2
--,"ASSIST  by SCOTT,MALCOLM",,,,,,,"ASSIST  by SCOTT,MALCOLM",2
16:11,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND DEF by SCOTT,MALCOLM",,,,,,,"REBOUND DEF by SCOTT,MALCOLM",2
15:54,"MISS JUMPER by MCMILLEN,JORDAN",,,,,,,"MISS JUMPER by MCMILLEN,JORDAN",2
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",2
15:46,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
15:41,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
15:38,,28,,43 (+15),"GOOD JUMPER by CARTER,KESHONN(in the paint)",Sewanee 28-43 (+15),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
15:19,"SUB IN by DAVIS,CHRIS",,,,,,,"SUB IN by DAVIS,CHRIS",2
15:19,"SUB IN by LOCHHEAD,JAKE",,,,,,,"SUB IN by LOCHHEAD,JAKE",2
15:19,"SUB OUT by SCOTT,MALCOLM",,,,,,,"SUB OUT by SCOTT,MALCOLM",2
