Time Remaining,Boyce,Away Team Score,Play Team Indicator,Home Team Score,Sewanee,Game Score,Team Indicator,Play,Period
16:20,,33,,44 (+11),"GOOD 3PTR by BORN,CLAY",Sewanee 33-44 (+11),,"GOOD 3PTR by BORN,CLAY",2
16:08,"GOOD 3PTR by AKERS,BEN",36,,44 (+8),,Boyce 36-44 (+8),,"GOOD 3PTR by AKERS,BEN",2
15:50,,,,,"TURNOVER  by MCCULLOUGH,JACOB",,,"TURNOVER  by MCCULLOUGH,JACOB",2
15:50,"STEAL  by AKERS,BEN",,,,,,,"STEAL  by AKERS,BEN",2
15:40,"MISS 3PTR by WELLS,BRYCE",,,,,,,"MISS 3PTR by WELLS,BRYCE",2
--,"REBOUND OFF by KATZBECK,MAXX",,,,,,,"REBOUND OFF by KATZBECK,MAXX",2
15:35,"TURNOVER  by KATZBECK,MAXX",,,,,,,"TURNOVER  by KATZBECK,MAXX",2
15:35,,,,,"STEAL  by MCCULLOUGH,JACOB",,,"STEAL  by MCCULLOUGH,JACOB",2
15:35,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
15:35,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",2
15:35,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
15:35,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",2
15:25,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
15:21,,36,,46 (+10),"GOOD LAYUP by CARTER,KESHONN(in the paint)",Sewanee 36-46 (+10),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
15:10,"GOOD 3PTR by STEWART,TREY",39,,46 (+7),,Boyce 39-46 (+7),,"GOOD 3PTR by STEWART,TREY",2
--,"ASSIST  by KATZBECK,MAXX",,,,,,,"ASSIST  by KATZBECK,MAXX",2
14:55,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",2
14:53,"STEAL  by JONES,MIKE",,,,,,,"STEAL  by JONES,MIKE",2
14:51,"TURNOVER  by JONES,MIKE",,,,,,,"TURNOVER  by JONES,MIKE",2
14:51,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",2
14:51,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",2
14:51,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",2
14:51,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
14:31,,39,,49 (+10),"GOOD 3PTR by JONES,CODY",Sewanee 39-49 (+10),,"GOOD 3PTR by JONES,CODY",2
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",2
14:05,"TURNOVER  by JONES,MIKE",,,,,,,"TURNOVER  by JONES,MIKE",2
14:04,,,,,"STEAL  by LEE,MATTHEW",,,"STEAL  by LEE,MATTHEW",2
13:52,,,,,"FOUL  by LEE,MATTHEW",,,"FOUL  by LEE,MATTHEW",2
13:52,,,,,"TURNOVER  by LEE,MATTHEW",,,"TURNOVER  by LEE,MATTHEW",2
13:52,"SUB IN by MCKAY,DREW",,,,,,,"SUB IN by MCKAY,DREW",2
13:52,"SUB OUT by JONES,MIKE",,,,,,,"SUB OUT by JONES,MIKE",2
13:52,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
13:52,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",2
13:38,"GOOD JUMPER by KATZBECK,MAXX",41,,49 (+8),,Boyce 41-49 (+8),,"GOOD JUMPER by KATZBECK,MAXX",2
--,"ASSIST  by MCKAY,DREW",,,,,,,"ASSIST  by MCKAY,DREW",2
13:19,,41,,52 (+11),"GOOD 3PTR by JONES,CODY",Sewanee 41-52 (+11),,"GOOD 3PTR by JONES,CODY",2
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",2
13:15,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
12:54,"MISS 3PTR by STEWART,TREY",,,,,,,"MISS 3PTR by STEWART,TREY",2
--,,,,,"REBOUND DEF by LEE,MATTHEW",,,"REBOUND DEF by LEE,MATTHEW",2
12:39,,,,,"MISS LAYUP by BROWN,SETH",,,"MISS LAYUP by BROWN,SETH",2
--,"REBOUND DEF by WELLS,BRYCE",,,,,,,"REBOUND DEF by WELLS,BRYCE",2
12:26,"MISS LAYUP by KATZBECK,MAXX",,,,,,,"MISS LAYUP by KATZBECK,MAXX",2
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",2
12:07,,,,,"MISS 3PTR by LEE,MATTHEW",,,"MISS 3PTR by LEE,MATTHEW",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:53,"GOOD 3PTR by AKERS,BEN",44,,52 (+8),,Boyce 44-52 (+8),,"GOOD 3PTR by AKERS,BEN",2
--,"ASSIST  by STEWART,TREY",,,,,,,"ASSIST  by STEWART,TREY",2
