Time Remaining,SEW-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
03:01,"GOOD FT by STONE,BRODY",69 (+13),,56,,SEW-M 69-56 (+13),,"GOOD FT by STONE,BRODY",2
03:01,,,,,"SUB IN by FORTE,MCCARTY",,,"SUB IN by FORTE,MCCARTY",2
03:01,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",2
03:01,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",2
03:01,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",2
02:44,,,,,"MISS 3PTR by KORN,LUKAS",,,"MISS 3PTR by KORN,LUKAS",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
02:44,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
02:43,,,,,"MISS LAYUP by SCHERRMAN,BLAKE",,,"MISS LAYUP by SCHERRMAN,BLAKE",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
02:43,,,,,"FOUL  by SCHERRMAN,BLAKE",,,"FOUL  by SCHERRMAN,BLAKE",2
02:43,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:40,"GOOD FT by STONE,BRODY",70 (+14),,56,,SEW-M 70-56 (+14),,"GOOD FT by STONE,BRODY",2
02:27,"FOUL  by JONES,CODY",,,,,,,"FOUL  by JONES,CODY",2
02:27,,70 (+13),,57,"GOOD FT by FORTE,MCCARTY",BCM 70-57 (+13),,"GOOD FT by FORTE,MCCARTY",2
02:27,,70 (+12),,58,"GOOD FT by FORTE,MCCARTY",BCM 70-58 (+12),,"GOOD FT by FORTE,MCCARTY",2
02:27,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
02:27,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
02:27,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",2
02:27,,,,,"SUB OUT by FORTE,MCCARTY",,,"SUB OUT by FORTE,MCCARTY",2
02:18,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
02:18,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
02:18,,,,,"SUB IN by FORTE,MCCARTY",,,"SUB IN by FORTE,MCCARTY",2
02:18,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",2
02:09,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",2
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",2
01:44,"MISS LAYUP by TOME,MATT",,,,,,,"MISS LAYUP by TOME,MATT",2
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",2
01:43,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",,,"FOUL  by ELLINGSWORTH,COLEMAN",2
01:43,"GOOD FT by CARTER,KESHONN",71 (+13),,58,,SEW-M 71-58 (+13),,"GOOD FT by CARTER,KESHONN",2
01:43,"GOOD FT by CARTER,KESHONN",72 (+14),,58,,SEW-M 72-58 (+14),,"GOOD FT by CARTER,KESHONN",2
01:32,,,,,"MISS LAYUP by ELLINGSWORTH,COLEMAN",,,"MISS LAYUP by ELLINGSWORTH,COLEMAN",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
01:24,,,,,"FOUL  by JOHNSON,CALEB",,,"FOUL  by JOHNSON,CALEB",2
01:24,"GOOD FT by STONE,BRODY",73 (+15),,58,,SEW-M 73-58 (+15),,"GOOD FT by STONE,BRODY",2
01:24,"GOOD FT by STONE,BRODY",74 (+16),,58,,SEW-M 74-58 (+16),,"GOOD FT by STONE,BRODY",2
01:15,,,,,"MISS JUMPER by SCHERRMAN,BLAKE",,,"MISS JUMPER by SCHERRMAN,BLAKE",2
--,,,,,"REBOUND OFF by SCHERRMAN,BLAKE",,,"REBOUND OFF by SCHERRMAN,BLAKE",2
01:10,,,,,"MISS 3PTR by JOHNSON,CALEB",,,"MISS 3PTR by JOHNSON,CALEB",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
01:05,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
01:01,,,,,"TURNOVER  by JOHNSON,CALEB",,,"TURNOVER  by JOHNSON,CALEB",2
01:00,"STEAL  by MCCULLOUGH,JACOB",,,,,,,"STEAL  by MCCULLOUGH,JACOB",2
00:57,"GOOD LAYUP by STONE,BRODY(fastbreak)(in the paint)",76 (+18),,58,,SEW-M 76-58 (+18),,"GOOD LAYUP by STONE,BRODY(fastbreak)(in the paint)",2
00:45,,76 (+15),,61,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",BCM 76-61 (+15),,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",2
--,,,,,"ASSIST  by KORN,LUKAS",,,"ASSIST  by KORN,LUKAS",2
00:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:19,"TURNOVER  by MCCULLOUGH,JACOB",,,,,,,"TURNOVER  by MCCULLOUGH,JACOB",2
00:19,,,,,"STEAL  by MCCLOUD,ALTON",,,"STEAL  by MCCLOUD,ALTON",2
00:16,,76 (+13),,63,"GOOD DUNK by JOHNSON,CALEB(fastbreak)(in the paint)",BCM 76-63 (+13),,"GOOD DUNK by JOHNSON,CALEB(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MCCLOUD,ALTON",,,"ASSIST  by MCCLOUD,ALTON",2
00:12,,,,,"FOUL  by SCHERRMAN,BLAKE",,,"FOUL  by SCHERRMAN,BLAKE",2
00:12,"GOOD FT by BORN,CLAY",77 (+14),,63,,SEW-M 77-63 (+14),,"GOOD FT by BORN,CLAY",2
00:12,"GOOD FT by BORN,CLAY",78 (+15),,63,,SEW-M 78-63 (+15),,"GOOD FT by BORN,CLAY",2
00:12,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",2
00:12,,,,,"SUB OUT by FORTE,MCCARTY",,,"SUB OUT by FORTE,MCCARTY",2
00:06,,78 (+13),,65,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",BCM 78-65 (+13),,"GOOD LAYUP by JOHNSON,CALEB(fastbreak)(in the paint)",2
00:00,"GOOD LAYUP by STONE,BRODY(fastbreak)(in the paint)",80 (+15),,65,,SEW-M 80-65 (+15),,"GOOD LAYUP by STONE,BRODY(fastbreak)(in the paint)",2
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",2
