Time Remaining,SEW-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
14:37,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
14:37,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
14:37,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
14:37,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
14:37,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
14:37,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",1
14:11,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",1
13:51,,,,,"MISS JUMPER by JOHNSON,CALEB",,,"MISS JUMPER by JOHNSON,CALEB",1
--,,,,,"REBOUND OFF by BEDDINGFIELD,JACOB",,,"REBOUND OFF by BEDDINGFIELD,JACOB",1
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",1
13:41,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
13:41,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
13:41,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
13:41,,,,,"SUB OUT by SCHERRMAN,BLAKE",,,"SUB OUT by SCHERRMAN,BLAKE",1
13:23,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
--,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
13:17,,,,,"MISS LAYUP by MARDER,NICK",,,"MISS LAYUP by MARDER,NICK",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
13:16,,,,,"FOUL  by KORN,LUKAS",,,"FOUL  by KORN,LUKAS",1
13:16,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
