Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,MUMB,Game Score,Team Indicator,Play,Period
14:01,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",1
13:52,"GOOD TIPIN by BROWN,SETH(in the paint)",16 (+9),,7,,SEWANE~1 16-7 (+9),,"GOOD TIPIN by BROWN,SETH(in the paint)",1
13:36,,,,,"MISS JUMPER by MONK,BRANDON",,,"MISS JUMPER by MONK,BRANDON",1
13:36,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",1
--,"REBOUND DEF by MCCULLOUGH,JACOB",,,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",1
13:15,"GOOD LAYUP by BROWN,SETH(in the paint)",18 (+11),,7,,SEWANE~1 18-7 (+11),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
12:44,,,,,"TURNOVER  by AUGHBURNS,IRVING",,,"TURNOVER  by AUGHBURNS,IRVING",1
12:44,"SUB IN by JONES,CODY",,,,,,,"SUB IN by JONES,CODY",1
12:44,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
12:44,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
12:44,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
12:33,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
12:33,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",1
12:18,,,,,"MISS JUMPER by MONK,BRANDON",,,"MISS JUMPER by MONK,BRANDON",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
12:02,"MISS JUMPER by MCCULLOUGH,JACOB",,,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND DEF by MONK,BRANDON",,,"REBOUND DEF by MONK,BRANDON",1
11:49,,18 (+8),,10,"GOOD 3PTR by AUGHBURNS,IRVING",MUMB 18-10 (+8),,"GOOD 3PTR by AUGHBURNS,IRVING",1
--,,,,,"ASSIST  by HILLIARD,TABIAS",,,"ASSIST  by HILLIARD,TABIAS",1
11:25,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
11:25,,,,,"BLOCK  by WHITLEY,JACKSON",,,"BLOCK  by WHITLEY,JACKSON",1
--,,,,,"REBOUND DEF by HILLIARD,TABIAS",,,"REBOUND DEF by HILLIARD,TABIAS",1
11:19,,,,,"FOUL  by HILLIARD,TABIAS",,,"FOUL  by HILLIARD,TABIAS",1
11:19,,,,,"TURNOVER  by HILLIARD,TABIAS",,,"TURNOVER  by HILLIARD,TABIAS",1
