Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,AUSTIN,Game Score,Team Indicator,Play,Period
14:46,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
14:46,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
14:46,,,,,"SUB IN by RENNIE,JACKSON",,,"SUB IN by RENNIE,JACKSON",1
14:46,,,,,"SUB OUT by LAWRENCE,JOHNATHAN",,,"SUB OUT by LAWRENCE,JOHNATHAN",1
14:31,"MISS LAYUP by ,DARVIS RASBERRY JR",,,,,,,"MISS LAYUP by ,DARVIS RASBERRY JR",1
--,"REBOUND OFF by STANLEY,SETH",,,,,,,"REBOUND OFF by STANLEY,SETH",1
14:27,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",13 (+7),,6,,HENDRIX 13-6 (+7),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
--,"ASSIST ASSIST by STANLEY,SETH",,,,,,,"ASSIST ASSIST by STANLEY,SETH",1
14:17,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
14:14,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
14:14,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
14:11,,,,,"MISS JUMPER by STRICKLAND,ROMAN",,,"MISS JUMPER by STRICKLAND,ROMAN",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
13:55,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",1
13:55,,,,,"STEAL  by DICK,TRISTAN",,,"STEAL  by DICK,TRISTAN",1
13:43,,,,,"MISS 3PTR by DICK,TRISTAN",,,"MISS 3PTR by DICK,TRISTAN",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
13:36,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:18,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
13:12,,,,,"SUB IN by ,JASON JONES JR",,,"SUB IN by ,JASON JONES JR",1
13:12,,,,,"SUB IN by CLEAMONS,JAYLYN",,,"SUB IN by CLEAMONS,JAYLYN",1
13:12,,,,,"SUB OUT by DICK,TRISTAN",,,"SUB OUT by DICK,TRISTAN",1
13:12,,,,,"SUB OUT by KING,REX",,,"SUB OUT by KING,REX",1
13:05,,13 (+5),,8,"GOOD JUMPER by ,JASON JONES JR(in the paint)",AUSTIN 13-8 (+5),,"GOOD JUMPER by ,JASON JONES JR(in the paint)",1
12:49,"GOOD 3PTR by RYAN,JONATHAN",16 (+8),,8,,HENDRIX 16-8 (+8),,"GOOD 3PTR by RYAN,JONATHAN",1
--,"ASSIST ASSIST by COMAN,SEAN",,,,,,,"ASSIST ASSIST by COMAN,SEAN",1
12:42,,,,,"TURNOVER  by ANTOSCA,CHASE",,,"TURNOVER  by ANTOSCA,CHASE",1
12:40,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
12:40,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
12:40,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
12:40,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
12:13,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by STRICKLAND,ROMAN",,,"REBOUND DEF by STRICKLAND,ROMAN",1
12:05,,,,,"MISS 3PTR by CLEAMONS,JAYLYN",,,"MISS 3PTR by CLEAMONS,JAYLYN",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
11:42,"GOOD JUMPER by EATON,JACK(in the paint)",18 (+10),,8,,HENDRIX 18-8 (+10),,"GOOD JUMPER by EATON,JACK(in the paint)",1
11:31,,,,,"TURNOVER  by STRICKLAND,ROMAN",,,"TURNOVER  by STRICKLAND,ROMAN",1
11:30,"STEAL  by DEITHLOFF,TYLER",,,,,,,"STEAL  by DEITHLOFF,TYLER",1
11:25,"GOOD LAYUP by DEITHLOFF,TYLER(fastbreak)(in the paint)",20 (+12),,8,,HENDRIX 20-8 (+12),,"GOOD LAYUP by DEITHLOFF,TYLER(fastbreak)(in the paint)",1
11:22,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,1
10:59,,,,,"TURNOVER  by RENNIE,JACKSON",,,"TURNOVER  by RENNIE,JACKSON",1
10:58,"STEAL  by RYAN,JONATHAN",,,,,,,"STEAL  by RYAN,JONATHAN",1
10:54,"GOOD 3PTR by MCMULLIN,COLTON",23 (+15),,8,,HENDRIX 23-8 (+15),,"GOOD 3PTR by MCMULLIN,COLTON",1
--,"ASSIST ASSIST by EATON,JACK",,,,,,,"ASSIST ASSIST by EATON,JACK",1
10:51,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,1
10:51,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
10:51,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
10:51,,,,,"SUB IN by GOODMAN,CHANSTON",,,"SUB IN by GOODMAN,CHANSTON",1
10:51,,,,,"SUB OUT by ANTOSCA,CHASE",,,"SUB OUT by ANTOSCA,CHASE",1
10:43,,,,,"MISS 3PTR by RENNIE,JACKSON",,,"MISS 3PTR by RENNIE,JACKSON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:20,"MISS JUMPER by EATON,JACK",,,,,,,"MISS JUMPER by EATON,JACK",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
10:14,,,,,"FOUL  by CLEAMONS,JAYLYN",,,"FOUL  by CLEAMONS,JAYLYN",1
10:14,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:14,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by DICK,TRISTAN",,,"REBOUND DEF by DICK,TRISTAN",1
10:14,,,,,"SUB IN by DICK,TRISTAN",,,"SUB IN by DICK,TRISTAN",1
10:14,,,,,"SUB OUT by ,JASON JONES JR",,,"SUB OUT by ,JASON JONES JR",1
09:56,,,,,"MISS JUMPER by CLEAMONS,JAYLYN",,,"MISS JUMPER by CLEAMONS,JAYLYN",1
--,,,,,"REBOUND OFF by STRICKLAND,ROMAN",,,"REBOUND OFF by STRICKLAND,ROMAN",1
09:52,,23 (+13),,10,"GOOD TIPIN by STRICKLAND,ROMAN(in the paint)",AUSTIN 23-10 (+13),,"GOOD TIPIN by STRICKLAND,ROMAN(in the paint)",1
09:42,"GOOD LAYUP by CONRAD,ALEX(in the paint)",25 (+15),,10,,HENDRIX 25-10 (+15),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
09:32,,,,,"MISS 3PTR by GOODMAN,CHANSTON",,,"MISS 3PTR by GOODMAN,CHANSTON",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
09:23,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",27 (+17),,10,,HENDRIX 27-10 (+17),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
09:21,,,,,"FOUL  by GOODMAN,CHANSTON",,,"FOUL  by GOODMAN,CHANSTON",1
09:21,"GOOD FT by RYAN,JONATHAN",28 (+18),,10,,HENDRIX 28-10 (+18),,"GOOD FT by RYAN,JONATHAN",1
09:21,,,,,"SUB IN by ANTOSCA,CHASE",,,"SUB IN by ANTOSCA,CHASE",1
09:21,,,,,"SUB OUT by RENNIE,JACKSON",,,"SUB OUT by RENNIE,JACKSON",1
09:04,,,,,"MISS 3PTR by CLEAMONS,JAYLYN",,,"MISS 3PTR by CLEAMONS,JAYLYN",1
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",1
08:58,,,,,"FOUL  by GOODMAN,CHANSTON",,,"FOUL  by GOODMAN,CHANSTON",1
08:32,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
08:23,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by STRICKLAND,ROMAN",,,"REBOUND DEF by STRICKLAND,ROMAN",1
08:20,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
08:20,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
08:20,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
08:20,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
08:20,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
08:20,,,,,"SUB IN by ,JASON JONES JR",,,"SUB IN by ,JASON JONES JR",1
08:20,,,,,"SUB OUT by CLEAMONS,JAYLYN",,,"SUB OUT by CLEAMONS,JAYLYN",1
08:10,,28 (+16),,12,"GOOD LAYUP by STRICKLAND,ROMAN(in the paint)",AUSTIN 28-12 (+16),,"GOOD LAYUP by STRICKLAND,ROMAN(in the paint)",1
--,,,,,"ASSIST ASSIST by ANTOSCA,CHASE",,,"ASSIST ASSIST by ANTOSCA,CHASE",1
08:10,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",1
08:10,,28 (+15),,13,"GOOD FT by STRICKLAND,ROMAN",AUSTIN 28-13 (+15),,"GOOD FT by STRICKLAND,ROMAN",1
07:59,"TURNOVER  by MCMULLIN,COLTON",,,,,,,"TURNOVER  by MCMULLIN,COLTON",1
07:50,,28 (+13),,15,"GOOD JUMPER by ANTOSCA,CHASE(in the paint)",AUSTIN 28-15 (+13),,"GOOD JUMPER by ANTOSCA,CHASE(in the paint)",1
07:26,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by ,JASON JONES JR",,,"REBOUND DEF by ,JASON JONES JR",1
07:18,,28 (+11),,17,"GOOD LAYUP by ANTOSCA,CHASE(in the paint)",AUSTIN 28-17 (+11),,"GOOD LAYUP by ANTOSCA,CHASE(in the paint)",1
06:51,"GOOD 3PTR by STANLEY,SETH",31 (+14),,17,,HENDRIX 31-17 (+14),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST ASSIST by PARKS,JACKSON",,,,,,,"ASSIST ASSIST by PARKS,JACKSON",1
06:27,,31 (+12),,19,"GOOD JUMPER by STRICKLAND,ROMAN",AUSTIN 31-19 (+12),,"GOOD JUMPER by STRICKLAND,ROMAN",1
06:20,,,,,"FOUL  by GOODMAN,CHANSTON",,,"FOUL  by GOODMAN,CHANSTON",1
06:20,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
06:20,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",1
06:20,,,,,"SUB IN by RENNIE,JACKSON",,,"SUB IN by RENNIE,JACKSON",1
06:20,,,,,"SUB OUT by GOODMAN,CHANSTON",,,"SUB OUT by GOODMAN,CHANSTON",1
05:55,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by STRICKLAND,ROMAN",,,"REBOUND DEF by STRICKLAND,ROMAN",1
05:49,,,,,"MISS 3PTR by STRICKLAND,ROMAN",,,"MISS 3PTR by STRICKLAND,ROMAN",1
--,,,,,"REBOUND OFF by ,JASON JONES JR",,,"REBOUND OFF by ,JASON JONES JR",1
05:45,,,,,"MISS LAYUP by ,JASON JONES JR",,,"MISS LAYUP by ,JASON JONES JR",1
--,,,,,"REBOUND OFF by ,JASON JONES JR",,,"REBOUND OFF by ,JASON JONES JR",1
05:41,,,,,"MISS 3PTR by RENNIE,JACKSON",,,"MISS 3PTR by RENNIE,JACKSON",1
--,,,,,"REBOUND OFF by DICK,TRISTAN",,,"REBOUND OFF by DICK,TRISTAN",1
05:37,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
05:37,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
05:37,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
05:24,,31 (+10),,21,"GOOD JUMPER by STRICKLAND,ROMAN",AUSTIN 31-21 (+10),,"GOOD JUMPER by STRICKLAND,ROMAN",1
04:54,"MISS LAYUP by FITCH,CARL",,,,,,,"MISS LAYUP by FITCH,CARL",1
--,,,,,"REBOUND DEF by ,JASON JONES JR",,,"REBOUND DEF by ,JASON JONES JR",1
04:45,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
04:45,,31 (+9),,22,"GOOD FT by DICK,TRISTAN",AUSTIN 31-22 (+9),,"GOOD FT by DICK,TRISTAN",1
04:45,,,,,"MISS FT by DICK,TRISTAN",,,"MISS FT by DICK,TRISTAN",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
04:45,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
04:45,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
04:45,,,,,"SUB IN by CLEAMONS,JAYLYN",,,"SUB IN by CLEAMONS,JAYLYN",1
04:45,,,,,"SUB OUT by ANTOSCA,CHASE",,,"SUB OUT by ANTOSCA,CHASE",1
04:31,"GOOD LAYUP by COMAN,SEAN(in the paint)",33 (+11),,22,,HENDRIX 33-22 (+11),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
--,"ASSIST ASSIST by DEITHLOFF,TYLER",,,,,,,"ASSIST ASSIST by DEITHLOFF,TYLER",1
04:14,,,,,"MISS JUMPER by STRICKLAND,ROMAN",,,"MISS JUMPER by STRICKLAND,ROMAN",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
04:00,,,,,"FOUL  by CLEAMONS,JAYLYN",,,"FOUL  by CLEAMONS,JAYLYN",1
04:00,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
04:00,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
04:00,,,,,"SUB IN by ANTOSCA,CHASE",,,"SUB IN by ANTOSCA,CHASE",1
04:00,,,,,"SUB OUT by DICK,TRISTAN",,,"SUB OUT by DICK,TRISTAN",1
03:56,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:56,"GOOD FT by STANLEY,SETH",34 (+12),,22,,HENDRIX 34-22 (+12),,"GOOD FT by STANLEY,SETH",1
03:56,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",1
--,,,,,"REBOUND DEF by CLEAMONS,JAYLYN",,,"REBOUND DEF by CLEAMONS,JAYLYN",1
03:44,,34 (+9),,25,"GOOD 3PTR by STRICKLAND,ROMAN",AUSTIN 34-25 (+9),,"GOOD 3PTR by STRICKLAND,ROMAN",1
--,,,,,"ASSIST ASSIST by ANTOSCA,CHASE",,,"ASSIST ASSIST by ANTOSCA,CHASE",1
03:29,"GOOD JUMPER by ,DARVIS RASBERRY JR",36 (+11),,25,,HENDRIX 36-25 (+11),,"GOOD JUMPER by ,DARVIS RASBERRY JR",1
03:17,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
03:17,,36 (+10),,26,"GOOD FT by CLEAMONS,JAYLYN",AUSTIN 36-26 (+10),,"GOOD FT by CLEAMONS,JAYLYN",1
03:17,,,,,"MISS FT by CLEAMONS,JAYLYN",,,"MISS FT by CLEAMONS,JAYLYN",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
02:56,"GOOD 3PTR by ,DARVIS RASBERRY JR",39 (+13),,26,,HENDRIX 39-26 (+13),,"GOOD 3PTR by ,DARVIS RASBERRY JR",1
--,"ASSIST ASSIST by RYAN,JONATHAN",,,,,,,"ASSIST ASSIST by RYAN,JONATHAN",1
02:43,,,,,"TURNOVER  by STRICKLAND,ROMAN",,,"TURNOVER  by STRICKLAND,ROMAN",1
02:43,"STEAL  by DEITHLOFF,TYLER",,,,,,,"STEAL  by DEITHLOFF,TYLER",1
02:25,"MISS LAYUP by RYAN,JONATHAN",,,,,,,"MISS LAYUP by RYAN,JONATHAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:24,,,,,"SUB IN by DICK,TRISTAN",,,"SUB IN by DICK,TRISTAN",1
02:24,,,,,"SUB OUT by RENNIE,JACKSON",,,"SUB OUT by RENNIE,JACKSON",1
02:17,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by CLEAMONS,JAYLYN",,,"REBOUND DEF by CLEAMONS,JAYLYN",1
02:09,,,,,"MISS JUMPER by CLEAMONS,JAYLYN",,,"MISS JUMPER by CLEAMONS,JAYLYN",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
01:59,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by ANTOSCA,CHASE",,,"REBOUND DEF by ANTOSCA,CHASE",1
01:49,,39 (+11),,28,"GOOD LAYUP by ANTOSCA,CHASE(in the paint)",AUSTIN 39-28 (+11),,"GOOD LAYUP by ANTOSCA,CHASE(in the paint)",1
01:29,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by ,JASON JONES JR",,,"REBOUND DEF by ,JASON JONES JR",1
01:19,,,,,"MISS 3PTR by ANTOSCA,CHASE",,,"MISS 3PTR by ANTOSCA,CHASE",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
00:58,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:55,,,,,"SUB IN by RENNIE,JACKSON",,,"SUB IN by RENNIE,JACKSON",1
00:55,,,,,"SUB OUT by CLEAMONS,JAYLYN",,,"SUB OUT by CLEAMONS,JAYLYN",1
00:54,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by RENNIE,JACKSON",,,"REBOUND DEF by RENNIE,JACKSON",1
00:44,,,,,"TURNOVER  by STRICKLAND,ROMAN",,,"TURNOVER  by STRICKLAND,ROMAN",1
00:44,"STEAL  by ,DARVIS RASBERRY JR",,,,,,,"STEAL  by ,DARVIS RASBERRY JR",1
00:34,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,1
00:34,,,,,"SUB IN by LAWRENCE,JOHNATHAN",,,"SUB IN by LAWRENCE,JOHNATHAN",1
00:34,,,,,"SUB OUT by RENNIE,JACKSON",,,"SUB OUT by RENNIE,JACKSON",1
00:26,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",1
