Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,WU,Game Score,Team Indicator,Play,Period
08:51,,,,,"STEAL  by BOETTCHER,LEVI",,,"STEAL  by BOETTCHER,LEVI",1
08:46,,,,,"MISS LAYUP by SHIPMAN-CURTI,JUSTIN",,,"MISS LAYUP by SHIPMAN-CURTI,JUSTIN",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
08:40,,,,,"FOUL  by JOHNSON,JAMES",,,"FOUL  by JOHNSON,JAMES",1
08:40,"GOOD FT by CONRAD,ALEX(fastbreak)",21 (+5),,16,,HENDRIX 21-16 (+5),,"GOOD FT by CONRAD,ALEX(fastbreak)",1
08:40,"GOOD FT by CONRAD,ALEX(fastbreak)",22 (+6),,16,,HENDRIX 22-16 (+6),,"GOOD FT by CONRAD,ALEX(fastbreak)",1
08:40,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
08:40,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
08:40,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
08:40,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
08:40,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",1
08:40,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
08:40,,,,,"SUB IN by YOUNG,RIDGE",,,"SUB IN by YOUNG,RIDGE",1
08:40,,,,,"SUB OUT by MARTIN,LANDON",,,"SUB OUT by MARTIN,LANDON",1
08:23,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
08:13,,22 (+4),,18,"GOOD LAYUP by SHIPMAN-CURTI,JUSTIN(in the paint)",WU 22-18 (+4),,"GOOD LAYUP by SHIPMAN-CURTI,JUSTIN(in the paint)",1
07:52,,,,,"FOUL  by SHIPMAN-CURTI,JUSTIN",,,"FOUL  by SHIPMAN-CURTI,JUSTIN",1
07:52,"GOOD FT by RYAN,JONATHAN",23 (+5),,18,,HENDRIX 23-18 (+5),,"GOOD FT by RYAN,JONATHAN",1
07:52,"GOOD FT by RYAN,JONATHAN",24 (+6),,18,,HENDRIX 24-18 (+6),,"GOOD FT by RYAN,JONATHAN",1
07:52,,,,,"SUB IN by MARTIN,LANDON",,,"SUB IN by MARTIN,LANDON",1
07:52,,,,,"SUB OUT by BOETTCHER,LEVI",,,"SUB OUT by BOETTCHER,LEVI",1
07:37,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",1
07:30,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
07:24,,,,,"MISS LAYUP by SHIPMAN-CURTI,JUSTIN",,,"MISS LAYUP by SHIPMAN-CURTI,JUSTIN",1
07:24,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
07:04,"GOOD LAYUP by CONRAD,ALEX(in the paint)",26 (+8),,18,,HENDRIX 26-18 (+8),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by RYAN,JONATHAN",,,,,,,"ASSIST  by RYAN,JONATHAN",1
07:04,,,,,"FOUL  by SHIPMAN-CURTI,JUSTIN",,,"FOUL  by SHIPMAN-CURTI,JUSTIN",1
07:04,"GOOD FT by CONRAD,ALEX",27 (+9),,18,,HENDRIX 27-18 (+9),,"GOOD FT by CONRAD,ALEX",1
07:04,,,,,"SUB IN by BOETTCHER,LEVI",,,"SUB IN by BOETTCHER,LEVI",1
07:04,,,,,"SUB OUT by SHIPMAN-CURTI,JUSTIN",,,"SUB OUT by SHIPMAN-CURTI,JUSTIN",1
06:56,,27 (+6),,21,"GOOD 3PTR by JOHNSON,JAMES",WU 27-21 (+6),,"GOOD 3PTR by JOHNSON,JAMES",1
06:33,"GOOD JUMPER by CONRAD,ALEX(in the paint)",29 (+8),,21,,HENDRIX 29-21 (+8),,"GOOD JUMPER by CONRAD,ALEX(in the paint)",1
06:23,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",1
06:23,,29 (+7),,22,"GOOD FT by ALI-SHAKIR,RASHAAD",WU 29-22 (+7),,"GOOD FT by ALI-SHAKIR,RASHAAD",1
06:23,,29 (+6),,23,"GOOD FT by ALI-SHAKIR,RASHAAD",WU 29-23 (+6),,"GOOD FT by ALI-SHAKIR,RASHAAD",1
06:23,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
06:23,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
06:23,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
06:23,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
06:12,"GOOD JUMPER by PARKS,JACKSON(in the paint)",31 (+8),,23,,HENDRIX 31-23 (+8),,"GOOD JUMPER by PARKS,JACKSON(in the paint)",1
06:01,,31 (+6),,25,"GOOD JUMPER by JOHNSON,JAMES(in the paint)",WU 31-25 (+6),,"GOOD JUMPER by JOHNSON,JAMES(in the paint)",1
05:46,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
05:46,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
05:46,,,,,"SUB IN by GOUGH,HARRISON",,,"SUB IN by GOUGH,HARRISON",1
05:46,,,,,"SUB OUT by JOHNSON,JAMES",,,"SUB OUT by JOHNSON,JAMES",1
05:25,,,,,"MISS 3PTR by ALI-SHAKIR,RASHAAD",,,"MISS 3PTR by ALI-SHAKIR,RASHAAD",1
05:25,"BLOCK  by PARKS,JACKSON",,,,,,,"BLOCK  by PARKS,JACKSON",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
04:59,"GOOD JUMPER by STANLEY,SETH",33 (+8),,25,,HENDRIX 33-25 (+8),,"GOOD JUMPER by STANLEY,SETH",1
04:44,"FOUL  by MCMULLIN,COLTON",,,,,,,"FOUL  by MCMULLIN,COLTON",1
04:44,,,,,"MISS FT by HILL,BRICE",,,"MISS FT by HILL,BRICE",1
04:44,,,,,"SUB IN by HILL,BRICE",,,"SUB IN by HILL,BRICE",1
04:44,,,,,"SUB OUT by ALI-SHAKIR,RASHAAD",,,"SUB OUT by ALI-SHAKIR,RASHAAD",1
--,,,,,"REBOUND OFF by BOETTCHER,LEVI",,,"REBOUND OFF by BOETTCHER,LEVI",1
04:41,,33 (+6),,27,"GOOD LAYUP by BOETTCHER,LEVI(in the paint)",WU 33-27 (+6),,"GOOD LAYUP by BOETTCHER,LEVI(in the paint)",1
04:41,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
04:41,,33 (+5),,28,"GOOD FT by BOETTCHER,LEVI",WU 33-28 (+5),,"GOOD FT by BOETTCHER,LEVI",1
04:41,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
04:41,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
04:28,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND DEF by MARTIN,LANDON",,,"REBOUND DEF by MARTIN,LANDON",1
04:21,,33 (+3),,30,"GOOD JUMPER by YOUNG,RIDGE(fastbreak)(in the paint)",WU 33-30 (+3),,"GOOD JUMPER by YOUNG,RIDGE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MARTIN,LANDON",,,"ASSIST  by MARTIN,LANDON",1
03:55,,,,,"FOUL  by GOUGH,HARRISON",,,"FOUL  by GOUGH,HARRISON",1
03:55,"GOOD FT by CONRAD,ALEX",34 (+4),,30,,HENDRIX 34-30 (+4),,"GOOD FT by CONRAD,ALEX",1
03:55,"MISS FT by CONRAD,ALEX",,,,,,,"MISS FT by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by GOUGH,HARRISON",,,"REBOUND DEF by GOUGH,HARRISON",1
03:39,,,,,"MISS JUMPER by MARTIN,LANDON",,,"MISS JUMPER by MARTIN,LANDON",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
03:24,"GOOD 3PTR by STANLEY,SETH",37 (+7),,30,,HENDRIX 37-30 (+7),,"GOOD 3PTR by STANLEY,SETH",1
03:10,,,,,"MISS JUMPER by HILL,BRICE",,,"MISS JUMPER by HILL,BRICE",1
--,"REBOUND DEF by PARKS,JACKSON",,,,,,,"REBOUND DEF by PARKS,JACKSON",1
02:54,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND DEF by HILL,BRICE",,,"REBOUND DEF by HILL,BRICE",1
02:42,,,,,"MISS 3PTR by HILL,BRICE",,,"MISS 3PTR by HILL,BRICE",1
--,"REBOUND DEF by PARKS,JACKSON",,,,,,,"REBOUND DEF by PARKS,JACKSON",1
02:15,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by MARTIN,LANDON",,,"REBOUND DEF by MARTIN,LANDON",1
01:59,,37 (+4),,33,"GOOD 3PTR by YOUNG,RIDGE",WU 37-33 (+4),,"GOOD 3PTR by YOUNG,RIDGE",1
--,,,,,"ASSIST  by MARTIN,LANDON",,,"ASSIST  by MARTIN,LANDON",1
01:28,"GOOD JUMPER by PARKS,JACKSON(in the paint)",39 (+6),,33,,HENDRIX 39-33 (+6),,"GOOD JUMPER by PARKS,JACKSON(in the paint)",1
01:19,,,,,"FOUL  by MARTIN,LANDON",,,"FOUL  by MARTIN,LANDON",1
01:19,,,,,"TURNOVER  by MARTIN,LANDON",,,"TURNOVER  by MARTIN,LANDON",1
01:19,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
01:19,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
01:19,,,,,"SUB IN by JOHNSON,JAMES",,,"SUB IN by JOHNSON,JAMES",1
01:19,,,,,"SUB OUT by MARTIN,LANDON",,,"SUB OUT by MARTIN,LANDON",1
00:59,"GOOD JUMPER by STANLEY,SETH(in the paint)",41 (+8),,33,,HENDRIX 41-33 (+8),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",1
00:48,,,,,"MISS 3PTR by JOHNSON,JAMES",,,"MISS 3PTR by JOHNSON,JAMES",1
--,,,,,"REBOUND OFF by GOUGH,HARRISON",,,"REBOUND OFF by GOUGH,HARRISON",1
00:43,,41 (+6),,35,"GOOD LAYUP by GOUGH,HARRISON(in the paint)",WU 41-35 (+6),,"GOOD LAYUP by GOUGH,HARRISON(in the paint)",1
00:25,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
00:25,,,,,"STEAL  by YOUNG,RIDGE",,,"STEAL  by YOUNG,RIDGE",1
00:03,,,,,"MISS JUMPER by YOUNG,RIDGE",,,"MISS JUMPER by YOUNG,RIDGE",1
--,,,,,"REBOUND OFF by JOHNSON,JAMES",,,"REBOUND OFF by JOHNSON,JAMES",1
00:02,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",1
00:02,,,,,"MISS FT by JOHNSON,JAMES",,,"MISS FT by JOHNSON,JAMES",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:02,,41 (+5),,36,"GOOD FT by JOHNSON,JAMES",WU 41-36 (+5),,"GOOD FT by JOHNSON,JAMES",1
00:02,,,,,"SUB IN by ALI-SHAKIR,RASHAAD",,,"SUB IN by ALI-SHAKIR,RASHAAD",1
00:02,,,,,"SUB OUT by HILL,BRICE",,,"SUB OUT by HILL,BRICE",1
19:49,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by YOUNG,RIDGE",,,"REBOUND DEF by YOUNG,RIDGE",2
19:42,,41 (+2),,39,"GOOD 3PTR by MARTIN,LANDON",WU 41-39 (+2),,"GOOD 3PTR by MARTIN,LANDON",2
--,,,,,"ASSIST  by YOUNG,RIDGE",,,"ASSIST  by YOUNG,RIDGE",2
19:15,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND DEF by YOUNG,RIDGE",,,"REBOUND DEF by YOUNG,RIDGE",2
18:55,,,,,"MISS 3PTR by ALI-SHAKIR,RASHAAD",,,"MISS 3PTR by ALI-SHAKIR,RASHAAD",2
18:55,"BLOCK  by STANLEY,SETH",,,,,,,"BLOCK  by STANLEY,SETH",2
--,,,,,"REBOUND OFF by YOUNG,RIDGE",,,"REBOUND OFF by YOUNG,RIDGE",2
18:46,,41,,41,"GOOD LAYUP by YOUNG,RIDGE(in the paint)",WU 41-41 (0),,"GOOD LAYUP by YOUNG,RIDGE(in the paint)",2
18:40,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",2
18:26,,,,,"MISS 3PTR by MARTIN,LANDON",,,"MISS 3PTR by MARTIN,LANDON",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
18:07,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by JOHNSON,JAMES",,,"REBOUND DEF by JOHNSON,JAMES",2
17:55,,,,,"MISS JUMPER by JOHNSON,JAMES",,,"MISS JUMPER by JOHNSON,JAMES",2
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",2
17:49,,,,,"FOUL  by ALI-SHAKIR,RASHAAD",,,"FOUL  by ALI-SHAKIR,RASHAAD",2
17:47,"GOOD 3PTR by STANLEY,SETH",44 (+3),,41,,HENDRIX 44-41 (+3),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",2
