Time Remaining,HOPE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
16:12,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:08,"SUB IN by STEEG,SAM VER",,,,,,,"SUB IN by STEEG,SAM VER",1
16:08,"SUB OUT by HEDRICK,NOAH",,,,,,,"SUB OUT by HEDRICK,NOAH",1
15:54,"MISS JUMPER by LILJA,JOSHUA",,,,,,,"MISS JUMPER by LILJA,JOSHUA",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
15:47,"FOUL  by BIKUS,JEFF",,,,,,,"FOUL  by BIKUS,JEFF",1
15:47,,7,,7,"GOOD FT by CONRAD,ALEX",HENDRIX 7-7 (0),,"GOOD FT by CONRAD,ALEX",1
15:47,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by BIKUS,JEFF",,,,,,,"REBOUND DEF by BIKUS,JEFF",1
15:39,"MISS 3PTR by LILJA,JOSHUA",,,,,,,"MISS 3PTR by LILJA,JOSHUA",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
15:30,,7,,9 (+2),"GOOD JUMPER by PARKS,JACKSON(in the paint)",HENDRIX 7-9 (+2),,"GOOD JUMPER by PARKS,JACKSON(in the paint)",1
15:23,"TURNOVER  by STEEG,SAM VER",,,,,,,"TURNOVER  by STEEG,SAM VER",1
15:23,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",1
15:18,,7,,11 (+4),"GOOD DUNK by FITCH,CARL(fastbreak)(in the paint)",HENDRIX 7-11 (+4),,"GOOD DUNK by FITCH,CARL(fastbreak)(in the paint)",1
15:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:52,"MISS LAYUP by CHEANEY,DEVIN",,,,,,,"MISS LAYUP by CHEANEY,DEVIN",1
14:52,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
14:52,"SUB IN by CHEANEY,DEVIN",,,,,,,"SUB IN by CHEANEY,DEVIN",1
14:52,"SUB OUT by BIKUS,JEFF",,,,,,,"SUB OUT by BIKUS,JEFF",1
14:38,"FOUL  by HALBERT,JAXON",,,,,,,"FOUL  by HALBERT,JAXON",1
14:38,"TURNOVER  by HALBERT,JAXON",,,,,,,"TURNOVER  by HALBERT,JAXON",1
14:38,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
14:38,"SUB IN by WIEGERINK,TANNER",,,,,,,"SUB IN by WIEGERINK,TANNER",1
14:38,"SUB OUT by HALBERT,JAXON",,,,,,,"SUB OUT by HALBERT,JAXON",1
14:21,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by GEORGE,TYLER",,,,,,,"REBOUND DEF by GEORGE,TYLER",1
14:00,"GOOD JUMPER by LILJA,JOSHUA(in the paint)",9,,11 (+2),,HOPE 9-11 (+2),,"GOOD JUMPER by LILJA,JOSHUA(in the paint)",1
13:41,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",1
13:41,"SUB IN by SWINEHART,BRADY",,,,,,,"SUB IN by SWINEHART,BRADY",1
13:41,"SUB OUT by STEEG,SAM VER",,,,,,,"SUB OUT by STEEG,SAM VER",1
13:41,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
13:41,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
13:41,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
13:41,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
13:30,"TURNOVER  by WIEGERINK,TANNER",,,,,,,"TURNOVER  by WIEGERINK,TANNER",1
13:10,,9,,13 (+4),"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",HENDRIX 9-13 (+4),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
12:53,"GOOD 3PTR by LILJA,JOSHUA",12,,13 (+1),,HOPE 12-13 (+1),,"GOOD 3PTR by LILJA,JOSHUA",1
--,"ASSIST  by SWINEHART,BRADY",,,,,,,"ASSIST  by SWINEHART,BRADY",1
12:37,"SUB IN by HEDRICK,NOAH",,,,,,,"SUB IN by HEDRICK,NOAH",1
12:37,"SUB OUT by GEORGE,TYLER",,,,,,,"SUB OUT by GEORGE,TYLER",1
12:37,,,,,"SUB IN by ,DARVIS RASBERRY JR",,,"SUB IN by ,DARVIS RASBERRY JR",1
12:37,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
12:20,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
12:10,"MISS JUMPER by HEDRICK,NOAH",,,,,,,"MISS JUMPER by HEDRICK,NOAH",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
11:58,,12,,16 (+4),"GOOD 3PTR by COMAN,SEAN",HENDRIX 12-16 (+4),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
11:50,"MISS 3PTR by HEDRICK,NOAH",,,,,,,"MISS 3PTR by HEDRICK,NOAH",1
--,"REBOUND OFF by LILJA,JOSHUA",,,,,,,"REBOUND OFF by LILJA,JOSHUA",1
11:45,"GOOD LAYUP by LILJA,JOSHUA(in the paint)",14,,16 (+2),,HOPE 14-16 (+2),,"GOOD LAYUP by LILJA,JOSHUA(in the paint)",1
11:30,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:27,,,,,"FOUL  by ,DARVIS RASBERRY JR",,,"FOUL  by ,DARVIS RASBERRY JR",1
11:27,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",,,"TURNOVER  by ,DARVIS RASBERRY JR",1
11:27,"SUB IN by BIKUS,JEFF",,,,,,,"SUB IN by BIKUS,JEFF",1
11:27,"SUB IN by GEORGE,TYLER",,,,,,,"SUB IN by GEORGE,TYLER",1
11:27,"SUB OUT by WIEGERINK,TANNER",,,,,,,"SUB OUT by WIEGERINK,TANNER",1
11:27,"SUB OUT by LILJA,JOSHUA",,,,,,,"SUB OUT by LILJA,JOSHUA",1
11:27,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
11:27,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
11:27,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
11:27,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
11:26,,,,,"FOUL  by RYAN,JONATHAN",,,"FOUL  by RYAN,JONATHAN",1
11:19,"MISS LAYUP by GEORGE,TYLER",,,,,,,"MISS LAYUP by GEORGE,TYLER",1
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",1
11:19,"FOUL  by GEORGE,TYLER",,,,,,,"FOUL  by GEORGE,TYLER",1
10:58,,,,,"FOUL  by RYAN,JONATHAN",,,"FOUL  by RYAN,JONATHAN",1
10:58,,,,,"TURNOVER  by RYAN,JONATHAN",,,"TURNOVER  by RYAN,JONATHAN",1
10:58,"SUB IN by STEEG,SAM VER",,,,,,,"SUB IN by STEEG,SAM VER",1
10:58,"SUB OUT by SWINEHART,BRADY",,,,,,,"SUB OUT by SWINEHART,BRADY",1
10:58,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
10:58,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
10:44,"MISS 3PTR by STEEG,SAM VER",,,,,,,"MISS 3PTR by STEEG,SAM VER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:42,"FOUL  by CHEANEY,DEVIN",,,,,,,"FOUL  by CHEANEY,DEVIN",1
10:42,"TURNOVER  by CHEANEY,DEVIN",,,,,,,"TURNOVER  by CHEANEY,DEVIN",1
10:27,,14,,18 (+4),"GOOD JUMPER by ,DARVIS RASBERRY JR",HENDRIX 14-18 (+4),,"GOOD JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
10:10,"GOOD JUMPER by BIKUS,JEFF(in the paint)",16,,18 (+2),,HOPE 16-18 (+2),,"GOOD JUMPER by BIKUS,JEFF(in the paint)",1
09:41,"SUB IN by MCKENZIE,TJ",,,,,,,"SUB IN by MCKENZIE,TJ",1
09:41,"SUB OUT by CHEANEY,DEVIN",,,,,,,"SUB OUT by CHEANEY,DEVIN",1
09:34,,,,,"MISS LAYUP by ,DARVIS RASBERRY JR",,,"MISS LAYUP by ,DARVIS RASBERRY JR",1
--,"REBOUND DEF by MCKENZIE,TJ",,,,,,,"REBOUND DEF by MCKENZIE,TJ",1
09:27,"GOOD 3PTR by BIKUS,JEFF",19 (+1),,18,,HOPE 19-18 (-1),,"GOOD 3PTR by BIKUS,JEFF",1
--,"ASSIST  by MCKENZIE,TJ",,,,,,,"ASSIST  by MCKENZIE,TJ",1
09:07,,19,,20 (+1),"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",HENDRIX 19-20 (+1),,"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",1
--,,,,,"ASSIST  by MCMULLIN,COLTON",,,"ASSIST  by MCMULLIN,COLTON",1
08:49,,,,,"FOUL  by MCMULLIN,COLTON",,,"FOUL  by MCMULLIN,COLTON",1
08:49,"GOOD FT by GEORGE,TYLER",20,,20,,HOPE 20-20 (0),,"GOOD FT by GEORGE,TYLER",1
08:49,"GOOD FT by GEORGE,TYLER",21 (+1),,20,,HOPE 21-20 (-1),,"GOOD FT by GEORGE,TYLER",1
08:34,,21,,22 (+1),"GOOD LAYUP by PARKS,JACKSON(in the paint)",HENDRIX 21-22 (+1),,"GOOD LAYUP by PARKS,JACKSON(in the paint)",1
08:16,"MISS JUMPER by BIKUS,JEFF",,,,,,,"MISS JUMPER by BIKUS,JEFF",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
08:08,"FOUL  by STEEG,SAM VER",,,,,,,"FOUL  by STEEG,SAM VER",1
08:08,,21,,23 (+2),"GOOD FT by EATON,JACK(fastbreak)",HENDRIX 21-23 (+2),,"GOOD FT by EATON,JACK(fastbreak)",1
08:08,"SUB IN by WIEGERINK,TANNER",,,,,,,"SUB IN by WIEGERINK,TANNER",1
08:08,"SUB IN by LILJA,JOSHUA",,,,,,,"SUB IN by LILJA,JOSHUA",1
08:08,"SUB OUT by HEDRICK,NOAH",,,,,,,"SUB OUT by HEDRICK,NOAH",1
08:08,"SUB OUT by GEORGE,TYLER",,,,,,,"SUB OUT by GEORGE,TYLER",1
08:08,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
08:08,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
08:08,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
08:08,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
08:08,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
08:08,,,,,"SUB OUT by ,DARVIS RASBERRY JR",,,"SUB OUT by ,DARVIS RASBERRY JR",1
07:57,,21,,24 (+3),"GOOD FT by EATON,JACK(fastbreak)",HENDRIX 21-24 (+3),,"GOOD FT by EATON,JACK(fastbreak)",1
07:48,"GOOD 3PTR by STEEG,SAM VER",24,,24,,HOPE 24-24 (0),,"GOOD 3PTR by STEEG,SAM VER",1
07:32,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
07:32,"STEAL  by BIKUS,JEFF",,,,,,,"STEAL  by BIKUS,JEFF",1
07:25,"MISS 3PTR by BIKUS,JEFF",,,,,,,"MISS 3PTR by BIKUS,JEFF",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
06:55,"FOUL  by BIKUS,JEFF",,,,,,,"FOUL  by BIKUS,JEFF",1
06:55,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:55,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by LILJA,JOSHUA",,,,,,,"REBOUND DEF by LILJA,JOSHUA",1
06:55,"SUB IN by GEORGE,TYLER",,,,,,,"SUB IN by GEORGE,TYLER",1
06:55,"SUB IN by CHEANEY,DEVIN",,,,,,,"SUB IN by CHEANEY,DEVIN",1
06:55,"SUB OUT by BIKUS,JEFF",,,,,,,"SUB OUT by BIKUS,JEFF",1
06:55,"SUB OUT by MCKENZIE,TJ",,,,,,,"SUB OUT by MCKENZIE,TJ",1
06:55,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
06:55,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
06:35,"TURNOVER  by CHEANEY,DEVIN",,,,,,,"TURNOVER  by CHEANEY,DEVIN",1
06:35,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",1
06:27,,,,,"FOUL  by MCMULLIN,COLTON",,,"FOUL  by MCMULLIN,COLTON",1
06:27,,,,,"TURNOVER  by MCMULLIN,COLTON",,,"TURNOVER  by MCMULLIN,COLTON",1
06:27,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
06:27,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
06:06,"MISS 3PTR by LILJA,JOSHUA",,,,,,,"MISS 3PTR by LILJA,JOSHUA",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
05:57,,24,,27 (+3),"GOOD 3PTR by STANLEY,SETH",HENDRIX 24-27 (+3),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
05:36,"GOOD JUMPER by STEEG,SAM VER",26,,27 (+1),,HOPE 26-27 (+1),,"GOOD JUMPER by STEEG,SAM VER",1
05:23,,,,,"MISS LAYUP by PARKS,JACKSON",,,"MISS LAYUP by PARKS,JACKSON",1
--,"REBOUND DEF by LILJA,JOSHUA",,,,,,,"REBOUND DEF by LILJA,JOSHUA",1
05:08,"MISS 3PTR by GEORGE,TYLER",,,,,,,"MISS 3PTR by GEORGE,TYLER",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
04:58,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",1
04:58,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
04:58,"SUB IN by NOCEK,ROBERT",,,,,,,"SUB IN by NOCEK,ROBERT",1
04:58,"SUB IN by SWINEHART,BRADY",,,,,,,"SUB IN by SWINEHART,BRADY",1
04:58,"SUB IN by HEDRICK,NOAH",,,,,,,"SUB IN by HEDRICK,NOAH",1
04:58,"SUB OUT by WIEGERINK,TANNER",,,,,,,"SUB OUT by WIEGERINK,TANNER",1
04:58,"SUB OUT by STEEG,SAM VER",,,,,,,"SUB OUT by STEEG,SAM VER",1
04:58,"SUB OUT by CHEANEY,DEVIN",,,,,,,"SUB OUT by CHEANEY,DEVIN",1
04:31,"MISS 3PTR by NOCEK,ROBERT",,,,,,,"MISS 3PTR by NOCEK,ROBERT",1
--,"REBOUND OFF by SWINEHART,BRADY",,,,,,,"REBOUND OFF by SWINEHART,BRADY",1
04:26,"MISS JUMPER by SWINEHART,BRADY",,,,,,,"MISS JUMPER by SWINEHART,BRADY",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
04:18,"FOUL  by NOCEK,ROBERT",,,,,,,"FOUL  by NOCEK,ROBERT",1
04:18,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by NOCEK,ROBERT",,,,,,,"REBOUND DEF by NOCEK,ROBERT",1
04:18,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
04:18,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
04:08,"MISS 3PTR by HEDRICK,NOAH",,,,,,,"MISS 3PTR by HEDRICK,NOAH",1
--,"REBOUND OFF by HEDRICK,NOAH",,,,,,,"REBOUND OFF by HEDRICK,NOAH",1
04:02,"GOOD LAYUP by HEDRICK,NOAH(in the paint)",28 (+1),,27,,HOPE 28-27 (-1),,"GOOD LAYUP by HEDRICK,NOAH(in the paint)",1
03:45,,28,,29 (+1),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 28-29 (+1),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
03:21,"MISS JUMPER by SWINEHART,BRADY",,,,,,,"MISS JUMPER by SWINEHART,BRADY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:54,,28,,32 (+4),"GOOD 3PTR by STANLEY,SETH",HENDRIX 28-32 (+4),,"GOOD 3PTR by STANLEY,SETH",1
02:35,"GOOD JUMPER by HEDRICK,NOAH",30,,32 (+2),,HOPE 30-32 (+2),,"GOOD JUMPER by HEDRICK,NOAH",1
02:08,,30,,35 (+5),"GOOD 3PTR by MCMULLIN,COLTON",HENDRIX 30-35 (+5),,"GOOD 3PTR by MCMULLIN,COLTON",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
01:54,"GOOD JUMPER by HEDRICK,NOAH(in the paint)",32,,35 (+3),,HOPE 32-35 (+3),,"GOOD JUMPER by HEDRICK,NOAH(in the paint)",1
01:39,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:35,"SUB IN by CHEANEY,DEVIN",,,,,,,"SUB IN by CHEANEY,DEVIN",1
01:35,"SUB IN by STEEG,SAM VER",,,,,,,"SUB IN by STEEG,SAM VER",1
01:35,"SUB IN by WIEGERINK,TANNER",,,,,,,"SUB IN by WIEGERINK,TANNER",1
01:35,"SUB OUT by NOCEK,ROBERT",,,,,,,"SUB OUT by NOCEK,ROBERT",1
01:35,"SUB OUT by LILJA,JOSHUA",,,,,,,"SUB OUT by LILJA,JOSHUA",1
01:35,"SUB OUT by SWINEHART,BRADY",,,,,,,"SUB OUT by SWINEHART,BRADY",1
01:17,"MISS 3PTR by HEDRICK,NOAH",,,,,,,"MISS 3PTR by HEDRICK,NOAH",1
--,"REBOUND OFF by CHEANEY,DEVIN",,,,,,,"REBOUND OFF by CHEANEY,DEVIN",1
01:09,"MISS LAYUP by GEORGE,TYLER",,,,,,,"MISS LAYUP by GEORGE,TYLER",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
01:07,"FOUL  by WIEGERINK,TANNER",,,,,,,"FOUL  by WIEGERINK,TANNER",1
01:07,,32,,36 (+4),"GOOD FT by COMAN,SEAN(fastbreak)",HENDRIX 32-36 (+4),,"GOOD FT by COMAN,SEAN(fastbreak)",1
01:07,,32,,37 (+5),"GOOD FT by COMAN,SEAN(fastbreak)",HENDRIX 32-37 (+5),,"GOOD FT by COMAN,SEAN(fastbreak)",1
00:47,"MISS 3PTR by HEDRICK,NOAH",,,,,,,"MISS 3PTR by HEDRICK,NOAH",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
00:28,,,,,"MISS JUMPER by FITCH,CARL",,,"MISS JUMPER by FITCH,CARL",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
00:19,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND DEF by WIEGERINK,TANNER",,,,,,,"REBOUND DEF by WIEGERINK,TANNER",1
19:48,"GOOD JUMPER by STEEG,SAM VER",34,,37 (+3),,HOPE 34-37 (+3),,"GOOD JUMPER by STEEG,SAM VER",2
19:22,"FOUL  by LILJA,JOSHUA",,,,,,,"FOUL  by LILJA,JOSHUA",2
19:08,,34,,39 (+5),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 34-39 (+5),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",2
19:08,"FOUL  by LILJA,JOSHUA",,,,,,,"FOUL  by LILJA,JOSHUA",2
19:08,,34,,40 (+6),"GOOD FT by STANLEY,SETH",HENDRIX 34-40 (+6),,"GOOD FT by STANLEY,SETH",2
18:42,"GOOD JUMPER by STEEG,SAM VER(in the paint)",36,,40 (+4),,HOPE 36-40 (+4),,"GOOD JUMPER by STEEG,SAM VER(in the paint)",2
18:16,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",2
18:16,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",2
18:14,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by BIKUS,JEFF",,,,,,,"REBOUND DEF by BIKUS,JEFF",2
18:07,,,,,"FOUL  by RYAN,JONATHAN",,,"FOUL  by RYAN,JONATHAN",2
17:55,"MISS JUMPER by BIKUS,JEFF",,,,,,,"MISS JUMPER by BIKUS,JEFF",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
17:44,,,,,"MISS LAYUP by RYAN,JONATHAN",,,"MISS LAYUP by RYAN,JONATHAN",2
17:44,"BLOCK  by WIEGERINK,TANNER",,,,,,,"BLOCK  by WIEGERINK,TANNER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:39,,36,,43 (+7),"GOOD 3PTR by STANLEY,SETH",HENDRIX 36-43 (+7),,"GOOD 3PTR by STANLEY,SETH",2
17:28,"MISS 3PTR by GEORGE,TYLER",,,,,,,"MISS 3PTR by GEORGE,TYLER",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
17:09,"FOUL  by LILJA,JOSHUA",,,,,,,"FOUL  by LILJA,JOSHUA",2
17:09,"SUB IN by HEDRICK,NOAH",,,,,,,"SUB IN by HEDRICK,NOAH",2
17:09,"SUB IN by HALBERT,JAXON",,,,,,,"SUB IN by HALBERT,JAXON",2
17:09,"SUB OUT by WIEGERINK,TANNER",,,,,,,"SUB OUT by WIEGERINK,TANNER",2
17:09,"SUB OUT by LILJA,JOSHUA",,,,,,,"SUB OUT by LILJA,JOSHUA",2
17:07,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",2
--,,,,,"REBOUND OFF by RYAN,JONATHAN",,,"REBOUND OFF by RYAN,JONATHAN",2
17:03,,,,,"MISS LAYUP by RYAN,JONATHAN",,,"MISS LAYUP by RYAN,JONATHAN",2
--,"REBOUND DEF by BIKUS,JEFF",,,,,,,"REBOUND DEF by BIKUS,JEFF",2
