Time Remaining,DALLAS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
12:54,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
12:54,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
12:54,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
12:54,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
12:54,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
12:54,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
12:54,,,,,"SUB OUT by RASBERRY JR.,DARVIS",,,"SUB OUT by RASBERRY JR.,DARVIS",1
12:49,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",1
12:49,"GOOD FT by HYDE,CAMERAN",11,,18 (+7),,DALLAS 11-18 (+7),,"GOOD FT by HYDE,CAMERAN",1
12:49,"GOOD FT by HYDE,CAMERAN",12,,18 (+6),,DALLAS 12-18 (+6),,"GOOD FT by HYDE,CAMERAN",1
12:49,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
12:49,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
12:18,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
12:03,"TURNOVER  by TOUSSAINT,LETRELL",,,,,,,"TURNOVER  by TOUSSAINT,LETRELL",1
11:45,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
11:45,"BLOCK  by TOUSSAINT,LETRELL",,,,,,,"BLOCK  by TOUSSAINT,LETRELL",1
--,"REBOUND DEF by TOUSSAINT,LETRELL",,,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",1
11:28,"MISS LAYUP by HYDE,CAMERAN",,,,,,,"MISS LAYUP by HYDE,CAMERAN",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
11:20,,,,,"MISS LAYUP by RYAN,JONATHAN",,,"MISS LAYUP by RYAN,JONATHAN",1
--,"REBOUND DEF by TOUSSAINT,LETRELL",,,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",1
11:13,"MISS LAYUP by LOVE,JAI",,,,,,,"MISS LAYUP by LOVE,JAI",1
11:13,,,,,"BLOCK  by RYAN,JONATHAN",,,"BLOCK  by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
11:03,,12,,20 (+8),"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",HENDRIX 12-20 (+8),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",1
--,,,,,"ASSIST  by RYAN,JONATHAN",,,"ASSIST  by RYAN,JONATHAN",1
10:34,"MISS JUMPER by HYDE,CAMERAN",,,,,,,"MISS JUMPER by HYDE,CAMERAN",1
--,"REBOUND OFF by HYDE,CAMERAN",,,,,,,"REBOUND OFF by HYDE,CAMERAN",1
10:29,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
10:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
10:29,"GOOD FT by HYDE,CAMERAN",13,,20 (+7),,DALLAS 13-20 (+7),,"GOOD FT by HYDE,CAMERAN",1
10:29,"GOOD FT by HYDE,CAMERAN",14,,20 (+6),,DALLAS 14-20 (+6),,"GOOD FT by HYDE,CAMERAN",1
10:29,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
10:29,"GOOD LAYUP by JUAREZ,MARCUS(in the paint)",16,,20 (+4),,DALLAS 16-20 (+4),,"GOOD LAYUP by JUAREZ,MARCUS(in the paint)",1
10:29,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
10:29,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
10:29,,,,,"SUB IN by WEAKLEY,CARTER",,,"SUB IN by WEAKLEY,CARTER",1
10:29,,,,,"SUB IN by WHITE,EVAN",,,"SUB IN by WHITE,EVAN",1
10:29,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
10:29,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
10:29,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
10:29,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
10:22,,16,,22 (+6),"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",HENDRIX 16-22 (+6),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
10:16,"TURNOVER  by HYDE,CAMERAN",,,,,,,"TURNOVER  by HYDE,CAMERAN",1
10:15,,,,,"STEAL  by MCMULLIN,COLTON",,,"STEAL  by MCMULLIN,COLTON",1
09:13,"FOUL  by CHRISTIFANO JR.,LOUI",,,,,,,"FOUL  by CHRISTIFANO JR.,LOUI",1
09:13,,16,,23 (+7),"GOOD FT by COMAN,SEAN",HENDRIX 16-23 (+7),,"GOOD FT by COMAN,SEAN",1
09:13,,16,,24 (+8),"GOOD FT by COMAN,SEAN",HENDRIX 16-24 (+8),,"GOOD FT by COMAN,SEAN",1
09:13,"SUB IN by BOYLE,JACK",,,,,,,"SUB IN by BOYLE,JACK",1
09:13,"SUB IN by HOLLOWAY,MATT",,,,,,,"SUB IN by HOLLOWAY,MATT",1
09:13,"SUB OUT by LOVE,JAI",,,,,,,"SUB OUT by LOVE,JAI",1
09:13,"SUB OUT by TOUSSAINT,LETRELL",,,,,,,"SUB OUT by TOUSSAINT,LETRELL",1
08:56,"MISS LAYUP by BOYLE,JACK",,,,,,,"MISS LAYUP by BOYLE,JACK",1
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",1
08:46,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
08:45,"STEAL  by BOYLE,JACK",,,,,,,"STEAL  by BOYLE,JACK",1
08:42,"MISS LAYUP by BOYLE,JACK",,,,,,,"MISS LAYUP by BOYLE,JACK",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
08:34,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
08:30,,,,,"MISS JUMPER by CONRAD,ALEX",,,"MISS JUMPER by CONRAD,ALEX",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
08:27,,16,,26 (+10),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 16-26 (+10),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
08:11,"GOOD JUMPER by BOYLE,JACK(in the paint)",18,,26 (+8),,DALLAS 18-26 (+8),,"GOOD JUMPER by BOYLE,JACK(in the paint)",1
--,"ASSIST  by JUAREZ,MARCUS",,,,,,,"ASSIST  by JUAREZ,MARCUS",1
08:02,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
08:02,,,,,"SUB OUT by WHITE,EVAN",,,"SUB OUT by WHITE,EVAN",1
07:53,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
07:53,"BLOCK  by BOYLE,JACK",,,,,,,"BLOCK  by BOYLE,JACK",1
--,"REBOUND DEF by BOYLE,JACK",,,,,,,"REBOUND DEF by BOYLE,JACK",1
07:32,"MISS LAYUP by BOYLE,JACK",,,,,,,"MISS LAYUP by BOYLE,JACK",1
--,"REBOUND OFF by BOYLE,JACK",,,,,,,"REBOUND OFF by BOYLE,JACK",1
07:30,"GOOD TIPIN by BOYLE,JACK(in the paint)",20,,26 (+6),,DALLAS 20-26 (+6),,"GOOD TIPIN by BOYLE,JACK(in the paint)",1
07:12,,20,,28 (+8),"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 20-28 (+8),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
06:51,"MISS LAYUP by CHRISTIFANO JR.,LOUI",,,,,,,"MISS LAYUP by CHRISTIFANO JR.,LOUI",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
06:35,"FOUL  by BOYLE,JACK",,,,,,,"FOUL  by BOYLE,JACK",1
06:35,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
06:35,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:35,,20,,29 (+9),"GOOD FT by CONRAD,ALEX",HENDRIX 20-29 (+9),,"GOOD FT by CONRAD,ALEX",1
06:35,"SUB IN by TOUSSAINT,LETRELL",,,,,,,"SUB IN by TOUSSAINT,LETRELL",1
06:35,"SUB IN by LOVE,JAI",,,,,,,"SUB IN by LOVE,JAI",1
06:35,"SUB OUT by BOYLE,JACK",,,,,,,"SUB OUT by BOYLE,JACK",1
06:35,"SUB OUT by HYDE,CAMERAN",,,,,,,"SUB OUT by HYDE,CAMERAN",1
06:35,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
06:35,,,,,"SUB IN by RASBERRY JR.,DARVIS",,,"SUB IN by RASBERRY JR.,DARVIS",1
06:35,,,,,"SUB OUT by WEAKLEY,CARTER",,,"SUB OUT by WEAKLEY,CARTER",1
06:17,"GOOD JUMPER by CHRISTIFANO JR.,LOUI",22,,29 (+7),,DALLAS 22-29 (+7),,"GOOD JUMPER by CHRISTIFANO JR.,LOUI",1
05:48,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND OFF by RASBERRY JR.,DARVIS",,,"REBOUND OFF by RASBERRY JR.,DARVIS",1
05:43,,,,,"MISS LAYUP by RASBERRY JR.,DARVIS",,,"MISS LAYUP by RASBERRY JR.,DARVIS",1
--,,,,,"REBOUND OFF by RASBERRY JR.,DARVIS",,,"REBOUND OFF by RASBERRY JR.,DARVIS",1
05:29,,22,,31 (+9),"GOOD JUMPER by MCMULLIN,COLTON(in the paint)",HENDRIX 22-31 (+9),,"GOOD JUMPER by MCMULLIN,COLTON(in the paint)",1
05:07,"GOOD JUMPER by HOLLOWAY,MATT",24,,31 (+7),,DALLAS 24-31 (+7),,"GOOD JUMPER by HOLLOWAY,MATT",1
04:37,,24,,33 (+9),"GOOD JUMPER by RASBERRY JR.,DARVIS",HENDRIX 24-33 (+9),,"GOOD JUMPER by RASBERRY JR.,DARVIS",1
--,,,,,"ASSIST  by RYAN,JONATHAN",,,"ASSIST  by RYAN,JONATHAN",1
04:24,"MISS 3PTR by JUAREZ,MARCUS",,,,,,,"MISS 3PTR by JUAREZ,MARCUS",1
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",1
04:07,,,,,"MISS JUMPER by RASBERRY JR.,DARVIS",,,"MISS JUMPER by RASBERRY JR.,DARVIS",1
--,"REBOUND DEF by HOLLOWAY,MATT",,,,,,,"REBOUND DEF by HOLLOWAY,MATT",1
03:58,"MISS JUMPER by HOLLOWAY,MATT",,,,,,,"MISS JUMPER by HOLLOWAY,MATT",1
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",1
03:46,,,,,"MISS LAYUP by COMAN,SEAN",,,"MISS LAYUP by COMAN,SEAN",1
03:46,"BLOCK  by TOUSSAINT,LETRELL",,,,,,,"BLOCK  by TOUSSAINT,LETRELL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:42,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:42,"SUB IN by HYDE,CAMERAN",,,,,,,"SUB IN by HYDE,CAMERAN",1
03:42,"SUB OUT by JUAREZ,MARCUS",,,,,,,"SUB OUT by JUAREZ,MARCUS",1
03:34,,,,,"TURNOVER  by RASBERRY JR.,DARVIS",,,"TURNOVER  by RASBERRY JR.,DARVIS",1
03:34,,,,,"FOUL  by RASBERRY JR.,DARVIS",,,"FOUL  by RASBERRY JR.,DARVIS",1
03:34,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
03:34,,,,,"SUB OUT by RASBERRY JR.,DARVIS",,,"SUB OUT by RASBERRY JR.,DARVIS",1
03:18,"GOOD JUMPER by LOVE,JAI(in the paint)",26,,33 (+7),,DALLAS 26-33 (+7),,"GOOD JUMPER by LOVE,JAI(in the paint)",1
03:04,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,"REBOUND DEF by LOVE,JAI",,,,,,,"REBOUND DEF by LOVE,JAI",1
02:52,"MISS 3PTR by LOVE,JAI",,,,,,,"MISS 3PTR by LOVE,JAI",1
--,,,,,"REBOUND DEF by RYAN,JONATHAN",,,"REBOUND DEF by RYAN,JONATHAN",1
02:45,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:31,,,,,"MISS LAYUP by RYAN,JONATHAN",,,"MISS LAYUP by RYAN,JONATHAN",1
--,"REBOUND DEF by TOUSSAINT,LETRELL",,,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",1
02:21,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",28,,33 (+5),,DALLAS 28-33 (+5),,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",1
02:00,,28,,35 (+7),"GOOD JUMPER by DEITHLOFF,TYLER",HENDRIX 28-35 (+7),,"GOOD JUMPER by DEITHLOFF,TYLER",1
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",1
01:35,"GOOD JUMPER by CHRISTIFANO JR.,LOUI(in the paint)",30,,35 (+5),,DALLAS 30-35 (+5),,"GOOD JUMPER by CHRISTIFANO JR.,LOUI(in the paint)",1
01:19,,,,,"MISS LAYUP by RYAN,JONATHAN",,,"MISS LAYUP by RYAN,JONATHAN",1
01:19,"BLOCK  by TOUSSAINT,LETRELL",,,,,,,"BLOCK  by TOUSSAINT,LETRELL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:15,"SUB IN by JUAREZ,MARCUS",,,,,,,"SUB IN by JUAREZ,MARCUS",1
01:15,"SUB OUT by HOLLOWAY,MATT",,,,,,,"SUB OUT by HOLLOWAY,MATT",1
01:14,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",1
--,"REBOUND DEF by JUAREZ,MARCUS",,,,,,,"REBOUND DEF by JUAREZ,MARCUS",1
01:03,"TURNOVER  by LOVE,JAI",,,,,,,"TURNOVER  by LOVE,JAI",1
01:02,,,,,"STEAL  by MCMULLIN,COLTON",,,"STEAL  by MCMULLIN,COLTON",1
00:57,"FOUL  by TOUSSAINT,LETRELL",,,,,,,"FOUL  by TOUSSAINT,LETRELL",1
00:50,,30,,37 (+7),"GOOD JUMPER by FITCH,CARL",HENDRIX 30-37 (+7),,"GOOD JUMPER by FITCH,CARL",1
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",1
00:29,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",32,,37 (+5),,DALLAS 32-37 (+5),,"GOOD LAYUP by HYDE,CAMERAN(in the paint)",1
00:19,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:03,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",1
00:02,"STEAL  by HYDE,CAMERAN",,,,,,,"STEAL  by HYDE,CAMERAN",1
19:48,,32,,39 (+7),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 32-39 (+7),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",2
19:21,"MISS LAYUP by HYDE,CAMERAN",,,,,,,"MISS LAYUP by HYDE,CAMERAN",2
19:21,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
19:12,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by BOYLE,JACK",,,,,,,"REBOUND DEF by BOYLE,JACK",2
19:00,"MISS JUMPER by TOUSSAINT,LETRELL",,,,,,,"MISS JUMPER by TOUSSAINT,LETRELL",2
--,"REBOUND OFF by BOYLE,JACK",,,,,,,"REBOUND OFF by BOYLE,JACK",2
18:55,"MISS TIPIN by BOYLE,JACK",,,,,,,"MISS TIPIN by BOYLE,JACK",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
18:46,"FOUL  by TOUSSAINT,LETRELL",,,,,,,"FOUL  by TOUSSAINT,LETRELL",2
18:46,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:46,,32,,40 (+8),"GOOD FT by CONRAD,ALEX",HENDRIX 32-40 (+8),,"GOOD FT by CONRAD,ALEX",2
18:35,"MISS JUMPER by LOVE,JAI",,,,,,,"MISS JUMPER by LOVE,JAI",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:24,"MISS 3PTR by JUAREZ,MARCUS",,,,,,,"MISS 3PTR by JUAREZ,MARCUS",2
--,"REBOUND OFF by TOUSSAINT,LETRELL",,,,,,,"REBOUND OFF by TOUSSAINT,LETRELL",2
18:13,"GOOD LAYUP by BOYLE,JACK(in the paint)",34,,40 (+6),,DALLAS 34-40 (+6),,"GOOD LAYUP by BOYLE,JACK(in the paint)",2
--,"ASSIST  by TOUSSAINT,LETRELL",,,,,,,"ASSIST  by TOUSSAINT,LETRELL",2
17:58,,34,,42 (+8),"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 34-42 (+8),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
17:48,"TURNOVER  by BOYLE,JACK",,,,,,,"TURNOVER  by BOYLE,JACK",2
17:48,"FOUL  by BOYLE,JACK",,,,,,,"FOUL  by BOYLE,JACK",2
17:48,SUB IN by 35,,,,,,,SUB IN by 35,2
17:48,"SUB OUT by BOYLE,JACK",,,,,,,"SUB OUT by BOYLE,JACK",2
17:32,,34,,44 (+10),"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIX 34-44 (+10),,"GOOD LAYUP by COMAN,SEAN(in the paint)",2
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",2
17:09,"MISS 3PTR by JUAREZ,MARCUS",,,,,,,"MISS 3PTR by JUAREZ,MARCUS",2
--,,,,,"REBOUND DEF by RYAN,JONATHAN",,,"REBOUND DEF by RYAN,JONATHAN",2
16:56,"FOUL  by JUAREZ,MARCUS",,,,,,,"FOUL  by JUAREZ,MARCUS",2
16:46,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
16:39,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",2
16:39,"STEAL  by LOVE,JAI",,,,,,,"STEAL  by LOVE,JAI",2
16:35,"TURNOVER  by TOUSSAINT,LETRELL",,,,,,,"TURNOVER  by TOUSSAINT,LETRELL",2
16:35,"FOUL  by TOUSSAINT,LETRELL",,,,,,,"FOUL  by TOUSSAINT,LETRELL",2
16:18,,34,,46 (+12),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 34-46 (+12),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
16:08,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
