Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,ATU,Game Score,Team Indicator,Play,Period
08:57,,,,,"MISS 3PTR by HOWARD,KEVIN",,,"MISS 3PTR by HOWARD,KEVIN",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
08:46,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by HOWARD,KEVIN",,,"REBOUND DEF by HOWARD,KEVIN",1
08:28,,,,,"MISS JUMPER by PERRY,CZAR",,,"MISS JUMPER by PERRY,CZAR",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
08:16,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by KENNEDY,CAM",,,"REBOUND DEF by KENNEDY,CAM",1
08:08,,5,,15 (+10),"GOOD DUNK by PETER,TAELON(fastbreak)(in the paint)",ATU 5-15 (-10),,"GOOD DUNK by PETER,TAELON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by PERRY,CZAR",,,"ASSIST  by PERRY,CZAR",1
07:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:59,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
07:59,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
07:59,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
07:59,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
07:59,,,,,"SUB IN by GOSNELL,NIKO",,,"SUB IN by GOSNELL,NIKO",1
07:59,,,,,"SUB IN by FOSTER,LUCAS",,,"SUB IN by FOSTER,LUCAS",1
07:59,,,,,"SUB IN by HALL,TONY",,,"SUB IN by HALL,TONY",1
07:59,,,,,"SUB OUT by PETER,TAELON",,,"SUB OUT by PETER,TAELON",1
07:59,,,,,"SUB OUT by HOWARD,KEVIN",,,"SUB OUT by HOWARD,KEVIN",1
07:59,,,,,"SUB OUT by KENNEDY,CAM",,,"SUB OUT by KENNEDY,CAM",1
07:51,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",7,,15 (+8),,HENDRIX 7-15 (-8),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
07:26,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
07:21,,7,,17 (+10),"GOOD JUMPER by PERRY,CZAR",ATU 7-17 (-10),,"GOOD JUMPER by PERRY,CZAR",1
--,,,,,"ASSIST  by HALL,TONY",,,"ASSIST  by HALL,TONY",1
06:54,"MISS JUMPER by RYAN,JONATHAN",,,,,,,"MISS JUMPER by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by PERRY,CZAR",,,"REBOUND DEF by PERRY,CZAR",1
06:47,,,,,"MISS 3PTR by FOSTER,LUCAS",,,"MISS 3PTR by FOSTER,LUCAS",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
06:26,,,,,"FOUL  by FOSTER,LUCAS",,,"FOUL  by FOSTER,LUCAS",1
06:25,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:25,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
06:25,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
06:25,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
06:25,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
06:07,"GOOD FT by STANLEY,SETH",8,,17 (+9),,HENDRIX 8-17 (-9),,"GOOD FT by STANLEY,SETH",1
06:05,,,,,"SUB IN by ALLEN,CALVIN",,,"SUB IN by ALLEN,CALVIN",1
06:05,,,,,"SUB OUT by PERRY,CZAR",,,"SUB OUT by PERRY,CZAR",1
06:00,,,,,"TURNOVER  by ALLEN,CALVIN",,,"TURNOVER  by ALLEN,CALVIN",1
05:49,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by ALLEN,CALVIN",,,"REBOUND DEF by ALLEN,CALVIN",1
05:42,,,,,"MISS JUMPER by GOSNELL,NIKO",,,"MISS JUMPER by GOSNELL,NIKO",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
05:31,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by HALL,TONY",,,"REBOUND DEF by HALL,TONY",1
05:17,,8,,19 (+11),"GOOD LAYUP by HALL,TONY(in the paint)",ATU 8-19 (-11),,"GOOD LAYUP by HALL,TONY(in the paint)",1
--,,,,,"ASSIST  by GOSNELL,NIKO",,,"ASSIST  by GOSNELL,NIKO",1
04:54,"GOOD JUMPER by FITCH,CARL(in the paint)",10,,19 (+9),,HENDRIX 10-19 (-9),,"GOOD JUMPER by FITCH,CARL(in the paint)",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
04:33,,,,,"MISS 3PTR by FOSTER,LUCAS",,,"MISS 3PTR by FOSTER,LUCAS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:25,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
04:25,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
04:25,,,,,"SUB IN by PETER,TAELON",,,"SUB IN by PETER,TAELON",1
04:25,,,,,"SUB IN by KENNEDY,CAM",,,"SUB IN by KENNEDY,CAM",1
04:25,,,,,"SUB OUT by JOHNSON,BJ",,,"SUB OUT by JOHNSON,BJ",1
04:25,,,,,"SUB OUT by FOSTER,LUCAS",,,"SUB OUT by FOSTER,LUCAS",1
04:19,,10,,21 (+11),"GOOD JUMPER by GOSNELL,NIKO(in the paint)",ATU 10-21 (-11),,"GOOD JUMPER by GOSNELL,NIKO(in the paint)",1
04:10,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
04:01,,10,,22 (+12),"GOOD FT by GOSNELL,NIKO",ATU 10-22 (-12),,"GOOD FT by GOSNELL,NIKO",1
04:01,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
04:01,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
03:56,"GOOD JUMPER by ,DARVIS RASBERRY JR",12,,22 (+10),,HENDRIX 12-22 (-10),,"GOOD JUMPER by ,DARVIS RASBERRY JR",1
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",1
03:42,,,,,"MISS 3PTR by KENNEDY,CAM",,,"MISS 3PTR by KENNEDY,CAM",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
03:18,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
03:18,,,,,"STEAL  by GOSNELL,NIKO",,,"STEAL  by GOSNELL,NIKO",1
03:12,,,,,"TURNOVER  by PETER,TAELON",,,"TURNOVER  by PETER,TAELON",1
03:03,"GOOD JUMPER by ,DARVIS RASBERRY JR(in the paint)",14,,22 (+8),,HENDRIX 14-22 (-8),,"GOOD JUMPER by ,DARVIS RASBERRY JR(in the paint)",1
02:37,,,,,"MISS JUMPER by HALL,TONY",,,"MISS JUMPER by HALL,TONY",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
02:23,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by GOSNELL,NIKO",,,"REBOUND DEF by GOSNELL,NIKO",1
02:12,"FOUL  by ,DARVIS RASBERRY JR",,,,,,,"FOUL  by ,DARVIS RASBERRY JR",1
02:12,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
02:12,,,,,"SUB IN by HOWARD,KEVIN",,,"SUB IN by HOWARD,KEVIN",1
02:12,,,,,"SUB IN by PERRY,CZAR",,,"SUB IN by PERRY,CZAR",1
02:12,,,,,"SUB OUT by ALLEN,CALVIN",,,"SUB OUT by ALLEN,CALVIN",1
02:12,,,,,"SUB OUT by GOSNELL,NIKO",,,"SUB OUT by GOSNELL,NIKO",1
02:05,,,,,"TURNOVER  by KENNEDY,CAM",,,"TURNOVER  by KENNEDY,CAM",1
02:05,"STEAL  by PARKS,JACKSON",,,,,,,"STEAL  by PARKS,JACKSON",1
01:54,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
01:44,,,,,"TURNOVER  by PETER,TAELON",,,"TURNOVER  by PETER,TAELON",1
01:44,"TURNOVER  by ,DARVIS RASBERRY JR",,,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",1
01:44,,,,,"STEAL  by PETER,TAELON",,,"STEAL  by PETER,TAELON",1
01:44,,14,,24 (+10),"GOOD DUNK by PETER,TAELON(fastbreak)(in the paint)",ATU 14-24 (-10),,"GOOD DUNK by PETER,TAELON(fastbreak)(in the paint)",1
01:44,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
01:44,,,,,"SUB IN by JOHNSON,BJ",,,"SUB IN by JOHNSON,BJ",1
01:44,,,,,"SUB OUT by KENNEDY,CAM",,,"SUB OUT by KENNEDY,CAM",1
01:30,"TURNOVER  by ,DARVIS RASBERRY JR",,,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",1
01:09,,,,,"MISS LAYUP by HOWARD,KEVIN",,,"MISS LAYUP by HOWARD,KEVIN",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
00:42,,,,,"FOUL  by PETER,TAELON",,,"FOUL  by PETER,TAELON",1
00:35,"GOOD JUMPER by STANLEY,SETH",16,,24 (+8),,HENDRIX 16-24 (-8),,"GOOD JUMPER by STANLEY,SETH",1
--,"ASSIST  by ,DARVIS RASBERRY JR",,,,,,,"ASSIST  by ,DARVIS RASBERRY JR",1
00:09,,,,,"MISS JUMPER by PERRY,CZAR",,,"MISS JUMPER by PERRY,CZAR",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
19:30,,,,,"MISS JUMPER by HALL,TONY",,,"MISS JUMPER by HALL,TONY",2
--,,,,,"REBOUND OFF by JOHNSON,BJ",,,"REBOUND OFF by JOHNSON,BJ",2
19:23,,16,,26 (+10),"GOOD LAYUP by JOHNSON,BJ(in the paint)",ATU 16-26 (-10),,"GOOD LAYUP by JOHNSON,BJ(in the paint)",2
18:55,"GOOD JUMPER by STANLEY,SETH(in the paint)",18,,26 (+8),,HENDRIX 18-26 (-8),,"GOOD JUMPER by STANLEY,SETH(in the paint)",2
18:27,,18,,28 (+10),"GOOD LAYUP by JOHNSON,BJ(in the paint)",ATU 18-28 (-10),,"GOOD LAYUP by JOHNSON,BJ(in the paint)",2
18:12,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",2
18:12,,,,,"BLOCK  by HOWARD,KEVIN",,,"BLOCK  by HOWARD,KEVIN",2
--,,,,,"REBOUND DEF by HOWARD,KEVIN",,,"REBOUND DEF by HOWARD,KEVIN",2
18:03,,18,,30 (+12),"GOOD LAYUP by PERRY,CZAR(in the paint)",ATU 18-30 (-12),,"GOOD LAYUP by PERRY,CZAR(in the paint)",2
17:34,"MISS 3PTR by FITCH,CARL",,,,,,,"MISS 3PTR by FITCH,CARL",2
--,,,,,"REBOUND DEF by PETER,TAELON",,,"REBOUND DEF by PETER,TAELON",2
17:27,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",2
17:27,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,2
17:27,,,,,FOUL  by TEAM,,,FOUL  by TEAM,2
17:27,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
17:27,"GOOD FT by STANLEY,SETH",19,,30 (+11),,HENDRIX 19-30 (-11),,"GOOD FT by STANLEY,SETH",2
17:27,"GOOD FT by STANLEY,SETH",20,,30 (+10),,HENDRIX 20-30 (-10),,"GOOD FT by STANLEY,SETH",2
17:27,,20,,32 (+12),"GOOD LAYUP by JOHNSON,BJ(in the paint)",ATU 20-32 (-12),,"GOOD LAYUP by JOHNSON,BJ(in the paint)",2
--,,,,,"ASSIST  by PERRY,CZAR",,,"ASSIST  by PERRY,CZAR",2
17:27,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
17:27,,,,,"MISS FT by JOHNSON,BJ",,,"MISS FT by JOHNSON,BJ",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
17:12,"GOOD LAYUP by CONRAD,ALEX(in the paint)",22,,32 (+10),,HENDRIX 22-32 (-10),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
16:58,,,,,"MISS JUMPER by PERRY,CZAR",,,"MISS JUMPER by PERRY,CZAR",2
--,,,,,"REBOUND OFF by HOWARD,KEVIN",,,"REBOUND OFF by HOWARD,KEVIN",2
16:52,,,,,"MISS JUMPER by HOWARD,KEVIN",,,"MISS JUMPER by HOWARD,KEVIN",2
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",2
16:38,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND DEF by HALL,TONY",,,"REBOUND DEF by HALL,TONY",2
16:19,"FOUL TECH by COMAN,SEAN",,,,,,,"FOUL TECH by COMAN,SEAN",2
16:19,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",2
16:19,,22,,33 (+11),"GOOD FT by PERRY,CZAR",ATU 22-33 (-11),,"GOOD FT by PERRY,CZAR",2
16:19,,22,,34 (+12),"GOOD FT by PERRY,CZAR",ATU 22-34 (-12),,"GOOD FT by PERRY,CZAR",2
15:54,,22,,37 (+15),"GOOD 3PTR by PETER,TAELON",ATU 22-37 (-15),,"GOOD 3PTR by PETER,TAELON",2
--,,,,,"ASSIST  by PERRY,CZAR",,,"ASSIST  by PERRY,CZAR",2
15:34,"GOOD LAYUP by CONRAD,ALEX(in the paint)",24,,37 (+13),,HENDRIX 24-37 (-13),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",2
15:20,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",2
15:20,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:20,,,,,"TURNOVER  by PERRY,CZAR",,,"TURNOVER  by PERRY,CZAR",2
15:20,,,,,"SUB IN by KENNEDY,CAM",,,"SUB IN by KENNEDY,CAM",2
15:20,,,,,"SUB IN by GOSNELL,NIKO",,,"SUB IN by GOSNELL,NIKO",2
15:20,,,,,"SUB OUT by HALL,TONY",,,"SUB OUT by HALL,TONY",2
15:20,,,,,"SUB OUT by HOWARD,KEVIN",,,"SUB OUT by HOWARD,KEVIN",2
14:54,"GOOD LAYUP by CONRAD,ALEX(in the paint)",26,,37 (+11),,HENDRIX 26-37 (-11),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",2
14:20,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
13:59,,,,,"FOUL  by GOSNELL,NIKO",,,"FOUL  by GOSNELL,NIKO",2
13:53,"GOOD FT by PARKS,JACKSON",27,,37 (+10),,HENDRIX 27-37 (-10),,"GOOD FT by PARKS,JACKSON",2
13:53,"MISS FT by PARKS,JACKSON",,,,,,,"MISS FT by PARKS,JACKSON",2
--,,,,,"REBOUND DEF by KENNEDY,CAM",,,"REBOUND DEF by KENNEDY,CAM",2
13:53,,27,,39 (+12),"GOOD JUMPER by PERRY,CZAR",ATU 27-39 (-12),,"GOOD JUMPER by PERRY,CZAR",2
