Time Remaining,AUSTIN,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
03:18,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
03:18,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
03:18,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
03:18,,,,,"SUB OUT by RASBERRY JR.,DARVIS",,,"SUB OUT by RASBERRY JR.,DARVIS",1
03:01,,31,,40 (+9),"GOOD JUMPER by MCMULLIN,COLTON",HENDRIX 31-40 (+9),,"GOOD JUMPER by MCMULLIN,COLTON",1
--,,,,,"ASSIST  by RYAN,JONATHAN",,,"ASSIST  by RYAN,JONATHAN",1
02:53,,,,,"FOUL  by MCMULLIN,COLTON",,,"FOUL  by MCMULLIN,COLTON",1
02:53,"GOOD FT by JOE,JOSHUA",32,,40 (+8),,AUSTIN 32-40 (+8),,"GOOD FT by JOE,JOSHUA",1
02:53,"MISS FT by JOE,JOSHUA",,,,,,,"MISS FT by JOE,JOSHUA",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
02:44,,32,,42 (+10),"GOOD LAYUP by CONRAD,ALEX(fastbreak)(in the paint)",HENDRIX 32-42 (+10),,"GOOD LAYUP by CONRAD,ALEX(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MCMULLIN,COLTON",,,"ASSIST  by MCMULLIN,COLTON",1
02:44,"FOUL  by RENNIE,JACKSON",,,,,,,"FOUL  by RENNIE,JACKSON",1
02:44,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by RENNIE,JACKSON",,,,,,,"REBOUND DEF by RENNIE,JACKSON",1
02:44,"SUB IN by BERRY,OCIE",,,,,,,"SUB IN by BERRY,OCIE",1
02:44,"SUB OUT by KING,REX",,,,,,,"SUB OUT by KING,REX",1
02:27,"MISS 3PTR by DICK,TRISTAN",,,,,,,"MISS 3PTR by DICK,TRISTAN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
02:14,,32,,44 (+12),"GOOD JUMPER by STANLEY,SETH(in the paint)",HENDRIX 32-44 (+12),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
02:05,"SUB IN by GOODMAN,CHANSTON",,,,,,,"SUB IN by GOODMAN,CHANSTON",1
02:05,"SUB IN by ANTOSCA,CHASE",,,,,,,"SUB IN by ANTOSCA,CHASE",1
02:05,"SUB OUT by JOE,JOSHUA",,,,,,,"SUB OUT by JOE,JOSHUA",1
02:05,"SUB OUT by RENNIE,JACKSON",,,,,,,"SUB OUT by RENNIE,JACKSON",1
02:00,"MISS JUMPER by ANTOSCA,CHASE",,,,,,,"MISS JUMPER by ANTOSCA,CHASE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:37,"FOUL  by BERRY,OCIE",,,,,,,"FOUL  by BERRY,OCIE",1
01:37,,32,,45 (+13),"GOOD FT by CONRAD,ALEX",HENDRIX 32-45 (+13),,"GOOD FT by CONRAD,ALEX",1
01:37,,32,,46 (+14),"GOOD FT by CONRAD,ALEX",HENDRIX 32-46 (+14),,"GOOD FT by CONRAD,ALEX",1
01:30,,,,,"FOUL  by RYAN,JONATHAN",,,"FOUL  by RYAN,JONATHAN",1
01:30,"GOOD FT by DICK,TRISTAN",33,,46 (+13),,AUSTIN 33-46 (+13),,"GOOD FT by DICK,TRISTAN",1
01:30,"MISS FT by DICK,TRISTAN",,,,,,,"MISS FT by DICK,TRISTAN",1
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",1
01:30,,,,,"SUB IN by RASBERRY JR.,DARVIS",,,"SUB IN by RASBERRY JR.,DARVIS",1
01:30,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
01:13,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND OFF by COMAN,SEAN",,,"REBOUND OFF by COMAN,SEAN",1
01:07,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",1
01:07,"BLOCK  by BERRY,OCIE",,,,,,,"BLOCK  by BERRY,OCIE",1
--,"REBOUND DEF by LAWRENCE,JOHNATHAN",,,,,,,"REBOUND DEF by LAWRENCE,JOHNATHAN",1
01:03,"MISS LAYUP by GOODMAN,CHANSTON",,,,,,,"MISS LAYUP by GOODMAN,CHANSTON",1
01:03,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:59,"MISS 3PTR by GOODMAN,CHANSTON",,,,,,,"MISS 3PTR by GOODMAN,CHANSTON",1
--,,,,,"REBOUND DEF by RASBERRY JR.,DARVIS",,,"REBOUND DEF by RASBERRY JR.,DARVIS",1
00:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:34,,33,,48 (+15),"GOOD JUMPER by RASBERRY JR.,DARVIS(in the paint)",HENDRIX 33-48 (+15),,"GOOD JUMPER by RASBERRY JR.,DARVIS(in the paint)",1
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",1
00:18,"MISS LAYUP by DICK,TRISTAN",,,,,,,"MISS LAYUP by DICK,TRISTAN",1
--,"REBOUND OFF by DICK,TRISTAN",,,,,,,"REBOUND OFF by DICK,TRISTAN",1
00:11,"TURNOVER  by ANTOSCA,CHASE",,,,,,,"TURNOVER  by ANTOSCA,CHASE",1
00:03,,33,,51 (+18),"GOOD 3PTR by STANLEY,SETH",HENDRIX 33-51 (+18),,"GOOD 3PTR by STANLEY,SETH",1
20:00,"SUB IN by ANTOSCA,CHASE",,,,,,,"SUB IN by ANTOSCA,CHASE",2
20:00,"SUB OUT by LAWRENCE,JOHNATHAN",,,,,,,"SUB OUT by LAWRENCE,JOHNATHAN",2
19:43,"SUB IN by GOODMAN,CHANSTON",,,,,,,"SUB IN by GOODMAN,CHANSTON",2
19:43,"SUB OUT by JOE,JOSHUA",,,,,,,"SUB OUT by JOE,JOSHUA",2
19:37,,33,,53 (+20),"GOOD JUMPER by STANLEY,SETH(in the paint)",HENDRIX 33-53 (+20),,"GOOD JUMPER by STANLEY,SETH(in the paint)",2
19:23,"TURNOVER  by ANTOSCA,CHASE",,,,,,,"TURNOVER  by ANTOSCA,CHASE",2
19:22,,,,,"STEAL  by RYAN,JONATHAN",,,"STEAL  by RYAN,JONATHAN",2
19:18,"FOUL  by DICK,TRISTAN",,,,,,,"FOUL  by DICK,TRISTAN",2
19:18,,33,,54 (+21),"GOOD FT by STANLEY,SETH",HENDRIX 33-54 (+21),,"GOOD FT by STANLEY,SETH",2
19:18,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",2
--,"REBOUND DEF by DICK,TRISTAN",,,,,,,"REBOUND DEF by DICK,TRISTAN",2
19:11,"MISS LAYUP by GOODMAN,CHANSTON",,,,,,,"MISS LAYUP by GOODMAN,CHANSTON",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
19:04,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",2
--,,,,,"REBOUND OFF by STANLEY,SETH",,,"REBOUND OFF by STANLEY,SETH",2
18:57,,33,,56 (+23),"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 33-56 (+23),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
18:52,"TURNOVER  by DICK,TRISTAN",,,,,,,"TURNOVER  by DICK,TRISTAN",2
18:50,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",2
18:47,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",2
--,"REBOUND DEF by GOODMAN,CHANSTON",,,,,,,"REBOUND DEF by GOODMAN,CHANSTON",2
18:43,"MISS 3PTR by DICK,TRISTAN",,,,,,,"MISS 3PTR by DICK,TRISTAN",2
--,"REBOUND OFF by JASON JONES,JR",,,,,,,"REBOUND OFF by JASON JONES,JR",2
18:39,"GOOD LAYUP by JASON JONES,JR(in the paint)",35,,56 (+21),,AUSTIN 35-56 (+21),,"GOOD LAYUP by JASON JONES,JR(in the paint)",2
18:22,"FOUL  by ANTOSCA,CHASE",,,,,,,"FOUL  by ANTOSCA,CHASE",2
18:22,,35,,57 (+22),"GOOD FT by STANLEY,SETH",HENDRIX 35-57 (+22),,"GOOD FT by STANLEY,SETH",2
18:22,,35,,58 (+23),"GOOD FT by STANLEY,SETH",HENDRIX 35-58 (+23),,"GOOD FT by STANLEY,SETH",2
18:03,"GOOD LAYUP by JASON JONES,JR(in the paint)",37,,58 (+21),,AUSTIN 37-58 (+21),,"GOOD LAYUP by JASON JONES,JR(in the paint)",2
17:45,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
17:45,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",2
17:35,"MISS JUMPER by JASON JONES,JR",,,,,,,"MISS JUMPER by JASON JONES,JR",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
17:21,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
17:21,"BLOCK  by JASON JONES,JR",,,,,,,"BLOCK  by JASON JONES,JR",2
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",2
17:19,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",2
17:19,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
17:19,,,,,"SUB IN by RASBERRY JR.,DARVIS",,,"SUB IN by RASBERRY JR.,DARVIS",2
17:19,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
17:06,"GOOD JUMPER by ANTOSCA,CHASE",39,,58 (+19),,AUSTIN 39-58 (+19),,"GOOD JUMPER by ANTOSCA,CHASE",2
16:49,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,"REBOUND DEF by JASON JONES,JR",,,,,,,"REBOUND DEF by JASON JONES,JR",2
16:37,"GOOD LAYUP by DICK,TRISTAN(in the paint)",41,,58 (+17),,AUSTIN 41-58 (+17),,"GOOD LAYUP by DICK,TRISTAN(in the paint)",2
16:18,,,,,"MISS JUMPER by RASBERRY JR.,DARVIS",,,"MISS JUMPER by RASBERRY JR.,DARVIS",2
--,,,,,"REBOUND OFF by RYAN,JONATHAN",,,"REBOUND OFF by RYAN,JONATHAN",2
16:12,,,,,"MISS JUMPER by RYAN,JONATHAN",,,"MISS JUMPER by RYAN,JONATHAN",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
16:05,"FOUL  by JASON JONES,JR",,,,,,,"FOUL  by JASON JONES,JR",2
16:05,,41,,59 (+18),"GOOD FT by RYAN,JONATHAN",HENDRIX 41-59 (+18),,"GOOD FT by RYAN,JONATHAN",2
16:05,,41,,60 (+19),"GOOD FT by RYAN,JONATHAN",HENDRIX 41-60 (+19),,"GOOD FT by RYAN,JONATHAN",2
16:05,"SUB IN by KING,REX",,,,,,,"SUB IN by KING,REX",2
16:05,"SUB IN by LAWRENCE,JOHNATHAN",,,,,,,"SUB IN by LAWRENCE,JOHNATHAN",2
16:05,"SUB OUT by DICK,TRISTAN",,,,,,,"SUB OUT by DICK,TRISTAN",2
16:05,"SUB OUT by JASON JONES,JR",,,,,,,"SUB OUT by JASON JONES,JR",2
16:05,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",2
16:05,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
16:05,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",2
16:05,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
15:54,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",2
15:54,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
15:54,"GOOD FT by GOODMAN,CHANSTON",42,,60 (+18),,AUSTIN 42-60 (+18),,"GOOD FT by GOODMAN,CHANSTON",2
15:54,"GOOD FT by GOODMAN,CHANSTON",43,,60 (+17),,AUSTIN 43-60 (+17),,"GOOD FT by GOODMAN,CHANSTON",2
15:54,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",2
15:54,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",2
15:33,,,,,"MISS JUMPER by DEITHLOFF,TYLER",,,"MISS JUMPER by DEITHLOFF,TYLER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:21,,43,,62 (+19),"GOOD LAYUP by COMAN,SEAN(in the paint)",HENDRIX 43-62 (+19),,"GOOD LAYUP by COMAN,SEAN(in the paint)",2
--,,,,,"ASSIST  by MCMULLIN,COLTON",,,"ASSIST  by MCMULLIN,COLTON",2
15:14,"MISS 3PTR by RENNIE,JACKSON",,,,,,,"MISS 3PTR by RENNIE,JACKSON",2
--,"REBOUND OFF by LAWRENCE,JOHNATHAN",,,,,,,"REBOUND OFF by LAWRENCE,JOHNATHAN",2
15:11,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",2
15:11,"GOOD FT by LAWRENCE,JOHNATHAN",44,,62 (+18),,AUSTIN 44-62 (+18),,"GOOD FT by LAWRENCE,JOHNATHAN",2
15:11,"GOOD FT by LAWRENCE,JOHNATHAN",45,,62 (+17),,AUSTIN 45-62 (+17),,"GOOD FT by LAWRENCE,JOHNATHAN",2
14:51,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND OFF by RASBERRY JR.,DARVIS",,,"REBOUND OFF by RASBERRY JR.,DARVIS",2
14:47,,,,,"MISS LAYUP by RASBERRY JR.,DARVIS",,,"MISS LAYUP by RASBERRY JR.,DARVIS",2
--,,,,,"REBOUND OFF by RASBERRY JR.,DARVIS",,,"REBOUND OFF by RASBERRY JR.,DARVIS",2
14:47,"FOUL  by KING,REX",,,,,,,"FOUL  by KING,REX",2
14:47,,,,,"MISS FT by RASBERRY JR.,DARVIS",,,"MISS FT by RASBERRY JR.,DARVIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:47,,,,,"MISS FT by RASBERRY JR.,DARVIS",,,"MISS FT by RASBERRY JR.,DARVIS",2
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",2
14:47,"SUB IN by JASON JONES,JR",,,,,,,"SUB IN by JASON JONES,JR",2
14:47,"SUB IN by DICK,TRISTAN",,,,,,,"SUB IN by DICK,TRISTAN",2
14:47,"SUB OUT by GOODMAN,CHANSTON",,,,,,,"SUB OUT by GOODMAN,CHANSTON",2
14:47,"SUB OUT by KING,REX",,,,,,,"SUB OUT by KING,REX",2
14:44,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",2
14:27,"GOOD JUMPER by ANTOSCA,CHASE",47,,62 (+15),,AUSTIN 47-62 (+15),,"GOOD JUMPER by ANTOSCA,CHASE",2
--,"ASSIST  by JASON JONES,JR",,,,,,,"ASSIST  by JASON JONES,JR",2
14:06,,,,,"TURNOVER  by STANLEY,SETH",,,"TURNOVER  by STANLEY,SETH",2
14:04,"STEAL  by JASON JONES,JR",,,,,,,"STEAL  by JASON JONES,JR",2
14:01,"GOOD LAYUP by ANTOSCA,CHASE(fastbreak)(in the paint)",49,,62 (+13),,AUSTIN 49-62 (+13),,"GOOD LAYUP by ANTOSCA,CHASE(fastbreak)(in the paint)",2
13:51,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
13:32,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by LAWRENCE,JOHNATHAN",,,,,,,"REBOUND DEF by LAWRENCE,JOHNATHAN",2
13:23,"MISS 3PTR by RENNIE,JACKSON",,,,,,,"MISS 3PTR by RENNIE,JACKSON",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
13:10,,,,,"MISS JUMPER by RASBERRY JR.,DARVIS",,,"MISS JUMPER by RASBERRY JR.,DARVIS",2
--,"REBOUND DEF by ANTOSCA,CHASE",,,,,,,"REBOUND DEF by ANTOSCA,CHASE",2
13:00,"MISS LAYUP by JASON JONES,JR",,,,,,,"MISS LAYUP by JASON JONES,JR",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
12:59,"FOUL  by JASON JONES,JR",,,,,,,"FOUL  by JASON JONES,JR",2
12:45,,49,,65 (+16),"GOOD 3PTR by STANLEY,SETH",HENDRIX 49-65 (+16),,"GOOD 3PTR by STANLEY,SETH",2
--,,,,,"ASSIST  by MCMULLIN,COLTON",,,"ASSIST  by MCMULLIN,COLTON",2
12:36,"TURNOVER  by JASON JONES,JR",,,,,,,"TURNOVER  by JASON JONES,JR",2
12:35,,,,,"STEAL  by RASBERRY JR.,DARVIS",,,"STEAL  by RASBERRY JR.,DARVIS",2
12:31,,49,,68 (+19),"GOOD 3PTR by STANLEY,SETH(fastbreak)",HENDRIX 49-68 (+19),,"GOOD 3PTR by STANLEY,SETH(fastbreak)",2
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",2
12:14,"TURNOVER  by DICK,TRISTAN",,,,,,,"TURNOVER  by DICK,TRISTAN",2
12:14,"SUB IN by BERRY,OCIE",,,,,,,"SUB IN by BERRY,OCIE",2
12:14,"SUB OUT by JASON JONES,JR",,,,,,,"SUB OUT by JASON JONES,JR",2
12:14,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
12:14,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
12:14,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
12:14,,,,,"SUB OUT by RASBERRY JR.,DARVIS",,,"SUB OUT by RASBERRY JR.,DARVIS",2
12:03,,49,,71 (+22),"GOOD 3PTR by MCMULLIN,COLTON",HENDRIX 49-71 (+22),,"GOOD 3PTR by MCMULLIN,COLTON",2
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",2
11:52,"MISS JUMPER by ANTOSCA,CHASE",,,,,,,"MISS JUMPER by ANTOSCA,CHASE",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
11:42,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",2
--,"REBOUND DEF by LAWRENCE,JOHNATHAN",,,,,,,"REBOUND DEF by LAWRENCE,JOHNATHAN",2
11:28,"MISS JUMPER by DICK,TRISTAN",,,,,,,"MISS JUMPER by DICK,TRISTAN",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
11:02,,,,,"MISS JUMPER by CONRAD,ALEX",,,"MISS JUMPER by CONRAD,ALEX",2
--,"REBOUND DEF by DICK,TRISTAN",,,,,,,"REBOUND DEF by DICK,TRISTAN",2
10:48,"MISS 3PTR by RENNIE,JACKSON",,,,,,,"MISS 3PTR by RENNIE,JACKSON",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
10:33,,49,,74 (+25),"GOOD 3PTR by FITCH,CARL",HENDRIX 49-74 (+25),,"GOOD 3PTR by FITCH,CARL",2
--,,,,,"ASSIST  by MCMULLIN,COLTON",,,"ASSIST  by MCMULLIN,COLTON",2
10:20,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
10:20,"SUB IN by KING,REX",,,,,,,"SUB IN by KING,REX",2
10:20,"SUB IN by GOODMAN,CHANSTON",,,,,,,"SUB IN by GOODMAN,CHANSTON",2
10:20,"SUB OUT by DICK,TRISTAN",,,,,,,"SUB OUT by DICK,TRISTAN",2
10:20,"SUB OUT by LAWRENCE,JOHNATHAN",,,,,,,"SUB OUT by LAWRENCE,JOHNATHAN",2
10:11,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",2
10:11,"GOOD FT by ANTOSCA,CHASE",50,,74 (+24),,AUSTIN 50-74 (+24),,"GOOD FT by ANTOSCA,CHASE",2
10:11,"GOOD FT by ANTOSCA,CHASE",51,,74 (+23),,AUSTIN 51-74 (+23),,"GOOD FT by ANTOSCA,CHASE",2
10:11,,,,,"SUB IN by RASBERRY JR.,DARVIS",,,"SUB IN by RASBERRY JR.,DARVIS",2
10:11,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
09:46,,,,,"TURNOVER  by RASBERRY JR.,DARVIS",,,"TURNOVER  by RASBERRY JR.,DARVIS",2
09:31,"MISS 3PTR by ANTOSCA,CHASE",,,,,,,"MISS 3PTR by ANTOSCA,CHASE",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
08:56,,51,,77 (+26),"GOOD 3PTR by STANLEY,SETH",HENDRIX 51-77 (+26),,"GOOD 3PTR by STANLEY,SETH",2
08:38,,,,,"FOUL  by MCMULLIN,COLTON",,,"FOUL  by MCMULLIN,COLTON",2
08:38,"MISS FT by GOODMAN,CHANSTON",,,,,,,"MISS FT by GOODMAN,CHANSTON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:38,"MISS FT by GOODMAN,CHANSTON",,,,,,,"MISS FT by GOODMAN,CHANSTON",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
08:38,"SUB IN by DICK,TRISTAN",,,,,,,"SUB IN by DICK,TRISTAN",2
08:38,"SUB OUT by BERRY,OCIE",,,,,,,"SUB OUT by BERRY,OCIE",2
08:38,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",2
08:38,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
08:22,,,,,"MISS JUMPER by RASBERRY JR.,DARVIS",,,"MISS JUMPER by RASBERRY JR.,DARVIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:21,,,,,"FOUL  by RASBERRY JR.,DARVIS",,,"FOUL  by RASBERRY JR.,DARVIS",2
08:21,"GOOD FT by KING,REX",52,,77 (+25),,AUSTIN 52-77 (+25),,"GOOD FT by KING,REX",2
08:21,"GOOD FT by KING,REX",53,,77 (+24),,AUSTIN 53-77 (+24),,"GOOD FT by KING,REX",2
08:04,,53,,79 (+26),"GOOD JUMPER by RYAN,JONATHAN(in the paint)",HENDRIX 53-79 (+26),,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",2
07:55,"GOOD 3PTR by ANTOSCA,CHASE",56,,79 (+23),,AUSTIN 56-79 (+23),,"GOOD 3PTR by ANTOSCA,CHASE",2
--,"ASSIST  by KING,REX",,,,,,,"ASSIST  by KING,REX",2
07:40,,56,,81 (+25),"GOOD JUMPER by STANLEY,SETH(in the paint)",HENDRIX 56-81 (+25),,"GOOD JUMPER by STANLEY,SETH(in the paint)",2
07:26,"MISS 3PTR by ANTOSCA,CHASE",,,,,,,"MISS 3PTR by ANTOSCA,CHASE",2
--,"REBOUND OFF by KING,REX",,,,,,,"REBOUND OFF by KING,REX",2
07:20,"GOOD LAYUP by KING,REX(in the paint)",58,,81 (+23),,AUSTIN 58-81 (+23),,"GOOD LAYUP by KING,REX(in the paint)",2
07:09,,,,,"TURNOVER  by RYAN,JONATHAN",,,"TURNOVER  by RYAN,JONATHAN",2
07:07,"STEAL  by DICK,TRISTAN",,,,,,,"STEAL  by DICK,TRISTAN",2
07:04,"GOOD DUNK by DICK,TRISTAN(fastbreak)(in the paint)",60,,81 (+21),,AUSTIN 60-81 (+21),,"GOOD DUNK by DICK,TRISTAN(fastbreak)(in the paint)",2
06:48,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,"REBOUND DEF by ANTOSCA,CHASE",,,,,,,"REBOUND DEF by ANTOSCA,CHASE",2
06:39,"GOOD LAYUP by DICK,TRISTAN(in the paint)",62,,81 (+19),,AUSTIN 62-81 (+19),,"GOOD LAYUP by DICK,TRISTAN(in the paint)",2
06:20,,62,,83 (+21),"GOOD JUMPER by RASBERRY JR.,DARVIS",HENDRIX 62-83 (+21),,"GOOD JUMPER by RASBERRY JR.,DARVIS",2
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",2
06:01,"TURNOVER  by DICK,TRISTAN",,,,,,,"TURNOVER  by DICK,TRISTAN",2
06:01,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
06:01,"SUB IN by JASON JONES,JR",,,,,,,"SUB IN by JASON JONES,JR",2
06:01,"SUB IN by BENNETT,KALEB",,,,,,,"SUB IN by BENNETT,KALEB",2
06:01,"SUB OUT by DICK,TRISTAN",,,,,,,"SUB OUT by DICK,TRISTAN",2
06:01,"SUB OUT by KING,REX",,,,,,,"SUB OUT by KING,REX",2
06:01,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
06:01,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
05:52,,62,,85 (+23),"GOOD JUMPER by STANLEY,SETH(in the paint)",HENDRIX 62-85 (+23),,"GOOD JUMPER by STANLEY,SETH(in the paint)",2
05:49,"FOUL  by ANTOSCA,CHASE",,,,,,,"FOUL  by ANTOSCA,CHASE",2
05:49,,62,,86 (+24),"GOOD FT by STANLEY,SETH",HENDRIX 62-86 (+24),,"GOOD FT by STANLEY,SETH",2
05:49,,,,,"SUB IN by BOWER,CARSON",,,"SUB IN by BOWER,CARSON",2
05:49,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",2
05:31,"GOOD LAYUP by JASON JONES,JR(in the paint)",64,,86 (+22),,AUSTIN 64-86 (+22),,"GOOD LAYUP by JASON JONES,JR(in the paint)",2
--,"ASSIST  by RENNIE,JACKSON",,,,,,,"ASSIST  by RENNIE,JACKSON",2
05:11,,,,,"TURNOVER  by RASBERRY JR.,DARVIS",,,"TURNOVER  by RASBERRY JR.,DARVIS",2
05:03,"GOOD 3PTR by RENNIE,JACKSON",67,,86 (+19),,AUSTIN 67-86 (+19),,"GOOD 3PTR by RENNIE,JACKSON",2
--,"ASSIST  by BENNETT,KALEB",,,,,,,"ASSIST  by BENNETT,KALEB",2
04:46,,,,,"MISS JUMPER by RASBERRY JR.,DARVIS",,,"MISS JUMPER by RASBERRY JR.,DARVIS",2
--,"REBOUND DEF by RENNIE,JACKSON",,,,,,,"REBOUND DEF by RENNIE,JACKSON",2
04:28,"MISS 3PTR by GOODMAN,CHANSTON",,,,,,,"MISS 3PTR by GOODMAN,CHANSTON",2
