Time Remaining,WC,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
11:40,,17 (+11),,6,"GOOD JUMPER by ,DARVIS RASBERRY JR",HENDRIX 17-6 (-11),,"GOOD JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",1
11:31,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:31,"SUB IN by CLARK,ANDREW",,,,,,,"SUB IN by CLARK,ANDREW",1
11:31,"SUB IN by LEWIS,JAYDEN",,,,,,,"SUB IN by LEWIS,JAYDEN",1
11:31,"SUB IN by SOW,BILAL",,,,,,,"SUB IN by SOW,BILAL",1
11:31,"SUB IN by ACHIREM,OBED",,,,,,,"SUB IN by ACHIREM,OBED",1
11:31,"SUB OUT by MANSFIELD,JEFFERY",,,,,,,"SUB OUT by MANSFIELD,JEFFERY",1
11:31,"SUB OUT by FREEMAN,ANTHONY",,,,,,,"SUB OUT by FREEMAN,ANTHONY",1
11:31,"SUB OUT by AARON,COLLMANN",,,,,,,"SUB OUT by AARON,COLLMANN",1
11:31,"SUB OUT by BIRD,BRYCE",,,,,,,"SUB OUT by BIRD,BRYCE",1
11:31,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
11:31,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
11:31,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
11:31,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
11:31,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
11:31,,,,,"SUB OUT by ,DARVIS RASBERRY JR",,,"SUB OUT by ,DARVIS RASBERRY JR",1
11:17,,,,,"FOUL  by MCMULLIN,COLTON",,,"FOUL  by MCMULLIN,COLTON",1
11:10,"SUB IN by LARKIN,TODD",,,,,,,"SUB IN by LARKIN,TODD",1
11:10,"SUB OUT by MITCHELL,TRAVIS",,,,,,,"SUB OUT by MITCHELL,TRAVIS",1
11:07,"MISS 3PTR by SOW,BILAL",,,,,,,"MISS 3PTR by SOW,BILAL",1
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",1
10:46,,17 (+9),,8,"GOOD JUMPER by PARKS,JACKSON(in the paint)",HENDRIX 17-8 (-9),,"GOOD JUMPER by PARKS,JACKSON(in the paint)",1
10:33,"MISS JUMPER by LEWIS,JAYDEN",,,,,,,"MISS JUMPER by LEWIS,JAYDEN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
10:18,,,,,"TURNOVER  by CONRAD,ALEX",,,"TURNOVER  by CONRAD,ALEX",1
10:18,"STEAL  by SOW,BILAL",,,,,,,"STEAL  by SOW,BILAL",1
10:02,"MISS 3PTR by ACHIREM,OBED",,,,,,,"MISS 3PTR by ACHIREM,OBED",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
09:49,,17 (+6),,11,"GOOD 3PTR by STANLEY,SETH",HENDRIX 17-11 (-6),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
09:23,"MISS JUMPER by LEWIS,JAYDEN",,,,,,,"MISS JUMPER by LEWIS,JAYDEN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
09:16,,17 (+4),,13,"GOOD LAYUP by FITCH,CARL(fastbreak)(in the paint)",HENDRIX 17-13 (-4),,"GOOD LAYUP by FITCH,CARL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
