Time Remaining,OZARKS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
11:28,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,"REBOUND DEF by ALT,DAWSON",,,,,,,"REBOUND DEF by ALT,DAWSON",1
11:01,"MISS 3PTR by DUKES,JACOB",,,,,,,"MISS 3PTR by DUKES,JACOB",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
10:54,,,,,"MISS 3PTR by PARKS,JACKSON",,,"MISS 3PTR by PARKS,JACKSON",1
--,"REBOUND DEF by DUKES,JACOB",,,,,,,"REBOUND DEF by DUKES,JACOB",1
10:31,"MISS JUMPER by ALT,DAWSON",,,,,,,"MISS JUMPER by ALT,DAWSON",1
--,,,,,"REBOUND DEF by RASBERRY JR.,DARVIS",,,"REBOUND DEF by RASBERRY JR.,DARVIS",1
10:17,,,,,"MISS JUMPER by RASBERRY JR.,DARVIS",,,"MISS JUMPER by RASBERRY JR.,DARVIS",1
--,"REBOUND DEF by WRIGHT,HUNTER",,,,,,,"REBOUND DEF by WRIGHT,HUNTER",1
09:50,"MISS JUMPER by JANGA,ELVIS",,,,,,,"MISS JUMPER by JANGA,ELVIS",1
--,"REBOUND OFF by DUKES,JACOB",,,,,,,"REBOUND OFF by DUKES,JACOB",1
09:45,"MISS LAYUP by DUKES,JACOB",,,,,,,"MISS LAYUP by DUKES,JACOB",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
09:36,,,,,"MISS 3PTR by RASBERRY JR.,DARVIS",,,"MISS 3PTR by RASBERRY JR.,DARVIS",1
--,"REBOUND DEF by DUKES,JACOB",,,,,,,"REBOUND DEF by DUKES,JACOB",1
09:10,"TURNOVER  by WRIGHT,HUNTER",,,,,,,"TURNOVER  by WRIGHT,HUNTER",1
09:10,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
09:10,,17 (+6),,11,"GOOD 3PTR by MCMULLIN,COLTON",HENDRIX 17-11 (-6),,"GOOD 3PTR by MCMULLIN,COLTON",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
09:10,"SUB IN by NIX,GRAYSON",,,,,,,"SUB IN by NIX,GRAYSON",1
09:10,"SUB IN by ROELKE,KAMREN",,,,,,,"SUB IN by ROELKE,KAMREN",1
09:10,"SUB IN by FINLEY,GARRET",,,,,,,"SUB IN by FINLEY,GARRET",1
09:10,"SUB OUT by JANGA,ELVIS",,,,,,,"SUB OUT by JANGA,ELVIS",1
09:10,"SUB OUT by DUKES,JACOB",,,,,,,"SUB OUT by DUKES,JACOB",1
09:10,"SUB OUT by WRIGHT,HUNTER",,,,,,,"SUB OUT by WRIGHT,HUNTER",1
09:10,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
09:10,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
09:10,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
09:10,,,,,"SUB OUT by RASBERRY JR.,DARVIS",,,"SUB OUT by RASBERRY JR.,DARVIS",1
08:42,"GOOD JUMPER by ALT,DAWSON",19 (+8),,11,,OZARKS 19-11 (-8),,"GOOD JUMPER by ALT,DAWSON",1
08:28,,19 (+6),,13,"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIX 19-13 (-6),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
08:03,"GOOD JUMPER by ROELKE,KAMREN",21 (+8),,13,,OZARKS 21-13 (-8),,"GOOD JUMPER by ROELKE,KAMREN",1
07:37,"FOUL  by POWELL,KYRON",,,,,,,"FOUL  by POWELL,KYRON",1
07:37,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:37,"SUB IN by LITTLE,CARTER",,,,,,,"SUB IN by LITTLE,CARTER",1
07:37,"SUB OUT by ALT,DAWSON",,,,,,,"SUB OUT by ALT,DAWSON",1
07:37,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
07:37,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
07:27,,,,,"MISS LAYUP by PARKS,JACKSON",,,"MISS LAYUP by PARKS,JACKSON",1
07:27,"BLOCK  by ROELKE,KAMREN",,,,,,,"BLOCK  by ROELKE,KAMREN",1
--,,,,,"REBOUND OFF by PARKS,JACKSON",,,"REBOUND OFF by PARKS,JACKSON",1
07:19,,21 (+5),,16,"GOOD 3PTR by EATON,JACK",HENDRIX 21-16 (-5),,"GOOD 3PTR by EATON,JACK",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
07:12,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
06:56,"TURNOVER  by ROELKE,KAMREN",,,,,,,"TURNOVER  by ROELKE,KAMREN",1
06:53,,,,,"STEAL  by PARKS,JACKSON",,,"STEAL  by PARKS,JACKSON",1
06:49,,21 (+3),,18,"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 21-18 (-3),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",1
06:30,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
06:30,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
06:24,"MISS JUMPER by ROELKE,KAMREN",,,,,,,"MISS JUMPER by ROELKE,KAMREN",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
06:12,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
--,"REBOUND DEF by POWELL,KYRON",,,,,,,"REBOUND DEF by POWELL,KYRON",1
06:05,"MISS LAYUP by POWELL,KYRON",,,,,,,"MISS LAYUP by POWELL,KYRON",1
06:05,,,,,"BLOCK  by PARKS,JACKSON",,,"BLOCK  by PARKS,JACKSON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:01,"SUB IN by JANGA,ELVIS",,,,,,,"SUB IN by JANGA,ELVIS",1
06:01,"SUB OUT by POWELL,KYRON",,,,,,,"SUB OUT by POWELL,KYRON",1
05:51,"MISS 3PTR by NIX,GRAYSON",,,,,,,"MISS 3PTR by NIX,GRAYSON",1
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",1
05:31,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
