Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
15:39,,2,,13 (+11),"GOOD 3PTR by COMAN,SEAN",HENDRIX 2-13 (+11),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
15:27,"TURNOVER  by SHEN,KEVIN",,,,,,,"TURNOVER  by SHEN,KEVIN",1
15:26,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:26,"SUB IN by WHITE,ELIJAH",,,,,,,"SUB IN by WHITE,ELIJAH",1
15:26,"SUB IN by FITZGERALD,DAVID",,,,,,,"SUB IN by FITZGERALD,DAVID",1
15:26,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
15:26,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
15:14,,2,,16 (+14),"GOOD 3PTR by COMAN,SEAN",HENDRIX 2-16 (+14),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
14:57,"TURNOVER  by WHITE,ELIJAH",,,,,,,"TURNOVER  by WHITE,ELIJAH",1
14:56,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
14:56,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
14:42,,2,,18 (+16),"GOOD LAYUP by RYAN,JONATHAN(in the paint)",HENDRIX 2-18 (+16),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
14:21,"MISS JUMPER by FITZGERALD,DAVID",,,,,,,"MISS JUMPER by FITZGERALD,DAVID",1
