Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",2
16:50,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",2
16:50,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",2
16:50,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
16:50,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
16:50,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
16:37,"GOOD JUMPER by ,DARVIS RASBERRY JR",37,,37,,HENDRIX 37-37 (0),,"GOOD JUMPER by ,DARVIS RASBERRY JR",2
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",2
16:18,,,,,"MISS LAYUP by WILLIAMS,JALEN",,,"MISS LAYUP by WILLIAMS,JALEN",2
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",2
15:53,"MISS JUMPER by FITCH,CARL",,,,,,,"MISS JUMPER by FITCH,CARL",2
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",2
15:43,,,,,"MISS JUMPER by WILLIAMS,JALEN",,,"MISS JUMPER by WILLIAMS,JALEN",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
15:28,"GOOD LAYUP by FITCH,CARL(in the paint)",39 (+2),,37,,HENDRIX 39-37 (+2),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",2
15:12,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",2
15:12,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:12,,39 (+1),,38,"GOOD FT by BAUGHMAN,CARTER",CENTRE 39-38 (+1),,"GOOD FT by BAUGHMAN,CARTER",2
15:12,,39,,39,"GOOD FT by BAUGHMAN,CARTER",CENTRE 39-39 (0),,"GOOD FT by BAUGHMAN,CARTER",2
15:12,"SUB IN by WEAKLEY,CARTER",,,,,,,"SUB IN by WEAKLEY,CARTER",2
15:12,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
15:12,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",2
15:12,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",2
15:00,"MISS 3PTR by WEAKLEY,CARTER",,,,,,,"MISS 3PTR by WEAKLEY,CARTER",2
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",2
14:48,"GOOD 3PTR by ,DARVIS RASBERRY JR",42 (+3),,39,,HENDRIX 42-39 (+3),,"GOOD 3PTR by ,DARVIS RASBERRY JR",2
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",2
14:29,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
14:21,"GOOD 3PTR by ,DARVIS RASBERRY JR(fastbreak)",45 (+6),,39,,HENDRIX 45-39 (+6),,"GOOD 3PTR by ,DARVIS RASBERRY JR(fastbreak)",2
--,"ASSIST  by WEAKLEY,CARTER",,,,,,,"ASSIST  by WEAKLEY,CARTER",2
13:56,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",2
13:56,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",2
13:56,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",2
13:56,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",2
13:56,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",2
13:56,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
13:56,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
13:56,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
13:56,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",2
13:56,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
13:39,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,"REBOUND OFF by STANLEY,SETH",,,,,,,"REBOUND OFF by STANLEY,SETH",2
13:37,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",2
13:35,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",2
13:35,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
13:35,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",2
13:25,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
13:05,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",2
13:00,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",2
13:00,"STEAL  by DEITHLOFF,TYLER",,,,,,,"STEAL  by DEITHLOFF,TYLER",2
12:43,"MISS LAYUP by DEITHLOFF,TYLER",,,,,,,"MISS LAYUP by DEITHLOFF,TYLER",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
12:30,,45 (+4),,41,"GOOD JUMPER by MOORE,CHEZ(in the paint)",CENTRE 45-41 (+4),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",2
12:17,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",2
--,"REBOUND OFF by DEITHLOFF,TYLER",,,,,,,"REBOUND OFF by DEITHLOFF,TYLER",2
12:11,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",2
12:11,,,,,"STEAL  by GERALD,DUSTIN",,,"STEAL  by GERALD,DUSTIN",2
12:11,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",2
12:11,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
12:11,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",2
11:57,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",2
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",2
11:50,"GOOD JUMPER by WEAKLEY,CARTER(fastbreak)(in the paint)",47 (+6),,41,,HENDRIX 47-41 (+6),,"GOOD JUMPER by WEAKLEY,CARTER(fastbreak)(in the paint)",2
11:30,"FOUL  by WEAKLEY,CARTER",,,,,,,"FOUL  by WEAKLEY,CARTER",2
11:30,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:30,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",2
11:30,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
11:27,,47 (+4),,43,"GOOD LAYUP by SMITH,RJ(in the paint)",CENTRE 47-43 (+4),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
11:07,"GOOD JUMPER by WEAKLEY,CARTER(in the paint)",49 (+6),,43,,HENDRIX 49-43 (+6),,"GOOD JUMPER by WEAKLEY,CARTER(in the paint)",2
10:40,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",2
10:40,"STEAL  by PARKS,JACKSON",,,,,,,"STEAL  by PARKS,JACKSON",2
10:35,"MISS LAYUP by PARKS,JACKSON",,,,,,,"MISS LAYUP by PARKS,JACKSON",2
10:35,,,,,"BLOCK  by WILSON,DREW",,,"BLOCK  by WILSON,DREW",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:35,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",2
10:35,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",2
10:35,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
10:35,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",2
10:30,"GOOD 3PTR by STANLEY,SETH",52 (+9),,43,,HENDRIX 52-43 (+9),,"GOOD 3PTR by STANLEY,SETH",2
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",2
10:17,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",2
10:17,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",2
10:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:56,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",2
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",2
09:51,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",2
09:40,,52 (+6),,46,"GOOD 3PTR by SMITH,RJ",CENTRE 52-46 (+6),,"GOOD 3PTR by SMITH,RJ",2
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",2
09:40,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",2
09:40,,,,,"MISS FT by SMITH,RJ",,,"MISS FT by SMITH,RJ",2
09:40,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",2
09:40,"SUB OUT by WEAKLEY,CARTER",,,,,,,"SUB OUT by WEAKLEY,CARTER",2
09:40,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
09:40,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",2
09:40,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
09:40,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
09:31,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
09:17,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",2
09:17,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",2
09:05,"MISS 3PTR by FITCH,CARL",,,,,,,"MISS 3PTR by FITCH,CARL",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
08:47,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
08:27,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
08:27,,,,,"BLOCK  by GERALD,DUSTIN",,,"BLOCK  by GERALD,DUSTIN",2
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",2
08:18,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",2
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",2
08:11,,52 (+4),,48,"GOOD DUNK by SMITH,RJ(in the paint)",CENTRE 52-48 (+4),,"GOOD DUNK by SMITH,RJ(in the paint)",2
07:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:38,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",2
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",2
07:19,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
07:01,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
07:01,,52 (+3),,49,"GOOD FT by SMITH,RJ",CENTRE 52-49 (+3),,"GOOD FT by SMITH,RJ",2
07:01,,52 (+2),,50,"GOOD FT by SMITH,RJ",CENTRE 52-50 (+2),,"GOOD FT by SMITH,RJ",2
07:01,"SUB IN by WEAKLEY,CARTER",,,,,,,"SUB IN by WEAKLEY,CARTER",2
07:01,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",2
07:01,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",2
07:01,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
06:47,"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",54 (+4),,50,,HENDRIX 54-50 (+4),,"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",2
--,"ASSIST  by WEAKLEY,CARTER",,,,,,,"ASSIST  by WEAKLEY,CARTER",2
06:27,,54 (+2),,52,"GOOD JUMPER by GERALD,DUSTIN",CENTRE 54-52 (+2),,"GOOD JUMPER by GERALD,DUSTIN",2
06:10,"GOOD 3PTR by WEAKLEY,CARTER",57 (+5),,52,,HENDRIX 57-52 (+5),,"GOOD 3PTR by WEAKLEY,CARTER",2
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",2
05:50,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
05:50,,,,,"MISS FT by GERALD,DUSTIN",,,"MISS FT by GERALD,DUSTIN",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
05:36,"MISS JUMPER by COMAN,SEAN",,,,,,,"MISS JUMPER by COMAN,SEAN",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
05:16,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",2
05:16,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",2
05:08,"GOOD 3PTR by WEAKLEY,CARTER(fastbreak)",60 (+8),,52,,HENDRIX 60-52 (+8),,"GOOD 3PTR by WEAKLEY,CARTER(fastbreak)",2
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",2
04:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
04:46,,60 (+5),,55,"GOOD 3PTR by WILLIAMS,JALEN",CENTRE 60-55 (+5),,"GOOD 3PTR by WILLIAMS,JALEN",2
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",2
04:38,"MISS 3PTR by WEAKLEY,CARTER",,,,,,,"MISS 3PTR by WEAKLEY,CARTER",2
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",2
04:28,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
--,"REBOUND OFF by WEAKLEY,CARTER",,,,,,,"REBOUND OFF by WEAKLEY,CARTER",2
04:25,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",2
04:09,"MISS 3PTR by WEAKLEY,CARTER",,,,,,,"MISS 3PTR by WEAKLEY,CARTER",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
04:06,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
04:06,,60 (+4),,56,"GOOD FT by SMITH,RJ(fastbreak)",CENTRE 60-56 (+4),,"GOOD FT by SMITH,RJ(fastbreak)",2
04:06,,,,,"MISS FT by SMITH,RJ",,,"MISS FT by SMITH,RJ",2
04:06,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",2
04:06,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",2
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",2
03:37,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
03:21,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",2
--,,,,,"REBOUND OFF by GERALD,DUSTIN",,,"REBOUND OFF by GERALD,DUSTIN",2
03:02,,,,,"MISS JUMPER by SMITH,RJ",,,"MISS JUMPER by SMITH,RJ",2
--,"REBOUND DEF by WEAKLEY,CARTER",,,,,,,"REBOUND DEF by WEAKLEY,CARTER",2
02:40,"TURNOVER  by WEAKLEY,CARTER",,,,,,,"TURNOVER  by WEAKLEY,CARTER",2
02:40,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
02:27,,,,,"MISS 3PTR by GERALD,DUSTIN",,,"MISS 3PTR by GERALD,DUSTIN",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
02:15,"TURNOVER  by WEAKLEY,CARTER",,,,,,,"TURNOVER  by WEAKLEY,CARTER",2
02:15,,,,,"STEAL  by SMITH,RJ",,,"STEAL  by SMITH,RJ",2
02:03,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",2
02:03,,60 (+3),,57,"GOOD FT by SMITH,RJ",CENTRE 60-57 (+3),,"GOOD FT by SMITH,RJ",2
02:03,,,,,"MISS FT by SMITH,RJ",,,"MISS FT by SMITH,RJ",2
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",2
01:47,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",2
01:29,,,,,"MISS LAYUP by SMITH,RJ",,,"MISS LAYUP by SMITH,RJ",2
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",2
01:23,,60,,60,"GOOD 3PTR by GERALD,DUSTIN",CENTRE 60-60 (0),,"GOOD 3PTR by GERALD,DUSTIN",2
--,,,,,"ASSIST  by SMITH,RJ",,,"ASSIST  by SMITH,RJ",2
01:15,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:07,"MISS 3PTR by ,DARVIS RASBERRY JR",,,,,,,"MISS 3PTR by ,DARVIS RASBERRY JR",2
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",2
00:53,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
00:39,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",2
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",2
00:39,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",2
00:18,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",2
00:18,,,,,"BLOCK  by RING,NOAH",,,"BLOCK  by RING,NOAH",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:18,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:18,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
00:18,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
00:13,"GOOD 3PTR by ,DARVIS RASBERRY JR",63 (+3),,60,,HENDRIX 63-60 (+3),,"GOOD 3PTR by ,DARVIS RASBERRY JR",2
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",2
00:04,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",2
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",2
