Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,UCA,Game Score,Team Indicator,Play,Period
13:17,"GOOD LAYUP by CONRAD,ALEX(in the paint)",9,,18 (+9),,HENDRIX 9-18 (-9),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
13:06,,,,,"MISS LAYUP by KAYOULOUD,EDDY",,,"MISS LAYUP by KAYOULOUD,EDDY",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
12:49,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by OLOWOKERE,MASAI",,,"REBOUND DEF by OLOWOKERE,MASAI",1
12:30,,9,,20 (+11),"GOOD JUMPER by KAYOULOUD,EDDY",UCA 9-20 (-11),,"GOOD JUMPER by KAYOULOUD,EDDY",1
--,,,,,"ASSIST  by HUNTER,CAMREN",,,"ASSIST  by HUNTER,CAMREN",1
12:01,"MISS JUMPER by RYAN,JONATHAN",,,,,,,"MISS JUMPER by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by HALL,DARIOUS",,,"REBOUND DEF by HALL,DARIOUS",1
11:53,,,,,"MISS 3PTR by HUNTER,CAMREN",,,"MISS 3PTR by HUNTER,CAMREN",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
11:43,"MISS JUMPER by RYAN,JONATHAN",,,,,,,"MISS JUMPER by RYAN,JONATHAN",1
11:43,,,,,"BLOCK  by HUNTER,CAMREN",,,"BLOCK  by HUNTER,CAMREN",1
--,,,,,"REBOUND DEF by KAYOULOUD,EDDY",,,"REBOUND DEF by KAYOULOUD,EDDY",1
11:37,,,,,"FOUL  by HALL,DARIOUS",,,"FOUL  by HALL,DARIOUS",1
11:37,,,,,"TURNOVER  by HALL,DARIOUS",,,"TURNOVER  by HALL,DARIOUS",1
11:37,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:37,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
11:37,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
11:37,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
11:37,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
11:37,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
11:37,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
11:37,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
11:37,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
11:37,,,,,"SUB IN by CATO,ELIAS",,,"SUB IN by CATO,ELIAS",1
11:37,,,,,"SUB IN by BAKER,JAXSON",,,"SUB IN by BAKER,JAXSON",1
11:37,,,,,"SUB OUT by HALL,DARIOUS",,,"SUB OUT by HALL,DARIOUS",1
11:37,,,,,"SUB OUT by HUNTER,CAMREN",,,"SUB OUT by HUNTER,CAMREN",1
11:26,,,,,"FOUL  by CATO,ELIAS",,,"FOUL  by CATO,ELIAS",1
11:00,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",1
11:00,,,,,"STEAL  by KAYOULOUD,EDDY",,,"STEAL  by KAYOULOUD,EDDY",1
10:57,,,,,"TURNOVER  by KAYOULOUD,EDDY",,,"TURNOVER  by KAYOULOUD,EDDY",1
10:57,"STEAL  by EATON,JACK",,,,,,,"STEAL  by EATON,JACK",1
10:51,"GOOD 3PTR by FITCH,CARL",12,,20 (+8),,HENDRIX 12-20 (-8),,"GOOD 3PTR by FITCH,CARL",1
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",1
10:48,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:37,,12,,22 (+10),"GOOD LAYUP by KAYOULOUD,EDDY(in the paint)",UCA 12-22 (-10),,"GOOD LAYUP by KAYOULOUD,EDDY(in the paint)",1
10:08,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
10:08,,,,,"STEAL  by BAKER,JAXSON",,,"STEAL  by BAKER,JAXSON",1
09:55,,,,,"TURNOVER  by CATO,ELIAS",,,"TURNOVER  by CATO,ELIAS",1
09:55,"STEAL  by FITCH,CARL",,,,,,,"STEAL  by FITCH,CARL",1
09:51,"TURNOVER  by ,DARVIS RASBERRY JR",,,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",1
09:51,,,,,"STEAL  by BAKER,JAXSON",,,"STEAL  by BAKER,JAXSON",1
09:46,,,,,"TURNOVER  by KLINTMAN,IBBE",,,"TURNOVER  by KLINTMAN,IBBE",1
09:46,"STEAL  by PARKS,JACKSON",,,,,,,"STEAL  by PARKS,JACKSON",1
09:40,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by CATO,ELIAS",,,"REBOUND DEF by CATO,ELIAS",1
09:30,,12,,24 (+12),"GOOD JUMPER by KAYOULOUD,EDDY(in the paint)",UCA 12-24 (-12),,"GOOD JUMPER by KAYOULOUD,EDDY(in the paint)",1
--,,,,,"ASSIST  by KLINTMAN,IBBE",,,"ASSIST  by KLINTMAN,IBBE",1
09:30,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
09:30,,12,,25 (+13),"GOOD FT by KAYOULOUD,EDDY",UCA 12-25 (-13),,"GOOD FT by KAYOULOUD,EDDY",1
09:30,,,,,"SUB IN by HUNTER,CAMREN",,,"SUB IN by HUNTER,CAMREN",1
09:30,,,,,"SUB IN by HALL,DARIOUS",,,"SUB IN by HALL,DARIOUS",1
09:30,,,,,"SUB OUT by KLINTMAN,IBBE",,,"SUB OUT by KLINTMAN,IBBE",1
09:30,,,,,"SUB OUT by OLOWOKERE,MASAI",,,"SUB OUT by OLOWOKERE,MASAI",1
09:20,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
09:20,,,,,"STEAL  by CATO,ELIAS",,,"STEAL  by CATO,ELIAS",1
09:16,,,,,"MISS 3PTR by BAKER,JAXSON",,,"MISS 3PTR by BAKER,JAXSON",1
--,"REBOUND DEF by PARKS,JACKSON",,,,,,,"REBOUND DEF by PARKS,JACKSON",1
08:58,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND OFF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",1
08:50,"MISS LAYUP by STANLEY,SETH",,,,,,,"MISS LAYUP by STANLEY,SETH",1
--,,,,,"REBOUND DEF by KAYOULOUD,EDDY",,,"REBOUND DEF by KAYOULOUD,EDDY",1
08:43,,,,,"MISS LAYUP by KAYOULOUD,EDDY",,,"MISS LAYUP by KAYOULOUD,EDDY",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
08:31,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
08:31,,,,,"STEAL  by KAYOULOUD,EDDY",,,"STEAL  by KAYOULOUD,EDDY",1
08:27,,12,,27 (+15),"GOOD DUNK by BAKER,JAXSON(fastbreak)(in the paint)",UCA 12-27 (-15),,"GOOD DUNK by BAKER,JAXSON(fastbreak)(in the paint)",1
07:53,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by BAKER,JAXSON",,,"REBOUND DEF by BAKER,JAXSON",1
07:44,"FOUL  by ,DARVIS RASBERRY JR",,,,,,,"FOUL  by ,DARVIS RASBERRY JR",1
07:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:44,,12,,28 (+16),"GOOD FT by CATO,ELIAS",UCA 12-28 (-16),,"GOOD FT by CATO,ELIAS",1
07:44,,,,,"MISS FT by CATO,ELIAS",,,"MISS FT by CATO,ELIAS",1
07:44,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
07:44,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
07:44,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
07:44,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
07:44,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
07:44,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
07:44,,,,,"SUB IN by CHATHAM,JARED",,,"SUB IN by CHATHAM,JARED",1
07:44,,,,,"SUB OUT by KAYOULOUD,EDDY",,,"SUB OUT by KAYOULOUD,EDDY",1
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",1
07:26,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by HALL,DARIOUS",,,"REBOUND DEF by HALL,DARIOUS",1
07:15,,12,,30 (+18),"GOOD JUMPER by CHATHAM,JARED",UCA 12-30 (-18),,"GOOD JUMPER by CHATHAM,JARED",1
--,,,,,"ASSIST  by HALL,DARIOUS",,,"ASSIST  by HALL,DARIOUS",1
06:54,"MISS JUMPER by RYAN,JONATHAN",,,,,,,"MISS JUMPER by RYAN,JONATHAN",1
--,"REBOUND OFF by RYAN,JONATHAN",,,,,,,"REBOUND OFF by RYAN,JONATHAN",1
06:48,"MISS LAYUP by RYAN,JONATHAN",,,,,,,"MISS LAYUP by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by CHATHAM,JARED",,,"REBOUND DEF by CHATHAM,JARED",1
06:42,,12,,32 (+20),"GOOD LAYUP by HALL,DARIOUS(in the paint)",UCA 12-32 (-20),,"GOOD LAYUP by HALL,DARIOUS(in the paint)",1
06:32,,,,,"FOUL  by CATO,ELIAS",,,"FOUL  by CATO,ELIAS",1
06:21,"GOOD LAYUP by CONRAD,ALEX(in the paint)",14,,32 (+18),,HENDRIX 14-32 (-18),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
06:07,,,,,"MISS 3PTR by CATO,ELIAS",,,"MISS 3PTR by CATO,ELIAS",1
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",1
06:01,,,,,"FOUL  by HALL,DARIOUS",,,"FOUL  by HALL,DARIOUS",1
06:01,,,,,"SUB IN by KLINTMAN,IBBE",,,"SUB IN by KLINTMAN,IBBE",1
06:01,,,,,"SUB OUT by CATO,ELIAS",,,"SUB OUT by CATO,ELIAS",1
05:42,"GOOD LAYUP by FITCH,CARL(in the paint)",16,,32 (+16),,HENDRIX 16-32 (-16),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",1
05:33,,16,,35 (+19),"GOOD 3PTR by HALL,DARIOUS",UCA 16-35 (-19),,"GOOD 3PTR by HALL,DARIOUS",1
--,,,,,"ASSIST  by KLINTMAN,IBBE",,,"ASSIST  by KLINTMAN,IBBE",1
05:15,"MISS JUMPER by RYAN,JONATHAN",,,,,,,"MISS JUMPER by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by CHATHAM,JARED",,,"REBOUND DEF by CHATHAM,JARED",1
05:02,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
05:02,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
05:02,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
04:53,,16,,37 (+21),"GOOD JUMPER by CHATHAM,JARED",UCA 16-37 (-21),,"GOOD JUMPER by CHATHAM,JARED",1
--,,,,,"ASSIST  by HALL,DARIOUS",,,"ASSIST  by HALL,DARIOUS",1
04:28,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
04:28,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
04:24,"MISS JUMPER by CONRAD,ALEX",,,,,,,"MISS JUMPER by CONRAD,ALEX",1
04:24,,,,,"BLOCK  by KLINTMAN,IBBE",,,"BLOCK  by KLINTMAN,IBBE",1
--,"REBOUND OFF by DEITHLOFF,TYLER",,,,,,,"REBOUND OFF by DEITHLOFF,TYLER",1
04:18,"GOOD LAYUP by CONRAD,ALEX(in the paint)",18,,37 (+19),,HENDRIX 18-37 (-19),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,"ASSIST  by DEITHLOFF,TYLER",,,,,,,"ASSIST  by DEITHLOFF,TYLER",1
04:01,,,,,"MISS LAYUP by HUNTER,CAMREN",,,"MISS LAYUP by HUNTER,CAMREN",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
03:53,,,,,"FOUL  by CHATHAM,JARED",,,"FOUL  by CHATHAM,JARED",1
03:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:53,"GOOD FT by STANLEY,SETH(fastbreak)",19,,37 (+18),,HENDRIX 19-37 (-18),,"GOOD FT by STANLEY,SETH(fastbreak)",1
03:53,"GOOD FT by STANLEY,SETH(fastbreak)",20,,37 (+17),,HENDRIX 20-37 (-17),,"GOOD FT by STANLEY,SETH(fastbreak)",1
03:53,,,,,"SUB IN by KAYOULOUD,EDDY",,,"SUB IN by KAYOULOUD,EDDY",1
03:53,,,,,"SUB OUT by CHATHAM,JARED",,,"SUB OUT by CHATHAM,JARED",1
03:41,,,,,"MISS 3PTR by KLINTMAN,IBBE",,,"MISS 3PTR by KLINTMAN,IBBE",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
03:13,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",1
03:13,,,,,"STEAL  by KLINTMAN,IBBE",,,"STEAL  by KLINTMAN,IBBE",1
03:07,,,,,"TURNOVER  by HALL,DARIOUS",,,"TURNOVER  by HALL,DARIOUS",1
03:07,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",1
02:59,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by KAYOULOUD,EDDY",,,"REBOUND DEF by KAYOULOUD,EDDY",1
02:43,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
02:43,,20,,38 (+18),"GOOD FT by KAYOULOUD,EDDY",UCA 20-38 (-18),,"GOOD FT by KAYOULOUD,EDDY",1
02:43,,20,,39 (+19),"GOOD FT by KAYOULOUD,EDDY",UCA 20-39 (-19),,"GOOD FT by KAYOULOUD,EDDY",1
02:43,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
02:43,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
02:43,,,,,"SUB IN by OLOWOKERE,MASAI",,,"SUB IN by OLOWOKERE,MASAI",1
02:43,,,,,"SUB OUT by BAKER,JAXSON",,,"SUB OUT by BAKER,JAXSON",1
02:33,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by KLINTMAN,IBBE",,,"REBOUND DEF by KLINTMAN,IBBE",1
02:24,,20,,41 (+21),"GOOD LAYUP by HALL,DARIOUS(in the paint)",UCA 20-41 (-21),,"GOOD LAYUP by HALL,DARIOUS(in the paint)",1
--,,,,,"ASSIST  by KLINTMAN,IBBE",,,"ASSIST  by KLINTMAN,IBBE",1
02:05,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by OLOWOKERE,MASAI",,,"REBOUND DEF by OLOWOKERE,MASAI",1
02:00,,,,,"MISS 3PTR by HUNTER,CAMREN",,,"MISS 3PTR by HUNTER,CAMREN",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
01:41,,,,,"FOUL  by HUNTER,CAMREN",,,"FOUL  by HUNTER,CAMREN",1
01:41,"GOOD FT by ,DARVIS RASBERRY JR",21,,41 (+20),,HENDRIX 21-41 (-20),,"GOOD FT by ,DARVIS RASBERRY JR",1
01:41,"GOOD FT by ,DARVIS RASBERRY JR",22,,41 (+19),,HENDRIX 22-41 (-19),,"GOOD FT by ,DARVIS RASBERRY JR",1
01:21,,22,,43 (+21),"GOOD LAYUP by KAYOULOUD,EDDY(in the paint)",UCA 22-43 (-21),,"GOOD LAYUP by KAYOULOUD,EDDY(in the paint)",1
01:09,"GOOD LAYUP by EATON,JACK(in the paint)",24,,43 (+19),,HENDRIX 24-43 (-19),,"GOOD LAYUP by EATON,JACK(in the paint)",1
00:45,,24,,45 (+21),"GOOD LAYUP by KAYOULOUD,EDDY(in the paint)",UCA 24-45 (-21),,"GOOD LAYUP by KAYOULOUD,EDDY(in the paint)",1
--,,,,,"ASSIST  by HUNTER,CAMREN",,,"ASSIST  by HUNTER,CAMREN",1
00:19,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
00:19,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
00:13,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",1
00:13,,,,,"STEAL  by KLINTMAN,IBBE",,,"STEAL  by KLINTMAN,IBBE",1
00:09,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",1
00:09,,24,,46 (+22),"GOOD FT by KLINTMAN,IBBE(fastbreak)",UCA 24-46 (-22),,"GOOD FT by KLINTMAN,IBBE(fastbreak)",1
00:09,,24,,47 (+23),"GOOD FT by KLINTMAN,IBBE(fastbreak)",UCA 24-47 (-23),,"GOOD FT by KLINTMAN,IBBE(fastbreak)",1
00:09,,,,,"SUB IN by MUNSON,JONAS",,,"SUB IN by MUNSON,JONAS",1
00:09,,,,,"SUB OUT by HALL,DARIOUS",,,"SUB OUT by HALL,DARIOUS",1
00:04,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
00:04,,,,,"STEAL  by OLOWOKERE,MASAI",,,"STEAL  by OLOWOKERE,MASAI",1
00:00,,,,,"MISS 3PTR by OLOWOKERE,MASAI",,,"MISS 3PTR by OLOWOKERE,MASAI",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:42,"GOOD JUMPER by STANLEY,SETH",26,,47 (+21),,HENDRIX 26-47 (-21),,"GOOD JUMPER by STANLEY,SETH",2
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",2
19:27,,26,,50 (+24),"GOOD 3PTR by HALL,DARIOUS",UCA 26-50 (-24),,"GOOD 3PTR by HALL,DARIOUS",2
--,,,,,"ASSIST  by KLINTMAN,IBBE",,,"ASSIST  by KLINTMAN,IBBE",2
18:59,"MISS JUMPER by FITCH,CARL",,,,,,,"MISS JUMPER by FITCH,CARL",2
--,,,,,"REBOUND DEF by HALL,DARIOUS",,,"REBOUND DEF by HALL,DARIOUS",2
18:50,,,,,"FOUL  by CHATHAM,JARED",,,"FOUL  by CHATHAM,JARED",2
18:50,,,,,"TURNOVER  by CHATHAM,JARED",,,"TURNOVER  by CHATHAM,JARED",2
18:50,,,,,"SUB IN by KAYOULOUD,EDDY",,,"SUB IN by KAYOULOUD,EDDY",2
18:50,,,,,"SUB OUT by CHATHAM,JARED",,,"SUB OUT by CHATHAM,JARED",2
18:34,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by OLOWOKERE,MASAI",,,"REBOUND DEF by OLOWOKERE,MASAI",2
18:26,,,,,"MISS 3PTR by OLOWOKERE,MASAI",,,"MISS 3PTR by OLOWOKERE,MASAI",2
--,,,,,"REBOUND OFF by KAYOULOUD,EDDY",,,"REBOUND OFF by KAYOULOUD,EDDY",2
18:20,,26,,52 (+26),"GOOD LAYUP by KAYOULOUD,EDDY(in the paint)",UCA 26-52 (-26),,"GOOD LAYUP by KAYOULOUD,EDDY(in the paint)",2
18:05,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",2
18:05,,,,,"STEAL  by HUNTER,CAMREN",,,"STEAL  by HUNTER,CAMREN",2
