Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,DALLAS,Game Score,Team Indicator,Play,Period
13:19,,,,,"SUB IN by BOYLE,JACK",,,"SUB IN by BOYLE,JACK",1
13:19,,,,,"SUB OUT by HYDE,CAMERAN",,,"SUB OUT by HYDE,CAMERAN",1
13:19,,,,,"SUB OUT by TOUSSAINT,LETRELL",,,"SUB OUT by TOUSSAINT,LETRELL",1
13:05,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
13:02,,,,,"MISS LAYUP by JR,LOUIS CHRISTIFANO",,,"MISS LAYUP by JR,LOUIS CHRISTIFANO",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
12:49,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:45,,,,,"SUB IN by HYDE,CAMERAN",,,"SUB IN by HYDE,CAMERAN",1
12:45,,,,,"SUB OUT by JUAREZ,MARCUS",,,"SUB OUT by JUAREZ,MARCUS",1
12:35,,21 (+13),,8,"GOOD LAYUP by JR,LOUIS CHRISTIFANO(in the paint)",DALLAS 21-8 (+13),,"GOOD LAYUP by JR,LOUIS CHRISTIFANO(in the paint)",1
12:12,"MISS LAYUP by ,DARVIS RASBERRY JR",,,,,,,"MISS LAYUP by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",1
12:06,,21 (+11),,10,"GOOD LAYUP by HYDE,CAMERAN(fastbreak)(in the paint)",DALLAS 21-10 (+11),,"GOOD LAYUP by HYDE,CAMERAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by LOVE,JAI",,,"ASSIST  by LOVE,JAI",1
11:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:46,"MISS JUMPER by DEITHLOFF,TYLER",,,,,,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",1
11:18,,,,,"MISS 3PTR by JUAREZ,MARCUS",,,"MISS 3PTR by JUAREZ,MARCUS",1
--,,,,,"REBOUND OFF by HYDE,CAMERAN",,,"REBOUND OFF by HYDE,CAMERAN",1
11:11,,,,,"SUB IN by JUAREZ,MARCUS",,,"SUB IN by JUAREZ,MARCUS",1
11:11,,,,,"SUB OUT by JR,LOUIS CHRISTIFANO",,,"SUB OUT by JR,LOUIS CHRISTIFANO",1
10:57,,21 (+9),,12,"GOOD JUMPER by JUAREZ,MARCUS",DALLAS 21-12 (+9),,"GOOD JUMPER by JUAREZ,MARCUS",1
--,,,,,"ASSIST  by LOVE,JAI",,,"ASSIST  by LOVE,JAI",1
10:42,"MISS LAYUP by RYAN,JONATHAN",,,,,,,"MISS LAYUP by RYAN,JONATHAN",1
--,"REBOUND OFF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",1
10:38,"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",23 (+11),,12,,HENDRIX 23-12 (+11),,"GOOD LAYUP by ,DARVIS RASBERRY JR(in the paint)",1
10:24,,,,,"TURNOVER  by BOYLE,JACK",,,"TURNOVER  by BOYLE,JACK",1
10:24,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
10:24,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
10:24,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
10:24,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
10:24,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
10:24,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
10:24,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
10:24,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
10:24,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
10:24,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",1
10:08,"TURNOVER  by CONRAD,ALEX",,,,,,,"TURNOVER  by CONRAD,ALEX",1
09:50,,,,,"MISS JUMPER by BOYLE,JACK",,,"MISS JUMPER by BOYLE,JACK",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
09:44,,,,,"FOUL  by HYDE,CAMERAN",,,"FOUL  by HYDE,CAMERAN",1
09:44,,,,,"SUB IN by JR,LOUIS CHRISTIFANO",,,"SUB IN by JR,LOUIS CHRISTIFANO",1
09:44,,,,,"SUB OUT by HYDE,CAMERAN",,,"SUB OUT by HYDE,CAMERAN",1
09:30,"MISS LAYUP by COMAN,SEAN",,,,,,,"MISS LAYUP by COMAN,SEAN",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
09:24,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by LOVE,JAI",,,"REBOUND DEF by LOVE,JAI",1
09:15,,,,,"MISS 3PTR by LOVE,JAI",,,"MISS 3PTR by LOVE,JAI",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
09:00,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by LOVE,JAI",,,"REBOUND DEF by LOVE,JAI",1
08:51,,23 (+8),,15,"GOOD 3PTR by JR,LOUIS CHRISTIFANO",DALLAS 23-15 (+8),,"GOOD 3PTR by JR,LOUIS CHRISTIFANO",1
--,,,,,"ASSIST  by LOVE,JAI",,,"ASSIST  by LOVE,JAI",1
08:25,,,,,"FOUL  by JUAREZ,MARCUS",,,"FOUL  by JUAREZ,MARCUS",1
08:25,"GOOD FT by STANLEY,SETH",24 (+9),,15,,HENDRIX 24-15 (+9),,"GOOD FT by STANLEY,SETH",1
08:25,"GOOD FT by STANLEY,SETH",25 (+10),,15,,HENDRIX 25-15 (+10),,"GOOD FT by STANLEY,SETH",1
08:25,,,,,"SUB IN by HOLLOWAY,MATT",,,"SUB IN by HOLLOWAY,MATT",1
08:25,,,,,"SUB OUT by LOVE,JAI",,,"SUB OUT by LOVE,JAI",1
08:03,,,,,"MISS JUMPER by JUAREZ,MARCUS",,,"MISS JUMPER by JUAREZ,MARCUS",1
--,,,,,"REBOUND OFF by BOYLE,JACK",,,"REBOUND OFF by BOYLE,JACK",1
07:58,,,,,"MISS LAYUP by BOYLE,JACK",,,"MISS LAYUP by BOYLE,JACK",1
--,,,,,"REBOUND OFF by BOYLE,JACK",,,"REBOUND OFF by BOYLE,JACK",1
07:54,,,,,"MISS LAYUP by BOYLE,JACK",,,"MISS LAYUP by BOYLE,JACK",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
07:37,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",1
07:26,,25 (+8),,17,"GOOD JUMPER by JR,LOUIS CHRISTIFANO(in the paint)",DALLAS 25-17 (+8),,"GOOD JUMPER by JR,LOUIS CHRISTIFANO(in the paint)",1
--,,,,,"ASSIST  by HOLLOWAY,MATT",,,"ASSIST  by HOLLOWAY,MATT",1
07:01,"GOOD JUMPER by PARKS,JACKSON(in the paint)",27 (+10),,17,,HENDRIX 27-17 (+10),,"GOOD JUMPER by PARKS,JACKSON(in the paint)",1
06:52,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",1
06:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:52,,,,,"TURNOVER  by JUAREZ,MARCUS",,,"TURNOVER  by JUAREZ,MARCUS",1
06:52,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
06:52,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
06:37,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",1
06:08,,27 (+8),,19,"GOOD JUMPER by TOUSSAINT,LETRELL",DALLAS 27-19 (+8),,"GOOD JUMPER by TOUSSAINT,LETRELL",1
--,,,,,"ASSIST  by HOLLOWAY,MATT",,,"ASSIST  by HOLLOWAY,MATT",1
05:53,,,,,"SUB IN by TOUSSAINT,LETRELL",,,"SUB IN by TOUSSAINT,LETRELL",1
05:53,,,,,"SUB OUT by BOYLE,JACK",,,"SUB OUT by BOYLE,JACK",1
05:40,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by JUAREZ,MARCUS",,,"REBOUND DEF by JUAREZ,MARCUS",1
05:29,,,,,"TURNOVER  by JUAREZ,MARCUS",,,"TURNOVER  by JUAREZ,MARCUS",1
05:29,"STEAL  by STANLEY,SETH",,,,,,,"STEAL  by STANLEY,SETH",1
05:19,"GOOD 3PTR by COMAN,SEAN",30 (+11),,19,,HENDRIX 30-19 (+11),,"GOOD 3PTR by COMAN,SEAN",1
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",1
04:55,,,,,"MISS LAYUP by JUAREZ,MARCUS",,,"MISS LAYUP by JUAREZ,MARCUS",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
04:46,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",32 (+13),,19,,HENDRIX 32-19 (+13),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
04:46,,,,,"FOUL  by HOLLOWAY,MATT",,,"FOUL  by HOLLOWAY,MATT",1
04:46,"MISS FT by RYAN,JONATHAN",,,,,,,"MISS FT by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",,,"REBOUND DEF by TOUSSAINT,LETRELL",1
04:43,,,,,"SUB IN by LOVE,JAI",,,"SUB IN by LOVE,JAI",1
04:43,,,,,"SUB IN by BOYLE,JACK",,,"SUB IN by BOYLE,JACK",1
04:43,,,,,"SUB OUT by JR,LOUIS CHRISTIFANO",,,"SUB OUT by JR,LOUIS CHRISTIFANO",1
04:43,,,,,"SUB OUT by JUAREZ,MARCUS",,,"SUB OUT by JUAREZ,MARCUS",1
04:30,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
04:30,,,,,"MISS FT by LOVE,JAI",,,"MISS FT by LOVE,JAI",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:30,,32 (+12),,20,"GOOD FT by LOVE,JAI",DALLAS 32-20 (+12),,"GOOD FT by LOVE,JAI",1
04:30,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
04:30,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
03:58,"GOOD 3PTR by DEITHLOFF,TYLER",35 (+15),,20,,HENDRIX 35-20 (+15),,"GOOD 3PTR by DEITHLOFF,TYLER",1
--,"ASSIST  by RYAN,JONATHAN",,,,,,,"ASSIST  by RYAN,JONATHAN",1
03:43,,35 (+13),,22,"GOOD JUMPER by LOVE,JAI",DALLAS 35-22 (+13),,"GOOD JUMPER by LOVE,JAI",1
03:24,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by HOLLOWAY,MATT",,,"REBOUND DEF by HOLLOWAY,MATT",1
03:21,"FOUL  by RYAN,JONATHAN",,,,,,,"FOUL  by RYAN,JONATHAN",1
03:21,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:04,,35 (+11),,24,"GOOD JUMPER by LOVE,JAI",DALLAS 35-24 (+11),,"GOOD JUMPER by LOVE,JAI",1
03:00,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
03:00,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
02:44,"GOOD LAYUP by EATON,JACK(in the paint)",37 (+13),,24,,HENDRIX 37-24 (+13),,"GOOD LAYUP by EATON,JACK(in the paint)",1
02:24,,37 (+11),,26,"GOOD LAYUP by BOYLE,JACK(in the paint)",DALLAS 37-26 (+11),,"GOOD LAYUP by BOYLE,JACK(in the paint)",1
--,,,,,"ASSIST  by LOVE,JAI",,,"ASSIST  by LOVE,JAI",1
02:06,,,,,"FOUL  by TOUSSAINT,LETRELL",,,"FOUL  by TOUSSAINT,LETRELL",1
02:06,,,,,"SUB IN by JR,LOUIS CHRISTIFANO",,,"SUB IN by JR,LOUIS CHRISTIFANO",1
02:06,,,,,"SUB IN by JUAREZ,MARCUS",,,"SUB IN by JUAREZ,MARCUS",1
02:06,,,,,"SUB OUT by HOLLOWAY,MATT",,,"SUB OUT by HOLLOWAY,MATT",1
02:06,,,,,"SUB OUT by WASHINGTON,UNIIKYE",,,"SUB OUT by WASHINGTON,UNIIKYE",1
02:02,"GOOD JUMPER by STANLEY,SETH",39 (+13),,26,,HENDRIX 39-26 (+13),,"GOOD JUMPER by STANLEY,SETH",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
01:46,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
01:46,,,,,"MISS FT by TOUSSAINT,LETRELL",,,"MISS FT by TOUSSAINT,LETRELL",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
01:35,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
01:35,,,,,"STEAL  by BOYLE,JACK",,,"STEAL  by BOYLE,JACK",1
01:07,,39 (+10),,29,"GOOD 3PTR by LOVE,JAI",DALLAS 39-29 (+10),,"GOOD 3PTR by LOVE,JAI",1
--,,,,,"ASSIST  by TOUSSAINT,LETRELL",,,"ASSIST  by TOUSSAINT,LETRELL",1
00:44,,,,,"FOUL  by JUAREZ,MARCUS",,,"FOUL  by JUAREZ,MARCUS",1
00:44,"GOOD FT by STANLEY,SETH",40 (+11),,29,,HENDRIX 40-29 (+11),,"GOOD FT by STANLEY,SETH",1
00:44,"GOOD FT by STANLEY,SETH",41 (+12),,29,,HENDRIX 41-29 (+12),,"GOOD FT by STANLEY,SETH",1
00:44,,,,,"SUB IN by WASHINGTON,UNIIKYE",,,"SUB IN by WASHINGTON,UNIIKYE",1
00:44,,,,,"SUB OUT by JUAREZ,MARCUS",,,"SUB OUT by JUAREZ,MARCUS",1
00:29,,,,,"MISS 3PTR by WASHINGTON,UNIIKYE",,,"MISS 3PTR by WASHINGTON,UNIIKYE",1
--,,,,,"REBOUND OFF by BOYLE,JACK",,,"REBOUND OFF by BOYLE,JACK",1
00:25,,,,,"FOUL  by BOYLE,JACK",,,"FOUL  by BOYLE,JACK",1
00:25,,,,,"TURNOVER  by BOYLE,JACK",,,"TURNOVER  by BOYLE,JACK",1
00:02,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
00:00,,,,,"MISS 3PTR by WASHINGTON,UNIIKYE",,,"MISS 3PTR by WASHINGTON,UNIIKYE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:53,,,,,"TURNOVER  by JR,LOUIS CHRISTIFANO",,,"TURNOVER  by JR,LOUIS CHRISTIFANO",2
19:23,"GOOD 3PTR by COMAN,SEAN",44 (+15),,29,,HENDRIX 44-29 (+15),,"GOOD 3PTR by COMAN,SEAN",2
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",2
19:07,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",2
19:07,,44 (+14),,30,"GOOD FT by JR,LOUIS CHRISTIFANO",DALLAS 44-30 (+14),,"GOOD FT by JR,LOUIS CHRISTIFANO",2
19:07,,44 (+13),,31,"GOOD FT by JR,LOUIS CHRISTIFANO",DALLAS 44-31 (+13),,"GOOD FT by JR,LOUIS CHRISTIFANO",2
18:48,"GOOD 3PTR by FITCH,CARL",47 (+16),,31,,HENDRIX 47-31 (+16),,"GOOD 3PTR by FITCH,CARL",2
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",2
18:33,,,,,"MISS JUMPER by LOVE,JAI",,,"MISS JUMPER by LOVE,JAI",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
