Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
01:18,,65,,80 (+15),"GOOD FT by COMAN,SEAN(fastbreak)",HENDRIX 65-80 (+15),,"GOOD FT by COMAN,SEAN(fastbreak)",2
01:05,"GOOD 3PTR by GLOVER,CAMERON",68,,80 (+12),,BSC 68-80 (+12),,"GOOD 3PTR by GLOVER,CAMERON",2
--,"ASSIST  by SIGLER,EVAN",,,,,,,"ASSIST  by SIGLER,EVAN",2
01:02,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",2
01:02,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",2
01:02,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
01:02,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
01:01,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
01:01,,68,,81 (+13),"GOOD FT by EATON,JACK(fastbreak)",HENDRIX 68-81 (+13),,"GOOD FT by EATON,JACK(fastbreak)",2
01:01,,68,,82 (+14),"GOOD FT by EATON,JACK(fastbreak)",HENDRIX 68-82 (+14),,"GOOD FT by EATON,JACK(fastbreak)",2
01:01,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",2
01:01,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",2
01:01,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",2
01:01,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
01:01,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
01:01,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
00:54,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
00:54,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",2
00:45,,68,,84 (+16),"GOOD DUNK by STANLEY,SETH(in the paint)",HENDRIX 68-84 (+16),,"GOOD DUNK by STANLEY,SETH(in the paint)",2
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",2
00:37,"MISS JUMPER by TOULIATOS,LUKE",,,,,,,"MISS JUMPER by TOULIATOS,LUKE",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
00:10,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
00:10,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",2
00:10,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",2
00:10,,,,,"SUB IN by BOWER,CARSON",,,"SUB IN by BOWER,CARSON",2
00:10,,,,,"SUB IN by GIBSON,JASON",,,"SUB IN by GIBSON,JASON",2
00:10,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
00:10,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
00:10,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
00:10,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",2
00:10,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
00:10,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
00:03,"MISS LAYUP by GLOVER,CAMERON",,,,,,,"MISS LAYUP by GLOVER,CAMERON",2
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",2
00:00,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",70,,84 (+14),,BSC 70-84 (+14),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
