Time Remaining,BERRY,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
13:57,,9 (+2),,7,"GOOD FT by ,DARVIS RASBERRY JR",HENDRIX 9-7 (-2),,"GOOD FT by ,DARVIS RASBERRY JR",1
13:57,,9 (+1),,8,"GOOD FT by ,DARVIS RASBERRY JR",HENDRIX 9-8 (-1),,"GOOD FT by ,DARVIS RASBERRY JR",1
13:57,"SUB IN by RUSCIANO,ROBBIE",,,,,,,"SUB IN by RUSCIANO,ROBBIE",1
13:57,"SUB OUT by COSTAS,RILEY",,,,,,,"SUB OUT by COSTAS,RILEY",1
13:57,,,,,"SUB IN by BOWER,CARSON",,,"SUB IN by BOWER,CARSON",1
13:57,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
13:57,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
13:57,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
13:57,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
13:57,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
13:43,"MISS 3PTR by RUSCIANO,ROBBIE",,,,,,,"MISS 3PTR by RUSCIANO,ROBBIE",1
--,,,,,"REBOUND DEF by BOWER,CARSON",,,"REBOUND DEF by BOWER,CARSON",1
13:31,,,,,"MISS JUMPER by PARKS,JACKSON",,,"MISS JUMPER by PARKS,JACKSON",1
--,"REBOUND DEF by RUSCIANO,ROBBIE",,,,,,,"REBOUND DEF by RUSCIANO,ROBBIE",1
13:15,"MISS LAYUP by SEGALL,RYAN",,,,,,,"MISS LAYUP by SEGALL,RYAN",1
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",1
13:01,,,,,"TURNOVER  by BOWER,CARSON",,,"TURNOVER  by BOWER,CARSON",1
13:00,"STEAL  by BENHAM,BRAXTON",,,,,,,"STEAL  by BENHAM,BRAXTON",1
12:57,"GOOD DUNK by BENHAM,BRAXTON(fastbreak)(in the paint)",11 (+3),,8,,BERRY 11-8 (-3),,"GOOD DUNK by BENHAM,BRAXTON(fastbreak)(in the paint)",1
12:36,"FOUL  by CAMPBELL,BLAKE",,,,,,,"FOUL  by CAMPBELL,BLAKE",1
12:36,"SUB IN by CRAFT,JAKE",,,,,,,"SUB IN by CRAFT,JAKE",1
12:36,"SUB OUT by CAMPBELL,BLAKE",,,,,,,"SUB OUT by CAMPBELL,BLAKE",1
12:36,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",1
12:36,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
12:30,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",,,"TURNOVER  by ,DARVIS RASBERRY JR",1
12:30,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",1
12:30,"SUB OUT by SEGALL,RYAN",,,,,,,"SUB OUT by SEGALL,RYAN",1
12:16,"GOOD 3PTR by RUSCIANO,ROBBIE",14 (+6),,8,,BERRY 14-8 (-6),,"GOOD 3PTR by RUSCIANO,ROBBIE",1
--,"ASSIST  by BENHAM,BRAXTON",,,,,,,"ASSIST  by BENHAM,BRAXTON",1
11:45,,,,,"TURNOVER  by BOWER,CARSON",,,"TURNOVER  by BOWER,CARSON",1
11:44,"STEAL  by ELLIS,CHASE",,,,,,,"STEAL  by ELLIS,CHASE",1
11:39,"GOOD LAYUP by CRAFT,JAKE(in the paint)",16 (+8),,8,,BERRY 16-8 (-8),,"GOOD LAYUP by CRAFT,JAKE(in the paint)",1
--,"ASSIST  by BENHAM,BRAXTON",,,,,,,"ASSIST  by BENHAM,BRAXTON",1
11:20,,,,,"MISS 3PTR by WEAKLEY,CARTER",,,"MISS 3PTR by WEAKLEY,CARTER",1
--,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",,,"REBOUND OFF by ,DARVIS RASBERRY JR",1
11:15,"FOUL  by BROOKS,AUSTIN",,,,,,,"FOUL  by BROOKS,AUSTIN",1
11:15,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:15,,16 (+7),,9,"GOOD FT by ,DARVIS RASBERRY JR",HENDRIX 16-9 (-7),,"GOOD FT by ,DARVIS RASBERRY JR",1
11:15,,,,,"MISS FT by ,DARVIS RASBERRY JR",,,"MISS FT by ,DARVIS RASBERRY JR",1
--,"REBOUND DEF by RUSCIANO,ROBBIE",,,,,,,"REBOUND DEF by RUSCIANO,ROBBIE",1
11:15,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
11:15,,,,,"SUB OUT by BOWER,CARSON",,,"SUB OUT by BOWER,CARSON",1
11:03,,,,,"FOUL  by WEAKLEY,CARTER",,,"FOUL  by WEAKLEY,CARTER",1
11:03,"GOOD FT by BROOKS,AUSTIN",17 (+8),,9,,BERRY 17-9 (-8),,"GOOD FT by BROOKS,AUSTIN",1
11:03,"MISS FT by BROOKS,AUSTIN",,,,,,,"MISS FT by BROOKS,AUSTIN",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
11:03,"SUB IN by HONROTH,OWEN",,,,,,,"SUB IN by HONROTH,OWEN",1
11:03,"SUB OUT by ELLIS,CHASE",,,,,,,"SUB OUT by ELLIS,CHASE",1
11:03,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
11:03,,,,,"SUB OUT by ,DARVIS RASBERRY JR",,,"SUB OUT by ,DARVIS RASBERRY JR",1
10:50,"FOUL  by CRAFT,JAKE",,,,,,,"FOUL  by CRAFT,JAKE",1
10:50,,17 (+7),,10,"GOOD FT by COMAN,SEAN",HENDRIX 17-10 (-7),,"GOOD FT by COMAN,SEAN",1
10:50,,,,,"MISS FT by COMAN,SEAN",,,"MISS FT by COMAN,SEAN",1
--,"REBOUND DEF by RUSCIANO,ROBBIE",,,,,,,"REBOUND DEF by RUSCIANO,ROBBIE",1
10:45,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",19 (+9),,10,,BERRY 19-10 (-9),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
--,"ASSIST  by BENHAM,BRAXTON",,,,,,,"ASSIST  by BENHAM,BRAXTON",1
10:29,,19 (+7),,12,"GOOD LAYUP by WEAKLEY,CARTER(in the paint)",HENDRIX 19-12 (-7),,"GOOD LAYUP by WEAKLEY,CARTER(in the paint)",1
10:17,"TURNOVER  by BENHAM,BRAXTON",,,,,,,"TURNOVER  by BENHAM,BRAXTON",1
10:16,,,,,"STEAL  by DEITHLOFF,TYLER",,,"STEAL  by DEITHLOFF,TYLER",1
10:12,,,,,"MISS LAYUP by DEITHLOFF,TYLER",,,"MISS LAYUP by DEITHLOFF,TYLER",1
10:12,"BLOCK  by BENHAM,BRAXTON",,,,,,,"BLOCK  by BENHAM,BRAXTON",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
10:05,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND DEF by BENHAM,BRAXTON",,,,,,,"REBOUND DEF by BENHAM,BRAXTON",1
09:58,"SUB IN by JOHNSON,MICHAEL",,,,,,,"SUB IN by JOHNSON,MICHAEL",1
09:58,"SUB OUT by BENHAM,BRAXTON",,,,,,,"SUB OUT by BENHAM,BRAXTON",1
09:58,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
09:58,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
09:58,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
09:58,,,,,"SUB OUT by WEAKLEY,CARTER",,,"SUB OUT by WEAKLEY,CARTER",1
09:50,"GOOD 3PTR by RUSCIANO,ROBBIE",22 (+10),,12,,BERRY 22-12 (-10),,"GOOD 3PTR by RUSCIANO,ROBBIE",1
--,"ASSIST  by HONROTH,OWEN",,,,,,,"ASSIST  by HONROTH,OWEN",1
09:25,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
09:17,"MISS 3PTR by HONROTH,OWEN",,,,,,,"MISS 3PTR by HONROTH,OWEN",1
--,"REBOUND OFF by RUSCIANO,ROBBIE",,,,,,,"REBOUND OFF by RUSCIANO,ROBBIE",1
09:10,"GOOD 3PTR by RUSCIANO,ROBBIE",25 (+13),,12,,BERRY 25-12 (-13),,"GOOD 3PTR by RUSCIANO,ROBBIE",1
--,"ASSIST  by HONROTH,OWEN",,,,,,,"ASSIST  by HONROTH,OWEN",1
09:06,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:06,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",1
09:06,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
08:43,,25 (+11),,14,"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 25-14 (-11),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
08:28,"GOOD LAYUP by JOHNSON,MICHAEL(in the paint)",27 (+13),,14,,BERRY 27-14 (-13),,"GOOD LAYUP by JOHNSON,MICHAEL(in the paint)",1
08:07,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",1
08:07,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",1
07:50,"MISS 3PTR by HONROTH,OWEN",,,,,,,"MISS 3PTR by HONROTH,OWEN",1
--,"REBOUND OFF by JOHNSON,MICHAEL",,,,,,,"REBOUND OFF by JOHNSON,MICHAEL",1
07:44,"GOOD TIPIN by JOHNSON,MICHAEL(in the paint)",29 (+15),,14,,BERRY 29-14 (-15),,"GOOD TIPIN by JOHNSON,MICHAEL(in the paint)",1
07:41,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
07:41,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:41,"GOOD FT by JOHNSON,MICHAEL",30 (+16),,14,,BERRY 30-14 (-16),,"GOOD FT by JOHNSON,MICHAEL",1
07:41,"SUB IN by ELLIS,CHASE",,,,,,,"SUB IN by ELLIS,CHASE",1
07:41,"SUB OUT by CRAFT,JAKE",,,,,,,"SUB OUT by CRAFT,JAKE",1
07:41,,,,,"SUB IN by ,DARVIS RASBERRY JR",,,"SUB IN by ,DARVIS RASBERRY JR",1
07:41,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",1
07:28,,30 (+14),,16,"GOOD JUMPER by ,DARVIS RASBERRY JR",HENDRIX 30-16 (-14),,"GOOD JUMPER by ,DARVIS RASBERRY JR",1
07:18,"GOOD 3PTR by RUSCIANO,ROBBIE",33 (+17),,16,,BERRY 33-16 (-17),,"GOOD 3PTR by RUSCIANO,ROBBIE",1
--,"ASSIST  by JOHNSON,MICHAEL",,,,,,,"ASSIST  by JOHNSON,MICHAEL",1
06:55,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",1
06:55,"BLOCK  by RUSCIANO,ROBBIE",,,,,,,"BLOCK  by RUSCIANO,ROBBIE",1
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",1
06:50,,,,,"MISS 3PTR by PARKS,JACKSON",,,"MISS 3PTR by PARKS,JACKSON",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
06:36,"MISS 3PTR by ELLIS,CHASE",,,,,,,"MISS 3PTR by ELLIS,CHASE",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
06:09,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",1
06:09,"BLOCK  by RUSCIANO,ROBBIE",,,,,,,"BLOCK  by RUSCIANO,ROBBIE",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
06:00,"GOOD LAYUP by HONROTH,OWEN(fastbreak)(in the paint)",35 (+19),,16,,BERRY 35-16 (-19),,"GOOD LAYUP by HONROTH,OWEN(fastbreak)(in the paint)",1
05:39,,35 (+16),,19,"GOOD 3PTR by COMAN,SEAN",HENDRIX 35-19 (-16),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",1
05:23,"MISS LAYUP by JOHNSON,MICHAEL",,,,,,,"MISS LAYUP by JOHNSON,MICHAEL",1
--,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
04:56,,35 (+14),,21,"GOOD JUMPER by DEITHLOFF,TYLER",HENDRIX 35-21 (-14),,"GOOD JUMPER by DEITHLOFF,TYLER",1
04:19,"GOOD JUMPER by JOHNSON,MICHAEL",37 (+16),,21,,BERRY 37-21 (-16),,"GOOD JUMPER by JOHNSON,MICHAEL",1
04:12,,37 (+13),,24,"GOOD 3PTR by DEITHLOFF,TYLER",HENDRIX 37-24 (-13),,"GOOD 3PTR by DEITHLOFF,TYLER",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
03:47,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
03:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:47,"GOOD FT by ELLIS,CHASE",38 (+14),,24,,BERRY 38-24 (-14),,"GOOD FT by ELLIS,CHASE",1
03:47,"GOOD FT by ELLIS,CHASE",39 (+15),,24,,BERRY 39-24 (-15),,"GOOD FT by ELLIS,CHASE",1
03:47,"SUB IN by CARTER,COLBY",,,,,,,"SUB IN by CARTER,COLBY",1
03:47,"SUB IN by CRAFT,JAKE",,,,,,,"SUB IN by CRAFT,JAKE",1
03:47,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",1
03:47,"SUB OUT by HONROTH,OWEN",,,,,,,"SUB OUT by HONROTH,OWEN",1
03:47,"SUB OUT by RUSCIANO,ROBBIE",,,,,,,"SUB OUT by RUSCIANO,ROBBIE",1
03:47,"SUB OUT by COSTAS,RILEY",,,,,,,"SUB OUT by COSTAS,RILEY",1
03:47,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
03:47,,,,,"SUB IN by HURT,SEVAN",,,"SUB IN by HURT,SEVAN",1
03:47,,,,,"SUB IN by WEAKLEY,CARTER",,,"SUB IN by WEAKLEY,CARTER",1
03:47,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
03:47,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
03:47,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
03:36,"FOUL  by BROOKS,AUSTIN",,,,,,,"FOUL  by BROOKS,AUSTIN",1
03:36,,39 (+14),,25,"GOOD FT by CONRAD,ALEX",HENDRIX 39-25 (-14),,"GOOD FT by CONRAD,ALEX",1
03:36,,39 (+13),,26,"GOOD FT by CONRAD,ALEX",HENDRIX 39-26 (-13),,"GOOD FT by CONRAD,ALEX",1
03:36,"SUB IN by SEGALL,RYAN",,,,,,,"SUB IN by SEGALL,RYAN",1
03:36,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
03:19,"MISS JUMPER by ELLIS,CHASE",,,,,,,"MISS JUMPER by ELLIS,CHASE",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
02:56,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND OFF by ,DARVIS RASBERRY JR",,,"REBOUND OFF by ,DARVIS RASBERRY JR",1
02:54,,39 (+11),,28,"GOOD TIPIN by ,DARVIS RASBERRY JR(in the paint)",HENDRIX 39-28 (-11),,"GOOD TIPIN by ,DARVIS RASBERRY JR(in the paint)",1
02:39,"MISS LAYUP by SEGALL,RYAN",,,,,,,"MISS LAYUP by SEGALL,RYAN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
02:35,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",1
02:35,"SUB OUT by SEGALL,RYAN",,,,,,,"SUB OUT by SEGALL,RYAN",1
02:19,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
02:16,"FOUL  by CRAFT,JAKE",,,,,,,"FOUL  by CRAFT,JAKE",1
02:16,,39 (+10),,29,"GOOD FT by CONRAD,ALEX",HENDRIX 39-29 (-10),,"GOOD FT by CONRAD,ALEX",1
02:16,,,,,"MISS FT by CONRAD,ALEX",,,"MISS FT by CONRAD,ALEX",1
--,"REBOUND DEF by CARTER,COLBY",,,,,,,"REBOUND DEF by CARTER,COLBY",1
02:16,"SUB IN by HONROTH,OWEN",,,,,,,"SUB IN by HONROTH,OWEN",1
02:16,"SUB OUT by CRAFT,JAKE",,,,,,,"SUB OUT by CRAFT,JAKE",1
02:16,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
02:16,,,,,"SUB OUT by HURT,SEVAN",,,"SUB OUT by HURT,SEVAN",1
01:51,"GOOD 3PTR by COSTAS,RILEY",42 (+13),,29,,BERRY 42-29 (-13),,"GOOD 3PTR by COSTAS,RILEY",1
--,"ASSIST  by HONROTH,OWEN",,,,,,,"ASSIST  by HONROTH,OWEN",1
01:23,,,,,"MISS 3PTR by WEAKLEY,CARTER",,,"MISS 3PTR by WEAKLEY,CARTER",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
