Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,OZARKS,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
14:45,"GOOD 3PTR by DEITHLOFF,TYLER(fastbreak)",17 (+16),,1,,HENDRIX 17-1 (+16),,"GOOD 3PTR by DEITHLOFF,TYLER(fastbreak)",1
--,"ASSIST  by ,DARVIS RASBERRY JR",,,,,,,"ASSIST  by ,DARVIS RASBERRY JR",1
14:14,"FOUL  by RYAN,JONATHAN",,,,,,,"FOUL  by RYAN,JONATHAN",1
14:04,,,,,"MISS FT by NIX,GRAYSON",,,"MISS FT by NIX,GRAYSON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:04,,,,,"MISS FT by NIX,GRAYSON",,,"MISS FT by NIX,GRAYSON",1
--,"REBOUND DEF by MCMULLIN,COLTON",,,,,,,"REBOUND DEF by MCMULLIN,COLTON",1
14:00,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND DEF by FRESH,RAY",,,"REBOUND DEF by FRESH,RAY",1
13:47,,17 (+14),,3,"GOOD JUMPER by ROELKE,KAMREN(in the paint)",OZARKS 17-3 (+14),,"GOOD JUMPER by ROELKE,KAMREN(in the paint)",1
13:31,"GOOD JUMPER by ,DARVIS RASBERRY JR(in the paint)",19 (+16),,3,,HENDRIX 19-3 (+16),,"GOOD JUMPER by ,DARVIS RASBERRY JR(in the paint)",1
13:16,"FOUL  by MCMULLIN,COLTON",,,,,,,"FOUL  by MCMULLIN,COLTON",1
13:16,,19 (+15),,4,"GOOD FT by NIX,GRAYSON",OZARKS 19-4 (+15),,"GOOD FT by NIX,GRAYSON",1
13:16,,19 (+14),,5,"GOOD FT by NIX,GRAYSON",OZARKS 19-5 (+14),,"GOOD FT by NIX,GRAYSON",1
13:16,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
13:16,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
13:16,,,,,"SUB IN by GAFFNEY,XAVIER",,,"SUB IN by GAFFNEY,XAVIER",1
13:16,,,,,"SUB IN by FINLEY,GARRET",,,"SUB IN by FINLEY,GARRET",1
13:16,,,,,"SUB OUT by ROELKE,KAMREN",,,"SUB OUT by ROELKE,KAMREN",1
13:16,,,,,"SUB OUT by LITTLE,CARTER",,,"SUB OUT by LITTLE,CARTER",1
13:01,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
12:57,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:48,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
12:34,,19 (+11),,8,"GOOD 3PTR by NIX,GRAYSON",OZARKS 19-8 (+11),,"GOOD 3PTR by NIX,GRAYSON",1
--,,,,,"ASSIST  by FRESH,RAY",,,"ASSIST  by FRESH,RAY",1
12:09,"GOOD 3PTR by COMAN,SEAN",22 (+14),,8,,HENDRIX 22-8 (+14),,"GOOD 3PTR by COMAN,SEAN",1
--,"ASSIST  by DEITHLOFF,TYLER",,,,,,,"ASSIST  by DEITHLOFF,TYLER",1
11:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:52,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
11:52,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
11:52,,,,,"SUB IN by ROELKE,KAMREN",,,"SUB IN by ROELKE,KAMREN",1
11:52,,,,,"SUB OUT by FRESH,RAY",,,"SUB OUT by FRESH,RAY",1
11:47,,,,,"TURNOVER  by ROELKE,KAMREN",,,"TURNOVER  by ROELKE,KAMREN",1
11:27,"TURNOVER  by MCMULLIN,COLTON",,,,,,,"TURNOVER  by MCMULLIN,COLTON",1
11:27,,,,,"STEAL  by ROELKE,KAMREN",,,"STEAL  by ROELKE,KAMREN",1
11:22,,22 (+12),,10,"GOOD JUMPER by ROELKE,KAMREN(fastbreak)(in the paint)",OZARKS 22-10 (+12),,"GOOD JUMPER by ROELKE,KAMREN(fastbreak)(in the paint)",1
11:06,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND DEF by FINLEY,GARRET",,,"REBOUND DEF by FINLEY,GARRET",1
10:51,,22 (+10),,12,"GOOD LAYUP by ROELKE,KAMREN(in the paint)",OZARKS 22-12 (+10),,"GOOD LAYUP by ROELKE,KAMREN(in the paint)",1
10:51,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
10:51,,22 (+9),,13,"GOOD FT by NIX,GRAYSON",OZARKS 22-13 (+9),,"GOOD FT by NIX,GRAYSON",1
10:46,"GOOD 3PTR by FITCH,CARL(fastbreak)",25 (+12),,13,,HENDRIX 25-13 (+12),,"GOOD 3PTR by FITCH,CARL(fastbreak)",1
--,"ASSIST  by EATON,JACK",,,,,,,"ASSIST  by EATON,JACK",1
10:31,,,,,"MISS 3PTR by NIX,GRAYSON",,,"MISS 3PTR by NIX,GRAYSON",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
10:19,,,,,"FOUL  by ROELKE,KAMREN",,,"FOUL  by ROELKE,KAMREN",1
10:02,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
10:02,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
10:02,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
10:02,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
10:02,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
10:02,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",1
09:47,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
09:38,,,,,"SUB IN by CHEATER,DILLON",,,"SUB IN by CHEATER,DILLON",1
09:38,,,,,"SUB IN by HOPKINS,DILLAN",,,"SUB IN by HOPKINS,DILLAN",1
09:38,,,,,"SUB OUT by ALT,DAWSON",,,"SUB OUT by ALT,DAWSON",1
09:38,,,,,"SUB OUT by NIX,GRAYSON",,,"SUB OUT by NIX,GRAYSON",1
09:36,,25 (+9),,16,"GOOD 3PTR by CHEATER,DILLON",OZARKS 25-16 (+9),,"GOOD 3PTR by CHEATER,DILLON",1
--,,,,,"ASSIST  by FINLEY,GARRET",,,"ASSIST  by FINLEY,GARRET",1
09:26,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by HOPKINS,DILLAN",,,"REBOUND DEF by HOPKINS,DILLAN",1
09:17,,25 (+7),,18,"GOOD JUMPER by ROELKE,KAMREN",OZARKS 25-18 (+7),,"GOOD JUMPER by ROELKE,KAMREN",1
08:57,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by CHEATER,DILLON",,,"REBOUND DEF by CHEATER,DILLON",1
08:50,,,,,"MISS 3PTR by ROELKE,KAMREN",,,"MISS 3PTR by ROELKE,KAMREN",1
--,"REBOUND DEF by PARKS,JACKSON",,,,,,,"REBOUND DEF by PARKS,JACKSON",1
08:29,"MISS JUMPER by EATON,JACK",,,,,,,"MISS JUMPER by EATON,JACK",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
08:23,,,,,"SUB IN by NIX,GRAYSON",,,"SUB IN by NIX,GRAYSON",1
08:23,,,,,"SUB IN by FRESH,RAY",,,"SUB IN by FRESH,RAY",1
08:23,,,,,"SUB OUT by GAFFNEY,XAVIER",,,"SUB OUT by GAFFNEY,XAVIER",1
08:23,,,,,"SUB OUT by HOPKINS,DILLAN",,,"SUB OUT by HOPKINS,DILLAN",1
08:17,"GOOD JUMPER by EATON,JACK(in the paint)",27 (+9),,18,,HENDRIX 27-18 (+9),,"GOOD JUMPER by EATON,JACK(in the paint)",1
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",1
08:03,,,,,"MISS JUMPER by NIX,GRAYSON",,,"MISS JUMPER by NIX,GRAYSON",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
07:58,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
07:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:54,,,,,"FOUL  by CHEATER,DILLON",,,"FOUL  by CHEATER,DILLON",1
07:54,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
07:54,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
07:38,"MISS LAYUP by ,DARVIS RASBERRY JR",,,,,,,"MISS LAYUP by ,DARVIS RASBERRY JR",1
07:38,,,,,"BLOCK  by FINLEY,GARRET",,,"BLOCK  by FINLEY,GARRET",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:17,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
07:11,,27 (+7),,20,"GOOD LAYUP by NIX,GRAYSON(fastbreak)(in the paint)",OZARKS 27-20 (+7),,"GOOD LAYUP by NIX,GRAYSON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by FRESH,RAY",,,"ASSIST  by FRESH,RAY",1
06:53,"MISS 3PTR by FITCH,CARL",,,,,,,"MISS 3PTR by FITCH,CARL",1
--,,,,,"REBOUND DEF by CHEATER,DILLON",,,"REBOUND DEF by CHEATER,DILLON",1
06:44,,,,,"TURNOVER  by ROELKE,KAMREN",,,"TURNOVER  by ROELKE,KAMREN",1
06:44,"STEAL  by ,DARVIS RASBERRY JR",,,,,,,"STEAL  by ,DARVIS RASBERRY JR",1
06:38,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by FINLEY,GARRET",,,"REBOUND DEF by FINLEY,GARRET",1
06:27,,,,,"FOUL  by NIX,GRAYSON",,,"FOUL  by NIX,GRAYSON",1
06:27,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
06:27,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
06:27,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
06:27,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
06:25,"FOUL  by ,DARVIS RASBERRY JR",,,,,,,"FOUL  by ,DARVIS RASBERRY JR",1
06:22,,,,,"MISS 3PTR by NIX,GRAYSON",,,"MISS 3PTR by NIX,GRAYSON",1
--,,,,,"REBOUND OFF by ALT,DAWSON",,,"REBOUND OFF by ALT,DAWSON",1
06:22,,27 (+5),,22,"GOOD LAYUP by ALT,DAWSON(in the paint)",OZARKS 27-22 (+5),,"GOOD LAYUP by ALT,DAWSON(in the paint)",1
06:22,"MISS 3PTR by RYAN,JONATHAN",,,,,,,"MISS 3PTR by RYAN,JONATHAN",1
--,,,,,"REBOUND DEF by ALT,DAWSON",,,"REBOUND DEF by ALT,DAWSON",1
06:22,,,,,"SUB IN by ALT,DAWSON",,,"SUB IN by ALT,DAWSON",1
06:22,,,,,"SUB OUT by CHEATER,DILLON",,,"SUB OUT by CHEATER,DILLON",1
06:20,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
06:20,,27 (+4),,23,"GOOD FT by NIX,GRAYSON(fastbreak)",OZARKS 27-23 (+4),,"GOOD FT by NIX,GRAYSON(fastbreak)",1
06:20,,27 (+3),,24,"GOOD FT by NIX,GRAYSON(fastbreak)",OZARKS 27-24 (+3),,"GOOD FT by NIX,GRAYSON(fastbreak)",1
06:20,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
06:20,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
06:07,"MISS 3PTR by ,DARVIS RASBERRY JR",,,,,,,"MISS 3PTR by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by FINLEY,GARRET",,,"REBOUND DEF by FINLEY,GARRET",1
05:58,,27 (+1),,26,"GOOD JUMPER by NIX,GRAYSON(in the paint)",OZARKS 27-26 (+1),,"GOOD JUMPER by NIX,GRAYSON(in the paint)",1
05:39,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:03,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
04:52,,,,,"SUB IN by GAFFNEY,XAVIER",,,"SUB IN by GAFFNEY,XAVIER",1
04:52,,,,,"SUB OUT by NIX,GRAYSON",,,"SUB OUT by NIX,GRAYSON",1
04:34,"GOOD 3PTR by STANLEY,SETH",30 (+4),,26,,HENDRIX 30-26 (+4),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST  by ,DARVIS RASBERRY JR",,,,,,,"ASSIST  by ,DARVIS RASBERRY JR",1
04:00,,30 (+2),,28,"GOOD JUMPER by ALT,DAWSON(in the paint)",OZARKS 30-28 (+2),,"GOOD JUMPER by ALT,DAWSON(in the paint)",1
--,,,,,"ASSIST  by ROELKE,KAMREN",,,"ASSIST  by ROELKE,KAMREN",1
03:40,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by FRESH,RAY",,,"REBOUND DEF by FRESH,RAY",1
03:35,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
03:25,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:25,,30 (+1),,29,"GOOD FT by FRESH,RAY(fastbreak)",OZARKS 30-29 (+1),,"GOOD FT by FRESH,RAY(fastbreak)",1
03:25,,30,,30,"GOOD FT by FRESH,RAY(fastbreak)",OZARKS 30-30 (0),,"GOOD FT by FRESH,RAY(fastbreak)",1
03:25,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
03:25,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
03:25,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
03:25,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
03:12,"MISS 3PTR by RYAN,JONATHAN",,,,,,,"MISS 3PTR by RYAN,JONATHAN",1
--,"REBOUND OFF by FITCH,CARL",,,,,,,"REBOUND OFF by FITCH,CARL",1
02:59,,,,,"FOUL  by FRESH,RAY",,,"FOUL  by FRESH,RAY",1
02:53,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",1
02:53,,,,,"STEAL  by FRESH,RAY",,,"STEAL  by FRESH,RAY",1
02:47,,,,,"MISS LAYUP by ROELKE,KAMREN",,,"MISS LAYUP by ROELKE,KAMREN",1
--,,,,,"REBOUND OFF by ROELKE,KAMREN",,,"REBOUND OFF by ROELKE,KAMREN",1
02:43,,30,,32 (+2),"GOOD LAYUP by ROELKE,KAMREN(in the paint)",OZARKS 30-32 (-2),,"GOOD LAYUP by ROELKE,KAMREN(in the paint)",1
02:39,"GOOD JUMPER by FITCH,CARL",32,,32,,HENDRIX 32-32 (0),,"GOOD JUMPER by FITCH,CARL",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
02:24,,32,,34 (+2),"GOOD JUMPER by GAFFNEY,XAVIER(in the paint)",OZARKS 32-34 (-2),,"GOOD JUMPER by GAFFNEY,XAVIER(in the paint)",1
02:08,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",34,,34,,HENDRIX 34-34 (0),,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",1
--,"ASSIST  by FITCH,CARL",,,,,,,"ASSIST  by FITCH,CARL",1
01:42,,,,,"MISS JUMPER by ALT,DAWSON",,,"MISS JUMPER by ALT,DAWSON",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
01:32,,,,,"FOUL  by ALT,DAWSON",,,"FOUL  by ALT,DAWSON",1
01:32,"GOOD FT by CONRAD,ALEX",35 (+1),,34,,HENDRIX 35-34 (+1),,"GOOD FT by CONRAD,ALEX",1
01:32,"GOOD FT by CONRAD,ALEX",36 (+2),,34,,HENDRIX 36-34 (+2),,"GOOD FT by CONRAD,ALEX",1
01:32,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
01:32,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
01:32,,,,,"SUB IN by NIX,GRAYSON",,,"SUB IN by NIX,GRAYSON",1
01:32,,,,,"SUB IN by CHEATER,DILLON",,,"SUB IN by CHEATER,DILLON",1
01:32,,,,,"SUB OUT by ALT,DAWSON",,,"SUB OUT by ALT,DAWSON",1
01:32,,,,,"SUB OUT by FRESH,RAY",,,"SUB OUT by FRESH,RAY",1
01:18,,36,,37 (+1),"GOOD 3PTR by GAFFNEY,XAVIER",OZARKS 36-37 (-1),,"GOOD 3PTR by GAFFNEY,XAVIER",1
01:03,"GOOD 3PTR by COMAN,SEAN",39 (+2),,37,,HENDRIX 39-37 (+2),,"GOOD 3PTR by COMAN,SEAN",1
00:42,,,,,"MISS JUMPER by NIX,GRAYSON",,,"MISS JUMPER by NIX,GRAYSON",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
00:22,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",1
00:21,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:11,,39,,40 (+1),"GOOD 3PTR by CHEATER,DILLON",OZARKS 39-40 (-1),,"GOOD 3PTR by CHEATER,DILLON",1
--,,,,,"ASSIST  by FINLEY,GARRET",,,"ASSIST  by FINLEY,GARRET",1
00:02,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:41,"GOOD LAYUP by FITCH,CARL(in the paint)",41 (+1),,40,,HENDRIX 41-40 (+1),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",2
19:41,,,,,"MISS 3PTR by CHEATER,DILLON",,,"MISS 3PTR by CHEATER,DILLON",2
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",2
19:41,"MISS 3PTR by FITCH,CARL",,,,,,,"MISS 3PTR by FITCH,CARL",2
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",2
19:41,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by NIX,GRAYSON",,,"REBOUND DEF by NIX,GRAYSON",2
19:35,,,,,"MISS LAYUP by NIX,GRAYSON",,,"MISS LAYUP by NIX,GRAYSON",2
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",2
19:21,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",2
--,,,,,"REBOUND DEF by FINLEY,GARRET",,,"REBOUND DEF by FINLEY,GARRET",2
19:02,,,,,"MISS 3PTR by FINLEY,GARRET",,,"MISS 3PTR by FINLEY,GARRET",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
