Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,WASHU,Game Score,Team Indicator,Play,Period
14:11,,,,,"MISS 3PTR by NOLAN,JACK",,,"MISS 3PTR by NOLAN,JACK",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
14:03,,,,,"FOUL  by MACK,KAMERON",,,"FOUL  by MACK,KAMERON",1
14:03,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
14:03,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
14:03,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
14:03,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
14:02,"TURNOVER  by MCMULLIN,COLTON",,,,,,,"TURNOVER  by MCMULLIN,COLTON",1
13:50,,2,,10 (+8),"GOOD JUMPER by NOLAN,JACK(in the paint)",WASHU 2-10 (-8),,"GOOD JUMPER by NOLAN,JACK(in the paint)",1
13:33,"TURNOVER  by ,DARVIS RASBERRY JR",,,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",1
13:33,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:19,,,,,"SUB IN by HARDY,JUSTIN",,,"SUB IN by HARDY,JUSTIN",1
13:19,,,,,"SUB OUT by MACK,KAMERON",,,"SUB OUT by MACK,KAMERON",1
13:14,,,,,"FOUL  by WOLF,JAKE",,,"FOUL  by WOLF,JAKE",1
13:14,,,,,"TURNOVER  by WOLF,JAKE",,,"TURNOVER  by WOLF,JAKE",1
13:14,,,,,"SUB IN by DAVET,KEVIN",,,"SUB IN by DAVET,KEVIN",1
13:14,,,,,"SUB OUT by WOLF,JAKE",,,"SUB OUT by WOLF,JAKE",1
13:07,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND DEF by NOLAN,JACK",,,"REBOUND DEF by NOLAN,JACK",1
12:42,"FOUL  by RYAN,JONATHAN",,,,,,,"FOUL  by RYAN,JONATHAN",1
12:42,,2,,11 (+9),"GOOD FT by NOLAN,JACK",WASHU 2-11 (-9),,"GOOD FT by NOLAN,JACK",1
12:42,,2,,12 (+10),"GOOD FT by NOLAN,JACK",WASHU 2-12 (-10),,"GOOD FT by NOLAN,JACK",1
12:42,,2,,13 (+11),"GOOD FT by NOLAN,JACK",WASHU 2-13 (-11),,"GOOD FT by NOLAN,JACK",1
12:28,,,,,"FOUL  by WINDLEY,DAVID",,,"FOUL  by WINDLEY,DAVID",1
12:28,"GOOD FT by ,DARVIS RASBERRY JR",3,,13 (+10),,HENDRIX 3-13 (-10),,"GOOD FT by ,DARVIS RASBERRY JR",1
12:28,"MISS FT by ,DARVIS RASBERRY JR",,,,,,,"MISS FT by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by HARDY,JUSTIN",,,"REBOUND DEF by HARDY,JUSTIN",1
12:22,,,,,"MISS 3PTR by WINDLEY,DAVID",,,"MISS 3PTR by WINDLEY,DAVID",1
--,"REBOUND DEF by MCMULLIN,COLTON",,,,,,,"REBOUND DEF by MCMULLIN,COLTON",1
12:13,"TURNOVER  by DEITHLOFF,TYLER",,,,,,,"TURNOVER  by DEITHLOFF,TYLER",1
11:57,"FOUL  by ,DARVIS RASBERRY JR",,,,,,,"FOUL  by ,DARVIS RASBERRY JR",1
11:57,,3,,14 (+11),"GOOD FT by DAVET,KEVIN",WASHU 3-14 (-11),,"GOOD FT by DAVET,KEVIN",1
11:57,,3,,15 (+12),"GOOD FT by DAVET,KEVIN",WASHU 3-15 (-12),,"GOOD FT by DAVET,KEVIN",1
11:57,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
11:57,"SUB IN by COMAN,SEAN",,,,,,,"SUB IN by COMAN,SEAN",1
11:57,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
11:57,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
11:57,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
11:57,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
11:57,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",1
11:57,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
11:57,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
11:57,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
11:57,,,,,"SUB IN by JACOB,CHARLIE",,,"SUB IN by JACOB,CHARLIE",1
11:57,,,,,"SUB OUT by WINDLEY,DAVID",,,"SUB OUT by WINDLEY,DAVID",1
11:44,"GOOD JUMPER by STANLEY,SETH(in the paint)",5,,15 (+10),,HENDRIX 5-15 (-10),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
11:31,,5,,17 (+12),"GOOD LAYUP by DAVET,KEVIN(in the paint)",WASHU 5-17 (-12),,"GOOD LAYUP by DAVET,KEVIN(in the paint)",1
--,,,,,"ASSIST  by GONZALO,MATT",,,"ASSIST  by GONZALO,MATT",1
11:14,,,,,"FOUL  by NOLAN,JACK",,,"FOUL  by NOLAN,JACK",1
11:14,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
11:14,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
10:57,"MISS JUMPER by PARKS,JACKSON",,,,,,,"MISS JUMPER by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by HARDY,JUSTIN",,,"REBOUND DEF by HARDY,JUSTIN",1
10:45,,5,,19 (+14),"GOOD LAYUP by DAVET,KEVIN(in the paint)",WASHU 5-19 (-14),,"GOOD LAYUP by DAVET,KEVIN(in the paint)",1
10:36,,,,,"FOUL  by GONZALO,MATT",,,"FOUL  by GONZALO,MATT",1
10:36,"SUB IN by STANLEY,SETH",,,,,,,"SUB IN by STANLEY,SETH",1
10:36,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
10:26,"GOOD 3PTR by COMAN,SEAN",8,,19 (+11),,HENDRIX 8-19 (-11),,"GOOD 3PTR by COMAN,SEAN",1
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",1
10:11,,,,,"MISS 3PTR by HARDY,JUSTIN",,,"MISS 3PTR by HARDY,JUSTIN",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
09:48,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:41,,,,,"SUB IN by DOYLE,HAYDEN",,,"SUB IN by DOYLE,HAYDEN",1
09:41,,,,,"SUB IN by WOLF,JAKE",,,"SUB IN by WOLF,JAKE",1
09:41,,,,,"SUB OUT by GONZALO,MATT",,,"SUB OUT by GONZALO,MATT",1
09:41,,,,,"SUB OUT by DAVET,KEVIN",,,"SUB OUT by DAVET,KEVIN",1
09:32,,,,,"TURNOVER  by HARDY,JUSTIN",,,"TURNOVER  by HARDY,JUSTIN",1
09:26,"GOOD LAYUP by FITCH,CARL(in the paint)",10,,19 (+9),,HENDRIX 10-19 (-9),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
09:15,,,,,"MISS JUMPER by NOLAN,JACK",,,"MISS JUMPER by NOLAN,JACK",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
09:05,"GOOD LAYUP by COMAN,SEAN(in the paint)",12,,19 (+7),,HENDRIX 12-19 (-7),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
08:44,,,,,"MISS 3PTR by JACOB,CHARLIE",,,"MISS 3PTR by JACOB,CHARLIE",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
08:27,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by HARDY,JUSTIN",,,"REBOUND DEF by HARDY,JUSTIN",1
08:06,,12,,21 (+9),"GOOD JUMPER by DOYLE,HAYDEN",WASHU 12-21 (-9),,"GOOD JUMPER by DOYLE,HAYDEN",1
07:34,"GOOD JUMPER by CONRAD,ALEX(in the paint)",14,,21 (+7),,HENDRIX 14-21 (-7),,"GOOD JUMPER by CONRAD,ALEX(in the paint)",1
07:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:30,,,,,"SUB IN by MACK,KAMERON",,,"SUB IN by MACK,KAMERON",1
07:30,,,,,"SUB IN by GONZALO,MATT",,,"SUB IN by GONZALO,MATT",1
07:30,,,,,"SUB IN by WINDLEY,DAVID",,,"SUB IN by WINDLEY,DAVID",1
07:30,,,,,"SUB OUT by HARDY,JUSTIN",,,"SUB OUT by HARDY,JUSTIN",1
07:30,,,,,"SUB OUT by NOLAN,JACK",,,"SUB OUT by NOLAN,JACK",1
07:30,,,,,"SUB OUT by JACOB,CHARLIE",,,"SUB OUT by JACOB,CHARLIE",1
07:19,,,,,"MISS 3PTR by GONZALO,MATT",,,"MISS 3PTR by GONZALO,MATT",1
--,,,,,"REBOUND OFF by WOLF,JAKE",,,"REBOUND OFF by WOLF,JAKE",1
07:13,,,,,"MISS LAYUP by WOLF,JAKE",,,"MISS LAYUP by WOLF,JAKE",1
--,,,,,"REBOUND OFF by MACK,KAMERON",,,"REBOUND OFF by MACK,KAMERON",1
07:03,,14,,23 (+9),"GOOD LAYUP by MACK,KAMERON(in the paint)",WASHU 14-23 (-9),,"GOOD LAYUP by MACK,KAMERON(in the paint)",1
06:48,,,,,"FOUL  by DOYLE,HAYDEN",,,"FOUL  by DOYLE,HAYDEN",1
06:48,"SUB IN by ,DARVIS RASBERRY JR",,,,,,,"SUB IN by ,DARVIS RASBERRY JR",1
06:48,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
06:40,,,,,"FOUL  by MACK,KAMERON",,,"FOUL  by MACK,KAMERON",1
06:40,"MISS FT by FITCH,CARL",,,,,,,"MISS FT by FITCH,CARL",1
--,,,,,"REBOUND DEF by HARDY,JUSTIN",,,"REBOUND DEF by HARDY,JUSTIN",1
06:40,,,,,"SUB IN by HARDY,JUSTIN",,,"SUB IN by HARDY,JUSTIN",1
06:40,,,,,"SUB OUT by MACK,KAMERON",,,"SUB OUT by MACK,KAMERON",1
06:35,"FOUL  by ,DARVIS RASBERRY JR",,,,,,,"FOUL  by ,DARVIS RASBERRY JR",1
06:34,,14,,25 (+11),"GOOD LAYUP by WOLF,JAKE(in the paint)",WASHU 14-25 (-11),,"GOOD LAYUP by WOLF,JAKE(in the paint)",1
06:16,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
06:16,,,,,"STEAL  by WINDLEY,DAVID",,,"STEAL  by WINDLEY,DAVID",1
06:07,,,,,"MISS 3PTR by DOYLE,HAYDEN",,,"MISS 3PTR by DOYLE,HAYDEN",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
05:45,,,,,"FOUL  by WOLF,JAKE",,,"FOUL  by WOLF,JAKE",1
05:35,"MISS FT by PARKS,JACKSON",,,,,,,"MISS FT by PARKS,JACKSON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:35,"GOOD FT by PARKS,JACKSON",15,,25 (+10),,HENDRIX 15-25 (-10),,"GOOD FT by PARKS,JACKSON",1
05:35,,,,,"SUB IN by DAVET,KEVIN",,,"SUB IN by DAVET,KEVIN",1
05:35,,,,,"SUB IN by NOLAN,JACK",,,"SUB IN by NOLAN,JACK",1
05:35,,,,,"SUB OUT by DOYLE,HAYDEN",,,"SUB OUT by DOYLE,HAYDEN",1
05:35,,,,,"SUB OUT by WOLF,JAKE",,,"SUB OUT by WOLF,JAKE",1
05:21,,,,,"MISS JUMPER by DAVET,KEVIN",,,"MISS JUMPER by DAVET,KEVIN",1
--,,,,,"REBOUND OFF by DAVET,KEVIN",,,"REBOUND OFF by DAVET,KEVIN",1
05:16,,15,,27 (+12),"GOOD LAYUP by DAVET,KEVIN(in the paint)",WASHU 15-27 (-12),,"GOOD LAYUP by DAVET,KEVIN(in the paint)",1
05:03,"MISS JUMPER by ,DARVIS RASBERRY JR",,,,,,,"MISS JUMPER by ,DARVIS RASBERRY JR",1
--,,,,,"REBOUND DEF by HARDY,JUSTIN",,,"REBOUND DEF by HARDY,JUSTIN",1
04:40,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
04:40,,15,,28 (+13),"GOOD FT by WINDLEY,DAVID",WASHU 15-28 (-13),,"GOOD FT by WINDLEY,DAVID",1
04:40,,15,,29 (+14),"GOOD FT by WINDLEY,DAVID",WASHU 15-29 (-14),,"GOOD FT by WINDLEY,DAVID",1
04:40,,,,,"SUB IN by KINDSVATER,DRAKE",,,"SUB IN by KINDSVATER,DRAKE",1
04:40,,,,,"SUB OUT by HARDY,JUSTIN",,,"SUB OUT by HARDY,JUSTIN",1
04:25,,,,,"FOUL  by WINDLEY,DAVID",,,"FOUL  by WINDLEY,DAVID",1
04:25,"GOOD FT by STANLEY,SETH",16,,29 (+13),,HENDRIX 16-29 (-13),,"GOOD FT by STANLEY,SETH",1
04:25,"GOOD FT by STANLEY,SETH",17,,29 (+12),,HENDRIX 17-29 (-12),,"GOOD FT by STANLEY,SETH",1
04:25,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
04:25,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
04:25,,,,,"SUB IN by JACOB,CHARLIE",,,"SUB IN by JACOB,CHARLIE",1
04:25,,,,,"SUB OUT by WINDLEY,DAVID",,,"SUB OUT by WINDLEY,DAVID",1
04:18,,,,,"MISS LAYUP by DAVET,KEVIN",,,"MISS LAYUP by DAVET,KEVIN",1
--,"REBOUND DEF by ,DARVIS RASBERRY JR",,,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
04:11,"TURNOVER  by ,DARVIS RASBERRY JR",,,,,,,"TURNOVER  by ,DARVIS RASBERRY JR",1
04:11,,,,,"STEAL  by JACOB,CHARLIE",,,"STEAL  by JACOB,CHARLIE",1
04:06,,17,,31 (+14),"GOOD JUMPER by JACOB,CHARLIE(fastbreak)(in the paint)",WASHU 17-31 (-14),,"GOOD JUMPER by JACOB,CHARLIE(fastbreak)(in the paint)",1
03:52,"GOOD LAYUP by COMAN,SEAN(in the paint)",19,,31 (+12),,HENDRIX 19-31 (-12),,"GOOD LAYUP by COMAN,SEAN(in the paint)",1
03:45,,19,,33 (+14),"GOOD JUMPER by NOLAN,JACK(fastbreak)",WASHU 19-33 (-14),,"GOOD JUMPER by NOLAN,JACK(fastbreak)",1
03:24,"GOOD LAYUP by PARKS,JACKSON(in the paint)",21,,33 (+12),,HENDRIX 21-33 (-12),,"GOOD LAYUP by PARKS,JACKSON(in the paint)",1
03:08,,,,,"MISS 3PTR by KINDSVATER,DRAKE",,,"MISS 3PTR by KINDSVATER,DRAKE",1
--,,,,,"REBOUND OFF by NOLAN,JACK",,,"REBOUND OFF by NOLAN,JACK",1
03:03,,,,,"MISS JUMPER by NOLAN,JACK",,,"MISS JUMPER by NOLAN,JACK",1
--,,,,,"REBOUND OFF by JACOB,CHARLIE",,,"REBOUND OFF by JACOB,CHARLIE",1
02:58,,,,,"MISS 3PTR by GONZALO,MATT",,,"MISS 3PTR by GONZALO,MATT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:53,,,,,"SUB IN by HARDY,JUSTIN",,,"SUB IN by HARDY,JUSTIN",1
02:53,,,,,"SUB IN by DOYLE,HAYDEN",,,"SUB IN by DOYLE,HAYDEN",1
02:53,,,,,"SUB OUT by DAVET,KEVIN",,,"SUB OUT by DAVET,KEVIN",1
02:53,,,,,"SUB OUT by GONZALO,MATT",,,"SUB OUT by GONZALO,MATT",1
02:41,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
02:41,,,,,"STEAL  by KINDSVATER,DRAKE",,,"STEAL  by KINDSVATER,DRAKE",1
02:37,"FOUL  by ,DARVIS RASBERRY JR",,,,,,,"FOUL  by ,DARVIS RASBERRY JR",1
02:37,,21,,34 (+13),"GOOD FT by DOYLE,HAYDEN(fastbreak)",WASHU 21-34 (-13),,"GOOD FT by DOYLE,HAYDEN(fastbreak)",1
02:37,,,,,"MISS FT by DOYLE,HAYDEN",,,"MISS FT by DOYLE,HAYDEN",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
02:37,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
02:37,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
02:37,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",1
02:37,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
02:20,"GOOD JUMPER by STANLEY,SETH",23,,34 (+11),,HENDRIX 23-34 (-11),,"GOOD JUMPER by STANLEY,SETH",1
--,"ASSIST  by CONRAD,ALEX",,,,,,,"ASSIST  by CONRAD,ALEX",1
02:05,,23,,36 (+13),"GOOD JUMPER by KINDSVATER,DRAKE(in the paint)",WASHU 23-36 (-13),,"GOOD JUMPER by KINDSVATER,DRAKE(in the paint)",1
01:34,"MISS LAYUP by COMAN,SEAN",,,,,,,"MISS LAYUP by COMAN,SEAN",1
--,,,,,"REBOUND DEF by HARDY,JUSTIN",,,"REBOUND DEF by HARDY,JUSTIN",1
01:15,,23,,39 (+16),"GOOD 3PTR by HARDY,JUSTIN",WASHU 23-39 (-16),,"GOOD 3PTR by HARDY,JUSTIN",1
--,,,,,"ASSIST  by NOLAN,JACK",,,"ASSIST  by NOLAN,JACK",1
00:52,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",1
00:52,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
00:52,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
00:52,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
00:52,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
00:52,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
00:52,,,,,"SUB IN by DAVET,KEVIN",,,"SUB IN by DAVET,KEVIN",1
00:52,,,,,"SUB OUT by KINDSVATER,DRAKE",,,"SUB OUT by KINDSVATER,DRAKE",1
00:39,,23,,41 (+18),"GOOD JUMPER by NOLAN,JACK",WASHU 23-41 (-18),,"GOOD JUMPER by NOLAN,JACK",1
00:15,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by DOYLE,HAYDEN",,,"REBOUND DEF by DOYLE,HAYDEN",1
00:00,,,,,"MISS 3PTR by DOYLE,HAYDEN",,,"MISS 3PTR by DOYLE,HAYDEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:50,,23,,43 (+20),"GOOD LAYUP by DAVET,KEVIN(in the paint)",WASHU 23-43 (-20),,"GOOD LAYUP by DAVET,KEVIN(in the paint)",2
--,,,,,"ASSIST  by HARDY,JUSTIN",,,"ASSIST  by HARDY,JUSTIN",2
19:36,,,,,"FOUL  by JACOB,CHARLIE",,,"FOUL  by JACOB,CHARLIE",2
19:17,"TURNOVER  by FITCH,CARL",,,,,,,"TURNOVER  by FITCH,CARL",2
19:17,,,,,"STEAL  by DAVET,KEVIN",,,"STEAL  by DAVET,KEVIN",2
19:12,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
19:12,,23,,44 (+21),"GOOD FT by JACOB,CHARLIE(fastbreak)",WASHU 23-44 (-21),,"GOOD FT by JACOB,CHARLIE(fastbreak)",2
19:12,,23,,45 (+22),"GOOD FT by JACOB,CHARLIE(fastbreak)",WASHU 23-45 (-22),,"GOOD FT by JACOB,CHARLIE(fastbreak)",2
19:00,"MISS 3PTR by PARKS,JACKSON",,,,,,,"MISS 3PTR by PARKS,JACKSON",2
19:00,,,,,"BLOCK  by DAVET,KEVIN",,,"BLOCK  by DAVET,KEVIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:37,"MISS JUMPER by PARKS,JACKSON",,,,,,,"MISS JUMPER by PARKS,JACKSON",2
--,,,,,"REBOUND DEF by DOYLE,HAYDEN",,,"REBOUND DEF by DOYLE,HAYDEN",2
18:31,"FOUL  by PARKS,JACKSON",,,,,,,"FOUL  by PARKS,JACKSON",2
18:31,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",2
