Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
17:42,"STEAL  by JOHNSON,BRYSON",,,,,,,"STEAL  by JOHNSON,BRYSON",1
17:34,"MISS 3PTR by BOWMAN,ETHAN",,,,,,,"MISS 3PTR by BOWMAN,ETHAN",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
17:24,,2,,5 (+3),"GOOD JUMPER by JENKINS,KALEB",Mill 2-5 (+3),,"GOOD JUMPER by JENKINS,KALEB",1
17:04,"MISS 3PTR by DAVIS,JACOBE",,,,,,,"MISS 3PTR by DAVIS,JACOBE",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
16:57,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,,,,,"REBOUND OFF by JENKINS,KALEB",,,"REBOUND OFF by JENKINS,KALEB",1
16:52,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",1
16:52,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
16:52,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
16:52,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",1
16:52,"SUB IN by WILHELM,CORY",,,,,,,"SUB IN by WILHELM,CORY",1
16:35,"GOOD 3PTR by JOHNSON,BRYSON",5,,5,,UO 5-5 (0),,"GOOD 3PTR by JOHNSON,BRYSON",1
16:13,,,,,"MISS JUMPER by GILLIHAN,NEWLON",,,"MISS JUMPER by GILLIHAN,NEWLON",1
--,"REBOUND DEF by DAVIS,JACOBE",,,,,,,"REBOUND DEF by DAVIS,JACOBE",1
16:02,"MISS JUMPER by JOHNSON,BRYSON(in the paint)",,,,,,,"MISS JUMPER by JOHNSON,BRYSON(in the paint)",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
15:59,,,,,"TURNOVER  by VAN PELT,JUSTIN",,,"TURNOVER  by VAN PELT,JUSTIN",1
15:59,"STEAL  by DAVIS,JACOBE",,,,,,,"STEAL  by DAVIS,JACOBE",1
15:55,"GOOD JUMPER by DAVIS,JACOBE(fastbreak)(in the paint)",7 (+2),,5,,UO 7-5 (-2),,"GOOD JUMPER by DAVIS,JACOBE(fastbreak)(in the paint)",1
15:31,"FOUL  by BOBO,ZACH",,,,,,,"FOUL  by BOBO,ZACH",1
15:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:31,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
15:31,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
15:31,"SUB OUT by BOBO,ZACH",,,,,,,"SUB OUT by BOBO,ZACH",1
15:31,"SUB IN by RENELIQUE,DARNEL",,,,,,,"SUB IN by RENELIQUE,DARNEL",1
15:31,,7 (+1),,6,"GOOD FT by MCLAURIN,RYAN",Mill 7-6 (-1),,"GOOD FT by MCLAURIN,RYAN",1
15:31,,7,,7,"GOOD FT by MCLAURIN,RYAN",Mill 7-7 (0),,"GOOD FT by MCLAURIN,RYAN",1
15:21,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by MCLAURIN,RYAN",,,"REBOUND DEF by MCLAURIN,RYAN",1
15:09,,7,,9 (+2),"GOOD JUMPER by BLANZ,BUCK",Mill 7-9 (+2),,"GOOD JUMPER by BLANZ,BUCK",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
14:51,"GOOD JUMPER by JOHNSON,BRYSON(in the paint)",9,,9,,UO 9-9 (0),,"GOOD JUMPER by JOHNSON,BRYSON(in the paint)",1
14:39,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",1
14:39,"STEAL  by BOWMAN,ETHAN",,,,,,,"STEAL  by BOWMAN,ETHAN",1
14:32,"GOOD JUMPER by JOHNSON,BRYSON(in the paint)",11 (+2),,9,,UO 11-9 (-2),,"GOOD JUMPER by JOHNSON,BRYSON(in the paint)",1
14:19,,11,,12 (+1),"GOOD 3PTR by BLANZ,BUCK",Mill 11-12 (+1),,"GOOD 3PTR by BLANZ,BUCK",1
14:18,"FOUL  by BOWMAN,ETHAN",,,,,,,"FOUL  by BOWMAN,ETHAN",1
14:18,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
14:18,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",1
14:18,"SUB OUT by DAVIS,JACOBE",,,,,,,"SUB OUT by DAVIS,JACOBE",1
14:18,"SUB IN by WINSTON,CORDY",,,,,,,"SUB IN by WINSTON,CORDY",1
14:18,,11,,13 (+2),"GOOD FT by BLANZ,BUCK",Mill 11-13 (+2),,"GOOD FT by BLANZ,BUCK",1
14:09,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",1
14:09,"GOOD FT by JOHNSON,BRYSON",12,,13 (+1),,UO 12-13 (+1),,"GOOD FT by JOHNSON,BRYSON",1
14:09,"SUB OUT by BOWMAN,ETHAN",,,,,,,"SUB OUT by BOWMAN,ETHAN",1
14:09,"SUB IN by BOBO,ZACH",,,,,,,"SUB IN by BOBO,ZACH",1
14:09,"GOOD FT by JOHNSON,BRYSON",13,,13,,UO 13-13 (0),,"GOOD FT by JOHNSON,BRYSON",1
14:03,,,,,"MISS 3PTR by BLANZ,BUCK",,,"MISS 3PTR by BLANZ,BUCK",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
13:55,"MISS JUMPER by JOHNSON,BRYSON(in the paint)",,,,,,,"MISS JUMPER by JOHNSON,BRYSON(in the paint)",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
13:38,,,,,"MISS JUMPER by HUGHES,ANTHONY",,,"MISS JUMPER by HUGHES,ANTHONY",1
--,"REBOUND DEF by WILHELM,CORY",,,,,,,"REBOUND DEF by WILHELM,CORY",1
13:31,"FOUL  by BOBO,ZACH",,,,,,,"FOUL  by BOBO,ZACH",1
13:31,"TURNOVER  by BOBO,ZACH",,,,,,,"TURNOVER  by BOBO,ZACH",1
13:31,,,,,"SUB OUT by HUGHES,ANTHONY",,,"SUB OUT by HUGHES,ANTHONY",1
13:31,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
13:31,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
13:31,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
13:31,"SUB OUT by JOHNSON,BRYSON",,,,,,,"SUB OUT by JOHNSON,BRYSON",1
13:31,"SUB IN by HELZER,JAMES",,,,,,,"SUB IN by HELZER,JAMES",1
13:27,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",1
13:27,"SUB IN by DAVIS,JACOBE",,,,,,,"SUB IN by DAVIS,JACOBE",1
13:06,,13,,15 (+2),"GOOD JUMPER by MCLAURIN,RYAN",Mill 13-15 (+2),,"GOOD JUMPER by MCLAURIN,RYAN",1
12:30,"MISS JUMPER by DAVIS,JACOBE",,,,,,,"MISS JUMPER by DAVIS,JACOBE",1
--,"REBOUND OFF by HELZER,JAMES",,,,,,,"REBOUND OFF by HELZER,JAMES",1
12:27,"MISS LAYUP by HELZER,JAMES(in the paint)",,,,,,,"MISS LAYUP by HELZER,JAMES(in the paint)",1
12:27,,,,,"BLOCK  by TURNER,JAMES",,,"BLOCK  by TURNER,JAMES",1
--,,,,,"REBOUND DEF by MCLAURIN,RYAN",,,"REBOUND DEF by MCLAURIN,RYAN",1
12:22,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
12:22,"STEAL  by DAVIS,JACOBE",,,,,,,"STEAL  by DAVIS,JACOBE",1
12:16,"GOOD LAYUP by WINSTON,CORDY(fastbreak)(in the paint)",15,,15,,UO 15-15 (0),,"GOOD LAYUP by WINSTON,CORDY(fastbreak)(in the paint)",1
--,"ASSIST  by DAVIS,JACOBE",,,,,,,"ASSIST  by DAVIS,JACOBE",1
12:01,,15,,18 (+3),"GOOD 3PTR by YOUNG,DILLON",Mill 15-18 (+3),,"GOOD 3PTR by YOUNG,DILLON",1
--,,,,,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",1
11:44,"MISS JUMPER by BOBO,ZACH(in the paint)",,,,,,,"MISS JUMPER by BOBO,ZACH(in the paint)",1
--,"REBOUND OFF by HELZER,JAMES",,,,,,,"REBOUND OFF by HELZER,JAMES",1
11:39,"GOOD JUMPER by BOBO,ZACH(in the paint)",17,,18 (+1),,UO 17-18 (+1),,"GOOD JUMPER by BOBO,ZACH(in the paint)",1
--,"ASSIST  by HELZER,JAMES",,,,,,,"ASSIST  by HELZER,JAMES",1
11:39,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
11:39,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:39,"GOOD FT by BOBO,ZACH",18,,18,,UO 18-18 (0),,"GOOD FT by BOBO,ZACH",1
11:39,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
11:39,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
11:39,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
11:39,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",1
11:39,"SUB OUT by BOBO,ZACH",,,,,,,"SUB OUT by BOBO,ZACH",1
11:39,"SUB IN by BOWMAN,ETHAN",,,,,,,"SUB IN by BOWMAN,ETHAN",1
11:24,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,,,,,"REBOUND OFF by SPIKES,KALVIN",,,"REBOUND OFF by SPIKES,KALVIN",1
11:20,,,,,"MISS LAYUP by SPIKES,KALVIN(in the paint)",,,"MISS LAYUP by SPIKES,KALVIN(in the paint)",1
--,"REBOUND DEF by WINSTON,CORDY",,,,,,,"REBOUND DEF by WINSTON,CORDY",1
11:09,,,,,"FOUL  by MILLER,JOSHUA",,,"FOUL  by MILLER,JOSHUA",1
11:09,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
11:09,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
10:33,"MISS JUMPER by WINSTON,CORDY(in the paint)",,,,,,,"MISS JUMPER by WINSTON,CORDY(in the paint)",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
10:21,"FOUL  by HELZER,JAMES",,,,,,,"FOUL  by HELZER,JAMES",1
10:21,,18,,19 (+1),"GOOD FT by SPIKES,KALVIN",Mill 18-19 (+1),,"GOOD FT by SPIKES,KALVIN",1
10:21,,,,,"MISS FT by SPIKES,KALVIN",,,"MISS FT by SPIKES,KALVIN",1
--,"REBOUND DEF by DAVIS,JACOBE",,,,,,,"REBOUND DEF by DAVIS,JACOBE",1
10:14,"MISS 3PTR by HELZER,JAMES",,,,,,,"MISS 3PTR by HELZER,JAMES",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
09:47,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",1
09:47,"SUB OUT by HELZER,JAMES",,,,,,,"SUB OUT by HELZER,JAMES",1
09:47,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",1
09:17,"GOOD JUMPER by RENELIQUE,DARNEL(in the paint)",20 (+1),,19,,UO 20-19 (-1),,"GOOD JUMPER by RENELIQUE,DARNEL(in the paint)",1
09:01,"SUB OUT by DAVIS,JACOBE",,,,,,,"SUB OUT by DAVIS,JACOBE",1
09:01,"SUB IN by JOHNSON,BRYSON",,,,,,,"SUB IN by JOHNSON,BRYSON",1
08:52,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",1
08:52,"STEAL  by JOHNSON,BRYSON",,,,,,,"STEAL  by JOHNSON,BRYSON",1
08:47,"GOOD JUMPER by TURPIN,TIM(fastbreak)(in the paint)",22 (+3),,19,,UO 22-19 (-3),,"GOOD JUMPER by TURPIN,TIM(fastbreak)(in the paint)",1
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",1
08:25,"FOUL  by TURPIN,TIM",,,,,,,"FOUL  by TURPIN,TIM",1
08:25,,,,,"MISS FT by SPIKES,KALVIN",,,"MISS FT by SPIKES,KALVIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:25,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",1
08:25,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
08:25,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
08:25,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",1
08:25,,,,,"SUB IN by HUGHES,ANTHONY",,,"SUB IN by HUGHES,ANTHONY",1
08:25,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
08:25,,22 (+2),,20,"GOOD FT by SPIKES,KALVIN",Mill 22-20 (-2),,"GOOD FT by SPIKES,KALVIN",1
07:59,"MISS JUMPER by RENELIQUE,DARNEL",,,,,,,"MISS JUMPER by RENELIQUE,DARNEL",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
07:52,,,,,"MISS LAYUP by JENKINS,KALEB(in the paint)",,,"MISS LAYUP by JENKINS,KALEB(in the paint)",1
--,,,,,"REBOUND OFF by JENKINS,KALEB",,,"REBOUND OFF by JENKINS,KALEB",1
07:49,,22,,22,"GOOD LAYUP by JENKINS,KALEB(in the paint)",Mill 22-22 (0),,"GOOD LAYUP by JENKINS,KALEB(in the paint)",1
07:30,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",24 (+2),,22,,UO 24-22 (-2),,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",1
07:21,,24,,25 (+1),"GOOD 3PTR by BECKER,SAXTON",Mill 24-25 (+1),,"GOOD 3PTR by BECKER,SAXTON",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
07:02,"MISS 3PTR by TURPIN,TIM",,,,,,,"MISS 3PTR by TURPIN,TIM",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
06:54,,24,,27 (+3),"GOOD JUMPER by HUGHES,ANTHONY(fastbreak)(in the paint)",Mill 24-27 (+3),,"GOOD JUMPER by HUGHES,ANTHONY(fastbreak)(in the paint)",1
06:33,"GOOD JUMPER by WINSTON,CORDY(in the paint)",26,,27 (+1),,UO 26-27 (+1),,"GOOD JUMPER by WINSTON,CORDY(in the paint)",1
--,"ASSIST  by RENELIQUE,DARNEL",,,,,,,"ASSIST  by RENELIQUE,DARNEL",1
06:21,"FOUL  by BOWMAN,ETHAN",,,,,,,"FOUL  by BOWMAN,ETHAN",1
06:21,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:19,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
06:19,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
06:19,"SUB OUT by BOWMAN,ETHAN",,,,,,,"SUB OUT by BOWMAN,ETHAN",1
06:19,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",1
06:19,"SUB IN by DAVIS,JACOBE",,,,,,,"SUB IN by DAVIS,JACOBE",1
06:19,"SUB IN by WILHELM,CORY",,,,,,,"SUB IN by WILHELM,CORY",1
06:14,"FOUL  by WINSTON,CORDY",,,,,,,"FOUL  by WINSTON,CORDY",1
06:14,,26,,28 (+2),"GOOD FT by GRANT,SHE'CHEM",Mill 26-28 (+2),,"GOOD FT by GRANT,SHE'CHEM",1
06:14,,26,,29 (+3),"GOOD FT by GRANT,SHE'CHEM",Mill 26-29 (+3),,"GOOD FT by GRANT,SHE'CHEM",1
05:47,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",28,,29 (+1),,UO 28-29 (+1),,"GOOD LAYUP by JOHNSON,BRYSON(in the paint)",1
05:40,,,,,"MISS LAYUP by JENKINS,KALEB(in the paint)",,,"MISS LAYUP by JENKINS,KALEB(in the paint)",1
05:40,"BLOCK  by RENELIQUE,DARNEL",,,,,,,"BLOCK  by RENELIQUE,DARNEL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
05:39,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",1
05:39,"SUB IN by HELZER,JAMES",,,,,,,"SUB IN by HELZER,JAMES",1
05:30,,,,,"MISS 3PTR by HUGHES,ANTHONY",,,"MISS 3PTR by HUGHES,ANTHONY",1
--,"REBOUND DEF by WINSTON,CORDY",,,,,,,"REBOUND DEF by WINSTON,CORDY",1
05:22,"GOOD JUMPER by DAVIS,JACOBE(fastbreak)(in the paint)",30 (+1),,29,,UO 30-29 (-1),,"GOOD JUMPER by DAVIS,JACOBE(fastbreak)(in the paint)",1
05:09,,30,,32 (+2),"GOOD 3PTR by BECKER,SAXTON",Mill 30-32 (+2),,"GOOD 3PTR by BECKER,SAXTON",1
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",1
04:45,"MISS LAYUP by WINSTON,CORDY(in the paint)",,,,,,,"MISS LAYUP by WINSTON,CORDY(in the paint)",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
04:39,,30,,34 (+4),"GOOD LAYUP by HUGHES,ANTHONY(fastbreak)(in the paint)",Mill 30-34 (+4),,"GOOD LAYUP by HUGHES,ANTHONY(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",1
04:18,"MISS JUMPER by RENELIQUE,DARNEL(in the paint)",,,,,,,"MISS JUMPER by RENELIQUE,DARNEL(in the paint)",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
04:10,,,,,"TURNOVER  by GILLIHAN,NEWLON",,,"TURNOVER  by GILLIHAN,NEWLON",1
04:10,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
04:10,,,,,"SUB OUT by HUGHES,ANTHONY",,,"SUB OUT by HUGHES,ANTHONY",1
04:10,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",1
04:10,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
04:00,"MISS JUMPER by RENELIQUE,DARNEL",,,,,,,"MISS JUMPER by RENELIQUE,DARNEL",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
03:52,,,,,"MISS JUMPER by BECKER,SAXTON",,,"MISS JUMPER by BECKER,SAXTON",1
--,"REBOUND DEF by RENELIQUE,DARNEL",,,,,,,"REBOUND DEF by RENELIQUE,DARNEL",1
03:43,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
03:27,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",1
03:21,,,,,"MISS JUMPER by BECKER,SAXTON",,,"MISS JUMPER by BECKER,SAXTON",1
--,,,,,"REBOUND OFF by GILLIHAN,NEWLON",,,"REBOUND OFF by GILLIHAN,NEWLON",1
03:16,,,,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",1
--,"REBOUND DEF by WINSTON,CORDY",,,,,,,"REBOUND DEF by WINSTON,CORDY",1
03:07,"MISS 3PTR by RENELIQUE,DARNEL",,,,,,,"MISS 3PTR by RENELIQUE,DARNEL",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
02:38,,,,,"MISS JUMPER by BLANZ,BUCK(in the paint)",,,"MISS JUMPER by BLANZ,BUCK(in the paint)",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
02:29,,,,,"FOUL  by MCLAURIN,RYAN",,,"FOUL  by MCLAURIN,RYAN",1
02:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
02:29,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
02:29,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
02:29,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",1
02:29,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",1
02:29,"SUB OUT by HELZER,JAMES",,,,,,,"SUB OUT by HELZER,JAMES",1
02:29,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",1
02:29,"GOOD FT by DAVIS,JACOBE",31,,34 (+3),,UO 31-34 (+3),,"GOOD FT by DAVIS,JACOBE",1
02:29,"GOOD FT by DAVIS,JACOBE",32,,34 (+2),,UO 32-34 (+2),,"GOOD FT by DAVIS,JACOBE",1
02:15,,32,,36 (+4),"GOOD JUMPER by BECKER,SAXTON(in the paint)",Mill 32-36 (+4),,"GOOD JUMPER by BECKER,SAXTON(in the paint)",1
01:55,"GOOD JUMPER by DAVIS,JACOBE(in the paint)",34,,36 (+2),,UO 34-36 (+2),,"GOOD JUMPER by DAVIS,JACOBE(in the paint)",1
01:34,,34,,38 (+4),"GOOD LAYUP by BLANZ,BUCK(in the paint)",Mill 34-38 (+4),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",1
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",1
01:18,"TURNOVER  by JOHNSON,BRYSON",,,,,,,"TURNOVER  by JOHNSON,BRYSON",1
01:18,,,,,"STEAL  by BECKER,SAXTON",,,"STEAL  by BECKER,SAXTON",1
01:08,,,,,"MISS JUMPER by MCLAURIN,RYAN",,,"MISS JUMPER by MCLAURIN,RYAN",1
--,"REBOUND DEF by RENELIQUE,DARNEL",,,,,,,"REBOUND DEF by RENELIQUE,DARNEL",1
01:07,,,,,"FOUL  by MCLAURIN,RYAN",,,"FOUL  by MCLAURIN,RYAN",1
01:07,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
01:07,,,,,"SUB IN by HUGHES,ANTHONY",,,"SUB IN by HUGHES,ANTHONY",1
00:51,"MISS 3PTR by DAVIS,JACOBE",,,,,,,"MISS 3PTR by DAVIS,JACOBE",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
00:39,,34,,40 (+6),"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",Mill 34-40 (+6),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",1
00:39,"FOUL  by TURPIN,TIM",,,,,,,"FOUL  by TURPIN,TIM",1
00:39,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:39,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,1
00:39,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
00:39,,34,,41 (+7),"GOOD FT by BECKER,SAXTON(fastbreak)",Mill 34-41 (+7),,"GOOD FT by BECKER,SAXTON(fastbreak)",1
00:39,,34,,42 (+8),"GOOD FT by BECKER,SAXTON(fastbreak)",Mill 34-42 (+8),,"GOOD FT by BECKER,SAXTON(fastbreak)",1
00:39,,34,,43 (+9),"GOOD FT by HUGHES,ANTHONY",Mill 34-43 (+9),,"GOOD FT by HUGHES,ANTHONY",1
00:19,"GOOD JUMPER by JOHNSON,BRYSON(in the paint)",36,,43 (+7),,UO 36-43 (+7),,"GOOD JUMPER by JOHNSON,BRYSON(in the paint)",1
00:07,,36,,45 (+9),"GOOD JUMPER by HUGHES,ANTHONY",Mill 36-45 (+9),,"GOOD JUMPER by HUGHES,ANTHONY",1
20:00,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",2
