Time Remaining,UTD,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
01:39,"FOUL  by WEBER,JALEN",,,,,,,"FOUL  by WEBER,JALEN",1
01:39,,29 (+5),,24,"GOOD FT by BLANZ,BUCK(fastbreak)",Mill 29-24 (-5),,"GOOD FT by BLANZ,BUCK(fastbreak)",1
01:39,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
01:39,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
01:39,"SUB OUT by WEBER,JALEN",,,,,,,"SUB OUT by WEBER,JALEN",1
01:39,"SUB IN by FERRELL,XAVIER",,,,,,,"SUB IN by FERRELL,XAVIER",1
01:39,,29 (+4),,25,"GOOD FT by BLANZ,BUCK(fastbreak)",Mill 29-25 (-4),,"GOOD FT by BLANZ,BUCK(fastbreak)",1
01:25,"TURNOVER  by FERRELL,XAVIER",,,,,,,"TURNOVER  by FERRELL,XAVIER",1
01:25,,,,,"STEAL  by BLANZ,BUCK",,,"STEAL  by BLANZ,BUCK",1
01:06,,,,,"MISS JUMPER by MCLAURIN,RYAN",,,"MISS JUMPER by MCLAURIN,RYAN",1
--,"REBOUND DEF by STEVENS,HUNTER",,,,,,,"REBOUND DEF by STEVENS,HUNTER",1
00:54,"MISS 3PTR by FORSTER,MICHAEL",,,,,,,"MISS 3PTR by FORSTER,MICHAEL",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
00:51,"FOUL  by ISAAC,WILL",,,,,,,"FOUL  by ISAAC,WILL",1
00:51,,29 (+3),,26,"GOOD FT by VAN PELT,JUSTIN(fastbreak)",Mill 29-26 (-3),,"GOOD FT by VAN PELT,JUSTIN(fastbreak)",1
00:51,,29 (+2),,27,"GOOD FT by VAN PELT,JUSTIN(fastbreak)",Mill 29-27 (-2),,"GOOD FT by VAN PELT,JUSTIN(fastbreak)",1
00:24,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
00:24,"GOOD FT by FORSTER,MICHAEL",30 (+3),,27,,UTD 30-27 (-3),,"GOOD FT by FORSTER,MICHAEL",1
00:24,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
00:24,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
00:24,"SUB OUT by ISAAC,WILL",,,,,,,"SUB OUT by ISAAC,WILL",1
00:24,"SUB IN by SONAME,SIMEON",,,,,,,"SUB IN by SONAME,SIMEON",1
00:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:24,"MISS FT by FORSTER,MICHAEL",,,,,,,"MISS FT by FORSTER,MICHAEL",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
00:08,,30,,30,"GOOD 3PTR by BLANZ,BUCK",Mill 30-30 (0),,"GOOD 3PTR by BLANZ,BUCK",1
--,,,,,"ASSIST  by MCLAURIN,RYAN",,,"ASSIST  by MCLAURIN,RYAN",1
00:00,"MISS 3PTR by FERRELL,XAVIER",,,,,,,"MISS 3PTR by FERRELL,XAVIER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
20:00,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",2
20:00,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",2
20:00,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",2
20:00,"SUB OUT by STEVENS,HUNTER",,,,,,,"SUB OUT by STEVENS,HUNTER",2
20:00,"SUB OUT by SONAME,SIMEON",,,,,,,"SUB OUT by SONAME,SIMEON",2
20:00,"SUB OUT by GIBSON,JEREMIAH",,,,,,,"SUB OUT by GIBSON,JEREMIAH",2
20:00,"SUB IN by WEBER,JALEN",,,,,,,"SUB IN by WEBER,JALEN",2
20:00,"SUB IN by PRUITT,KELDEN",,,,,,,"SUB IN by PRUITT,KELDEN",2
20:00,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",2
19:46,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",2
--,,,,,"REBOUND OFF by SPIKES,KALVIN",,,"REBOUND OFF by SPIKES,KALVIN",2
19:46,"FOUL  by BURWITZ,HANS",,,,,,,"FOUL  by BURWITZ,HANS",2
19:34,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",2
19:34,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",2
19:14,"MISS JUMPER by BURWITZ,HANS(in the paint)",,,,,,,"MISS JUMPER by BURWITZ,HANS(in the paint)",2
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",2
18:58,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
18:33,"TURNOVER  by WEBER,JALEN",,,,,,,"TURNOVER  by WEBER,JALEN",2
18:33,,,,,"STEAL  by BECKER,SAXTON",,,"STEAL  by BECKER,SAXTON",2
18:23,,30,,33 (+3),"GOOD 3PTR by MCLAURIN,RYAN",Mill 30-33 (+3),,"GOOD 3PTR by MCLAURIN,RYAN",2
--,,,,,"ASSIST  by HUGHES,ANTHONY",,,"ASSIST  by HUGHES,ANTHONY",2
18:02,,,,,"FOUL  by MCLAURIN,RYAN",,,"FOUL  by MCLAURIN,RYAN",2
18:02,"MISS FT by FORSTER,MICHAEL",,,,,,,"MISS FT by FORSTER,MICHAEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:02,"GOOD FT by FORSTER,MICHAEL",31,,33 (+2),,UTD 31-33 (+2),,"GOOD FT by FORSTER,MICHAEL",2
17:55,,31,,36 (+5),"GOOD 3PTR by MCLAURIN,RYAN",Mill 31-36 (+5),,"GOOD 3PTR by MCLAURIN,RYAN",2
17:34,"GOOD JUMPER by WEBER,JALEN",33,,36 (+3),,UTD 33-36 (+3),,"GOOD JUMPER by WEBER,JALEN",2
17:23,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",2
--,"REBOUND DEF by FERRELL,XAVIER",,,,,,,"REBOUND DEF by FERRELL,XAVIER",2
17:15,"MISS JUMPER by FERRELL,XAVIER(in the paint)",,,,,,,"MISS JUMPER by FERRELL,XAVIER(in the paint)",2
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",2
16:56,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",2
--,,,,,"REBOUND OFF by HUGHES,ANTHONY",,,"REBOUND OFF by HUGHES,ANTHONY",2
16:34,,33,,39 (+6),"GOOD 3PTR by JENKINS,KALEB",Mill 33-39 (+6),,"GOOD 3PTR by JENKINS,KALEB",2
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",2
16:11,"MISS 3PTR by WEBER,JALEN",,,,,,,"MISS 3PTR by WEBER,JALEN",2
--,"REBOUND OFF by PRUITT,KELDEN",,,,,,,"REBOUND OFF by PRUITT,KELDEN",2
16:08,,,,,"FOUL  by BECKER,SAXTON",,,"FOUL  by BECKER,SAXTON",2
16:06,"MISS LAYUP by PRUITT,KELDEN(in the paint)",,,,,,,"MISS LAYUP by PRUITT,KELDEN(in the paint)",2
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",2
15:58,,33,,42 (+9),"GOOD 3PTR by MCLAURIN,RYAN(fastbreak)",Mill 33-42 (+9),,"GOOD 3PTR by MCLAURIN,RYAN(fastbreak)",2
--,,,,,"ASSIST  by HUGHES,ANTHONY",,,"ASSIST  by HUGHES,ANTHONY",2
15:58,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",2
15:58,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",2
15:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:58,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",2
15:58,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",2
15:58,"SUB OUT by FERRELL,XAVIER",,,,,,,"SUB OUT by FERRELL,XAVIER",2
15:58,"SUB IN by STEVENS,HUNTER",,,,,,,"SUB IN by STEVENS,HUNTER",2
15:45,,,,,"FOUL  by JENKINS,KALEB",,,"FOUL  by JENKINS,KALEB",2
15:45,"GOOD FT by WEBER,JALEN",34,,42 (+8),,UTD 34-42 (+8),,"GOOD FT by WEBER,JALEN",2
15:45,"GOOD FT by WEBER,JALEN",35,,42 (+7),,UTD 35-42 (+7),,"GOOD FT by WEBER,JALEN",2
15:26,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",2
15:26,,,,,"TURNOVER  by VAN PELT,JUSTIN",,,"TURNOVER  by VAN PELT,JUSTIN",2
15:19,"FOUL  by BURWITZ,HANS",,,,,,,"FOUL  by BURWITZ,HANS",2
15:19,"TURNOVER  by BURWITZ,HANS",,,,,,,"TURNOVER  by BURWITZ,HANS",2
15:19,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",2
15:19,"SUB IN by SONAME,SIMEON",,,,,,,"SUB IN by SONAME,SIMEON",2
15:09,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",2
15:09,,,,,"TURNOVER  by VAN PELT,JUSTIN",,,"TURNOVER  by VAN PELT,JUSTIN",2
15:09,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",2
15:09,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",2
14:51,"GOOD JUMPER by WEBER,JALEN(in the paint)",37,,42 (+5),,UTD 37-42 (+5),,"GOOD JUMPER by WEBER,JALEN(in the paint)",2
14:34,,,,,"TURNOVER  by BECKER,SAXTON",,,"TURNOVER  by BECKER,SAXTON",2
14:15,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",39,,42 (+3),,UTD 39-42 (+3),,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",2
--,"ASSIST  by WEBER,JALEN",,,,,,,"ASSIST  by WEBER,JALEN",2
13:56,,39,,44 (+5),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",Mill 39-44 (+5),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",2
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",2
13:43,"MISS 3PTR by WEBER,JALEN",,,,,,,"MISS 3PTR by WEBER,JALEN",2
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",2
13:34,,39,,47 (+8),"GOOD 3PTR by MCLAURIN,RYAN(fastbreak)",Mill 39-47 (+8),,"GOOD 3PTR by MCLAURIN,RYAN(fastbreak)",2
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",2
13:07,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",2
13:07,"GOOD FT by WEBER,JALEN",40,,47 (+7),,UTD 40-47 (+7),,"GOOD FT by WEBER,JALEN",2
13:07,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",2
13:07,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",2
13:07,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",2
13:07,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",2
13:07,"GOOD FT by WEBER,JALEN",41,,47 (+6),,UTD 41-47 (+6),,"GOOD FT by WEBER,JALEN",2
12:51,,41,,50 (+9),"GOOD 3PTR by GRANT,SHE'CHEM",Mill 41-50 (+9),,"GOOD 3PTR by GRANT,SHE'CHEM",2
--,,,,,"ASSIST  by MCLAURIN,RYAN",,,"ASSIST  by MCLAURIN,RYAN",2
12:30,,,,,"FOUL  by MCLAURIN,RYAN",,,"FOUL  by MCLAURIN,RYAN",2
12:30,"GOOD FT by FORSTER,MICHAEL",42,,50 (+8),,UTD 42-50 (+8),,"GOOD FT by FORSTER,MICHAEL",2
12:30,,,,,"SUB OUT by HUGHES,ANTHONY",,,"SUB OUT by HUGHES,ANTHONY",2
12:30,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",2
12:30,"GOOD FT by FORSTER,MICHAEL",43,,50 (+7),,UTD 43-50 (+7),,"GOOD FT by FORSTER,MICHAEL",2
12:19,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",2
--,"REBOUND DEF by PRUITT,KELDEN",,,,,,,"REBOUND DEF by PRUITT,KELDEN",2
12:02,"GOOD JUMPER by PRUITT,KELDEN(in the paint)",45,,50 (+5),,UTD 45-50 (+5),,"GOOD JUMPER by PRUITT,KELDEN(in the paint)",2
11:47,,45,,52 (+7),"GOOD LAYUP by BLANZ,BUCK(in the paint)",Mill 45-52 (+7),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",2
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",2
11:21,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",47,,52 (+5),,UTD 47-52 (+5),,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",2
11:00,,,,,"MISS JUMPER by MCLAURIN,RYAN",,,"MISS JUMPER by MCLAURIN,RYAN",2
--,"REBOUND DEF by FORSTER,MICHAEL",,,,,,,"REBOUND DEF by FORSTER,MICHAEL",2
10:52,"GOOD JUMPER by STEVENS,HUNTER(fastbreak)(in the paint)",49,,52 (+3),,UTD 49-52 (+3),,"GOOD JUMPER by STEVENS,HUNTER(fastbreak)(in the paint)",2
10:21,"FOUL  by FORSTER,MICHAEL",,,,,,,"FOUL  by FORSTER,MICHAEL",2
10:21,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
10:21,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
10:21,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",2
10:21,"SUB OUT by PRUITT,KELDEN",,,,,,,"SUB OUT by PRUITT,KELDEN",2
10:21,"SUB IN by PRUITT,KOLTON",,,,,,,"SUB IN by PRUITT,KOLTON",2
10:21,,,,,"MISS FT by GRANT,SHE'CHEM",,,"MISS FT by GRANT,SHE'CHEM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:21,,49,,53 (+4),"GOOD FT by GRANT,SHE'CHEM",Mill 49-53 (+4),,"GOOD FT by GRANT,SHE'CHEM",2
10:05,,,,,"FOUL  by GILLIHAN,NEWLON",,,"FOUL  by GILLIHAN,NEWLON",2
10:05,"MISS FT by SONAME,SIMEON",,,,,,,"MISS FT by SONAME,SIMEON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:05,"GOOD FT by SONAME,SIMEON",50,,53 (+3),,UTD 50-53 (+3),,"GOOD FT by SONAME,SIMEON",2
09:53,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,"REBOUND DEF by WEBER,JALEN",,,,,,,"REBOUND DEF by WEBER,JALEN",2
09:33,"TURNOVER  by FORSTER,MICHAEL",,,,,,,"TURNOVER  by FORSTER,MICHAEL",2
09:33,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",2
09:33,,,,,"SUB IN by HUGHES,ANTHONY",,,"SUB IN by HUGHES,ANTHONY",2
09:22,"FOUL  by FORSTER,MICHAEL",,,,,,,"FOUL  by FORSTER,MICHAEL",2
09:22,"SUB OUT by STEVENS,HUNTER",,,,,,,"SUB OUT by STEVENS,HUNTER",2
09:22,"SUB IN by FERRELL,XAVIER",,,,,,,"SUB IN by FERRELL,XAVIER",2
09:19,,50,,56 (+6),"GOOD 3PTR by MCLAURIN,RYAN",Mill 50-56 (+6),,"GOOD 3PTR by MCLAURIN,RYAN",2
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",2
09:00,"MISS JUMPER by WEBER,JALEN(in the paint)",,,,,,,"MISS JUMPER by WEBER,JALEN(in the paint)",2
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",2
08:48,,,,,"MISS JUMPER by HUGHES,ANTHONY",,,"MISS JUMPER by HUGHES,ANTHONY",2
--,,,,,"REBOUND OFF by HUGHES,ANTHONY",,,"REBOUND OFF by HUGHES,ANTHONY",2
08:26,"FOUL  by WEBER,JALEN",,,,,,,"FOUL  by WEBER,JALEN",2
08:26,,,,,"MISS FT by MCLAURIN,RYAN",,,"MISS FT by MCLAURIN,RYAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:26,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",2
08:26,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",2
08:26,,50,,57 (+7),"GOOD FT by MCLAURIN,RYAN",Mill 50-57 (+7),,"GOOD FT by MCLAURIN,RYAN",2
08:26,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",2
08:26,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",2
08:26,"SUB OUT by WEBER,JALEN",,,,,,,"SUB OUT by WEBER,JALEN",2
08:26,"SUB IN by STEVENS,HUNTER",,,,,,,"SUB IN by STEVENS,HUNTER",2
08:18,"TURNOVER  by STEVENS,HUNTER",,,,,,,"TURNOVER  by STEVENS,HUNTER",2
08:18,,,,,"STEAL  by JENKINS,KALEB",,,"STEAL  by JENKINS,KALEB",2
08:14,,,,,"MISS LAYUP by JENKINS,KALEB(in the paint)",,,"MISS LAYUP by JENKINS,KALEB(in the paint)",2
--,"REBOUND DEF by SONAME,SIMEON",,,,,,,"REBOUND DEF by SONAME,SIMEON",2
08:08,"TURNOVER  by SONAME,SIMEON",,,,,,,"TURNOVER  by SONAME,SIMEON",2
08:08,,,,,"STEAL  by HUGHES,ANTHONY",,,"STEAL  by HUGHES,ANTHONY",2
08:03,,50,,59 (+9),"GOOD LAYUP by JENKINS,KALEB(fastbreak)(in the paint)",Mill 50-59 (+9),,"GOOD LAYUP by JENKINS,KALEB(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by HUGHES,ANTHONY",,,"ASSIST  by HUGHES,ANTHONY",2
08:03,"FOUL  by SONAME,SIMEON",,,,,,,"FOUL  by SONAME,SIMEON",2
08:03,"TURNOVER  by SONAME,SIMEON",,,,,,,"TURNOVER  by SONAME,SIMEON",2
08:03,"SUB OUT by SONAME,SIMEON",,,,,,,"SUB OUT by SONAME,SIMEON",2
08:03,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",2
08:03,,50,,60 (+10),"GOOD FT by JENKINS,KALEB(fastbreak)",Mill 50-60 (+10),,"GOOD FT by JENKINS,KALEB(fastbreak)",2
08:03,,50,,61 (+11),"GOOD FT by JENKINS,KALEB(fastbreak)",Mill 50-61 (+11),,"GOOD FT by JENKINS,KALEB(fastbreak)",2
07:47,,,,,"MISS 3PTR by HUGHES,ANTHONY",,,"MISS 3PTR by HUGHES,ANTHONY",2
--,"REBOUND DEF by PRUITT,KOLTON",,,,,,,"REBOUND DEF by PRUITT,KOLTON",2
07:29,"GOOD 3PTR by STEVENS,HUNTER",53,,61 (+8),,UTD 53-61 (+8),,"GOOD 3PTR by STEVENS,HUNTER",2
--,"ASSIST  by FORSTER,MICHAEL",,,,,,,"ASSIST  by FORSTER,MICHAEL",2
07:11,,,,,"MISS 3PTR by YOUNG,DILLON",,,"MISS 3PTR by YOUNG,DILLON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:10,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:10,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",2
07:10,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",2
07:10,"SUB OUT by STEVENS,HUNTER",,,,,,,"SUB OUT by STEVENS,HUNTER",2
07:10,"SUB IN by WEBER,JALEN",,,,,,,"SUB IN by WEBER,JALEN",2
06:59,"MISS 3PTR by PRUITT,KOLTON",,,,,,,"MISS 3PTR by PRUITT,KOLTON",2
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",2
06:40,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",2
06:22,"GOOD JUMPER by WEBER,JALEN",55,,61 (+6),,UTD 55-61 (+6),,"GOOD JUMPER by WEBER,JALEN",2
05:59,,,,,"MISS 3PTR by YOUNG,DILLON",,,"MISS 3PTR by YOUNG,DILLON",2
--,"REBOUND DEF by FORSTER,MICHAEL",,,,,,,"REBOUND DEF by FORSTER,MICHAEL",2
05:48,"TURNOVER  by BURWITZ,HANS",,,,,,,"TURNOVER  by BURWITZ,HANS",2
05:48,,,,,"STEAL  by HUGHES,ANTHONY",,,"STEAL  by HUGHES,ANTHONY",2
05:40,,,,,"TURNOVER  by VAN PELT,JUSTIN",,,"TURNOVER  by VAN PELT,JUSTIN",2
05:40,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",2
05:40,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",2
05:25,"MISS 3PTR by WEBER,JALEN",,,,,,,"MISS 3PTR by WEBER,JALEN",2
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",2
05:16,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",2
04:58,"TURNOVER  by FORSTER,MICHAEL",,,,,,,"TURNOVER  by FORSTER,MICHAEL",2
04:45,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",2
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",2
04:42,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",2
04:42,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",2
04:42,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",2
04:42,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:42,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
04:42,"MISS FT by BURWITZ,HANS(fastbreak)",,,,,,,"MISS FT by BURWITZ,HANS(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:42,"SUB OUT by PRUITT,KOLTON",,,,,,,"SUB OUT by PRUITT,KOLTON",2
04:42,"SUB IN by PRUITT,KELDEN",,,,,,,"SUB IN by PRUITT,KELDEN",2
04:42,"GOOD FT by BURWITZ,HANS(fastbreak)",56,,61 (+5),,UTD 56-61 (+5),,"GOOD FT by BURWITZ,HANS(fastbreak)",2
04:30,,,,,"MISS JUMPER by SPIKES,KALVIN(in the paint)",,,"MISS JUMPER by SPIKES,KALVIN(in the paint)",2
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",2
04:04,"FOUL  by FERRELL,XAVIER",,,,,,,"FOUL  by FERRELL,XAVIER",2
04:04,"TURNOVER  by FERRELL,XAVIER",,,,,,,"TURNOVER  by FERRELL,XAVIER",2
04:04,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:35,,56,,64 (+8),"GOOD 3PTR by GRANT,SHE'CHEM",Mill 56-64 (+8),,"GOOD 3PTR by GRANT,SHE'CHEM",2
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",2
03:19,,,,,"FOUL  by JENKINS,KALEB",,,"FOUL  by JENKINS,KALEB",2
03:19,"GOOD FT by WEBER,JALEN",57,,64 (+7),,UTD 57-64 (+7),,"GOOD FT by WEBER,JALEN",2
03:19,"MISS FT by WEBER,JALEN",,,,,,,"MISS FT by WEBER,JALEN",2
--,"REBOUND OFF by WEBER,JALEN",,,,,,,"REBOUND OFF by WEBER,JALEN",2
03:14,"MISS 3PTR by FORSTER,MICHAEL",,,,,,,"MISS 3PTR by FORSTER,MICHAEL",2
--,"REBOUND OFF by BURWITZ,HANS",,,,,,,"REBOUND OFF by BURWITZ,HANS",2
03:06,"GOOD 3PTR by WEBER,JALEN",60,,64 (+4),,UTD 60-64 (+4),,"GOOD 3PTR by WEBER,JALEN",2
--,"ASSIST  by BURWITZ,HANS",,,,,,,"ASSIST  by BURWITZ,HANS",2
02:32,"FOUL  by BURWITZ,HANS",,,,,,,"FOUL  by BURWITZ,HANS",2
02:32,"FOUL TECH by BURWITZ,HANS",,,,,,,"FOUL TECH by BURWITZ,HANS",2
02:32,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",2
02:32,"SUB IN by ISAAC,WILL",,,,,,,"SUB IN by ISAAC,WILL",2
02:32,,,,,"MISS FT by MCLAURIN,RYAN",,,"MISS FT by MCLAURIN,RYAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:32,,60,,65 (+5),"GOOD FT by MCLAURIN,RYAN",Mill 60-65 (+5),,"GOOD FT by MCLAURIN,RYAN",2
02:32,,60,,66 (+6),"GOOD FT by SPIKES,KALVIN",Mill 60-66 (+6),,"GOOD FT by SPIKES,KALVIN",2
02:32,,60,,67 (+7),"GOOD FT by SPIKES,KALVIN",Mill 60-67 (+7),,"GOOD FT by SPIKES,KALVIN",2
02:07,"FOUL  by ISAAC,WILL",,,,,,,"FOUL  by ISAAC,WILL",2
02:07,"TURNOVER  by ISAAC,WILL",,,,,,,"TURNOVER  by ISAAC,WILL",2
01:48,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",2
01:48,"STEAL  by FORSTER,MICHAEL",,,,,,,"STEAL  by FORSTER,MICHAEL",2
01:46,"GOOD JUMPER by FORSTER,MICHAEL(fastbreak)(in the paint)",62,,67 (+5),,UTD 62-67 (+5),,"GOOD JUMPER by FORSTER,MICHAEL(fastbreak)(in the paint)",2
01:46,,,,,"FOUL  by HUGHES,ANTHONY",,,"FOUL  by HUGHES,ANTHONY",2
01:46,"GOOD FT by FORSTER,MICHAEL(fastbreak)",63,,67 (+4),,UTD 63-67 (+4),,"GOOD FT by FORSTER,MICHAEL(fastbreak)",2
