Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
17:42,"SUB IN by HUGHES,ANTHONY",,,,,,,"SUB IN by HUGHES,ANTHONY",1
17:29,,2,,5 (+3),"GOOD LAYUP by DUPREE,RYAN(in the paint)",BU 2-5 (-3),,"GOOD LAYUP by DUPREE,RYAN(in the paint)",1
--,,,,,"ASSIST  by ROBERTS,JOSHUA",,,"ASSIST  by ROBERTS,JOSHUA",1
17:13,"MISS 3PTR by HUGHES,ANTHONY",,,,,,,"MISS 3PTR by HUGHES,ANTHONY",1
--,,,,,"REBOUND DEF by JONES,JUSTIN",,,"REBOUND DEF by JONES,JUSTIN",1
17:03,,,,,"MISS 3PTR by COOKS,BROSNAN",,,"MISS 3PTR by COOKS,BROSNAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:03,,,,,"FOUL  by JONES,JUSTIN",,,"FOUL  by JONES,JUSTIN",1
16:52,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",,,,,,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",1
--,"REBOUND OFF by SPIKES,KALVIN",,,,,,,"REBOUND OFF by SPIKES,KALVIN",1
16:47,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",4,,5 (+1),,Mill 4-5 (-1),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
16:38,,,,,"MISS LAYUP by COOKS,BROSNAN(in the paint)",,,"MISS LAYUP by COOKS,BROSNAN(in the paint)",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
16:25,"GOOD 3PTR by MILLER,JOSHUA",7 (+2),,5,,Mill 7-5 (+2),,"GOOD 3PTR by MILLER,JOSHUA",1
--,"ASSIST  by BECKER,SAXTON",,,,,,,"ASSIST  by BECKER,SAXTON",1
15:54,,7,,7,"GOOD JUMPER by JONES,JUSTIN",BU 7-7 (0),,"GOOD JUMPER by JONES,JUSTIN",1
--,,,,,"ASSIST  by COOKS,BROSNAN",,,"ASSIST  by COOKS,BROSNAN",1
15:35,"TURNOVER  by SPIKES,KALVIN",,,,,,,"TURNOVER  by SPIKES,KALVIN",1
15:35,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:23,,,,,"MISS JUMPER by JAMES,TRAI(in the paint)",,,"MISS JUMPER by JAMES,TRAI(in the paint)",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
15:19,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",1
15:19,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
15:19,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",1
15:19,,,,,"SUB OUT by COOKS,BROSNAN",,,"SUB OUT by COOKS,BROSNAN",1
15:19,,,,,"SUB IN by PHILLIPS,BRANDON",,,"SUB IN by PHILLIPS,BRANDON",1
15:19,,,,,"SUB IN by PRUITT,KELVIN",,,"SUB IN by PRUITT,KELVIN",1
15:19,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
15:19,"SUB IN by JENKINS,KALEB",,,,,,,"SUB IN by JENKINS,KALEB",1
15:03,,7,,9 (+2),"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",BU 7-9 (-2),,"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",1
14:55,"TURNOVER  by MCLAURIN,RYAN",,,,,,,"TURNOVER  by MCLAURIN,RYAN",1
14:55,,,,,"SUB OUT by DUPREE,RYAN",,,"SUB OUT by DUPREE,RYAN",1
14:55,,,,,"SUB IN by COUCH,LUKE",,,"SUB IN by COUCH,LUKE",1
14:55,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
14:55,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
14:48,,,,,"FOUL  by JAMES,TRAI",,,"FOUL  by JAMES,TRAI",1
14:48,,,,,"TURNOVER  by JAMES,TRAI",,,"TURNOVER  by JAMES,TRAI",1
14:48,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
14:48,"SUB IN by YOUNG,DILLON",,,,,,,"SUB IN by YOUNG,DILLON",1
14:26,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by PRUITT,KELVIN",,,"REBOUND DEF by PRUITT,KELVIN",1
14:19,,,,,"MISS 3PTR by PHILLIPS,BRANDON",,,"MISS 3PTR by PHILLIPS,BRANDON",1
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",1
14:11,,,,,"FOUL  by PRUITT,KELVIN",,,"FOUL  by PRUITT,KELVIN",1
14:11,"GOOD FT by JENKINS,KALEB(fastbreak)",8,,9 (+1),,Mill 8-9 (-1),,"GOOD FT by JENKINS,KALEB(fastbreak)",1
14:11,,,,,"SUB OUT by ROBERTS,JOSHUA",,,"SUB OUT by ROBERTS,JOSHUA",1
14:11,,,,,"SUB IN by HODUM,RICK",,,"SUB IN by HODUM,RICK",1
14:11,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
14:11,"SUB IN by VAN PELT,JUSTIN",,,,,,,"SUB IN by VAN PELT,JUSTIN",1
14:11,"GOOD FT by JENKINS,KALEB(fastbreak)",9,,9,,Mill 9-9 (0),,"GOOD FT by JENKINS,KALEB(fastbreak)",1
13:52,,,,,"MISS JUMPER by COUCH,LUKE",,,"MISS JUMPER by COUCH,LUKE",1
--,"REBOUND DEF by GRANT,SHE'CHEM",,,,,,,"REBOUND DEF by GRANT,SHE'CHEM",1
13:45,"MISS LAYUP by GRANT,SHE'CHEM(in the paint)",,,,,,,"MISS LAYUP by GRANT,SHE'CHEM(in the paint)",1
--,"REBOUND OFF by HUGHES,ANTHONY",,,,,,,"REBOUND OFF by HUGHES,ANTHONY",1
13:39,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",11 (+2),,9,,Mill 11-9 (+2),,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",1
13:27,,,,,"TURNOVER  by PHILLIPS,BRANDON",,,"TURNOVER  by PHILLIPS,BRANDON",1
13:16,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",,,,,,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",1
--,,,,,"REBOUND DEF by PHILLIPS,BRANDON",,,"REBOUND DEF by PHILLIPS,BRANDON",1
13:09,,11,,12 (+1),"GOOD 3PTR by COUCH,LUKE(fastbreak)",BU 11-12 (-1),,"GOOD 3PTR by COUCH,LUKE(fastbreak)",1
--,,,,,"ASSIST  by JAMES,TRAI",,,"ASSIST  by JAMES,TRAI",1
13:01,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:37,,,,,"MISS 3PTR by HODUM,RICK",,,"MISS 3PTR by HODUM,RICK",1
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",1
12:31,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",1
12:31,"TURNOVER  by VAN PELT,JUSTIN",,,,,,,"TURNOVER  by VAN PELT,JUSTIN",1
12:30,,,,,"SUB OUT by JAMES,TRAI",,,"SUB OUT by JAMES,TRAI",1
12:30,,,,,"SUB OUT by PHILLIPS,BRANDON",,,"SUB OUT by PHILLIPS,BRANDON",1
12:30,,,,,"SUB IN by DUPREE,RYAN",,,"SUB IN by DUPREE,RYAN",1
12:30,,,,,"SUB IN by REED,AUSTIN",,,"SUB IN by REED,AUSTIN",1
12:20,,,,,"TURNOVER  by PRUITT,KELVIN",,,"TURNOVER  by PRUITT,KELVIN",1
12:20,"STEAL  by HUGHES,ANTHONY",,,,,,,"STEAL  by HUGHES,ANTHONY",1
12:15,"GOOD LAYUP by YOUNG,DILLON(fastbreak)(in the paint)",13 (+1),,12,,Mill 13-12 (+1),,"GOOD LAYUP by YOUNG,DILLON(fastbreak)(in the paint)",1
--,"ASSIST  by HUGHES,ANTHONY",,,,,,,"ASSIST  by HUGHES,ANTHONY",1
12:15,,,,,"FOUL  by HODUM,RICK",,,"FOUL  by HODUM,RICK",1
12:15,"GOOD FT by YOUNG,DILLON(fastbreak)",14 (+2),,12,,Mill 14-12 (+2),,"GOOD FT by YOUNG,DILLON(fastbreak)",1
12:03,,,,,"MISS 3PTR by REED,AUSTIN",,,"MISS 3PTR by REED,AUSTIN",1
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",1
11:55,"GOOD 3PTR by JENKINS,KALEB",17 (+5),,12,,Mill 17-12 (+5),,"GOOD 3PTR by JENKINS,KALEB",1
--,"ASSIST  by HUGHES,ANTHONY",,,,,,,"ASSIST  by HUGHES,ANTHONY",1
11:43,,,,,"TURNOVER  by REED,AUSTIN",,,"TURNOVER  by REED,AUSTIN",1
11:43,"STEAL  by VAN PELT,JUSTIN",,,,,,,"STEAL  by VAN PELT,JUSTIN",1
11:37,"MISS LAYUP by GRANT,SHE'CHEM(in the paint)",,,,,,,"MISS LAYUP by GRANT,SHE'CHEM(in the paint)",1
--,"REBOUND OFF by VAN PELT,JUSTIN",,,,,,,"REBOUND OFF by VAN PELT,JUSTIN",1
11:29,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",19 (+7),,12,,Mill 19-12 (+7),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
11:24,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",1
11:24,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:24,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",1
11:24,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
11:24,,19 (+6),,13,"GOOD FT by COUCH,LUKE(fastbreak)",BU 19-13 (+6),,"GOOD FT by COUCH,LUKE(fastbreak)",1
11:24,,19 (+5),,14,"GOOD FT by COUCH,LUKE(fastbreak)",BU 19-14 (+5),,"GOOD FT by COUCH,LUKE(fastbreak)",1
11:12,"MISS 3PTR by HUGHES,ANTHONY",,,,,,,"MISS 3PTR by HUGHES,ANTHONY",1
--,,,,,"REBOUND DEF by DUPREE,RYAN",,,"REBOUND DEF by DUPREE,RYAN",1
11:07,,,,,"FOUL  by DUPREE,RYAN",,,"FOUL  by DUPREE,RYAN",1
11:07,,,,,"TURNOVER  by DUPREE,RYAN",,,"TURNOVER  by DUPREE,RYAN",1
10:52,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",1
--,,,,,"REBOUND DEF by REED,AUSTIN",,,"REBOUND DEF by REED,AUSTIN",1
10:36,,19 (+2),,17,"GOOD 3PTR by HODUM,RICK",BU 19-17 (+2),,"GOOD 3PTR by HODUM,RICK",1
--,,,,,"ASSIST  by DUPREE,RYAN",,,"ASSIST  by DUPREE,RYAN",1
10:31,,,,,"FOUL  by HODUM,RICK",,,"FOUL  by HODUM,RICK",1
10:31,,,,,"SUB OUT by PRUITT,KELVIN",,,"SUB OUT by PRUITT,KELVIN",1
10:31,,,,,"SUB OUT by HODUM,RICK",,,"SUB OUT by HODUM,RICK",1
10:31,,,,,"SUB OUT by REED,AUSTIN",,,"SUB OUT by REED,AUSTIN",1
10:31,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",1
10:31,,,,,"SUB IN by ROBERTS,JOSHUA",,,"SUB IN by ROBERTS,JOSHUA",1
10:31,,,,,"SUB IN by COOKS,BROSNAN",,,"SUB IN by COOKS,BROSNAN",1
10:31,"SUB OUT by HUGHES,ANTHONY",,,,,,,"SUB OUT by HUGHES,ANTHONY",1
10:31,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
10:31,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
10:31,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
10:20,"MISS 3PTR by YOUNG,DILLON",,,,,,,"MISS 3PTR by YOUNG,DILLON",1
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",1
10:14,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",21 (+4),,17,,Mill 21-17 (+4),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",1
10:09,,,,,"MISS 3PTR by ROBERTS,JOSHUA",,,"MISS 3PTR by ROBERTS,JOSHUA",1
--,"REBOUND DEF by YOUNG,DILLON",,,,,,,"REBOUND DEF by YOUNG,DILLON",1
09:59,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
09:52,,,,,"SUB OUT by COUCH,LUKE",,,"SUB OUT by COUCH,LUKE",1
09:52,,,,,"SUB IN by JAMES,TRAI",,,"SUB IN by JAMES,TRAI",1
09:43,,,,,"FOUL  by JAMES,TRAI",,,"FOUL  by JAMES,TRAI",1
09:30,,,,,"FOUL  by JONES,JUSTIN",,,"FOUL  by JONES,JUSTIN",1
09:30,"GOOD FT by TULLOS,ZACHARY",22 (+5),,17,,Mill 22-17 (+5),,"GOOD FT by TULLOS,ZACHARY",1
09:30,,,,,"SUB OUT by JAMES,TRAI",,,"SUB OUT by JAMES,TRAI",1
09:30,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",1
09:30,,,,,"SUB IN by MCMILLAN,MATTHEW",,,"SUB IN by MCMILLAN,MATTHEW",1
09:30,,,,,"SUB IN by PRUITT,KELVIN",,,"SUB IN by PRUITT,KELVIN",1
09:30,"SUB OUT by YOUNG,DILLON",,,,,,,"SUB OUT by YOUNG,DILLON",1
09:30,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
09:30,"MISS FT by TULLOS,ZACHARY",,,,,,,"MISS FT by TULLOS,ZACHARY",1
--,,,,,"REBOUND DEF by DUPREE,RYAN",,,"REBOUND DEF by DUPREE,RYAN",1
09:07,,22 (+3),,19,"GOOD LAYUP by PRUITT,KELVIN(in the paint)",BU 22-19 (+3),,"GOOD LAYUP by PRUITT,KELVIN(in the paint)",1
08:56,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",1
--,,,,,"REBOUND DEF by ROBERTS,JOSHUA",,,"REBOUND DEF by ROBERTS,JOSHUA",1
08:50,,,,,"MISS 3PTR by MCMILLAN,MATTHEW",,,"MISS 3PTR by MCMILLAN,MATTHEW",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
08:43,"FOUL TECH by TULLOS,ZACHARY",,,,,,,"FOUL TECH by TULLOS,ZACHARY",1
08:43,"TURNOVER  by TULLOS,ZACHARY",,,,,,,"TURNOVER  by TULLOS,ZACHARY",1
08:43,,22 (+2),,20,"GOOD FT by ROBERTS,JOSHUA(fastbreak)",BU 22-20 (+2),,"GOOD FT by ROBERTS,JOSHUA(fastbreak)",1
08:43,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
08:43,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
08:26,,22,,23 (+1),"GOOD 3PTR by MCMILLAN,MATTHEW",BU 22-23 (-1),,"GOOD 3PTR by MCMILLAN,MATTHEW",1
--,,,,,"ASSIST  by COOKS,BROSNAN",,,"ASSIST  by COOKS,BROSNAN",1
08:10,"GOOD DUNK by SPIKES,KALVIN(in the paint)",24 (+1),,23,,Mill 24-23 (+1),,"GOOD DUNK by SPIKES,KALVIN(in the paint)",1
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",1
07:57,,,,,"MISS 3PTR by DUPREE,RYAN",,,"MISS 3PTR by DUPREE,RYAN",1
--,,,,,"REBOUND OFF by PRUITT,KELVIN",,,"REBOUND OFF by PRUITT,KELVIN",1
07:53,,24,,25 (+1),"GOOD LAYUP by PRUITT,KELVIN(in the paint)",BU 24-25 (-1),,"GOOD LAYUP by PRUITT,KELVIN(in the paint)",1
07:40,"MISS 3PTR by BURNETT,DREW",,,,,,,"MISS 3PTR by BURNETT,DREW",1
--,"REBOUND OFF by SPIKES,KALVIN",,,,,,,"REBOUND OFF by SPIKES,KALVIN",1
07:35,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:35,"SUB OUT by JENKINS,KALEB",,,,,,,"SUB OUT by JENKINS,KALEB",1
07:35,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
07:35,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
07:35,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
07:35,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
07:35,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
07:25,"MISS 3PTR by GILLIHAN,NEWLON",,,,,,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,"REBOUND OFF by SPIKES,KALVIN",,,,,,,"REBOUND OFF by SPIKES,KALVIN",1
07:17,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",26 (+1),,25,,Mill 26-25 (+1),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
07:09,,,,,"MISS 3PTR by MCMILLAN,MATTHEW",,,"MISS 3PTR by MCMILLAN,MATTHEW",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:54,"GOOD LAYUP by BECKER,SAXTON(in the paint)",28 (+3),,25,,Mill 28-25 (+3),,"GOOD LAYUP by BECKER,SAXTON(in the paint)",1
06:44,,,,,"MISS LAYUP by DUPREE,RYAN(in the paint)",,,"MISS LAYUP by DUPREE,RYAN(in the paint)",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
06:37,"MISS LAYUP by MILLER,JOSHUA(in the paint)",,,,,,,"MISS LAYUP by MILLER,JOSHUA(in the paint)",1
--,,,,,"REBOUND DEF by MCMILLAN,MATTHEW",,,"REBOUND DEF by MCMILLAN,MATTHEW",1
06:33,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",1
06:33,,,,,"MISS FT by COOKS,BROSNAN(fastbreak)",,,"MISS FT by COOKS,BROSNAN(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:33,,,,,"SUB OUT by MCMILLAN,MATTHEW",,,"SUB OUT by MCMILLAN,MATTHEW",1
06:33,,,,,"SUB IN by HODUM,RICK",,,"SUB IN by HODUM,RICK",1
06:33,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
06:33,"SUB IN by HUGHES,ANTHONY",,,,,,,"SUB IN by HUGHES,ANTHONY",1
06:33,,,,,"MISS FT by COOKS,BROSNAN(fastbreak)",,,"MISS FT by COOKS,BROSNAN(fastbreak)",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:21,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",30 (+5),,25,,Mill 30-25 (+5),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",1
06:11,,,,,"MISS 3PTR by COOKS,BROSNAN",,,"MISS 3PTR by COOKS,BROSNAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:47,"TURNOVER  by BECKER,SAXTON",,,,,,,"TURNOVER  by BECKER,SAXTON",1
05:15,,,,,"MISS 3PTR by ROBERTS,JOSHUA",,,"MISS 3PTR by ROBERTS,JOSHUA",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
05:10,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
05:10,,,,,"STEAL  by ROBERTS,JOSHUA",,,"STEAL  by ROBERTS,JOSHUA",1
05:00,,30 (+3),,27,"GOOD LAYUP by COOKS,BROSNAN(in the paint)",BU 30-27 (+3),,"GOOD LAYUP by COOKS,BROSNAN(in the paint)",1
--,,,,,"ASSIST  by HODUM,RICK",,,"ASSIST  by HODUM,RICK",1
04:44,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",,,,,,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",1
--,,,,,"REBOUND DEF by PRUITT,KELVIN",,,"REBOUND DEF by PRUITT,KELVIN",1
04:39,,,,,"FOUL  by DUPREE,RYAN",,,"FOUL  by DUPREE,RYAN",1
04:39,,,,,"TURNOVER  by DUPREE,RYAN",,,"TURNOVER  by DUPREE,RYAN",1
04:39,,,,,"SUB OUT by DUPREE,RYAN",,,"SUB OUT by DUPREE,RYAN",1
04:39,,,,,"SUB IN by YOUNG,QUESHOD",,,"SUB IN by YOUNG,QUESHOD",1
04:39,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
04:39,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
04:39,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
04:39,"SUB IN by JENKINS,KALEB",,,,,,,"SUB IN by JENKINS,KALEB",1
04:29,,,,,"FOUL  by ROBERTS,JOSHUA",,,"FOUL  by ROBERTS,JOSHUA",1
04:29,"GOOD FT by SPIKES,KALVIN",31 (+4),,27,,Mill 31-27 (+4),,"GOOD FT by SPIKES,KALVIN",1
04:29,"GOOD FT by SPIKES,KALVIN",32 (+5),,27,,Mill 32-27 (+5),,"GOOD FT by SPIKES,KALVIN",1
04:29,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
04:29,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
04:16,"FOUL  by JENKINS,KALEB",,,,,,,"FOUL  by JENKINS,KALEB",1
04:16,,32 (+4),,28,"GOOD FT by HODUM,RICK",BU 32-28 (+4),,"GOOD FT by HODUM,RICK",1
04:16,,32 (+3),,29,"GOOD FT by HODUM,RICK",BU 32-29 (+3),,"GOOD FT by HODUM,RICK",1
03:59,"MISS JUMPER by MCLAURIN,RYAN",,,,,,,"MISS JUMPER by MCLAURIN,RYAN",1
--,,,,,"REBOUND DEF by YOUNG,QUESHOD",,,"REBOUND DEF by YOUNG,QUESHOD",1
03:51,"FOUL  by MCLAURIN,RYAN",,,,,,,"FOUL  by MCLAURIN,RYAN",1
03:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:51,,,,,"MISS FT by PRUITT,KELVIN(fastbreak)",,,"MISS FT by PRUITT,KELVIN(fastbreak)",1
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",1
03:32,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:17,,,,,"MISS 3PTR by HODUM,RICK",,,"MISS 3PTR by HODUM,RICK",1
--,,,,,"REBOUND OFF by YOUNG,QUESHOD",,,"REBOUND OFF by YOUNG,QUESHOD",1
02:59,,,,,"SUB OUT by HODUM,RICK",,,"SUB OUT by HODUM,RICK",1
02:59,,,,,"SUB IN by REED,AUSTIN",,,"SUB IN by REED,AUSTIN",1
02:57,,32,,32,"GOOD 3PTR by REED,AUSTIN",BU 32-32 (0),,"GOOD 3PTR by REED,AUSTIN",1
--,,,,,"ASSIST  by PRUITT,KELVIN",,,"ASSIST  by PRUITT,KELVIN",1
02:52,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",34 (+2),,32,,Mill 34-32 (+2),,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",1
02:45,,,,,"MISS LAYUP by ROBERTS,JOSHUA(in the paint)",,,"MISS LAYUP by ROBERTS,JOSHUA(in the paint)",1
--,,,,,"REBOUND OFF by PRUITT,KELVIN",,,"REBOUND OFF by PRUITT,KELVIN",1
02:39,,34,,34,"GOOD DUNK by PRUITT,KELVIN(in the paint)",BU 34-34 (0),,"GOOD DUNK by PRUITT,KELVIN(in the paint)",1
