Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
07:40,"GOOD JUMPER by YOUNG,DILLON(in the paint)",19 (+5),,14,,MIL 19-14 (+5),,"GOOD JUMPER by YOUNG,DILLON(in the paint)",1
07:13,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
07:13,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
07:13,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
07:13,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
06:42,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
06:32,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
06:24,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by MCLAURIN,RYAN",,,,,,,"REBOUND DEF by MCLAURIN,RYAN",1
06:11,"MISS 3PTR by YOUNG,DILLON",,,,,,,"MISS 3PTR by YOUNG,DILLON",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
06:04,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
06:04,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
06:04,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
06:04,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
06:04,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",1
06:04,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",1
06:04,,,,,"SUB OUT by CARTWRIGHT,BROOKS",,,"SUB OUT by CARTWRIGHT,BROOKS",1
05:43,"MISS LAYUP by MCLAURIN,RYAN",,,,,,,"MISS LAYUP by MCLAURIN,RYAN",1
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",1
05:39,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",21 (+7),,14,,MIL 21-14 (+7),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",1
05:23,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",1
05:23,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:23,,21 (+6),,15,"GOOD FT by STANLEY,SETH",HENDRIXM 21-15 (+6),,"GOOD FT by STANLEY,SETH",1
05:05,"MISS LAYUP by TULLOS,ZACHARY",,,,,,,"MISS LAYUP by TULLOS,ZACHARY",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
04:50,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
04:50,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
04:50,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
04:50,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",1
04:50,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
04:40,"TURNOVER  by YOUNG,DILLON",,,,,,,"TURNOVER  by YOUNG,DILLON",1
04:39,,,,,"STEAL  by EATON,JACK",,,"STEAL  by EATON,JACK",1
04:16,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
04:04,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",23 (+8),,15,,MIL 23-15 (+8),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",1
03:55,,23 (+6),,17,"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 23-17 (+6),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
03:23,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:17,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:09,"SUB IN by HUGHES,ANTHONY",,,,,,,"SUB IN by HUGHES,ANTHONY",1
03:09,"SUB IN by JENKINS,KALEB",,,,,,,"SUB IN by JENKINS,KALEB",1
03:09,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
03:09,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
03:09,"SUB OUT by YOUNG,DILLON",,,,,,,"SUB OUT by YOUNG,DILLON",1
03:09,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
03:09,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
03:09,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",1
02:59,,23 (+3),,20,"GOOD 3PTR by EATON,JACK",HENDRIXM 23-20 (+3),,"GOOD 3PTR by EATON,JACK",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
02:38,"MISS LAYUP by SPIKES,KALVIN",,,,,,,"MISS LAYUP by SPIKES,KALVIN",1
02:38,,,,,"BLOCK  by EATON,JACK",,,"BLOCK  by EATON,JACK",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
02:03,"FOUL TECH by SPIKES,KALVIN",,,,,,,"FOUL TECH by SPIKES,KALVIN",1
02:03,,23 (+2),,21,"GOOD FT by STANLEY,SETH",HENDRIXM 23-21 (+2),,"GOOD FT by STANLEY,SETH",1
02:03,,23 (+1),,22,"GOOD FT by STANLEY,SETH",HENDRIXM 23-22 (+1),,"GOOD FT by STANLEY,SETH",1
02:03,"SUB IN by PELT,JUSTIN VAN",,,,,,,"SUB IN by PELT,JUSTIN VAN",1
02:03,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
01:58,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
01:55,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
01:55,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
01:55,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
01:51,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
01:46,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
01:40,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:21,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",25 (+3),,22,,MIL 25-22 (+3),,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",1
00:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:53,,25,,25,"GOOD 3PTR by STANLEY,SETH",HENDRIXM 25-25 (0),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",1
00:39,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",27 (+2),,25,,MIL 27-25 (+2),,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",1
--,"ASSIST  by JENKINS,KALEB",,,,,,,"ASSIST  by JENKINS,KALEB",1
00:09,"FOUL  by JENKINS,KALEB",,,,,,,"FOUL  by JENKINS,KALEB",1
00:09,,27,,27,"GOOD LAYUP by EATON,JACK(in the paint)",HENDRIXM 27-27 (0),,"GOOD LAYUP by EATON,JACK(in the paint)",1
00:09,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
00:09,,,,,"FOUL TECH by LINK,JACOB",,,"FOUL TECH by LINK,JACOB",1
00:09,"FOUL TECH by JENKINS,KALEB",,,,,,,"FOUL TECH by JENKINS,KALEB",1
00:09,,27,,28 (+1),"GOOD FT by EATON,JACK",HENDRIXM 27-28 (-1),,"GOOD FT by EATON,JACK",1
00:04,"MISS JUMPER by JENKINS,KALEB",,,,,,,"MISS JUMPER by JENKINS,KALEB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:00,,,,,"MISS JUMPER by CONRAD,ALEX",,,"MISS JUMPER by CONRAD,ALEX",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:32,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",2
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",2
19:01,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",2
18:38,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
18:36,"GOOD JUMPER by HUGHES,ANTHONY",29 (+1),,28,,MIL 29-28 (+1),,"GOOD JUMPER by HUGHES,ANTHONY",2
18:19,,29,,30 (+1),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIXM 29-30 (-1),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
18:08,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",2
17:50,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",2
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",2
17:46,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,2
17:46,"GOOD FT by MCLAURIN,RYAN",30,,30,,MIL 30-30 (0),,"GOOD FT by MCLAURIN,RYAN",2
17:46,"GOOD FT by MCLAURIN,RYAN",31 (+1),,30,,MIL 31-30 (+1),,"GOOD FT by MCLAURIN,RYAN",2
17:29,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",33 (+3),,30,,MIL 33-30 (+3),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",2
17:28,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
17:23,,,,,"MISS 3PTR by II,ROD CUMMINGS",,,"MISS 3PTR by II,ROD CUMMINGS",2
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",2
16:48,"GOOD 3PTR by TURNER,JAMES",36 (+6),,30,,MIL 36-30 (+6),,"GOOD 3PTR by TURNER,JAMES",2
--,"ASSIST  by MCLAURIN,RYAN",,,,,,,"ASSIST  by MCLAURIN,RYAN",2
16:28,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",2
16:19,"GOOD LAYUP by MCLAURIN,RYAN(fastbreak)(in the paint)",38 (+8),,30,,MIL 38-30 (+8),,"GOOD LAYUP by MCLAURIN,RYAN(fastbreak)(in the paint)",2
16:19,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
16:19,"MISS FT by MCLAURIN,RYAN",,,,,,,"MISS FT by MCLAURIN,RYAN",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
16:07,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",2
16:07,"BLOCK  by TURNER,JAMES",,,,,,,"BLOCK  by TURNER,JAMES",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:48,,,,,"MISS JUMPER by LINK,JACOB",,,"MISS JUMPER by LINK,JACOB",2
--,,,,,"REBOUND OFF by LINK,JACOB",,,"REBOUND OFF by LINK,JACOB",2
15:39,,,,,"MISS JUMPER by FITCH,CARL",,,"MISS JUMPER by FITCH,CARL",2
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",2
15:20,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
15:15,"FOUL  by SPIKES,KALVIN",,,,,,,"FOUL  by SPIKES,KALVIN",2
15:09,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",2
15:09,"BLOCK  by TURNER,JAMES",,,,,,,"BLOCK  by TURNER,JAMES",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:00,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",2
14:59,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",2
14:59,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",2
