Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
18:06,,,,,"MISS LAYUP by BATES,JACOB(in the paint)",,,"MISS LAYUP by BATES,JACOB(in the paint)",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
17:56,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by MCLAURIN,RYAN",,,,,,,"REBOUND DEF by MCLAURIN,RYAN",1
17:56,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
17:51,,2,,6 (+4),"GOOD 3PTR by AYERS,PERRY",Centre 2-6 (-4),,"GOOD 3PTR by AYERS,PERRY",1
17:37,"MISS JUMPER by VAN PELT,JUSTIN(in the paint)",,,,,,,"MISS JUMPER by VAN PELT,JUSTIN(in the paint)",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
17:30,,2,,9 (+7),"GOOD 3PTR by RAKES,BAILEY(fastbreak)",Centre 2-9 (-7),,"GOOD 3PTR by RAKES,BAILEY(fastbreak)",1
17:11,"GOOD JUMPER by SPIKES,KALVIN(in the paint)",4,,9 (+5),,Mill 4-9 (-5),,"GOOD JUMPER by SPIKES,KALVIN(in the paint)",1
16:53,,4,,11 (+7),"GOOD JUMPER by AYERS,PERRY(in the paint)",Centre 4-11 (-7),,"GOOD JUMPER by AYERS,PERRY(in the paint)",1
16:32,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
16:32,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
16:32,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
16:32,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",1
16:32,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
16:08,"MISS JUMPER by GILLIHAN,NEWLON",,,,,,,"MISS JUMPER by GILLIHAN,NEWLON",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
16:01,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
15:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:59,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
15:59,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
15:59,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
15:59,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
15:41,"TURNOVER  by SPIKES,KALVIN",,,,,,,"TURNOVER  by SPIKES,KALVIN",1
15:41,,,,,"STEAL  by AYERS,PERRY",,,"STEAL  by AYERS,PERRY",1
15:25,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",1
15:25,,,,,"MISS LAYUP by BATES,JACOB(in the paint)",,,"MISS LAYUP by BATES,JACOB(in the paint)",1
--,,,,,"REBOUND OFF by PURVIS,KC",,,"REBOUND OFF by PURVIS,KC",1
15:25,,4,,14 (+10),"GOOD 3PTR by AYERS,PERRY",Centre 4-14 (-10),,"GOOD 3PTR by AYERS,PERRY",1
--,,,,,"ASSIST  by PURVIS,KC",,,"ASSIST  by PURVIS,KC",1
14:40,"MISS LAYUP by SPIKES,KALVIN(in the paint)",,,,,,,"MISS LAYUP by SPIKES,KALVIN(in the paint)",1
--,"REBOUND OFF by SPIKES,KALVIN",,,,,,,"REBOUND OFF by SPIKES,KALVIN",1
14:33,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
14:15,,,,,"MISS JUMPER by BATES,JACOB(in the paint)",,,"MISS JUMPER by BATES,JACOB(in the paint)",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
14:08,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",1
14:05,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
14:05,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
14:05,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
14:05,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
14:05,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
14:05,"SUB OUT by HUGHES,ANTHONY",,,,,,,"SUB OUT by HUGHES,ANTHONY",1
14:05,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
14:05,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
14:05,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
14:05,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
14:05,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
14:02,"GOOD 3PTR by BECKER,SAXTON",7,,14 (+7),,Mill 7-14 (-7),,"GOOD 3PTR by BECKER,SAXTON",1
13:45,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",1
13:45,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
13:45,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
13:31,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
13:24,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by BECKER,SAXTON",,,,,,,"REBOUND DEF by BECKER,SAXTON",1
13:03,"GOOD JUMPER by GILLIHAN,NEWLON",9,,14 (+5),,Mill 9-14 (-5),,"GOOD JUMPER by GILLIHAN,NEWLON",1
12:45,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by BECKER,SAXTON",,,,,,,"REBOUND DEF by BECKER,SAXTON",1
12:26,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",1
12:04,,9,,17 (+8),"GOOD 3PTR by AYERS,PERRY",Centre 9-17 (-8),,"GOOD 3PTR by AYERS,PERRY",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
11:39,"GOOD 3PTR by GILLIHAN,NEWLON",12,,17 (+5),,Mill 12-17 (-5),,"GOOD 3PTR by GILLIHAN,NEWLON",1
--,"ASSIST  by BURNETT,DREW",,,,,,,"ASSIST  by BURNETT,DREW",1
11:17,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
11:17,"STEAL  by GRANT,SHE'CHEM",,,,,,,"STEAL  by GRANT,SHE'CHEM",1
11:12,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
11:12,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:12,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
11:12,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
11:12,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
11:12,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
11:12,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
11:12,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
11:12,"GOOD FT by GRANT,SHE'CHEM",13,,17 (+4),,Mill 13-17 (-4),,"GOOD FT by GRANT,SHE'CHEM",1
11:12,"GOOD FT by GRANT,SHE'CHEM",14,,17 (+3),,Mill 14-17 (-3),,"GOOD FT by GRANT,SHE'CHEM",1
10:56,,14,,20 (+6),"GOOD 3PTR by WALKER,ART",Centre 14-20 (-6),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",1
10:34,"GOOD JUMPER by GILLIHAN,NEWLON(in the paint)",16,,20 (+4),,Mill 16-20 (-4),,"GOOD JUMPER by GILLIHAN,NEWLON(in the paint)",1
10:17,,,,,"MISS JUMPER by CRUMP,DAWSON(in the paint)",,,"MISS JUMPER by CRUMP,DAWSON(in the paint)",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
10:10,"GOOD JUMPER by MILLER,JOSHUA(fastbreak)(in the paint)",18,,20 (+2),,Mill 18-20 (-2),,"GOOD JUMPER by MILLER,JOSHUA(fastbreak)(in the paint)",1
09:43,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by GRANT,SHE'CHEM",,,,,,,"REBOUND DEF by GRANT,SHE'CHEM",1
09:36,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",1
09:36,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
09:36,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
09:36,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
09:36,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
09:36,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
09:36,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
09:36,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
09:21,,18,,22 (+4),"GOOD LAYUP by BATES,JACOB(in the paint)",Centre 18-22 (-4),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
09:11,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",1
09:11,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
09:05,,18,,24 (+6),"GOOD JUMPER by BAUGHMAN,CARTER(fastbreak)(in the paint)",Centre 18-24 (-6),,"GOOD JUMPER by BAUGHMAN,CARTER(fastbreak)(in the paint)",1
08:52,"GOOD 3PTR by BECKER,SAXTON",21,,24 (+3),,Mill 21-24 (-3),,"GOOD 3PTR by BECKER,SAXTON",1
--,"ASSIST  by GILLIHAN,NEWLON",,,,,,,"ASSIST  by GILLIHAN,NEWLON",1
08:25,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
08:02,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
07:50,,,,,"MISS 3PTR by BATES,JACOB",,,"MISS 3PTR by BATES,JACOB",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
07:23,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",,,,,,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",1
07:23,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
07:15,,21,,26 (+5),"GOOD JUMPER by BATES,JACOB(fastbreak)(in the paint)",Centre 21-26 (-5),,"GOOD JUMPER by BATES,JACOB(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
07:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:09,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
07:09,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
07:09,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
07:09,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
07:09,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
07:09,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
07:09,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
07:09,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
07:09,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
07:09,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
07:09,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
07:09,"SUB IN by JENKINS,KALEB",,,,,,,"SUB IN by JENKINS,KALEB",1
07:09,"SUB IN by HUGHES,ANTHONY",,,,,,,"SUB IN by HUGHES,ANTHONY",1
07:09,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
07:02,"MISS 3PTR by HUGHES,ANTHONY",,,,,,,"MISS 3PTR by HUGHES,ANTHONY",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
06:42,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:37,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
06:37,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
06:17,,,,,"MISS 3PTR by WILSON,DREW",,,"MISS 3PTR by WILSON,DREW",1
--,,,,,"REBOUND OFF by PURVIS,KC",,,"REBOUND OFF by PURVIS,KC",1
06:08,,,,,"MISS JUMPER by AYERS,PERRY(in the paint)",,,"MISS JUMPER by AYERS,PERRY(in the paint)",1
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",1
05:58,"TURNOVER  by MCLAURIN,RYAN",,,,,,,"TURNOVER  by MCLAURIN,RYAN",1
05:58,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
05:58,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
05:43,,21,,29 (+8),"GOOD 3PTR by WALKER,ART",Centre 21-29 (-8),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",1
05:29,"FOUL  by SPIKES,KALVIN",,,,,,,"FOUL  by SPIKES,KALVIN",1
05:29,"TURNOVER  by SPIKES,KALVIN",,,,,,,"TURNOVER  by SPIKES,KALVIN",1
05:29,"SUB OUT by JENKINS,KALEB",,,,,,,"SUB OUT by JENKINS,KALEB",1
05:29,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
05:13,,21,,32 (+11),"GOOD 3PTR by CRUMP,DAWSON",Centre 21-32 (-11),,"GOOD 3PTR by CRUMP,DAWSON",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
04:50,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
04:50,"GOOD FT by SPIKES,KALVIN",22,,32 (+10),,Mill 22-32 (-10),,"GOOD FT by SPIKES,KALVIN",1
04:50,"GOOD FT by SPIKES,KALVIN",23,,32 (+9),,Mill 23-32 (-9),,"GOOD FT by SPIKES,KALVIN",1
04:29,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by MCLAURIN,RYAN",,,,,,,"REBOUND DEF by MCLAURIN,RYAN",1
04:23,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",,,,,,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",1
04:23,,,,,"BLOCK  by AYERS,PERRY",,,"BLOCK  by AYERS,PERRY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:22,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
04:22,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
04:21,"GOOD JUMPER by HUGHES,ANTHONY",25,,32 (+7),,Mill 25-32 (-7),,"GOOD JUMPER by HUGHES,ANTHONY",1
03:53,,,,,"MISS JUMPER by RAKES,BAILEY(in the paint)",,,"MISS JUMPER by RAKES,BAILEY(in the paint)",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
03:44,,,,,"MISS JUMPER by WALKER,ART",,,"MISS JUMPER by WALKER,ART",1
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",1
03:33,,,,,"MISS JUMPER by WALKER,ART(in the paint)",,,"MISS JUMPER by WALKER,ART(in the paint)",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
03:28,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
03:28,,,,,"STEAL  by CRUMP,DAWSON",,,"STEAL  by CRUMP,DAWSON",1
03:22,,25,,34 (+9),"GOOD JUMPER by WILSON,DREW(fastbreak)(in the paint)",Centre 25-34 (-9),,"GOOD JUMPER by WILSON,DREW(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",1
03:00,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
02:50,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND OFF by CRUMP,DAWSON",,,"REBOUND OFF by CRUMP,DAWSON",1
02:43,,25,,36 (+11),"GOOD LAYUP by CRUMP,DAWSON(in the paint)",Centre 25-36 (-11),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
02:19,"GOOD JUMPER by MCLAURIN,RYAN",27,,36 (+9),,Mill 27-36 (-9),,"GOOD JUMPER by MCLAURIN,RYAN",1
02:00,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
01:48,"MISS JUMPER by SPIKES,KALVIN",,,,,,,"MISS JUMPER by SPIKES,KALVIN",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
01:42,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:42,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
01:42,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
01:42,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
01:42,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
01:42,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
01:42,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
01:42,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
01:42,"SUB OUT by HUGHES,ANTHONY",,,,,,,"SUB OUT by HUGHES,ANTHONY",1
01:42,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
01:42,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
01:42,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
01:42,"SUB IN by GIVENS,DONOVAN",,,,,,,"SUB IN by GIVENS,DONOVAN",1
01:42,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
01:42,"SUB IN by VAN PELT,JUSTIN",,,,,,,"SUB IN by VAN PELT,JUSTIN",1
01:27,,,,,"MISS JUMPER by PURVIS,KC(in the paint)",,,"MISS JUMPER by PURVIS,KC(in the paint)",1
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",1
01:21,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by GRANT,SHE'CHEM",,,,,,,"REBOUND DEF by GRANT,SHE'CHEM",1
01:09,"MISS 3PTR by GIVENS,DONOVAN",,,,,,,"MISS 3PTR by GIVENS,DONOVAN",1
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",1
00:39,"FOUL  by BURNETT,DREW",,,,,,,"FOUL  by BURNETT,DREW",1
00:39,,27,,37 (+10),"GOOD FT by AYERS,PERRY",Centre 27-37 (-10),,"GOOD FT by AYERS,PERRY",1
00:39,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
00:39,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
00:39,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",1
00:39,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
00:39,,27,,38 (+11),"GOOD FT by AYERS,PERRY",Centre 27-38 (-11),,"GOOD FT by AYERS,PERRY",1
00:39,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
00:39,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
00:29,"GOOD JUMPER by GRANT,SHE'CHEM(in the paint)",29,,38 (+9),,Mill 29-38 (-9),,"GOOD JUMPER by GRANT,SHE'CHEM(in the paint)",1
00:09,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
00:09,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
00:09,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
00:09,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
00:09,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
00:09,"SUB OUT by GIVENS,DONOVAN",,,,,,,"SUB OUT by GIVENS,DONOVAN",1
00:09,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
00:09,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
00:09,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
00:09,"SUB IN by JENKINS,KALEB",,,,,,,"SUB IN by JENKINS,KALEB",1
00:09,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
00:09,"SUB IN by HUGHES,ANTHONY",,,,,,,"SUB IN by HUGHES,ANTHONY",1
00:09,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
00:04,"FOUL  by HUGHES,ANTHONY",,,,,,,"FOUL  by HUGHES,ANTHONY",1
00:04,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
00:04,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
00:04,,,,,"MISS FT by CRUMP,DAWSON",,,"MISS FT by CRUMP,DAWSON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:04,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
00:04,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
00:04,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
00:04,"SUB OUT by JENKINS,KALEB",,,,,,,"SUB OUT by JENKINS,KALEB",1
00:04,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
00:04,"SUB OUT by HUGHES,ANTHONY",,,,,,,"SUB OUT by HUGHES,ANTHONY",1
00:04,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
00:04,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
