Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
12:13,,,,,"MISS LAYUP by DAY,JUSTIN",,,"MISS LAYUP by DAY,JUSTIN",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
11:56,"MISS 3PTR by MILLER,JOSHUA",,,,,,,"MISS 3PTR by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by DAY,JUSTIN",,,"REBOUND DEF by DAY,JUSTIN",1
11:47,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
11:40,"MISS 3PTR by YOUNG,DILLON",,,,,,,"MISS 3PTR by YOUNG,DILLON",1
--,"REBOUND OFF by HUGHES,ANTHONY",,,,,,,"REBOUND OFF by HUGHES,ANTHONY",1
11:33,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",15,,17 (+2),,MC 15-17 (-2),,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",1
11:01,"MISS JUMPER by PELT,JUSTIN VAN",,,,,,,"MISS JUMPER by PELT,JUSTIN VAN",1
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",1
10:48,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",1
10:39,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
10:39,"SUB OUT by HUGHES,ANTHONY",,,,,,,"SUB OUT by HUGHES,ANTHONY",1
10:39,,,,,"SUB IN by CHAMBERS,DIMETRI",,,"SUB IN by CHAMBERS,DIMETRI",1
10:39,,,,,"SUB IN by CAMMON,JOSH",,,"SUB IN by CAMMON,JOSH",1
10:39,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",1
10:39,,,,,"SUB OUT by ETIWE,TOJU",,,"SUB OUT by ETIWE,TOJU",1
10:39,,,,,"SUB OUT by DAY,JUSTIN",,,"SUB OUT by DAY,JUSTIN",1
10:39,,,,,"SUB OUT by KRIVITZKIN,TYLER",,,"SUB OUT by KRIVITZKIN,TYLER",1
10:11,"GOOD 3PTR by GRANT,SHE'CHEM",18 (+1),,17,,MC 18-17 (+1),,"GOOD 3PTR by GRANT,SHE'CHEM",1
--,"ASSIST  by MILLER,JOSHUA",,,,,,,"ASSIST  by MILLER,JOSHUA",1
09:53,,,,,"MISS LAYUP by CAMMON,JOSH",,,"MISS LAYUP by CAMMON,JOSH",1
--,,,,,"REBOUND OFF by CAMMON,JOSH",,,"REBOUND OFF by CAMMON,JOSH",1
09:53,"FOUL  by PELT,JUSTIN VAN",,,,,,,"FOUL  by PELT,JUSTIN VAN",1
09:53,,,,,"MISS FT by CAMMON,JOSH",,,"MISS FT by CAMMON,JOSH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:53,,,,,"MISS FT by CAMMON,JOSH",,,"MISS FT by CAMMON,JOSH",1
--,,,,,"REBOUND OFF by SONE,CARLOS",,,"REBOUND OFF by SONE,CARLOS",1
09:31,,,,,"TURNOVER  by FOSTER,LANE",,,"TURNOVER  by FOSTER,LANE",1
09:31,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",1
09:09,,,,,"FOUL  by CAMMON,JOSH",,,"FOUL  by CAMMON,JOSH",1
09:09,"GOOD FT by MILLER,JOSHUA",19 (+2),,17,,MC 19-17 (+2),,"GOOD FT by MILLER,JOSHUA",1
09:09,"MISS FT by MILLER,JOSHUA",,,,,,,"MISS FT by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",1
09:09,,,,,"SUB IN by DAY,JUSTIN",,,"SUB IN by DAY,JUSTIN",1
09:09,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",1
09:01,,,,,"MISS JUMPER by CAMMON,JOSH",,,"MISS JUMPER by CAMMON,JOSH",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
08:41,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
08:39,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",1
08:25,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",1
08:24,"STEAL  by MILLER,JOSHUA",,,,,,,"STEAL  by MILLER,JOSHUA",1
08:12,"MISS 3PTR by YOUNG,DILLON",,,,,,,"MISS 3PTR by YOUNG,DILLON",1
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",1
08:08,"MISS LAYUP by PELT,JUSTIN VAN",,,,,,,"MISS LAYUP by PELT,JUSTIN VAN",1
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",1
08:01,,,,,"TURNOVER  by SONE,CARLOS",,,"TURNOVER  by SONE,CARLOS",1
