Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
16:35,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
16:35,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
16:35,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
16:25,"TURNOVER  by PINKSTON,TRE",,,,,,,"TURNOVER  by PINKSTON,TRE",1
16:25,,,,,"STEAL  by YOUNG,DILLON",,,"STEAL  by YOUNG,DILLON",1
16:08,,6 (+4),,2,"GOOD JUMPER by YOUNG,DILLON",Mill 6-2 (-4),,"GOOD JUMPER by YOUNG,DILLON",1
15:49,"MISS JUMPER by PINKSTON,TRE",,,,,,,"MISS JUMPER by PINKSTON,TRE",1
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",1
15:28,,,,,"MISS JUMPER by GRANT,SHE'CHEM",,,"MISS JUMPER by GRANT,SHE'CHEM",1
--,,,,,"REBOUND OFF by TULLOS,ZACHARY",,,"REBOUND OFF by TULLOS,ZACHARY",1
15:24,,,,,"MISS LAYUP by TULLOS,ZACHARY(in the paint)",,,"MISS LAYUP by TULLOS,ZACHARY(in the paint)",1
--,"REBOUND DEF by HARRIS,KEITH",,,,,,,"REBOUND DEF by HARRIS,KEITH",1
15:00,"GOOD JUMPER by PINKSTON,TRE",8 (+6),,2,,MUW 8-2 (-6),,"GOOD JUMPER by PINKSTON,TRE",1
14:41,,8 (+3),,5,"GOOD 3PTR by YOUNG,DILLON",Mill 8-5 (-3),,"GOOD 3PTR by YOUNG,DILLON",1
--,,,,,"ASSIST  by MILLER,JOSHUA",,,"ASSIST  by MILLER,JOSHUA",1
14:27,"MISS LAYUP by HINES,JAQUAN(in the paint)",,,,,,,"MISS LAYUP by HINES,JAQUAN(in the paint)",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
14:18,,,,,"MISS 3PTR by MILLER,JOSHUA",,,"MISS 3PTR by MILLER,JOSHUA",1
--,"REBOUND DEF by WILKERSON,CARLOS",,,,,,,"REBOUND DEF by WILKERSON,CARLOS",1
13:46,"MISS 3PTR by WILKERSON,CARLOS",,,,,,,"MISS 3PTR by WILKERSON,CARLOS",1
--,"REBOUND OFF by HARRIS,KEITH",,,,,,,"REBOUND OFF by HARRIS,KEITH",1
13:43,"GOOD LAYUP by HARRIS,KEITH(in the paint)",10 (+5),,5,,MUW 10-5 (-5),,"GOOD LAYUP by HARRIS,KEITH(in the paint)",1
13:43,,,,,"FOUL  by MILLER,JOSHUA",,,"FOUL  by MILLER,JOSHUA",1
13:43,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
13:43,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
13:43,,,,,"SUB OUT by HUGHES,ANTHONY",,,"SUB OUT by HUGHES,ANTHONY",1
13:43,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
13:43,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
13:43,"SUB OUT by PINKSTON,TRE",,,,,,,"SUB OUT by PINKSTON,TRE",1
13:43,"SUB OUT by HINES,JAQUAN",,,,,,,"SUB OUT by HINES,JAQUAN",1
13:43,"SUB OUT by WILKERSON,CARLOS",,,,,,,"SUB OUT by WILKERSON,CARLOS",1
13:43,"SUB IN by ZERADJANIN,MILOS",,,,,,,"SUB IN by ZERADJANIN,MILOS",1
13:43,"SUB IN by MOULTRIE,JONTE",,,,,,,"SUB IN by MOULTRIE,JONTE",1
13:43,"SUB IN by JACKSON,TYLER",,,,,,,"SUB IN by JACKSON,TYLER",1
13:43,"MISS FT by HARRIS,KEITH",,,,,,,"MISS FT by HARRIS,KEITH",1
--,,,,,"REBOUND DEF by YOUNG,DILLON",,,"REBOUND DEF by YOUNG,DILLON",1
13:37,,,,,"TURNOVER  by TULLOS,ZACHARY",,,"TURNOVER  by TULLOS,ZACHARY",1
13:37,"SUB OUT by HARRIS,KEITH",,,,,,,"SUB OUT by HARRIS,KEITH",1
13:37,"SUB IN by KIMMONS,BRIEN",,,,,,,"SUB IN by KIMMONS,BRIEN",1
13:18,"MISS LAYUP by JONES,TAVONTA(in the paint)",,,,,,,"MISS LAYUP by JONES,TAVONTA(in the paint)",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
13:06,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",,,"MISS JUMPER by WATSON,DOUG(in the paint)",1
--,"REBOUND DEF by KIMMONS,BRIEN",,,,,,,"REBOUND DEF by KIMMONS,BRIEN",1
12:58,"GOOD LAYUP by JONES,TAVONTA(fastbreak)(in the paint)",12 (+7),,5,,MUW 12-5 (-7),,"GOOD LAYUP by JONES,TAVONTA(fastbreak)(in the paint)",1
--,"ASSIST  by ZERADJANIN,MILOS",,,,,,,"ASSIST  by ZERADJANIN,MILOS",1
12:39,,12 (+4),,8,"GOOD 3PTR by GRANT,SHE'CHEM",Mill 12-8 (-4),,"GOOD 3PTR by GRANT,SHE'CHEM",1
--,,,,,"ASSIST  by YOUNG,DILLON",,,"ASSIST  by YOUNG,DILLON",1
12:28,"MISS 3PTR by ZERADJANIN,MILOS",,,,,,,"MISS 3PTR by ZERADJANIN,MILOS",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
12:19,,12 (+2),,10,"GOOD JUMPER by WATSON,DOUG(in the paint)",Mill 12-10 (-2),,"GOOD JUMPER by WATSON,DOUG(in the paint)",1
12:19,"FOUL  by JONES,TAVONTA",,,,,,,"FOUL  by JONES,TAVONTA",1
12:19,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",1
12:19,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
12:19,"SUB OUT by JONES,TAVONTA",,,,,,,"SUB OUT by JONES,TAVONTA",1
12:19,"SUB IN by WILLIAMS,QUIN",,,,,,,"SUB IN by WILLIAMS,QUIN",1
12:19,,,,,"MISS FT by WATSON,DOUG",,,"MISS FT by WATSON,DOUG",1
--,,,,,"REBOUND OFF by GILLIHAN,NEWLON",,,"REBOUND OFF by GILLIHAN,NEWLON",1
12:01,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by MOULTRIE,JONTE",,,,,,,"REBOUND DEF by MOULTRIE,JONTE",1
11:59,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
11:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:46,"MISS 3PTR by MOULTRIE,JONTE",,,,,,,"MISS 3PTR by MOULTRIE,JONTE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:37,"MISS LAYUP by JACKSON,TYLER(in the paint)",,,,,,,"MISS LAYUP by JACKSON,TYLER(in the paint)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:29,,,,,"TURNOVER  by TULLOS,ZACHARY",,,"TURNOVER  by TULLOS,ZACHARY",1
11:09,"GOOD JUMPER by ZERADJANIN,MILOS",14 (+4),,10,,MUW 14-10 (-4),,"GOOD JUMPER by ZERADJANIN,MILOS",1
10:46,,,,,"MISS LAYUP by GRANT,SHE'CHEM(in the paint)",,,"MISS LAYUP by GRANT,SHE'CHEM(in the paint)",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:44,"SUB OUT by MOULTRIE,JONTE",,,,,,,"SUB OUT by MOULTRIE,JONTE",1
10:44,"SUB IN by HINES,JAQUAN",,,,,,,"SUB IN by HINES,JAQUAN",1
10:33,,14 (+2),,12,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",Mill 14-12 (-2),,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",1
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",1
10:17,"MISS JUMPER by ZERADJANIN,MILOS(in the paint)",,,,,,,"MISS JUMPER by ZERADJANIN,MILOS(in the paint)",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
10:06,,,,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:04,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
10:04,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
10:04,"FOUL  by JACKSON,TYLER",,,,,,,"FOUL  by JACKSON,TYLER",1
10:02,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,"REBOUND DEF by JACKSON,TYLER",,,,,,,"REBOUND DEF by JACKSON,TYLER",1
09:52,"GOOD JUMPER by JACKSON,TYLER(in the paint)",16 (+4),,12,,MUW 16-12 (-4),,"GOOD JUMPER by JACKSON,TYLER(in the paint)",1
09:34,,16 (+2),,14,"GOOD JUMPER by WATSON,DOUG(in the paint)",Mill 16-14 (-2),,"GOOD JUMPER by WATSON,DOUG(in the paint)",1
09:10,,,,,"FOUL  by WATSON,DOUG",,,"FOUL  by WATSON,DOUG",1
09:10,"MISS FT by KIMMONS,BRIEN",,,,,,,"MISS FT by KIMMONS,BRIEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:10,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
09:10,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
09:10,"SUB OUT by ZERADJANIN,MILOS",,,,,,,"SUB OUT by ZERADJANIN,MILOS",1
09:10,"SUB OUT by WILLIAMS,QUIN",,,,,,,"SUB OUT by WILLIAMS,QUIN",1
09:10,"SUB IN by PINKSTON,TRE",,,,,,,"SUB IN by PINKSTON,TRE",1
09:10,"SUB IN by WILKERSON,CARLOS",,,,,,,"SUB IN by WILKERSON,CARLOS",1
09:10,"GOOD FT by KIMMONS,BRIEN",17 (+3),,14,,MUW 17-14 (-3),,"GOOD FT by KIMMONS,BRIEN",1
09:10,"SUB OUT by KIMMONS,BRIEN",,,,,,,"SUB OUT by KIMMONS,BRIEN",1
09:10,"SUB IN by HARRIS,KEITH",,,,,,,"SUB IN by HARRIS,KEITH",1
08:56,,,,,"MISS JUMPER by VAN PELT,JUSTIN(in the paint)",,,"MISS JUMPER by VAN PELT,JUSTIN(in the paint)",1
08:56,"BLOCK  by HINES,JAQUAN",,,,,,,"BLOCK  by HINES,JAQUAN",1
--,"REBOUND DEF by HARRIS,KEITH",,,,,,,"REBOUND DEF by HARRIS,KEITH",1
08:40,"MISS JUMPER by WILKERSON,CARLOS",,,,,,,"MISS JUMPER by WILKERSON,CARLOS",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
08:21,"FOUL  by HINES,JAQUAN",,,,,,,"FOUL  by HINES,JAQUAN",1
08:21,,,,,"MISS FT by GRANT,SHE'CHEM",,,"MISS FT by GRANT,SHE'CHEM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:21,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
08:21,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",1
08:21,"SUB OUT by JACKSON,TYLER",,,,,,,"SUB OUT by JACKSON,TYLER",1
08:21,"SUB IN by JONES,TAVONTA",,,,,,,"SUB IN by JONES,TAVONTA",1
08:21,,,,,"MISS FT by GRANT,SHE'CHEM",,,"MISS FT by GRANT,SHE'CHEM",1
--,"REBOUND DEF by WILKERSON,CARLOS",,,,,,,"REBOUND DEF by WILKERSON,CARLOS",1
08:05,"TURNOVER  by PINKSTON,TRE",,,,,,,"TURNOVER  by PINKSTON,TRE",1
08:05,,,,,"STEAL  by VAN PELT,JUSTIN",,,"STEAL  by VAN PELT,JUSTIN",1
08:04,,,,,"TURNOVER  by VAN PELT,JUSTIN",,,"TURNOVER  by VAN PELT,JUSTIN",1
07:53,"MISS 3PTR by PINKSTON,TRE",,,,,,,"MISS 3PTR by PINKSTON,TRE",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
07:35,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND OFF by GILLIHAN,NEWLON",,,"REBOUND OFF by GILLIHAN,NEWLON",1
07:30,,17,,17,"GOOD 3PTR by JENKINS,KALEB",Mill 17-17 (0),,"GOOD 3PTR by JENKINS,KALEB",1
--,,,,,"ASSIST  by GILLIHAN,NEWLON",,,"ASSIST  by GILLIHAN,NEWLON",1
07:10,"MISS LAYUP by JONES,TAVONTA(in the paint)",,,,,,,"MISS LAYUP by JONES,TAVONTA(in the paint)",1
07:10,,,,,"BLOCK  by VAN PELT,JUSTIN",,,"BLOCK  by VAN PELT,JUSTIN",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
07:03,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,"REBOUND DEF by JONES,TAVONTA",,,,,,,"REBOUND DEF by JONES,TAVONTA",1
06:42,"MISS JUMPER by JONES,TAVONTA",,,,,,,"MISS JUMPER by JONES,TAVONTA",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:38,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
06:38,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
06:38,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",1
06:38,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",1
06:38,"SUB OUT by HINES,JAQUAN",,,,,,,"SUB OUT by HINES,JAQUAN",1
06:38,"SUB IN by MOULTRIE,JONTE",,,,,,,"SUB IN by MOULTRIE,JONTE",1
06:21,,,,,"TURNOVER  by GILLIHAN,NEWLON",,,"TURNOVER  by GILLIHAN,NEWLON",1
06:21,"STEAL  by MOULTRIE,JONTE",,,,,,,"STEAL  by MOULTRIE,JONTE",1
06:12,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
06:12,"MISS FT by HARRIS,KEITH",,,,,,,"MISS FT by HARRIS,KEITH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:12,"GOOD FT by HARRIS,KEITH",18 (+1),,17,,MUW 18-17 (-1),,"GOOD FT by HARRIS,KEITH",1
05:58,,,,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",1
--,,,,,"REBOUND OFF by GILLIHAN,NEWLON",,,"REBOUND OFF by GILLIHAN,NEWLON",1
05:45,"FOUL  by PINKSTON,TRE",,,,,,,"FOUL  by PINKSTON,TRE",1
05:45,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
05:45,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
05:32,,18,,20 (+2),"GOOD 3PTR by BURNETT,DREW",Mill 18-20 (+2),,"GOOD 3PTR by BURNETT,DREW",1
--,,,,,"ASSIST  by YOUNG,DILLON",,,"ASSIST  by YOUNG,DILLON",1
05:08,"MISS 3PTR by HARRIS,KEITH",,,,,,,"MISS 3PTR by HARRIS,KEITH",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
04:37,,,,,"MISS JUMPER by YOUNG,DILLON(in the paint)",,,"MISS JUMPER by YOUNG,DILLON(in the paint)",1
--,"REBOUND DEF by JONES,TAVONTA",,,,,,,"REBOUND DEF by JONES,TAVONTA",1
04:28,"MISS LAYUP by HARRIS,KEITH(in the paint)",,,,,,,"MISS LAYUP by HARRIS,KEITH(in the paint)",1
04:28,,,,,"BLOCK  by BURNETT,DREW",,,"BLOCK  by BURNETT,DREW",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
04:20,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
04:20,,,,,"SUB IN by HUGHES,ANTHONY",,,"SUB IN by HUGHES,ANTHONY",1
04:16,"FOUL  by HARRIS,KEITH",,,,,,,"FOUL  by HARRIS,KEITH",1
04:16,,18,,21 (+3),"GOOD FT by HUGHES,ANTHONY",Mill 18-21 (+3),,"GOOD FT by HUGHES,ANTHONY",1
04:16,"SUB OUT by HARRIS,KEITH",,,,,,,"SUB OUT by HARRIS,KEITH",1
04:16,"SUB IN by JACKSON,TYLER",,,,,,,"SUB IN by JACKSON,TYLER",1
04:16,,,,,"MISS FT by HUGHES,ANTHONY",,,"MISS FT by HUGHES,ANTHONY",1
--,,,,,"REBOUND OFF by BURNETT,DREW",,,"REBOUND OFF by BURNETT,DREW",1
04:06,,,,,"MISS LAYUP by JENKINS,KALEB(in the paint)",,,"MISS LAYUP by JENKINS,KALEB(in the paint)",1
--,"REBOUND DEF by MOULTRIE,JONTE",,,,,,,"REBOUND DEF by MOULTRIE,JONTE",1
03:57,"MISS 3PTR by JONES,TAVONTA",,,,,,,"MISS 3PTR by JONES,TAVONTA",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
03:54,"FOUL  by JONES,TAVONTA",,,,,,,"FOUL  by JONES,TAVONTA",1
03:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:54,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
03:54,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",1
03:54,"SUB OUT by JONES,TAVONTA",,,,,,,"SUB OUT by JONES,TAVONTA",1
03:54,"SUB IN by ZERADJANIN,MILOS",,,,,,,"SUB IN by ZERADJANIN,MILOS",1
03:54,,18,,22 (+4),"GOOD FT by BLANZ,BUCK(fastbreak)",Mill 18-22 (+4),,"GOOD FT by BLANZ,BUCK(fastbreak)",1
03:54,,18,,23 (+5),"GOOD FT by BLANZ,BUCK(fastbreak)",Mill 18-23 (+5),,"GOOD FT by BLANZ,BUCK(fastbreak)",1
03:34,"GOOD LAYUP by WILKERSON,CARLOS(in the paint)",20,,23 (+3),,MUW 20-23 (+3),,"GOOD LAYUP by WILKERSON,CARLOS(in the paint)",1
--,"ASSIST  by PINKSTON,TRE",,,,,,,"ASSIST  by PINKSTON,TRE",1
03:18,,,,,"MISS LAYUP by YOUNG,DILLON(in the paint)",,,"MISS LAYUP by YOUNG,DILLON(in the paint)",1
--,"REBOUND DEF by PINKSTON,TRE",,,,,,,"REBOUND DEF by PINKSTON,TRE",1
03:10,"GOOD LAYUP by WILKERSON,CARLOS(fastbreak)(in the paint)",22,,23 (+1),,MUW 22-23 (+1),,"GOOD LAYUP by WILKERSON,CARLOS(fastbreak)(in the paint)",1
--,"ASSIST  by ZERADJANIN,MILOS",,,,,,,"ASSIST  by ZERADJANIN,MILOS",1
02:45,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
02:45,"STEAL  by PINKSTON,TRE",,,,,,,"STEAL  by PINKSTON,TRE",1
02:40,"MISS LAYUP by JACKSON,TYLER(in the paint)",,,,,,,"MISS LAYUP by JACKSON,TYLER(in the paint)",1
--,"REBOUND OFF by JACKSON,TYLER",,,,,,,"REBOUND OFF by JACKSON,TYLER",1
02:36,"FOUL  by JACKSON,TYLER",,,,,,,"FOUL  by JACKSON,TYLER",1
02:36,"TURNOVER  by JACKSON,TYLER",,,,,,,"TURNOVER  by JACKSON,TYLER",1
02:36,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
02:36,,,,,"SUB OUT by HUGHES,ANTHONY",,,"SUB OUT by HUGHES,ANTHONY",1
02:36,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
02:36,,,,,"SUB IN by GIVENS,DONOVAN",,,"SUB IN by GIVENS,DONOVAN",1
02:36,"SUB OUT by JACKSON,TYLER",,,,,,,"SUB OUT by JACKSON,TYLER",1
02:36,"SUB IN by KIMMONS,BRIEN",,,,,,,"SUB IN by KIMMONS,BRIEN",1
02:28,,,,,"MISS JUMPER by GIVENS,DONOVAN(in the paint)",,,"MISS JUMPER by GIVENS,DONOVAN(in the paint)",1
--,"REBOUND DEF by PINKSTON,TRE",,,,,,,"REBOUND DEF by PINKSTON,TRE",1
02:13,"TURNOVER  by PINKSTON,TRE",,,,,,,"TURNOVER  by PINKSTON,TRE",1
02:13,,,,,"STEAL  by BURNETT,DREW",,,"STEAL  by BURNETT,DREW",1
02:12,"FOUL  by PINKSTON,TRE",,,,,,,"FOUL  by PINKSTON,TRE",1
02:12,,22,,24 (+2),"GOOD FT by BURNETT,DREW(fastbreak)",Mill 22-24 (+2),,"GOOD FT by BURNETT,DREW(fastbreak)",1
02:12,,,,,"MISS FT by BURNETT,DREW(fastbreak)",,,"MISS FT by BURNETT,DREW(fastbreak)",1
--,"REBOUND DEF by WILKERSON,CARLOS",,,,,,,"REBOUND DEF by WILKERSON,CARLOS",1
02:03,"MISS 3PTR by MOULTRIE,JONTE",,,,,,,"MISS 3PTR by MOULTRIE,JONTE",1
--,,,,,"REBOUND DEF by BURNETT,DREW",,,"REBOUND DEF by BURNETT,DREW",1
01:39,,,,,"MISS JUMPER by GIVENS,DONOVAN(in the paint)",,,"MISS JUMPER by GIVENS,DONOVAN(in the paint)",1
--,"REBOUND DEF by WILKERSON,CARLOS",,,,,,,"REBOUND DEF by WILKERSON,CARLOS",1
01:16,"GOOD LAYUP by WILKERSON,CARLOS(in the paint)",24,,24,,MUW 24-24 (0),,"GOOD LAYUP by WILKERSON,CARLOS(in the paint)",1
--,"ASSIST  by ZERADJANIN,MILOS",,,,,,,"ASSIST  by ZERADJANIN,MILOS",1
00:54,,,,,"MISS 3PTR by BLANZ,BUCK",,,"MISS 3PTR by BLANZ,BUCK",1
--,"REBOUND DEF by KIMMONS,BRIEN",,,,,,,"REBOUND DEF by KIMMONS,BRIEN",1
00:28,"GOOD LAYUP by WILKERSON,CARLOS(in the paint)",26 (+2),,24,,MUW 26-24 (-2),,"GOOD LAYUP by WILKERSON,CARLOS(in the paint)",1
--,"ASSIST  by ZERADJANIN,MILOS",,,,,,,"ASSIST  by ZERADJANIN,MILOS",1
00:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:14,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
00:14,,,,,"SUB OUT by GIVENS,DONOVAN",,,"SUB OUT by GIVENS,DONOVAN",1
00:14,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
00:14,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
00:14,"SUB OUT by WILKERSON,CARLOS",,,,,,,"SUB OUT by WILKERSON,CARLOS",1
00:14,"SUB IN by HINES,JAQUAN",,,,,,,"SUB IN by HINES,JAQUAN",1
00:04,,,,,"MISS 3PTR by YOUNG,DILLON",,,"MISS 3PTR by YOUNG,DILLON",1
--,,,,,"REBOUND OFF by BURNETT,DREW",,,"REBOUND OFF by BURNETT,DREW",1
00:00,,26,,26,"GOOD LAYUP by BURNETT,DREW(in the paint)",Mill 26-26 (0),,"GOOD LAYUP by BURNETT,DREW(in the paint)",1
20:00,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",2
20:00,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",2
20:00,,,,,"SUB OUT by BURNETT,DREW",,,"SUB OUT by BURNETT,DREW",2
20:00,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",2
20:00,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",2
20:00,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",2
20:00,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",2
20:00,,,,,"SUB IN by HUGHES,ANTHONY",,,"SUB IN by HUGHES,ANTHONY",2
20:00,"SUB OUT by ZERADJANIN,MILOS",,,,,,,"SUB OUT by ZERADJANIN,MILOS",2
